p_1 p_2 p_3 p_4 
0.006831546 0.2244738 0.3127616 0.455933 
0.01307722 0.2706562 0.4467836 0.269483 
0.02636381 0.3487613 0.373082 0.2517929 
0.003297951 0.3687488 0.3723968 0.2555564 
0.002576276 0.2809425 0.4406768 0.2758045 
0.001766994 0.3880439 0.3638774 0.2463117 
0.02107194 0.2645885 0.4938684 0.2204712 
0.001245216 0.2761218 0.4408648 0.2817683 
0.00242923 0.3631579 0.426682 0.2077309 
0.02824354 0.2930165 0.3814831 0.2972569 
0.007606292 0.24713 0.3785599 0.3667038 
0.03854415 0.2878588 0.3795414 0.2940556 
0.02134481 0.2789501 0.3661592 0.3335459 
0.007459254 0.3048681 0.3753056 0.3123671 
0.0008482792 0.2680805 0.4408624 0.2902088 
0.01974956 0.2326986 0.4644494 0.2831024 
0.0001235941 0.2674499 0.4847342 0.2476923 
0.005846295 0.3219032 0.3718637 0.3003868 
0.008583058 0.3153131 0.4375004 0.2386035 
0.09861292 0.2821865 0.3646385 0.254562 
0.01035773 0.2642356 0.439143 0.2862637 
0.02565925 0.2519632 0.4561729 0.2662046 
0.01209156 0.3333208 0.38351 0.2710777 
0.01190241 0.3420313 0.4200988 0.2259676 
0.01364644 0.2412927 0.4643938 0.2806671 
0.008827482 0.2901523 0.384314 0.3167062 
0.03744294 0.3028811 0.4385175 0.2211585 
0.004976826 0.3771585 0.3691289 0.2487357 
0.001116035 0.2952329 0.4619937 0.2416573 
0.06055182 0.2396013 0.3746845 0.3251624 
0.02862338 0.3041715 0.4229385 0.2442666 
0.002777591 0.3837712 0.3362643 0.277187 
0.02582215 0.3379893 0.3658838 0.2703048 
0.01323759 0.3541629 0.3844141 0.2481854 
0.03502152 0.2430445 0.4282518 0.2936822 
0.0248732 0.2985729 0.3356736 0.3408803 
0.01588679 0.280398 0.5212033 0.182512 
0.02341736 0.3059932 0.3699175 0.3006719 
0.04302998 0.3132332 0.3990302 0.2447067 
0.01531582 0.3483911 0.4063807 0.2299123 
0.003617752 0.3440812 0.3840315 0.2682695 
0.002538135 0.28284 0.4293477 0.2852742 
0.002760857 0.2100687 0.4903613 0.2968091 
0.002651899 0.2654502 0.3921314 0.3397665 
0.02057732 0.2615606 0.3935811 0.324281 
0.005444217 0.2431928 0.4964827 0.2548803 
0.02285857 0.2733013 0.3665096 0.3373305 
0.01612675 0.2537276 0.4774515 0.2526941 
0.02823503 0.3704145 0.3479245 0.253426 
0.02374347 0.2965005 0.4636209 0.2161352 
0.03744475 0.2774621 0.4412619 0.2438312 
0.006494498 0.1975836 0.5047672 0.2911547 
0.02669319 0.2809515 0.452568 0.2397873 
0.0683229 0.2572587 0.3701202 0.3042981 
0.003767493 0.3408805 0.3726254 0.2827266 
0.01666205 0.3070186 0.3911408 0.2851786 
0.0008324602 0.3156591 0.3676469 0.3158616 
0.01741083 0.2875124 0.3616141 0.3334626 
0.004773308 0.3746795 0.308964 0.3115832 
0.04844925 0.2682628 0.375789 0.3074989 
0.005217468 0.3078885 0.3421016 0.3447924 
0.006116122 0.334 0.3846862 0.2751977 
0.02292503 0.3850536 0.3831668 0.2088545 
0.002493383 0.332406 0.4300666 0.235034 
0.0596188 0.2485577 0.3823747 0.3094488 
0.02888955 0.337582 0.3593739 0.2741546 
0.003682154 0.2026227 0.3472485 0.4464466 
0.02789587 0.3645793 0.330708 0.2768168 
0.02234143 0.3605249 0.4373022 0.1798315 
0.04224994 0.294604 0.3479797 0.3151663 
0.006878108 0.3221651 0.3552923 0.3156645 
0.0286882 0.3582415 0.3275206 0.2855497 
0.02360711 0.320085 0.3913428 0.2649651 
0.009115452 0.2532191 0.4331514 0.304514 
0.003721097 0.2432933 0.3786074 0.3743782 
0.0003787386 0.3367209 0.4170308 0.2458695 
0.02473085 0.316214 0.353944 0.3051111 
0.05847703 0.3175781 0.3378556 0.2860893 
0.009941303 0.3077412 0.3792804 0.3030372 
0.007707205 0.3257309 0.3797685 0.2867934 
