Delta_1 Delta_2 Delta_3 Delta_4 
16.98607 -3.561386 -0.2184585 0.8880384 
2.266114 -3.101658 -1.102197 0.6007102 
-6.606321 -3.387776 -1.268685 0.5685822 
-10.89684 -2.482591 -1.557411 1.081338 
17.0501 -2.125507 -1.192723 0.7446375 
-14.23764 -2.522351 -1.637684 0.8974698 
1.289486 -2.676646 -1.471449 0.583591 
-1.509871 -3.984077 -1.550246 0.4414025 
8.548261 -4.166013 -1.129393 0.6833399 
2.692814 -3.112759 -1.044347 0.6078107 
2.168293 -2.491714 -1.630163 0.8113656 
1.487225 -3.54452 -1.773626 0.9852045 
-6.820457 -2.597751 -1.54137 0.6886683 
5.216534 -2.674312 -1.395596 0.04487085 
11.46832 -2.278768 -0.4918483 0.5209066 
6.375984 -2.358159 -1.438408 0.3229428 
-5.431074 -4.114032 -1.620652 -0.01773612 
3.026759 -4.337144 -1.708554 0.8267837 
-19.35776 -2.697457 -1.558009 0.6109473 
10.49626 -5.432183 -1.469835 0.7094267 
4.240535 -5.914791 -1.144051 0.5946563 
-6.367944 -4.296943 -1.494991 0.8604416 
-2.749134 -3.838762 -1.096857 0.8126537 
-6.166472 -4.051469 -1.310545 0.9158327 
-12.05494 -4.000389 -1.166072 0.7051456 
28.74316 -4.388703 -1.50251 0.4010303 
-4.137458 -4.455087 -0.7698004 1.42092 
6.229282 -4.914318 -1.523667 0.7330686 
-13.42204 -5.127093 -0.9841679 0.7751197 
-3.630196 -5.695121 -0.9618686 0.8079987 
0.7583409 -5.620387 -1.948933 0.8044384 
1.049543 -5.02954 -1.933116 0.8193228 
12.96264 -7.219218 -1.658409 0.7707247 
-13.75496 -6.116656 -1.045721 0.2781911 
-6.889558 -6.143097 -2.007269 0.6441176 
-3.07844 -5.286166 -2.235686 0.5065382 
-12.94921 -5.821179 -2.009699 0.606566 
-7.97027 -2.930468 -1.383709 0.7878544 
-5.034776 -3.324975 -1.455475 0.652562 
-15.5689 -3.433311 -0.8568551 0.5551321 
27.58077 -2.657178 -0.5708116 0.1975253 
1.218953 -2.43594 -0.6406378 0.5410025 
12.68054 -2.845444 -1.20948 0.7368531 
-4.647683 -3.418811 -1.193656 0.6185636 
-5.208244 -4.008559 -1.086163 0.8204971 
2.788861 -3.755669 -1.765936 0.7351095 
-4.315882 -4.171473 -1.933824 0.6675333 
-12.19555 -4.827773 -1.039941 0.8115929 
7.873843 -5.250609 -1.824678 0.7426249 
-10.40152 -4.105706 -1.090862 0.2598149 
-8.316791 -4.113653 -2.535767 0.563727 
-5.50858 -4.601258 -2.008803 0.9587786 
-2.376554 -3.842883 -1.696437 0.840969 
-5.98189 -3.61228 -1.797853 1.17884 
-1.381578 -3.645676 -1.306021 0.5310894 
7.200228 -4.242418 -1.415205 0.354817 
16.51227 -3.4857 -1.291724 0.5596083 
9.06 -3.305145 -1.53734 0.6743721 
4.062373 -3.019827 -1.819213 0.1056732 
8.145796 -3.263396 -1.621631 0.6365495 
-6.886515 -3.752307 -1.316079 0.8317332 
0.2907254 -4.244026 -1.441471 0.9509539 
-8.149809 -3.450684 -1.492347 0.7829484 
-5.086748 -3.602546 -1.840616 0.5897741 
-1.102409 -3.632592 -0.8941069 0.6230874 
-7.519849 -3.350603 -1.483804 -0.2571044 
-8.360044 -2.069022 -1.672566 0.4566204 
-4.231237 -2.679356 -1.815167 0.77625 
-24.59242 -2.92179 -1.737392 0.1268087 
4.887284 -2.993333 -1.365875 1.080781 
3.629616 -2.551038 -1.156355 0.8896368 
-10.47449 -2.568659 -1.471556 0.3967372 
7.818506 -3.148736 -1.425612 0.5648041 
11.43613 -1.969673 -1.528523 0.4380923 
5.724561 -2.159472 -1.52949 0.5172233 
-7.124651 -3.604786 -1.978416 0.9487022 
-2.192843 -3.787247 -1.661872 0.4692635 
-7.381683 -4.726589 -1.094372 0.763119 
10.06832 -4.354064 -0.8515722 0.8450192 
-0.540754 -3.74942 -1.555906 1.339129 
2.174593 -3.282539 -1.235352 0.8327896 
-5.172609 -4.305745 -0.9673934 0.926425 
4.527633 -4.731851 -0.7712837 0.4182951 
