beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 
-0.2644905 3.920294 -9.655541 -5.152816 -24.19372 -3.686497 
-0.146537 4.002757 -9.006713 -5.068427 -22.68204 -4.606677 
0.3352091 3.917163 -8.886014 -5.298604 -24.03608 -4.291887 
-0.1286879 4.022764 -9.910729 -5.084762 -22.83222 -4.541554 
0.02125247 3.931011 -8.831953 -5.706431 -22.04455 -2.375625 
-0.2081146 3.95551 -8.829152 -6.274586 -21.64606 -4.755216 
0.04321532 3.964241 -8.379621 -5.399548 -23.2298 -4.379762 
0.008122519 3.903149 -9.485921 -5.311622 -23.48832 -3.80306 
-0.1566731 3.969546 -8.680703 -6.190546 -18.85329 -5.259151 
-0.1292976 3.993745 -8.983986 -6.931608 -22.48886 -5.227733 
-0.033458 4.010973 -8.899057 -5.000616 -17.41601 -10.72452 
0.09014661 3.999847 -9.143065 -6.021176 -22.02157 -4.529054 
-0.1723299 4.021096 -9.853578 -5.720209 -23.39993 -5.282755 
-0.0409546 3.90302 -9.630373 -4.77066 -22.96099 -4.973717 
-0.1210862 3.872336 -8.687614 -5.031241 -23.08799 -5.745942 
0.7229997 4.000856 -11.15778 -5.99227 -23.31868 -2.974434 
0.02354839 3.997379 -8.333578 -5.192142 -19.99817 -4.853259 
-0.07609716 4.048811 -9.287536 -5.719401 -20.40177 -5.776261 
0.005008731 3.956698 -9.475834 -4.628088 -23.74395 -3.65757 
-0.1459741 3.970182 -7.497073 -6.222436 -21.22149 -7.382687 
-0.1716263 3.989974 -4.366106 -4.750679 -24.58833 -3.402812 
0.09146237 3.958281 -5.574766 -4.992329 -21.92595 -5.932072 
-0.1574993 3.951932 -9.444856 -5.669625 -23.33151 -4.067285 
0.2338894 3.926395 -9.737449 -4.069652 -22.02009 -5.959801 
-0.09134373 4.00464 -9.359152 -5.175031 -23.68815 -4.133918 
-0.1988983 3.948858 -9.548312 -5.167263 -19.33334 -4.622793 
