beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 beta1_4 beta2_4 
3.68186 -2.399692 -7.464595 28.96617 1.985226 0.01567045 0.08350934 0.9528108 
4.306185 -7.505753 4.432189 -1.487225 1.869953 0.06560659 0.03365329 0.9741503 
3.261322 -1.398738 5.393827 6.972606 1.939705 0.03324698 -0.07631745 1.022153 
16.07787 8.092173 -7.667104 -4.407381 1.925288 0.04124594 -0.06000169 1.011668 
15.81662 4.391834 -14.2855 -1.590438 1.957399 0.02064115 0.003496631 0.9738324 
4.980808 0.2759219 1.441419 -1.514931 1.876391 0.06305998 -0.03587247 1.020197 
1.68702 0.003410995 -3.4962 -11.49666 1.9288 0.03874672 0.09015373 0.9612452 
6.159369 15.45416 0.9748087 14.2888 1.916909 0.03975194 0.1023046 0.9444534 
-0.2283534 -1.260845 -2.968199 -14.91381 1.962034 0.02090031 0.02542415 0.9702435 
-25.24819 -5.413365 -18.4241 -5.277739 1.910935 0.04664071 -0.02942999 0.9929927 
-8.637248 0.2552902 -6.274418 -10.51137 1.883773 0.05870355 0.04286729 0.9660733 
3.1424 1.810568 -8.837495 -8.464726 1.94742 0.02837798 -0.1413823 1.039128 
-1.92745 9.615143 -6.105117 0.8275351 1.959244 0.02363343 -0.2070906 1.087504 
-1.414373 -7.974005 4.414593 4.851464 1.933419 0.0350648 -0.01690843 0.9853556 
-10.488 5.425596 -13.28954 -4.27085 1.916716 0.04042084 0.002845353 0.9984143 
10.87162 11.03911 3.16472 5.451525 1.957891 0.02170363 0.008113767 0.9821216 
-10.79653 -7.268469 -3.348544 6.920673 1.928077 0.04297657 -0.1076652 1.040429 
10.94337 2.724927 5.321517 8.480828 1.956391 0.02332751 -0.001883489 1.001744 
9.177685 5.414622 -1.182001 14.10593 1.886658 0.06025566 0.07170964 0.9591129 
-0.7161345 0.6857881 1.321204 -2.407906 1.946299 0.0287561 -0.2831127 1.083757 
-1.886857 -18.69671 19.90347 2.392172 1.898396 0.04978373 -0.006524618 0.9828545 
-1.696326 14.46308 -4.137846 1.965217 1.948791 0.02863552 0.07627517 0.9366856 
-7.334932 -3.918073 -6.777609 3.677842 1.892562 0.05006876 -0.07909051 1.02601 
-0.8085886 -7.406583 -3.418917 -8.042932 1.875293 0.05774093 0.004443928 0.9939326 
4.267047 10.21105 -11.95381 -2.089421 1.956 0.02344451 0.05795645 0.9631376 
6.146507 -2.940241 3.571552 -4.017639 1.883547 0.05501753 0.04428873 0.9679245 
9.685288 1.60381 -14.32258 -2.622747 1.926069 0.03811007 -0.2029361 1.077255 
19.12428 -5.999298 0.6207598 8.240792 1.844069 0.0814195 0.05243503 0.9672726 
-2.492962 0.7061561 -7.478493 11.28865 1.919119 0.04000587 0.05679055 0.9557525 
0.1448823 -7.600331 -8.030906 -13.83895 1.921354 0.03995144 0.03960449 0.9798922 
19.22283 -17.41544 -5.827427 0.1889427 1.930803 0.03695326 0.0501529 0.9711126 
7.65164 -12.29179 1.101368 -1.086193 1.884864 0.05665973 0.2480589 0.8906721 
-3.315762 -16.90407 -4.284779 2.377571 1.908271 0.04834144 0.02200662 0.9597587 
