"beta1_1" "beta2_1" "beta1_2" "beta2_2"
-29.95203 -3.800406 21.96097 3.640451
-30.11472 -3.728981 22.0531 4.005185
-30.19491 -3.628446 21.97461 3.686618
-30.17346 -3.900464 22.14414 4.029556
-29.95423 -3.826229 22.57196 3.794191
-29.86593 -3.903941 22.26049 3.700444
-29.6128 -3.856188 22.14231 3.782454
-29.84491 -3.81471 22.04398 3.785545
-29.78245 -3.916153 21.96903 3.454102
-29.88936 -3.904463 22.776 3.740093
-29.58955 -3.955419 21.63819 3.415606
-29.92296 -3.631376 21.60897 3.294661
-29.62201 -3.826953 22.52977 3.699445
-29.6207 -3.896763 22.45148 3.357802
-29.69664 -3.81033 21.81917 3.880323
-29.94219 -3.908925 22.7998 3.53573
-29.90925 -3.880085 22.66233 3.876368
-30.03839 -3.816047 22.87237 3.297414
-29.72795 -3.70785 22.15776 3.685365
-29.8759 -3.850328 22.24861 3.529909
-29.65891 -3.59873 22.45386 3.957214
-29.7327 -3.901619 21.9115 3.956282
-29.73208 -3.904752 21.91528 4.161685
-29.85799 -3.846089 22.20835 3.847926
-29.91267 -3.731266 22.7377 3.762385
-29.90315 -3.874298 22.65783 3.714768
-29.75136 -3.846378 21.97329 3.430275
-29.71863 -3.905982 22.03098 3.637862
-29.67103 -3.948474 22.83709 3.623029
-29.8171 -3.777565 22.55074 3.802681
-29.8095 -3.770883 22.33134 3.778317
-29.8717 -3.79434 22.53067 3.615146
-29.93094 -3.790882 22.39258 4.087941
-29.79377 -3.773986 21.82734 3.766197
-29.85503 -3.761905 22.44639 3.623432
-29.8766 -3.7074 21.63235 3.361779
-29.88352 -3.823329 22.36709 3.850787
-29.91669 -3.861105 22.98175 3.788995
-30.09744 -3.685383 22.97177 4.133953
-30.11266 -3.782796 22.51511 3.620272
-30.0482 -3.795124 21.55128 3.609851
-30.27246 -3.879728 22.13185 3.967162
-30.22632 -3.799265 22.11287 3.756386
-29.88593 -3.920877 22.36329 3.656911
-29.61026 -3.738916 22.14315 4.035237
-29.85534 -3.858013 22.90262 3.886426
-29.58169 -3.815147 22.42286 4.141016
-29.82124 -3.906931 22.86098 3.872474
-29.82906 -3.785353 22.4831 3.795143
-29.68052 -3.835248 21.98706 4.228474
-29.62257 -3.818794 22.30041 4.011019
-29.69673 -3.770386 22.37767 4.252584
-29.65551 -3.810215 22.48562 4.210934
-29.70425 -3.817865 22.21138 3.696199
-29.75499 -3.673269 22.57772 3.795191
-29.78595 -4.147712 22.06164 3.806499
-29.94637 -3.955974 21.86024 3.488335
-29.9318 -3.90345 21.67386 3.669173
-29.69467 -3.906452 21.95199 3.551682
-29.93692 -3.862326 21.77967 3.651537
-29.71169 -3.709338 21.51005 3.932933
-29.7216 -3.989603 21.65685 3.725573
-30.1187 -3.803938 22.02314 3.704479
-30.10391 -3.799397 22.51911 4.057987
-30.07763 -3.868032 22.40584 3.708288
-30.2933 -3.95028 21.92587 4.357886
-30.21528 -3.792632 22.12416 3.977008
-30.44146 -3.805303 22.00924 3.906564
-30.19503 -3.750333 22.04673 3.845559
-30.09169 -3.983239 22.22415 4.095537
-30.3622 -3.774223 22.10193 3.630089
-30.35887 -3.831714 22.5596 3.445531
-30.0953 -3.75522 21.69877 3.737677
-29.94683 -3.874206 22.0592 3.901103
-29.94715 -3.974824 22.03351 3.941919
-29.95197 -3.837854 22.5156 3.818979
-29.9503 -3.966412 22.50253 3.561764
-29.65909 -3.906899 22.30399 3.624331
-29.77186 -3.827606 22.01083 3.571748
-29.96983 -3.736487 22.40213 3.569847
-29.92451 -3.770845 22.86479 3.853433
-29.80289 -3.802877 21.02315 3.232494
-29.80852 -3.842293 22.47699 3.648457
-29.97754 -3.93259 22.90152 4.018262
-29.77712 -3.856343 22.60695 3.794177
-29.86363 -3.820443 22.8308 3.863038
-29.61466 -3.674821 21.80852 3.91516
-30.12061 -3.806098 22.87287 3.816978
-29.86393 -3.877219 23.06148 3.616282
-29.73778 -3.947574 22.13449 4.14943
-29.59077 -3.813647 22.14683 3.667822
-29.64937 -3.792391 21.93661 3.898412
-29.44188 -3.809752 22.64073 3.733627
-29.92724 -3.563175 21.77549 3.614416
-29.78102 -3.664033 22.48785 3.919815
-29.78846 -3.907347 22.62411 3.892524
-29.88861 -3.73458 22.42659 3.68991
-29.75435 -3.65002 22.28946 3.859384
-29.69459 -3.769862 22.69791 3.604869
-29.75591 -3.827917 21.96331 3.841599
-29.59292 -3.838368 22.43577 3.959501
-29.6873 -3.91002 21.84404 3.936833
-29.66815 -3.845501 21.66058 4.057172
-29.92513 -3.798342 21.91423 3.624619
-29.84874 -4.008033 21.96974 3.853531
-30.03896 -3.995596 22.9122 3.841997
-29.81502 -3.927577 22.38873 3.839037
-29.97896 -3.637164 22.23496 3.463562
-29.79361 -3.976229 21.59024 3.501278
-29.97391 -3.99492 22.89962 3.808308
-29.68906 -3.782463 22.59345 3.894333
-29.78125 -3.778638 21.92701 3.836796
-29.68797 -3.769857 22.16755 3.953952
-29.74419 -3.934938 21.44671 3.76342
-29.88666 -3.816883 22.51369 3.622354
-29.69235 -3.815334 22.25203 4.094659
-29.75357 -3.933214 22.53738 3.66156
-30.02778 -3.755143 22.39005 3.282743
-30.21513 -3.804656 22.44937 3.402102
-29.9311 -3.769109 21.7753 3.774098
-30.1349 -3.796873 21.7325 3.821158
-29.77326 -3.912713 22.59189 3.337003
-29.45065 -3.957877 22.3041 3.89361
-29.61495 -3.730383 22.1524 3.451584
-30.11088 -3.688434 22.82778 3.702102
-29.86068 -3.812678 22.37283 3.878967
-29.7983 -3.710466 22.36334 3.699574
-29.81023 -3.788638 22.55043 3.651033
-29.87739 -3.751998 22.69487 4.049046
-29.72252 -3.737828 22.73002 3.714675
-30.05446 -3.876889 21.55802 3.414767
-29.95302 -3.850165 22.14821 3.423938
-29.99791 -3.888125 21.75057 4.079435
-30.29868 -4.011759 21.99611 3.853047
-30.28935 -3.887304 22.23277 4.064527
-30.12489 -3.675136 22.3749 4.041417
-30.01134 -3.832499 22.83498 3.48442
-29.81162 -3.919651 22.57253 3.910604
-30.09187 -3.775603 22.25648 3.607241
-30.34201 -3.803444 22.18931 3.722419
-30.09516 -3.771532 22.24013 4.135139
-30.06226 -3.981752 22.73772 3.954924
-30.1345 -3.895346 22.14199 4.037517
-29.73804 -3.998525 21.8104 3.573372
-29.90678 -3.999995 22.28364 3.623034
-29.77274 -3.891814 22.46974 3.329869
-29.8168 -3.838896 22.03606 3.447584
-29.80086 -3.808102 22.12437 4.050292
-29.97898 -3.723114 21.82356 3.933356
-29.78494 -3.723433 22.0124 4.192097
-30.02597 -3.888209 22.02164 3.832155
-29.8998 -3.898623 21.56578 4.066702
-29.58085 -3.789719 22.63584 3.840036
-29.71683 -3.862541 22.78467 3.955915
-29.90793 -3.770332 22.79182 3.985262
-29.70233 -3.763728 22.03792 3.618031
-29.88702 -3.806903 22.07222 3.929974
-29.68234 -3.775458 22.03674 3.766626
-30.0113 -3.840852 22.56209 3.841396
-29.86095 -3.93987 22.49305 4.072108
-29.66396 -3.902419 22.71474 3.7027
-29.79006 -3.878358 22.14545 3.728777
-29.71906 -3.934148 22.44479 3.605655
-29.85599 -3.906658 21.76872 3.781909
-30.03077 -3.824941 22.50573 3.757528
-29.75248 -3.739209 22.02078 3.649019
-29.97307 -3.64116 22.30222 3.994791
-29.72032 -3.852904 22.12241 3.235609
-29.61749 -3.81939 22.13602 3.866481
-29.80085 -3.859383 22.27797 3.892639
-29.83968 -3.860385 21.9596 3.908582
-30.08036 -3.866651 22.70186 3.892781
-29.52133 -3.832174 21.98057 3.803404
-29.77977 -3.94267 22.50889 4.052985
-29.60206 -3.847055 22.16444 3.515797
-29.83463 -3.744218 22.42117 3.47904
-29.71934 -3.939114 22.71689 3.695125
-29.93087 -3.821528 22.29964 3.755393
-29.91637 -3.768704 22.17269 3.978155
-29.65643 -3.73105 21.92498 3.975884
-29.99747 -3.815796 22.65939 3.600048
-29.93656 -3.7393 22.45251 4.097099
-29.89081 -3.774453 22.38614 3.678914
-29.75116 -3.831174 23.25191 3.220316
-30.12474 -3.921137 22.32559 3.970346
-29.934 -3.836603 22.57482 3.41835
-30.11005 -3.829295 22.55018 3.390446
-29.93277 -3.919575 21.75637 3.599984
-29.60079 -3.72855 22.40798 3.719132
-29.77938 -3.841858 22.38629 3.844664
-29.73276 -3.834263 22.564 3.699368
-29.89261 -3.995644 22.54945 3.848481
-29.74901 -3.861974 22.3975 3.675973
-29.9229 -3.743078 22.07395 3.774533
-29.99166 -3.697881 21.97611 3.635481
-29.836 -3.944409 22.77984 3.434011
-29.81301 -4.030046 22.046 4.067542
-29.95527 -3.76831 22.30173 4.037303
-29.75947 -3.868206 22.1635 3.474728
-29.89293 -3.908508 22.29546 4.0293
-29.70915 -3.90483 21.82551 4.134946
-29.98562 -3.936241 22.30393 3.805351
-29.71936 -3.825108 22.12897 3.514552
-29.74582 -3.646331 22.35651 3.445519
-29.70809 -3.895191 22.26149 3.735605
-29.75907 -3.799451 22.4819 3.56828
-29.93116 -3.770548 22.83182 3.356939
-29.97968 -3.711013 22.31674 4.252794
-30.13273 -3.739111 22.68125 3.803844
-30.30706 -3.756479 22.79747 3.827533
