Delta_1 Delta_2 
5.344328 -2.323122 
3.383687 -1.555334 
3.599681 -2.062763 
2.831827 -1.788363 
4.327953 -1.642021 
4.564332 -2.275355 
3.31156 -2.242104 
3.809156 -2.36785 
4.390876 -2.351455 
4.199435 -2.881984 
5.53573 -2.639444 
4.74183 -3.039189 
7.338731 -2.854397 
5.832148 -3.211521 
6.313942 -2.982464 
5.16673 -2.801749 
5.578164 -3.541802 
5.872321 -2.735166 
5.579159 -3.08296 
6.094774 -2.689043 
6.802329 -2.806963 
7.659981 -2.772658 
2.825023 -2.874725 
0.2253462 -2.737633 
3.452054 -2.591593 
4.187044 -2.15525 
5.985331 -2.198144 
5.442249 -2.229008 
6.502293 -2.852144 
5.173486 -1.721823 
4.156787 -1.993296 
4.263714 -2.029877 
4.611107 -2.720617 
3.207586 -2.728822 
4.870345 -2.942216 
2.682675 -2.166807 
3.131128 -2.62411 
2.953051 -2.520872 
3.252974 -2.508677 
1.895846 -1.866682 
3.029464 -2.159561 
2.213458 -2.122909 
3.42957 -1.900936 
2.671419 -1.925329 
3.11754 -1.765953 
3.430267 -2.045346 
2.224617 -2.349113 
6.588951 -2.461995 
1.135739 -2.445675 
5.45503 -2.164652 
7.214617 -1.706723 
7.773635 -2.163138 
7.508675 -1.995399 
5.486912 -3.313137 
4.973242 -2.691505 
5.63756 -2.820865 
5.540162 -1.771668 
4.423429 -2.646765 
4.724021 -2.168561 
4.190573 -2.587955 
5.798217 -2.436114 
4.842928 -2.45566 
5.66717 -2.168439 
4.437249 -2.704176 
3.694869 -2.361625 
5.152493 -3.055915 
4.128955 -2.946055 
2.650802 -2.738134 
2.727296 -2.7788 
3.839994 -3.144451 
4.857265 -3.404305 
4.864658 -3.171729 
2.893383 -3.31 
5.80547 -3.776329 
5.354046 -2.32518 
4.541754 -1.677438 
4.348351 -1.789981 
2.848889 -2.087807 
3.997496 -2.061096 
3.020602 -2.013237 
2.676755 -2.141923 
4.359757 -2.190174 
3.944036 -1.989397 
4.222933 -1.822804 
3.650572 -1.89131 
3.843493 -1.977776 
3.935032 -2.387434 
3.302393 -2.173752 
2.910028 -2.04795 
2.846244 -1.967267 
2.393586 -2.197297 
6.828901 -2.39613 
5.249093 -2.432227 
5.131499 -3.171091 
4.782111 -2.993294 
2.588655 -2.767366 
5.483973 -2.453344 
5.3562 -2.715539 
6.073796 -2.855127 
5.935637 -2.6413 
5.660088 -2.671572 
6.883589 -2.630389 
5.018166 -2.482833 
2.867295 -2.493065 
1.152919 -1.579488 
3.140914 -1.826116 
1.451965 -1.913775 
1.17876 -2.01854 
2.338887 -2.391093 
2.168557 -2.290575 
4.879668 -2.028183 
4.55152 -2.292543 
6.172593 -2.37756 
8.265654 -2.916603 
5.468442 -2.542807 
3.874546 -2.658823 
3.807935 -2.877972 
5.585019 -2.290483 
3.81388 -2.464229 
4.164609 -1.769929 
4.837278 -2.154869 
3.72452 -2.442266 
4.953954 -2.154457 
4.100981 -1.999392 
2.514165 -2.313548 
2.660703 -2.152265 
1.958619 -1.870069 
2.446305 -2.193385 
2.690706 -2.089711 
2.432325 -2.625452 
3.523446 -2.400535 
5.04012 -2.008271 
4.754809 -2.137717 
4.737865 -1.960543 
4.500659 -2.15699 
4.857735 -2.151665 
4.586014 -2.242598 
