"nu" "alpha"
5.245268 0.3248803
42.305 0.02346021
4.214029 0.3205996
5.475482 0.4614281
42.46309 0.07097996
5.694303 0.2041929
10.64856 0.1509318
78.18353 0.04375468
60.94525 0.02473641
4.739397 0.2298219
16.15519 0.05654584
4.424575 0.3528377
38.03412 0.06409859
6.286239 0.4287039
34.15439 0.02756531
21.03402 0.07161394
15.74435 0.1502255
4.782462 0.4005226
5.465149 0.2274433
4.976349 0.1510249
11.72979 0.04922241
9.581325 0.3441933
17.3015 0.145882
8.962753 0.08276727
7.646751 0.1530139
16.34348 0.1565135
7.233697 0.03307541
42.50795 0.02041222
74.77767 0.1039326
21.80864 0.05550328
19.48876 0.1257277
23.30274 0.07364137
70.94346 0.02876563
9.984235 0.1325858
4.271677 0.3746093
11.10367 0.09089184
6.217362 0.06438667
13.1746 0.3287425
3.476579 0.4043568
20.50031 0.07985403
28.51807 0.06375663
14.57695 0.07419823
29.27513 0.04369898
6.91358 0.2504731
6.932053 0.071583
48.61774 0.05900475
14.21608 0.1727541
21.94892 0.08118966
15.09135 0.3819597
23.34238 0.07360361
84.82307 0.02288907
13.36229 0.2364167
155.4106 0.03240033
73.52287 0.02400712
21.05101 0.1914913
37.73602 0.03854678
16.72516 0.03343727
10.79633 0.4537618
3.340781 0.3913513
10.46737 0.1279411
41.47143 0.06316988
23.84875 0.1155023
20.64253 0.0651786
17.27788 0.08799696
4.80901 0.2295953
22.99648 0.0529271
11.45151 0.2135691
41.29592 0.08776409
85.58303 0.03040273
4.231513 0.1939799
5.001385 0.3041268
3.567101 0.4981645
3.816637 0.1302626
8.17472 0.2462579
10.25681 0.1625219
10.22185 0.04395869
9.883048 0.08173152
18.48997 0.1326649
3.970769 0.3882603
5.606778 0.4272703
8.420353 0.2918006
6.845642 0.3363187
10.22796 0.149652
5.95637 0.3192561
4.377018 0.200912
7.105781 0.1394838
3.809337 0.136839
5.645037 0.1704891
6.611157 0.2839413
8.097375 0.2015833
86.26661 0.02268426
38.27622 0.03479918
8.622431 0.09455398
8.015005 0.2086845
8.807001 0.4629397
40.13176 0.07456156
5.540338 0.4318245
5.770268 0.2118197
9.78467 0.09373748
7.324334 0.2678381
8.255273 0.4377319
9.157701 0.1894104
8.179443 0.3471499
9.315848 0.0500502
8.291652 0.3012468
11.20447 0.1822149
42.02685 0.02027433
24.49625 0.1134963
19.2796 0.04789456
16.35577 0.05864989
9.847005 0.192825
12.22611 0.05310369
35.22974 0.03442409
7.670358 0.1247586
44.31023 0.04965218
25.60121 0.04922835
168.2281 0.02559897
98.80513 0.03793519
9.882832 0.1256865
3.649242 0.1161461
7.542174 0.3294934
4.645882 0.1800155
6.798 0.2297143
8.453445 0.05090854
15.72492 0.07850164
15.04069 0.1559044
8.22861 0.3091248
9.645653 0.1133188
10.33137 0.3110103
5.124619 0.3380681
5.432949 0.3301096
6.614211 0.1103326
21.16455 0.07175251
8.140193 0.04075988
6.083763 0.07177074
11.18875 0.3305543
14.02298 0.2480809
57.67118 0.0214141
4.029925 0.3610261
26.89542 0.2224024
5.464808 0.2275352
20.71769 0.06455954
5.535155 0.4352087
14.62068 0.1617983
7.56103 0.3681749
10.66639 0.1913342
25.04672 0.08679922
5.651889 0.3557588
13.27812 0.1020681
5.496771 0.3090663
4.664743 0.07786189
7.825251 0.4047104
24.21529 0.03638546
6.036155 0.3212622
5.700076 0.2009221
17.67115 0.02283604
9.102404 0.2549716
4.598987 0.141603
14.93868 0.06647227
5.470147 0.4671545
10.63684 0.4420652
37.83478 0.05886613
4.265203 0.2045368
11.43193 0.1695467
15.83371 0.08552751
14.67551 0.1185402
6.006132 0.4426399
12.98698 0.310091
40.68554 0.1316984
9.8144 0.3126457
5.922415 0.3142005
5.279072 0.1140879
8.397993 0.2180615
5.147822 0.08744476
6.762221 0.1322478
12.09743 0.2182606
5.410365 0.2603766
20.46585 0.1184645
22.2072 0.0514824
13.88398 0.2519563
14.74547 0.2581337
14.54913 0.1130229
18.01109 0.05744514
2.536246 0.314135
25.52141 0.05898044
10.36631 0.3099537
7.721075 0.2053777
18.49182 0.08137855
38.37571 0.05892369
7.678287 0.04810779
17.02423 0.1023813
4.938853 0.1687073
18.42565 0.1156528
11.25347 0.06424312
4.41996 0.2448035
12.87478 0.03805631
5.669099 0.4982769
11.53788 0.07536378
103.4099 0.03617602
15.35825 0.3320525
9.490054 0.1446053
27.70045 0.06095949
8.774193 0.06222251
13.24595 0.03382575
9.477582 0.1335093
78.17981 0.03077347
11.49601 0.1105062
7.388917 0.05799822
37.52601 0.05074959
16.51106 0.127543
16.4122 0.1255322
89.99576 0.08823503
25.94478 0.06817313
7.637787 0.07949541
15.64393 0.04487353
5.113272 0.1287328
3.564676 0.1215704
9.345174 0.04071473
11.21145 0.4346442
3.529028 0.412849
5.206676 0.2936304
55.61502 0.04083448
12.33169 0.1004688
9.309951 0.3389367
6.973645 0.1761501
6.364174 0.284018
4.007378 0.1172866
32.33141 0.02943089
10.14363 0.198015
37.8545 0.06139259
10.10386 0.1827053
6.328896 0.293439
3.557183 0.1016033
44.26362 0.08896333
12.58514 0.174357
9.924887 0.02432136
11.30347 0.1018166
6.361707 0.2179056
15.00836 0.1243948
3.898689 0.1232332
2.880762 0.2561339
6.08688 0.429683
15.09005 0.1753998
24.77959 0.09026311
20.859 0.185487
11.9363 0.2657169
4.599361 0.4745739
5.864892 0.08354282
15.1482 0.1594121
8.968816 0.2407107
4.702209 0.3555309
5.422437 0.1050789
7.934833 0.06519423
108.1889 0.02615394
21.80374 0.06188799
3.722561 0.1743292
5.623104 0.3829139
5.785669 0.4744503
9.711098 0.2244976
11.12886 0.166881
6.124251 0.3621729
8.392646 0.111925
4.414549 0.3887246
4.389871 0.2046733
3.54256 0.1605578
4.702811 0.2149931
8.382227 0.09804171
21.3958 0.2556235
4.254059 0.04319572
2.974211 0.3027571
5.871884 0.1108268
33.23384 0.1167923
7.862375 0.3714543
5.979709 0.4860254
2.908258 0.3132893
6.120083 0.4689243
11.45747 0.05245445
8.388355 0.160847
10.1694 0.4072737
3.516656 0.1191569
3.797335 0.2295928
8.774351 0.2546951
10.95078 0.3026505
29.38793 0.04727973
13.62398 0.06445423
3.599706 0.2493309
3.457512 0.4898563
5.475319 0.3861329
9.337506 0.1120226
7.404811 0.2824919
15.58834 0.1675663
11.77217 0.09857974
5.923605 0.1133866
12.68812 0.07078138
13.07237 0.07246462
5.565313 0.3048488
5.039441 0.2513556
5.523912 0.1937617
6.876936 0.02967984
14.33603 0.1569257
6.443081 0.2407438
12.97994 0.08866742
15.80903 0.2708489
37.96451 0.08726304
26.55882 0.02771719
7.456699 0.2254287
7.009975 0.2237068
3.933249 0.1732638
36.63944 0.1105406
49.98321 0.04684951
8.821593 0.3018707
4.123464 0.3486194
3.534059 0.4221269
10.07536 0.1733172
9.943384 0.1083789
4.632618 0.3940177
4.013734 0.4006806
7.295693 0.1793465
5.08771 0.09308123
3.271815 0.4090123
9.855507 0.0746144
20.8539 0.1318526
7.534909 0.4403201
3.869697 0.1100209
95.49423 0.02068062
20.95316 0.1043028
3.118565 0.1683096
28.26791 0.02216414
10.26244 0.04742794
37.73172 0.05932221
136.249 0.04536341
11.30093 0.06009367
9.791177 0.1553154
8.337333 0.1493137
4.367655 0.4816096
9.241608 0.1466569
18.94899 0.1097904
5.713821 0.3171302
16.91883 0.153238
8.710037 0.07672124
15.26775 0.383272
6.528498 0.06599838
3.140582 0.3860688
11.09635 0.0633089
4.715432 0.415342
32.26745 0.04375748
10.29991 0.1247184
9.638512 0.186549
7.746998 0.1355255
5.211645 0.275585
9.226053 0.1308269
25.48022 0.08865923
4.457 0.292178
3.206045 0.2123714
4.196408 0.2838941
5.7761 0.3567168
3.904353 0.1310617
9.870022 0.1388881
13.45104 0.06600384
19.41949 0.04866976
21.9353 0.093611
34.73976 0.05411218
15.23514 0.06055169
4.616462 0.2227859
7.611221 0.2319084
9.922617 0.142871
14.69015 0.1327314
29.45772 0.078593
67.88944 0.068928
21.97104 0.1255187
7.598972 0.1785984
18.97427 0.02205456
5.20553 0.305564
4.45533 0.4945084
8.127192 0.3812786
7.136074 0.157075
7.184521 0.1943627
7.500611 0.08432133
26.54954 0.07634322
10.85915 0.1075313
5.750755 0.3018181
4.648813 0.3278492
12.27214 0.1116091
20.23526 0.1292434
10.11496 0.2293719
4.131604 0.3690779
7.722937 0.1407205
5.753399 0.2988018
3.393887 0.3660773
5.67788 0.2125526
9.43155 0.1691002
9.789033 0.4835811
11.18267 0.0416017
18.19384 0.03478471
9.371674 0.3273254
6.664125 0.4206772
30.06011 0.09820579
12.04799 0.08893339
6.802985 0.06348872
5.926212 0.1386936
6.345951 0.3194177
4.708936 0.2695589
1.918516 0.364816
11.43771 0.04212557
77.54669 0.03994663
23.67132 0.1437703
7.624625 0.4825688
2.41252 0.433502
22.39866 0.134461
21.72342 0.1773198
9.684807 0.04394405
4.357969 0.1303411
17.28841 0.14797
8.703028 0.254876
7.552102 0.167672
27.39202 0.1464758
59.36929 0.03239266
5.352046 0.4049497
12.92037 0.0979547
32.49204 0.06140042
7.409998 0.06776712
8.6748 0.07426972
4.821043 0.270758
16.70108 0.2470602
4.116874 0.1336137
14.38509 0.04931
4.656887 0.0474847
3.163457 0.3953831
5.1566 0.1851362
7.055018 0.1668248
6.305642 0.2801809
10.49073 0.3803316
7.38855 0.1245384
19.36579 0.07221479
6.884229 0.1634958
5.811544 0.3891521
13.61666 0.1944156
5.007006 0.2278915
23.08418 0.07587313
5.347953 0.3832647
17.63325 0.1651629
9.119755 0.3466474
10.34009 0.06203956
6.481045 0.2832827
6.964702 0.1948318
9.406932 0.4287346
11.13801 0.04538988
71.07668 0.03723308
6.57049 0.1652783
32.42168 0.03253123
12.7415 0.06394274
4.182434 0.4085279
4.189564 0.471575
3.864221 0.352536
10.86559 0.1317441
26.59974 0.07046485
