Delta_1 Delta_2 Delta_3 
0.01252678 -8.159561 -0.00471769 
0.0301915 -14.86484 0.01472375 
-0.005297644 11.45624 0.00921381 
0.001995505 -7.563607 -0.009039628 
0.009963575 -19.07483 0.01324591 
-0.003550794 6.040142 0.0191832 
-0.06653743 6.43166 -0.007329433 
-0.05728416 -9.651523 -0.00900994 
0.00312462 12.54804 -0.001695783 
-0.08051492 2.873196 0.007032949 
0.08726807 5.700176 -0.01460295 
-0.05847277 6.813772 -0.01470269 
0.03484063 4.001858 -0.01873991 
-0.04327339 -3.616477 -0.02757224 
-0.09030126 -12.26887 -0.006249619 
0.1341856 4.788841 -0.01438393 
0.01701922 -2.845679 -0.008203674 
-0.009161782 8.897147 -0.02354458 
0.02025245 10.16445 0.01192998 
-0.08075136 17.09106 -0.01863387 
0.007153577 4.444824 0.01569244 
0.03059672 0.236274 -0.01076647 
-0.0396384 -20.31982 -0.01429099 
0.006854923 17.40572 -0.005531108 
-0.005544543 6.093914 -0.04001356 
-0.05886257 -8.184894 0.0009200101 
0.0584635 -4.252791 -0.0071537 
0.003252168 20.50866 0.001812449 
-0.06104152 3.394492 0.002590203 
-0.09091753 0.287031 -0.02437024 
0.05620639 -14.48906 0.005352061 
0.1093054 4.198838 -0.03653861 
-0.002810124 -6.113299 -0.005073611 
-0.01210328 11.74281 -0.004428538 
-0.1115898 8.603798 0.002389921 
0.01972267 -20.94518 -0.002945659 
0.001363821 -3.655795 -0.0144168 
-0.002979633 3.316158 -0.01664987 
-0.0610239 11.4207 -0.01281126 
-0.1007532 -4.209146 0.007796996 
-0.07106675 -7.225633 -0.01904999 
0.006357212 -11.07807 0.008460655 
0.04076696 -11.28153 0.01022869 
-0.1303148 -5.498788 -0.02074055 
0.05712291 -7.083336 0.003363963 
-0.002817707 -0.2485625 -0.0128405 
0.0134086 3.846798 0.008182799 
0.02660602 10.16309 -0.01952629 
-0.06214882 -1.966892 -0.004232826 
0.01394172 1.8026 0.009495834 
-0.05689054 -15.70975 0.003851765 
-0.01993997 -13.62339 0.00961172 
0.08250712 1.585441 -0.0138198 
-0.03309661 -2.478619 -0.01206296 
0.1432217 8.562002 -0.008183268 
-0.01185236 31.66709 0.01254724 
0.04162721 8.323995 0.002427607 
-0.003532288 -16.77653 -0.01134018 
0.03414713 2.820032 -0.005639513 
-0.02186484 11.18392 0.009252158 
0.06564314 4.846517 0.01735176 
0.005095771 -4.110227 -0.01464438 
-0.1248125 -7.413587 0.01766528 
-0.1380633 -9.332281 0.01167388 
-0.04709021 -5.879135 -0.02336073 
-0.04570969 -10.72551 -0.01131052 
0.2188034 16.16087 0.01365931 
0.02809627 6.275392 0.01541768 
-0.02902873 14.69678 -0.01641171 
0.01812455 -7.194676 -0.007915784 
-0.02630895 -8.247725 -0.003875426 
0.02536328 4.455025 -0.009920401 
0.02433576 5.536094 -0.009055021 
-0.03078013 -12.88659 -0.003074728 
0.04017864 -4.03752 -0.00747479 
-0.05916436 -9.293482 -0.01615253 
-0.03121795 6.150372 -0.008505126 
0.06005395 -6.249877 -0.02444059 
-0.02101016 9.125459 -0.003978354 
-0.05933376 8.514865 -0.01790243 
-0.03162397 25.67698 -0.007487113 
