"Delta_1" "Delta_2" "Delta_3"
-2.003162 -2.815674 1.162811
-2.02537 -2.847556 1.212009
-2.120321 -2.864444 1.255394
-2.190159 -2.940147 1.222639
-2.151568 -3.13726 1.15994
-2.074986 -2.867595 1.134956
-1.938261 -3.163249 1.214141
-2.029659 -3.051444 1.105948
-2.01759 -3.089229 1.104966
-1.981376 -3.054445 1.183571
-2.002023 -2.741571 1.204316
-2.072903 -2.886435 1.100036
-2.011929 -3.037987 1.061124
-2.043755 -3.2568 1.022005
-2.10758 -3.111712 0.9914561
-2.176009 -3.025669 1.012116
-2.193165 -2.787653 0.9820487
-2.264825 -2.756241 1.079109
-2.329637 -2.787012 1.03796
-2.237743 -2.576903 1.037841
-2.23505 -2.833499 0.9862801
-2.138555 -2.933191 1.141367
-2.071402 -3.063225 1.087496
-2.155969 -2.674278 1.138551
-2.033696 -2.63733 1.208385
-2.108394 -2.785223 1.100913
-1.956024 -2.695414 1.15101
-1.925369 -2.556864 1.097511
-2.009177 -3.062003 1.061337
-2.11227 -3.414169 1.173238
-2.211743 -3.40451 1.175692
-2.086969 -3.166795 1.17677
-2.110709 -3.092926 1.101801
-2.204004 -2.795698 1.148242
-2.184104 -2.634199 1.086045
-2.040646 -2.906317 1.075038
-2.178632 -2.958663 1.060448
-2.294207 -2.964729 1.053721
-2.049472 -2.863418 1.062995
-2.061145 -2.978914 1.017218
-2.024661 -3.168929 1.070585
-2.137053 -3.22194 1.20764
-2.179327 -3.408992 1.239388
-2.139703 -3.011629 1.111885
-2.137037 -2.747757 1.070183
-2.010186 -2.98977 1.12903
-2.032282 -2.735038 1.054026
-1.913642 -2.815542 1.015589
-1.882767 -2.903502 1.004173
-1.88327 -3.106221 1.0585
-2.063467 -2.886196 1.079933
-2.161834 -2.89098 1.071722
-2.216618 -3.054897 0.9404647
-2.229195 -2.885474 0.9882439
-2.095585 -2.609305 1.021989
-2.078145 -2.622153 1.131659
-1.856922 -3.090235 1.176374
-1.892693 -2.71836 1.193264
-1.9415 -2.459413 1.097768
-1.893298 -2.441709 1.031246
-1.858956 -2.358568 1.069229
-1.90231 -2.859136 1.038385
-1.964463 -2.87761 1.11608
-1.93049 -2.88864 1.112293
-1.96182 -2.415394 1.112413
-1.890662 -2.802216 1.130654
-2.008891 -2.821578 1.132644
