"Delta_1" "Delta_2" "Delta_3"
-2.803757 1.160566 -2.035984
-2.70825 1.171582 -2.109203
-3.084048 1.171746 -2.083609
-2.929504 1.177531 -2.100951
-2.662249 1.166288 -1.91963
-2.957227 1.082793 -1.914147
-3.009214 1.121253 -1.958165
-2.821312 1.268168 -1.990383
-2.767416 1.129704 -2.03683
-2.853432 1.10888 -2.048089
-2.779151 1.093456 -1.93943
-3.112804 1.076101 -1.993122
-2.937257 1.076039 -1.953697
-2.602605 0.938156 -1.987917
-2.640229 1.069127 -2.111355
-2.633457 1.100003 -2.17191
-2.797884 1.12123 -2.28758
-2.901554 1.299912 -2.296525
-2.962141 1.337111 -2.331511
-2.74835 1.165388 -2.148902
-3.00454 1.228414 -2.167008
-3.185904 1.309794 -2.088944
-3.489599 1.305176 -2.060637
-3.20742 1.213673 -2.121408
-3.078435 1.176023 -2.157688
-2.809109 1.242644 -2.060857
-2.838941 1.12514 -2.051487
-2.994476 1.040335 -1.958537
-2.694969 1.071078 -1.876287
-2.441791 1.009846 -2.057827
-2.685644 1.08979 -2.040911
-2.679919 1.144633 -2.044843
-2.50043 1.119796 -2.140672
-2.550807 1.106947 -2.001775
-2.65465 1.178575 -2.06324
-2.808963 1.086616 -1.942296
-2.899954 1.160186 -2.103658
-3.244876 1.13091 -1.99105
-3.046984 1.165469 -1.994368
-2.515998 1.230124 -2.064755
-2.789876 1.176444 -2.104824
-2.774429 1.269919 -1.991994
-2.845777 1.249154 -2.127404
-2.73104 1.357091 -2.13144
-2.902666 1.321375 -1.996191
-2.896345 1.262534 -2.095981
-3.009458 1.163817 -2.075417
-3.042045 1.100091 -2.021405
-2.931035 1.024238 -1.92578
-2.962588 1.100916 -2.134246
-3.067244 1.209802 -2.019067
-3.077122 1.144882 -1.898543
-2.820056 1.130233 -1.863252
-3.016589 1.137872 -1.921508
-2.530733 1.152628 -1.959423
-2.721991 1.177472 -1.938341
-3.12564 1.151758 -1.957715
-2.698918 1.143851 -1.978841
-2.609882 1.149942 -1.97398
-2.622528 1.16716 -2.167165
-2.79378 1.250341 -2.134901
-2.876307 1.257013 -2.173199
-2.985824 1.232204 -2.147119
-2.931443 1.221875 -2.172174
-2.859148 1.185669 -2.195167
-3.031531 1.165188 -2.089068
-2.979502 1.125163 -2.019022
-3.171411 1.153681 -2.040534
-3.020741 1.149605 -1.98654
-2.81663 1.061625 -2.163542
-2.879987 1.103552 -2.148805
-2.645128 1.200393 -2.063675
-2.846907 1.208117 -2.03743
-2.858655 1.238984 -1.993157
-2.911227 1.213608 -1.954635
-2.809073 1.121561 -1.908901
-2.766184 1.120655 -2.068072
-2.935162 1.185645 -2.218489
-2.855664 1.110621 -2.239186
-2.750015 1.146272 -2.11973
-2.845432 1.120283 -2.178187
-3.062394 1.057383 -1.986727
-2.771163 1.055584 -1.948032
-2.90639 1.040262 -1.893991
-2.543436 1.072523 -1.829898
-2.800354 1.055503 -1.999628
-2.55817 1.090859 -1.997764
-2.941441 1.127223 -1.984706
-2.527763 1.13392 -2.057293
-2.514547 1.113554 -2.219793
-2.761781 1.101064 -2.25025
-2.86485 1.065818 -2.160479
-2.754923 1.151128 -2.221327
-3.279638 1.241573 -2.108609
-3.000477 1.223216 -2.115441
-2.681081 1.226287 -2.033833
-3.091054 1.182515 -2.14646
-2.587148 1.175297 -1.97302
-2.347267 1.099528 -2.099642
-2.766925 1.147684 -2.15997
-2.759091 1.142008 -1.991485
-2.929342 1.091678 -1.968547
-2.571801 1.175578 -1.971394
-2.988153 1.153302 -1.997467
-2.52402 1.130697 -2.018011
-2.564202 1.081287 -2.063219
-2.649015 1.183038 -1.997176
-2.868537 1.143177 -1.999529
-2.774939 1.152954 -2.175946
-2.965952 1.18305 -2.229124
-3.041465 1.298963 -2.191427
-3.197025 1.319239 -2.108875
-3.249122 1.30946 -2.262282
-3.054197 1.270643 -2.184553
-3.173177 1.10293 -2.178133
-3.342327 1.019506 -2.06327
-3.086966 1.051957 -2.256014
-3.058039 1.186745 -2.295999
-2.983109 1.112077 -2.325445
-2.981191 1.095875 -2.242287
-2.76489 1.120742 -2.096621
-2.948282 1.039843 -2.285515
-2.800566 1.089305 -2.206236
-2.908436 1.187337 -2.138447
-2.62686 1.099698 -2.165445
-2.63437 1.077025 -2.265239
-2.881205 1.126471 -2.225461
-2.976727 1.148548 -2.094771
-2.928066 1.208284 -2.051462
-3.01215 1.197129 -2.070131
-3.003557 1.077962 -1.924681
-2.713985 1.08957 -1.896496
-2.899416 1.166749 -1.754122
-2.954014 1.172106 -1.833651
-2.681894 1.043129 -2.084348
-2.773473 1.100937 -2.201542
-3.183784 1.10065 -2.112316
-3.10711 1.097672 -2.032464
-3.063749 1.041399 -2.123039
-2.982044 1.034501 -2.160584
-2.809199 1.152925 -2.16422
-2.671068 1.12485 -2.103009
-2.88816 1.068356 -1.945236
-2.875896 1.139099 -1.908933
-2.748596 1.166508 -1.957813
-2.952692 1.215745 -1.977176
-2.902909 1.164501 -2.037594
-2.762859 1.208945 -2.064919
-3.022937 1.175369 -2.000207
-2.915778 1.182287 -1.966796
-2.758477 1.091834 -2.018985
-2.487801 1.062081 -2.045788
-2.771302 1.036659 -2.051917
-2.933836 1.093098 -1.991879
-2.849403 1.098721 -1.940064
-2.898697 1.188204 -1.966899
-2.647394 1.246497 -1.777802
-3.010444 1.226913 -1.972209
-2.622617 1.158139 -2.001741
-2.965491 1.20324 -1.914687
-2.773926 1.085637 -2.014579
-2.805936 1.141604 -1.949647
-2.612916 1.081952 -2.087115
-2.610442 1.037098 -2.219278
-2.887074 1.027067 -2.270651
-2.80524 1.103304 -2.234609
-2.946531 1.029038 -2.072973
-2.825181 1.125829 -2.03133
-3.062542 1.12891 -1.971075
-3.04721 1.074718 -2.089151
-2.76506 1.139973 -2.130415
-2.749488 1.196456 -2.028142
-2.575263 1.186394 -1.916341
-2.793607 1.202256 -2.079101
-2.44023 1.183768 -1.926583
-2.277434 1.129223 -1.990122
-2.577815 1.148917 -2.029699
-2.534273 1.166191 -1.919868
-2.476761 1.193488 -1.969585
-2.592767 1.155631 -2.088852
-2.598342 1.122624 -2.089925
-2.771965 0.9952893 -2.075431
-2.892692 1.026555 -1.98813
-2.81924 1.068334 -1.984567
-2.58082 1.113662 -2.112955
-2.903854 1.126865 -2.155258
-2.756018 1.12145 -2.104607
-2.661815 1.167232 -2.079035
-2.534266 1.158519 -2.001654
-2.851206 1.180974 -1.92284
-2.984003 1.138476 -1.971508
-2.875121 1.157351 -1.992462
-2.795877 1.211054 -2.087819
-2.913475 1.192229 -2.275138
-3.205315 1.13689 -2.175123
-3.027155 1.128566 -2.084202
-2.828348 1.126544 -2.135621
-2.981119 1.063079 -2.119121
-3.252395 1.056584 -2.124312
-3.003025 1.016913 -2.018688
-3.267562 1.089971 -2.134667
-3.249136 1.158513 -2.122505
-3.007379 1.199792 -2.280007
-3.201814 1.102363 -2.282314
-3.142838 1.168542 -2.240621
-3.194363 1.2011 -2.230885
-2.822863 1.170055 -2.121423
-2.831105 1.123803 -2.037687
-2.751232 1.145811 -2.114111
-3.23941 1.084558 -2.26376
-2.891448 1.126286 -2.190601
-2.473345 1.046102 -2.093291
-2.712013 1.029295 -2.083359
-2.825537 1.141915 -2.047921
-3.050263 1.166601 -2.076156
-3.212527 1.142551 -2.000483
-3.382053 1.078574 -1.985844
-3.383869 1.1287 -1.968886
-3.117912 1.165556 -2.034211
-2.79867 1.196708 -2.121584
-2.976717 1.055493 -2.091642
-2.890545 1.154089 -1.933421
-2.763317 1.115069 -2.027439
-2.856914 1.092258 -1.955266
-2.576913 1.183651 -2.014637
-2.604924 1.260373 -2.066858
-2.855084 1.178592 -2.20153
-2.824025 1.270327 -1.953862
-3.221149 1.208964 -1.980218
-3.017452 1.183374 -2.027221
-2.843427 1.159186 -2.014863
-2.914461 1.259338 -1.986841
-2.698451 1.309681 -1.923002
-2.761485 1.209158 -1.970038
-2.645312 1.16718 -2.062809
-2.761385 1.254127 -1.940416
-3.043419 1.196181 -2.057106
-3.124099 1.308257 -1.944968
-2.900771 1.22542 -1.98801
-3.12035 1.267972 -2.084329
-2.881159 1.310908 -2.091328
-3.058852 1.256339 -2.125634
-2.939528 1.205487 -2.117919
-3.12938 1.308803 -2.083669
-3.053353 1.248825 -2.172409
-2.9631 1.193061 -2.245598
-3.176932 1.26522 -2.313438
-3.075314 1.297702 -2.289093
-3.038306 1.335861 -2.232191
-2.847604 1.3061 -2.253717
-2.785307 1.21416 -2.071613
-2.858216 1.1136 -2.040683
-3.048462 1.082501 -1.986866
-2.926097 1.160852 -2.00253
-3.099564 1.119963 -2.128645
-2.818167 1.042727 -2.183066
-2.757234 1.105027 -2.008981
-2.468545 1.103668 -1.951765
-2.926146 1.156012 -1.974678
-2.537628 1.137064 -2.070568
-3.028427 1.102083 -2.068894
-2.93997 1.133928 -2.050849
-3.266651 1.21757 -1.942946
-3.147876 1.012719 -1.975715
-3.198994 0.9944086 -1.8453
-3.038162 0.9580838 -1.934736
-2.85261 0.8542572 -1.930303
-2.698617 0.9868546 -1.904838
-2.599057 1.11649 -2.229329
-3.076439 1.101207 -2.015135
-3.253215 1.041842 -2.216007
-3.042385 1.073174 -2.28261
-2.886211 1.154022 -2.442457
-3.078058 1.236072 -2.363569
-3.163837 1.298866 -2.35775
-2.845604 1.24824 -2.238534
-3.095025 1.16547 -2.239798
-2.930085 1.167543 -2.289567
-2.961721 1.14264 -2.297428
-3.171309 1.185456 -2.257837
-2.890661 1.151387 -2.275034
-3.094603 1.062447 -2.117514
-2.959346 1.110256 -2.04225
-3.288771 1.157176 -2.068748
-3.285016 1.174791 -2.109792
-3.578002 1.180117 -2.213048
-3.553684 1.212479 -2.452955
-3.192673 1.127319 -2.350987
-3.031924 1.146588 -2.223876
-3.148363 1.179694 -2.317314
-3.305177 1.219977 -2.210758
-3.001001 1.238687 -2.118817
-3.004723 1.212755 -2.337743
-2.995076 1.090083 -2.359498
-2.782523 1.11126 -2.33933
-2.831359 1.11771 -2.344899
-3.215107 1.115674 -2.272079
-2.855266 1.227631 -2.197997
-3.139499 1.191379 -2.27775
-3.388277 1.133906 -2.122818
-3.288519 1.047303 -2.327743
-3.087677 1.162449 -2.31561
-2.922545 1.108761 -2.212433
-3.168055 1.169077 -2.207959
-3.117686 1.107584 -2.071235
-3.190178 1.218473 -2.048723
-2.99391 1.275646 -2.115822
-3.163396 1.183684 -2.132577
-3.168256 1.183374 -2.231009
-3.392429 1.193385 -2.299892
-2.923553 1.193189 -2.344106
-2.885698 1.12599 -2.307203
-2.992399 1.122731 -2.392824
-2.853233 1.052339 -2.35054
-3.304634 1.153956 -2.442096
-3.186532 1.133922 -2.492282
-3.230742 1.163333 -2.47418
-3.059775 1.203292 -2.444811
-3.274179 1.21804 -2.295425
-2.978571 1.169039 -2.334897
-2.650343 1.194226 -2.26884
-2.868391 0.994714 -2.24697
-2.775679 1.128011 -2.252393
-3.218844 1.112092 -2.095788
-3.169312 1.21101 -2.232185
-3.111569 1.213227 -2.226054
-3.047124 1.225193 -2.254537
-3.299014 1.157565 -2.170176
-3.098434 1.139694 -2.061226
-3.283375 1.135481 -2.010536
-3.138956 1.142175 -2.11246
-2.624351 1.07676 -2.136951
-2.721511 1.192234 -2.004469
-2.522009 1.071949 -2.327779
-2.863802 1.160195 -2.109439
-2.864169 0.9982716 -2.202961
-3.086574 1.225489 -2.314671
-3.22231 1.154929 -2.425438
-3.038692 1.142743 -2.214187
-2.970729 1.225475 -2.272642
-3.21527 1.170514 -2.351426
-3.235951 1.122389 -2.354285
-3.010649 1.113967 -2.033629
-3.156602 1.065428 -2.029368
-2.582482 1.069749 -2.124371
-2.589969 1.099339 -2.0693
-2.824866 0.9657552 -2.138382
-2.66537 1.018399 -2.072687
-2.659914 1.014286 -2.141158
-2.84317 1.089294 -2.06439
-3.147693 1.128747 -1.975224
-3.217024 1.181241 -2.007115
-3.120473 1.167065 -2.191296
-3.248669 1.130296 -2.078676
-3.384725 1.092692 -2.089873
-2.757201 1.113086 -2.114066
-2.64167 1.132287 -2.044099
-2.978885 1.127173 -2.014709
-2.555723 1.07674 -2.016146
-2.754433 0.9689228 -2.107117
-2.914905 1.059934 -2.138089
-2.802428 1.022848 -2.04498
-2.762895 1.133013 -2.156471
-2.38699 1.2161 -2.189472
-2.840665 1.245113 -2.090273
-2.856878 1.203429 -2.202827
-3.266509 1.248645 -2.264232
-3.154346 1.208387 -2.322535
-3.185461 1.196761 -2.207279
-3.106283 1.228829 -2.361715
-3.234158 1.259531 -2.369294
-2.964236 1.152089 -2.315218
-2.773815 1.175605 -2.48435
-2.879569 1.243543 -2.461805
-2.85847 1.121834 -2.313586
-2.973891 1.179905 -2.453003
-3.01495 1.24365 -2.478694
-3.218607 1.346518 -2.481061
-3.095656 1.27395 -2.41424
-3.004343 1.335963 -2.323573
-3.181022 1.263601 -2.218009
-3.381807 1.115087 -2.318198
-3.095563 1.158994 -2.262851
-2.637602 1.138372 -2.184566
-2.833201 1.155669 -2.357545
-2.85927 1.123427 -2.288594
-3.050684 1.092533 -2.112588
-2.619218 1.007517 -2.02374
-3.00492 1.039115 -1.940595
-2.982638 1.103834 -2.106851
-2.887374 1.2293 -2.031848
-2.824505 1.212104 -2.133691
-2.817187 1.265503 -2.134648
-2.831306 1.149878 -2.031875
-2.79153 1.076258 -2.071352
-2.821885 1.108042 -2.027112
-2.769143 1.121238 -2.044145
-2.83089 1.071101 -2.036866
-2.944726 1.130548 -2.024629
-3.003363 1.163764 -1.965738
-2.90796 1.13719 -1.951516
-3.022173 1.197568 -2.163088
-2.775543 1.189039 -2.278961
