"Delta_1" "Delta_2"
9.960548 -3.103796
10.91414 -3.094743
10.47987 -3.273931
11.32103 -3.12022
10.44391 -3.107127
10.76394 -3.152764
10.16987 -3.469258
10.94544 -3.248966
10.05957 -3.489167
10.72833 -3.444171
10.81645 -3.726098
9.957005 -3.344541
10.73806 -3.217981
10.33786 -3.380253
10.3142 -3.212796
9.96326 -3.196994
10.54836 -2.826198
10.47096 -2.764128
9.760618 -2.747162
9.595322 -3.204599
10.46993 -3.248223
10.06361 -3.664503
11.08668 -3.674061
10.5229 -3.75042
11.21619 -3.501842
10.70986 -3.370673
10.28243 -3.537946
9.861704 -3.493658
10.93816 -3.196741
11.02839 -3.144059
10.62086 -3.112585
10.44567 -3.301006
11.09944 -3.529416
10.97199 -3.405718
11.06951 -3.356109
10.7872 -3.61109
11.1863 -3.529281
10.86263 -3.690167
10.85255 -3.954925
11.43787 -4.013909
11.03948 -4.089722
10.64247 -3.828444
11.02355 -3.69954
10.96695 -3.653167
10.15626 -3.684614
10.82453 -3.866851
10.53021 -3.812603
10.25609 -3.708401
10.875 -3.817685
11.70492 -3.527782
10.02819 -3.293177
11.21107 -3.157748
10.53622 -3.180112
9.929644 -3.322236
10.38951 -3.032852
10.76752 -3.258039
10.77786 -3.444027
10.85338 -3.315427
10.51652 -2.887388
10.56929 -3.267932
10.94149 -3.515685
10.64053 -3.223627
11.17407 -3.375448
10.10955 -3.130267
10.05321 -3.139395
11.20833 -2.940692
10.17235 -3.125123
10.75805 -3.392052
10.62226 -3.492866
11.57461 -3.666405
11.05143 -3.419772
10.37852 -3.371716
10.87726 -3.24121
10.9646 -3.131856
10.13205 -3.185882
9.974564 -3.308742
10.74439 -3.462608
10.60623 -3.234986
10.47092 -3.450569
11.00805 -3.279946
9.919598 -3.247992
10.99817 -3.461063
11.95324 -3.7811
11.50458 -3.593004
11.10252 -3.768212
10.94123 -3.963363
10.82385 -4.138101
10.51293 -3.532915
10.09116 -3.186242
10.54928 -3.282336
10.41946 -3.132411
10.16646 -3.062196
9.828207 -2.887035
9.740201 -3.083478
9.648296 -2.897729
10.16901 -3.090476
10.60603 -3.096188
10.749 -3.081652
11.15125 -3.115576
11.34291 -3.308284
10.73254 -3.294508
10.14163 -3.417731
9.89138 -3.424613
9.834103 -3.130487
9.676937 -3.40673
10.65724 -3.570383
10.50166 -3.450867
10.2935 -3.817578
11.22986 -3.624299
11.61959 -3.932431
10.65357 -4.140999
11.11253 -3.984393
10.90062 -4.075396
11.17079 -4.043758
11.34414 -3.78623
10.69202 -3.860644
10.54958 -3.899617
10.0656 -3.612404
10.62619 -3.427325
10.57253 -3.46819
10.48629 -3.279004
10.2829 -3.316164
10.49343 -3.100397
10.09329 -3.341424
10.92044 -3.231384
10.69347 -3.173227
10.27919 -3.327183
11.08099 -3.523477
10.58551 -3.388765
11.23803 -3.508865
11.20253 -3.240532
10.49372 -3.180661
10.96231 -3.424381
11.78118 -3.522306
10.57831 -3.295508
10.59618 -3.299336
9.843967 -3.081723
10.68736 -2.800418
9.888085 -3.032483
9.794221 -2.674426
10.49192 -3.152258
10.69635 -3.243792
10.55796 -3.143557
10.37357 -3.006862
10.76239 -3.009017
10.72481 -3.175458
9.728282 -2.994771
9.693964 -2.960305
9.92135 -3.437076
10.57398 -3.414381
10.31897 -3.217832
10.53911 -3.219639
10.916 -3.258083
9.6477 -3.475798
10.04612 -3.376735
10.64626 -3.319215
10.60396 -3.243765
10.29599 -3.06972
10.4123 -3.401675
10.92277 -3.401764
11.16703 -3.165011
10.60582 -3.361789
11.12696 -3.780287
10.73044 -3.701535
