"beta1_1" "beta2_1" "beta1_2" "beta2_2"
21.88995 3.471405 -29.69106 -3.655764
22.30635 3.461277 -29.43302 -3.773984
22.31328 3.941759 -29.65556 -3.805313
22.53985 4.203465 -29.71988 -3.938063
21.83187 3.938798 -29.67931 -3.76798
22.228 3.714978 -29.96508 -3.880622
22.45395 3.821645 -30.15957 -3.777231
21.30265 3.807238 -30.09776 -3.869459
22.38399 3.601174 -29.6287 -3.703577
21.95386 3.619963 -29.83149 -3.842002
22.32876 3.835953 -29.90402 -3.79977
21.50332 3.865249 -29.72201 -3.719348
22.23846 3.660487 -30.03401 -3.921889
21.92149 3.817085 -30.08241 -3.833981
22.55712 3.84673 -29.82486 -3.888944
22.68643 4.042125 -30.29971 -3.734802
22.2951 4.029024 -30.21139 -3.838631
22.33645 3.791183 -29.97991 -3.677051
21.6123 3.535349 -29.92501 -3.842359
21.9953 3.642065 -29.84288 -3.768001
22.38469 4.0063 -29.59037 -3.822326
22.11394 3.775409 -29.86618 -3.858903
22.55286 3.766262 -29.64742 -3.850128
22.18813 3.989964 -29.79994 -3.866
22.31692 3.535202 -29.90241 -3.779909
21.89254 3.778718 -29.75896 -3.746601
21.83177 3.478729 -29.93995 -3.791255
22.21522 3.762504 -29.79295 -4.014794
21.88786 3.715274 -29.82569 -3.866584
21.93321 3.815379 -29.70961 -3.770696
22.40006 4.249924 -29.7303 -3.71485
23.05107 3.597039 -30.13324 -3.670886
22.17612 3.460041 -30.01154 -3.745899
22.16975 3.639219 -29.92562 -3.771689
22.0647 3.836758 -29.95805 -3.730724
22.91617 3.556298 -29.77347 -3.877631
23.12266 4.082373 -29.89424 -3.637666
22.12469 3.534903 -29.99635 -3.841931
22.74054 3.529716 -29.80553 -3.750087
22.82341 3.92446 -29.95234 -3.837815
21.87309 3.900069 -29.56436 -3.720079
21.57985 3.986952 -29.57216 -3.767431
21.82108 4.176304 -29.57333 -4.027641
22.55653 4.239929 -29.87504 -3.856872
22.44966 3.800544 -30.1758 -4.035354
21.73727 3.899994 -29.7422 -3.716314
22.18177 3.904845 -29.90015 -3.900397
21.52347 3.676842 -30.01615 -3.685962
22.42796 3.56376 -29.73554 -3.917115
22.03525 3.502172 -29.74152 -3.917201
22.04133 3.715028 -29.96541 -4.019001
22.30269 3.660915 -30.0045 -3.826531
21.99018 3.955757 -29.95695 -3.696572
22.28047 4.143139 -29.79141 -3.946618
21.71034 4.107545 -29.93436 -3.876746
22.55911 3.722984 -29.83596 -3.721735
22.19345 3.53698 -29.77133 -3.891618
22.3506 3.696741 -29.92723 -3.929209
22.01817 3.461548 -29.81657 -3.754835
21.7826 3.452146 -29.87119 -3.967656
21.67163 3.669306 -29.94452 -3.851929
22.19778 3.716578 -29.8585 -3.898032
22.80258 3.427382 -30.07857 -3.830241
22.11835 3.920267 -29.73672 -3.910298
22.47626 4.166874 -29.74326 -3.560163
22.31211 3.85662 -29.74284 -3.863667
22.27387 4.045487 -30.14771 -3.833013
22.10606 3.801491 -30.12371 -3.793838
22.51454 4.053799 -29.83645 -3.766407
22.13427 3.4072 -29.98137 -3.919819
22.13325 3.335339 -29.70035 -3.961828
22.26484 4.213832 -29.85308 -3.82118
22.2251 3.81549 -30.05946 -3.753877
21.59268 3.974929 -29.9962 -3.77822
22.0713 3.432995 -30.21066 -3.904253
22.55477 3.757954 -30.32376 -3.867649
22.33331 3.896473 -30.17013 -3.881101
21.90777 3.756545 -30.16097 -3.853955
22.31163 3.824979 -30.22893 -3.963541
22.47217 3.907376 -29.85089 -3.738786
22.58972 3.753398 -30.16765 -3.810915
22.36869 3.901022 -29.77629 -3.894437
21.56498 3.690002 -29.87406 -3.751899
22.32307 3.944976 -29.71912 -3.764808
22.12091 3.663729 -29.7359 -3.882395
22.19952 3.782737 -29.74029 -3.888487
22.12295 3.579927 -29.79765 -3.981871
21.95996 3.705014 -29.91989 -3.643433
22.55347 3.765877 -29.55799 -3.972617
21.94296 3.944717 -29.75629 -3.750072
22.96417 3.821156 -29.65135 -3.999658
22.22027 3.918018 -29.52413 -3.970524
21.65739 4.115805 -29.97484 -3.685066
22.24809 3.714374 -29.9265 -3.894077
22.75771 3.758284 -29.82889 -3.913406
22.32667 3.85366 -29.78081 -3.845038
23.06162 4.090141 -29.76753 -3.811443
22.31064 3.695957 -29.82945 -3.959258
21.56333 3.670022 -29.67982 -3.778646
22.74354 3.748466 -29.9278 -3.799175
21.51753 3.966275 -29.75361 -3.890811
22.18214 4.009004 -29.7815 -3.83382
21.98857 4.224483 -29.77551 -3.955987
22.23755 3.836037 -29.60038 -3.862202
21.97129 3.91724 -29.58102 -4.115843
22.56384 4.110951 -29.5325 -3.987758
21.76823 3.845731 -30.10034 -3.898451
21.98011 3.87492 -29.81914 -3.917546
22.23985 3.763101 -29.8718 -3.708812
22.09317 3.920888 -29.88326 -3.728597
22.15327 3.950651 -29.84153 -3.866759
22.42678 3.578306 -29.87284 -3.820086
22.86971 3.836268 -29.915 -3.770731
22.05184 3.928787 -30.07992 -3.970534
22.48139 3.706039 -29.91598 -3.706229
22.63127 3.560668 -29.85471 -3.915622
21.94242 3.558006 -29.94719 -3.844116
22.26859 3.492949 -29.65761 -3.779412
22.64283 4.017932 -29.8458 -3.927852
22.09528 3.554109 -30.22723 -3.850719
22.02081 3.873156 -29.9408 -3.8111
21.97046 3.643292 -29.89307 -3.919511
22.41103 3.675827 -29.61452 -3.673124
21.9072 3.743952 -29.89672 -3.73203
22.24668 3.638788 -29.77938 -3.973344
22.58447 3.893829 -29.67149 -3.748258
22.70054 3.672936 -29.64822 -4.040404
22.63797 3.683621 -29.6983 -3.837958
22.58489 3.933388 -29.74074 -3.978343
22.18479 3.513917 -29.56863 -3.844037
22.47847 3.953482 -29.74395 -3.781006
22.26874 3.849981 -29.83074 -3.864803
21.83893 3.890974 -29.92786 -3.687843
21.76584 3.499391 -29.82694 -3.830867
22.27465 3.464504 -30.10808 -3.83747
22.59926 3.744518 -29.97857 -3.855881
22.34471 3.715213 -29.83893 -3.753288
22.18675 3.96987 -30.02224 -3.895337
22.99961 4.07618 -29.8562 -4.042887
22.1368 3.616532 -29.90063 -3.96456
21.99015 4.041907 -29.76022 -3.856968
21.95285 3.56391 -29.90232 -3.948133
22.06748 3.807534 -29.9557 -3.775292
22.59935 3.746049 -29.77228 -3.989136
21.9424 3.593261 -30.14065 -3.707012
22.28281 3.804704 -30.05774 -3.983365
22.16019 3.493616 -29.8258 -3.893715
22.46011 3.701638 -29.91531 -3.668262
22.94268 3.510342 -29.89383 -3.733209
21.90632 3.770574 -29.69219 -4.00159
22.31307 3.70526 -29.75329 -3.851757
22.66908 3.832607 -29.82175 -3.864689
22.32973 3.646389 -29.96529 -3.892392
21.71584 3.855467 -29.81296 -3.891129
21.72632 3.660237 -30.16685 -3.883322
22.02554 3.570223 -30.11295 -3.867322
22.36888 4.289511 -30.25974 -3.857492
22.57385 3.498643 -29.9535 -3.85865
22.58053 3.617284 -29.97898 -3.875667
22.50651 3.537754 -29.76323 -3.759234
22.02344 3.9966 -29.74172 -3.757183
22.24126 3.70215 -29.68779 -3.880711
22.26573 3.88467 -29.85183 -3.880663
21.98173 3.895351 -29.93452 -4.037153
22.56435 3.981951 -29.82166 -3.925214
22.45312 4.000876 -29.69426 -3.745783
22.22715 3.554693 -30.11184 -3.751833
22.01097 3.571628 -29.85452 -3.841778
22.27002 3.77054 -30.03178 -3.872298
22.35827 3.955381 -29.93579 -3.790514
22.99207 4.039846 -29.94439 -3.907629
22.2419 3.355344 -29.84003 -3.704293
21.88436 3.94227 -29.93764 -3.839455
21.80568 3.889871 -29.99336 -3.815684
22.27675 3.795831 -30.30218 -3.79892
21.89951 3.783502 -30.33636 -3.93486
22.15261 3.619138 -30.06204 -3.894525
22.42949 3.515179 -30.2901 -3.872211
22.00319 4.153105 -30.15286 -3.784029
21.93239 3.774253 -29.90654 -3.920607
22.13194 3.85064 -30.13797 -3.879684
21.99561 4.158545 -29.8586 -3.982163
22.10347 3.283991 -29.86655 -3.951095
22.83065 4.275867 -30.00489 -3.803674
22.30151 3.570512 -29.80975 -3.820074
21.89915 3.323714 -29.9307 -3.740726
22.1521 3.629952 -30.0653 -3.830528
22.19976 3.810088 -29.9475 -3.899764
21.78585 3.831615 -29.95428 -3.738637
22.18067 3.825197 -29.6694 -3.79654
22.2792 4.004711 -29.92325 -3.755075
22.1566 3.989825 -29.74629 -3.837499
22.124 4.209596 -29.66254 -3.904555
22.59171 3.770433 -29.56554 -3.883337
22.38425 3.509859 -29.56163 -3.836335
22.27343 3.640384 -29.6473 -3.854265
22.67649 3.751824 -29.67794 -3.842315
22.67514 3.618331 -29.71241 -3.623315
22.39559 3.746516 -29.75314 -3.77176
22.49758 3.52984 -29.51522 -3.94144
22.45565 3.799377 -29.84099 -3.743788
22.64918 3.821269 -29.82395 -3.674905
22.22261 3.705703 -29.57982 -3.757743
21.70656 4.008362 -29.63185 -3.77905
22.42272 4.084973 -29.8367 -3.791227
22.20237 4.427997 -29.76403 -3.842448
21.74336 3.245307 -29.96795 -3.63556
22.12648 4.169148 -29.74436 -3.778947
22.77352 4.016911 -30.19097 -3.71917
21.85789 3.254224 -29.78866 -3.73785
22.46339 4.286137 -29.77382 -3.759979
22.46485 4.052102 -29.76402 -3.752999
22.32775 3.621736 -29.7292 -3.942668
21.95058 3.334655 -29.76688 -3.875724
22.4712 3.552469 -29.818 -4.017056
21.79974 3.725196 -29.88328 -3.62324
22.33871 3.706195 -29.61085 -3.918623
22.18301 3.639301 -30.13049 -3.917488
22.50505 4.082705 -30.03257 -3.923774
22.49289 3.686574 -30.06466 -3.825864
21.36332 3.569384 -30.04388 -3.969933
22.06899 3.256769 -30.0046 -3.905412
22.15809 3.120217 -30.10999 -3.795407
21.97894 3.834758 -30.20332 -3.766904
22.23769 4.058722 -29.98667 -3.88191
21.94279 3.814444 -30.13581 -3.946202
21.7441 3.913021 -29.99519 -3.794174
22.25971 3.867132 -29.92203 -3.758316
22.12579 3.697047 -30.16052 -3.636377
22.3158 3.712874 -30.30565 -3.822634
22.32267 3.505744 -30.1459 -3.878585
21.96046 3.617034 -30.06325 -3.702639
21.47339 3.998429 -29.98316 -3.670365
22.49268 3.773188 -29.93315 -3.655068
22.03652 3.720162 -29.73703 -3.899877
22.24872 3.617202 -30.03688 -3.612879
22.21325 3.798743 -29.91261 -3.844184
22.71049 3.941999 -30.13509 -3.896114
23.28993 3.85635 -29.9396 -3.81252
22.74581 4.031067 -29.98103 -3.897829
22.34849 3.366201 -29.89855 -4.081846
22.22936 3.909695 -29.89265 -3.766695
22.43215 3.564191 -30.09077 -3.671091
22.06499 3.398523 -29.89181 -3.909036
22.20553 4.012135 -29.88486 -4.049533
22.15036 3.997384 -30.14252 -3.769344
