"beta1_1" "beta2_1" "beta1_2" "beta2_2" "beta1_3" "beta2_3"
-22.08076 -4.240157 -9.63756 -5.794416 0.06459794 4.019855
-25.05979 -1.858545 -9.883019 -4.254513 -0.1531629 3.929066
-22.36325 -4.736817 -10.93477 -5.68769 0.1456799 3.991852
-23.26091 -3.228463 -11.40258 -4.103564 -0.1150101 3.933446
-19.99642 -4.112754 -13.67487 -5.139502 0.2927754 3.982186
-21.91675 -6.577253 -10.29917 -5.596007 -0.07392681 3.929615
-17.00045 -8.097422 -8.841208 -4.770667 -0.03349275 3.929866
-21.54937 -5.500059 -9.498873 -3.659928 -0.1096982 3.988181
-17.58874 -6.675737 -8.650975 -6.008347 -0.1898917 3.940325
-18.69434 -3.890537 -9.348406 -4.809296 -0.1279563 3.927511
-12.71677 -4.799583 -8.316303 -4.967983 1.066394 3.95393
-20.13122 -4.418424 -9.550101 -5.978404 -0.04003579 3.901608
-22.92243 -5.167906 -10.60851 -3.521781 -0.173221 3.925023
-20.17807 -5.832266 -9.13893 -4.672674 -0.1408821 3.936013
-10.18048 -10.39686 -5.045655 -7.439091 0.3147752 3.943564
-15.69595 -6.839838 -9.1538 -4.271707 -0.1538368 3.959108
-15.2556 -2.5796 -8.255432 -4.455273 -0.1030491 3.948067
-16.49123 -6.590738 -8.256905 -6.194106 -0.06155772 3.993764
-22.40003 -5.303005 -10.71466 -4.707083 -0.107423 3.922256
-13.68209 -5.082052 -8.889352 -3.883538 0.0385117 3.997635
-5.507969 -1.755395 -10.90938 -3.73489 -0.1500756 3.934796
-3.869031 -4.63659 -9.840018 -4.056217 0.2746704 3.87395
-14.35531 -10.3061 -9.476399 -5.427597 -0.09226698 3.857637
-16.68058 -3.982171 -9.376187 -3.997343 0.008686214 3.960877
-17.53257 -4.000065 -9.419544 -5.829419 0.06636627 4.03127
-18.64394 -7.351568 -9.356797 -6.00129 -0.06007744 3.91991
-23.78915 -3.835947 -8.286534 -5.944729 0.1010327 3.90111
-23.79223 -4.00146 -8.92152 -5.458628 0.1902845 3.967413
-22.5451 -7.315254 -10.30925 -3.574708 -0.02314717 3.930681
-22.01091 -3.345486 -8.240043 -5.837833 -0.03779892 3.942007
-22.7638 -4.011581 -10.08578 -5.643803 0.020405 3.977903
-23.4283 -3.709214 -10.53667 -5.172186 -0.02074493 4.023146
-23.2038 -3.618555 -8.458496 -5.048549 0.07253112 3.964647
-22.40945 -4.587123 -9.144331 -5.039495 -0.0554645 3.995013
-22.95355 -4.594083 -9.933162 -5.346936 0.1440831 4.046628
-23.31347 -5.160438 -9.258754 -4.559114 -0.02817162 3.983685
-7.227976 -13.54206 -9.498339 -4.120529 -0.06689648 4.028457
-4.014145 -12.47619 -10.74522 -6.23431 -0.05261102 3.999793
-18.99876 -7.80549 -8.653804 -5.893207 -0.1781306 4.009839
-13.96284 -10.30954 -9.195006 -7.077048 -0.08830554 4.026917
-15.28088 -2.272265 -7.967485 -4.582282 0.05419559 3.925719
-23.17364 -4.12007 -9.07422 -5.084587 -0.2020911 3.994489
-19.3396 -3.363444 -5.797691 -4.420835 0.2479367 3.961872
-12.04207 -12.81708 -10.80022 -4.205579 0.1012833 3.987034
-11.60432 -2.629869 -10.3509 -4.161883 -0.1612325 3.96219
-14.81846 -6.755309 -9.561862 -6.007505 -0.01169524 3.996693
-12.12736 -1.086872 -8.191533 -5.224578 -0.06595602 3.959494
-23.07126 -4.364063 -8.658961 -5.111992 -0.2106074 4.032175
-22.94284 -4.31797 -8.514858 -6.698622 -0.05617377 3.980689
-23.09386 -4.265113 -8.391071 -5.111234 -0.234965 3.930606
-21.96628 -5.074963 -9.87997 -2.930162 -0.06560014 4.016072
-23.73949 -5.492107 -6.53077 -4.339409 0.162819 3.998391
-23.62191 -4.599929 -8.984817 -3.409055 0.1512031 3.91018
-25.94754 -3.272456 -8.939704 -5.315369 -0.03547451 3.97515
-22.80037 -4.252674 -7.674291 -5.639965 -0.1894297 4.027407
-22.09891 -4.272112 -7.941159 -5.656256 0.04096863 3.956164
-11.6436 -13.70215 -9.069169 -6.385975 -0.001871661 4.034359
-5.012854 -15.36012 -9.412213 -4.592019 -0.06825892 3.867113
-12.00133 -3.645055 -9.521413 -5.960939 -0.1023082 3.995865
-17.38951 -6.403671 -8.835144 -5.464551 0.06103935 3.904751
-10.50709 -6.308133 -7.956052 -6.707953 -0.1572601 3.875816
-8.38756 -10.07594 -8.678259 -5.299333 -0.2211335 3.967552
-17.71356 -0.7514042 -8.913185 -4.210377 0.06097021 3.939231
-20.67699 -1.799293 -8.428708 -6.361881 -0.1343911 3.920202
-19.56506 -6.604988 -8.031074 -6.499276 -0.3495553 3.96175
-19.19087 -5.168173 -9.503687 -5.665844 -0.1115218 3.974034
-15.82476 -1.696812 -9.200772 -5.297659 -0.2587177 3.95312
-9.126375 -9.259931 -9.255746 -6.048699 -0.1640762 3.92942
-23.26276 -3.867704 -8.475576 -4.7978 0.06389169 3.945261
-23.53549 -3.815828 -9.791328 -4.492094 -0.178924 4.022094
-22.76148 -4.709148 -9.652779 -6.137179 -0.01509967 3.946113
-16.68115 -8.844825 -9.914006 -3.760556 -0.1183374 3.94899
-22.65014 -5.018016 -11.37719 -5.038488 -0.08963652 3.939411
-22.56123 -5.089567 -9.679277 -4.502622 -0.007718065 4.032613
-22.89879 -4.73442 -8.300665 -4.820475 -0.1016921 3.881321
-25.7364 -2.81389 -9.299074 -4.416152 -0.1416146 3.994186
-24.94698 -2.186155 -10.4111 -5.732407 -0.2269392 3.933807
-9.606506 -10.80461 -8.695317 -5.054347 -0.2762118 3.992569
-10.0224 -13.51611 -10.31022 -2.298443 -0.1067438 3.952354
-16.43298 -9.467873 -9.677629 -4.802707 -0.03138022 3.953498
-12.95931 -4.519255 -9.173381 -5.201736 -0.1900069 3.923161
-21.80633 -3.565281 -9.391367 -5.638883 -0.1729844 3.940497
-23.72227 -4.225021 -8.391204 -3.347823 0.09170488 4.023607
-19.18519 -3.468048 -9.118475 -5.11026 -0.2303241 3.995126
-22.70377 -4.769392 -8.081145 -6.920104 -0.2073999 3.935211
-0.3450467 -15.42939 -8.096817 -6.56625 0.2689705 3.973998
-21.90203 -4.183701 -9.055399 -3.036202 -0.05589443 3.965407
-22.92132 -4.360214 -8.943909 -5.824727 -0.1668342 3.961182
-23.98587 -4.417079 -8.199083 -5.518203 0.2330373 3.97755
-21.63859 -4.017283 -9.789685 -5.845369 -0.1334464 3.909001
-22.15237 -3.537419 -11.39149 -4.292613 0.5705186 3.964313
-22.32849 -5.383945 -9.281031 -4.941908 0.03940161 3.935285
-23.34457 -5.141542 -9.777556 -4.845657 0.02053441 3.976064
-19.99131 -4.543154 -9.453718 -4.664378 0.1325557 4.0351
-22.08441 -6.940958 -10.28817 -1.832233 -0.04231339 3.965128
-24.33699 -3.106112 -9.181775 -5.220789 -0.04357767 4.014908
-17.09489 -4.412496 -9.137212 -5.273995 -0.134464 3.932121
-20.38812 -5.055912 -8.899186 -4.701199 0.4140063 3.978295
-7.259228 0.141632 -12.30257 -7.030804 0.04231699 3.915238
-16.40451 -3.630269 -9.305523 -6.059452 -0.1893837 3.986199
-23.06039 -5.046234 -9.098529 -5.657445 -0.1747751 3.931749
-23.47622 -4.564142 -8.703155 -5.508012 -0.266601 3.915492
-21.4518 -6.322081 -9.105429 -2.832579 0.02790741 3.987635
-21.60474 -4.121946 -8.966982 -5.897587 0.02357411 4.013153
-21.24806 -4.466858 -10.00474 -6.679883 0.01656825 4.02607
-23.11016 -4.43128 -9.522617 -4.322713 -0.1636056 3.923929
-22.56297 -5.064796 -12.37507 -4.039088 0.1786445 3.927029
-23.70639 -3.407621 -9.441346 -5.163296 -0.1966691 3.942926
-22.97878 -3.848769 -8.550783 -4.464404 0.2675059 3.912983
-23.5268 -4.014523 -9.142898 -4.321454 0.2323102 3.897292
-21.09252 -5.068058 -9.367174 -5.326186 -0.08650419 3.904072
-22.83529 -5.122499 -9.53235 -3.874526 0.04405186 3.982647
-22.95417 -4.843012 -10.62902 -5.091338 0.1532411 3.888157
-24.77683 -4.567545 -10.01172 -3.737091 -0.06817565 3.953877
-17.76885 -3.034346 -7.870507 -6.258121 0.7365238 3.956059
-11.76973 -13.60363 -7.67995 -5.827173 -0.1075587 3.94555
-12.08303 -8.713493 -9.153657 -6.16042 -0.03958317 3.906163
-10.25027 -5.394302 -8.966537 -5.800828 -0.1146505 3.950971
-10.27474 -6.296858 -7.130966 -6.22097 -0.1000524 4.033083
-14.4384 -4.966901 -8.993112 -5.667766 -0.1073889 3.997722
-17.5424 -5.812586 -10.28601 -3.736195 -0.1800187 3.957063
-12.4479 -9.256381 -9.699278 -6.559647 -0.2648587 4.025968
-11.94118 -14.42176 -9.245866 -4.425914 -0.2024205 3.980502
-20.43415 -4.186555 -7.879975 -5.154423 0.1634419 3.977984
-23.21967 -2.899001 -9.291309 -4.519808 0.05922158 3.940344
-18.11177 -4.591014 -7.928589 -4.837076 0.02765124 4.030384
-21.66294 -4.538151 -8.797514 -5.610036 -0.07998752 3.971537
-13.09124 -7.786896 -8.177266 -4.899684 0.1269438 3.994014
-21.47355 -3.34536 -9.092691 -5.041343 -0.06378144 3.948447
-20.96382 -3.997996 -9.815919 -4.936535 -0.2903929 3.939565
-20.2627 -2.599157 -9.092484 -6.504049 0.06526905 3.887282
-19.34062 -6.274932 -10.04398 -5.22605 0.1570684 4.005109
-19.3773 -7.251104 -9.075917 -4.279939 0.2789961 3.961425
-12.8008 -7.936399 -8.278287 -8.765245 -0.1797083 4.072336
-13.30457 -4.846573 -9.035607 -5.195631 -0.0635185 3.958222
-19.92726 -6.295877 -8.341897 -5.516076 0.1153618 3.905328
-22.13896 -6.424672 -9.056652 -4.730846 -0.1413542 4.002316
-23.03773 -4.699945 -10.19735 -4.953852 0.08515579 3.991838
-22.78893 -4.888146 -10.13575 -4.157893 -0.1952604 3.912552
-22.94185 -3.951584 -11.16981 -4.934675 0.08871818 4.059429
-23.35244 -3.877892 -9.936287 -3.329294 -0.1246354 4.031499
-12.46279 -15.04412 -9.241181 -5.803769 -0.03664294 3.890899
-24.61571 -1.568554 -9.739421 -4.610368 -0.03134015 3.978657
-22.61009 -4.790046 -10.79666 -5.282311 0.1469556 4.01354
-13.81177 -5.431187 -8.874454 -4.818493 0.1808443 3.982914
-18.4122 -3.833313 -8.237054 -6.265477 0.0010432 3.974704
-20.08602 -4.463091 -8.351051 -5.050106 -0.03225934 3.962095
-22.56962 -5.146059 -9.141986 -5.169378 -0.2275322 3.952503
-22.88856 -4.942328 -10.23693 -5.90431 0.1873041 3.949941
-23.83705 -3.674851 -10.02672 -4.296829 -0.004238139 3.967123
-23.73868 -3.858304 -6.476431 -4.17745 0.536933 3.975104
-11.99857 -6.923902 -9.438268 -4.745878 -0.07757582 3.930325
-23.65823 0.6930475 -8.065188 -4.82413 0.5433362 4.03459
-23.09053 -4.794592 -9.024395 -5.251945 -0.1570534 3.922183
-23.60196 -3.817022 -9.603308 -5.807551 -0.1742728 3.924662
-24.75138 -2.425071 -9.949325 -4.292502 0.2263069 3.891767
-23.28305 -4.183221 -10.06338 -5.809047 0.1619538 4.008686
-23.06445 -3.219247 -11.19773 -6.57312 0.1858232 3.973083
-20.52638 -3.917379 -8.629897 -6.49429 0.2912926 3.964664
-20.24353 -5.428713 -9.890505 -3.077521 -0.004762043 3.986529
-16.67287 -4.575002 -9.033218 -4.347894 -0.2882708 3.950522
-17.32263 -6.111109 -9.863059 -6.083545 0.04534002 3.932878
-15.41573 -7.580879 -10.46145 -4.500838 -0.05391227 3.960289
-18.63779 -5.252473 -8.949891 -4.885671 0.08015503 3.983028
-25.4197 2.14938 -8.856402 -5.393413 -0.1040223 3.866009
-22.12118 -1.288775 -9.192758 -6.005125 -0.169623 4.007939
-22.81602 -3.91774 -9.100597 -5.226985 0.1031151 3.962693
-21.84789 -3.709601 -8.55937 -5.267148 -0.07293978 3.870592
-23.39487 -4.601126 -8.598167 -4.640878 -0.07687347 4.010076
-17.14063 -4.341253 -8.889217 -5.1984 -0.1125647 3.888528
-8.374624 -15.48578 -9.34509 -4.713411 0.06661458 3.935235
-11.71987 -8.660971 -9.136851 -5.288808 0.1058304 3.990768
-24.32978 -3.294711 -6.602853 -6.555958 -0.1958299 3.99987
-19.25171 -0.7511599 -9.871388 -3.900896 0.02529896 3.932664
-17.50262 -5.168985 -9.73841 -4.242112 0.08809528 3.916275
-17.32408 -6.247679 -8.804082 -5.021071 0.3007182 3.926946
-22.16835 -5.055211 -9.561037 -3.560397 -0.2195883 3.975831
-21.10194 -5.515258 -9.494913 -5.653104 -0.04181039 3.928373
-24.05237 -2.806815 -9.582743 -3.611341 0.01908724 3.968512
-16.89327 -2.197063 -9.642414 -4.658464 -0.1321354 3.896337
-18.32825 -5.072398 -9.099061 -4.892527 0.1831165 4.024767
-11.22618 -12.784 -9.826155 -4.875429 -0.02413031 4.006668
-11.4639 -3.249377 -9.141349 -6.007255 0.0567681 4.070462
-11.118 -6.799898 -8.370621 -5.280152 0.06176909 3.901806
-18.71307 -7.174858 -9.088858 -5.366394 -0.02131105 3.913439
-19.87022 -3.601271 -9.005425 -5.851355 -0.06248462 3.978757
-24.30018 -2.390217 -9.699675 -5.506402 -0.1098748 3.94076
-22.35807 -4.672183 -9.61613 -4.910819 -0.1080951 4.038557
-22.53873 -3.933112 -9.225473 -5.195101 -0.1159945 3.933011
-23.26233 -4.859988 -10.04391 -4.797302 -0.04416751 3.899541
-22.62707 -7.115275 -9.59878 -6.127753 0.2023041 3.931691
-22.4889 -4.159518 -10.61387 -4.988928 0.01295202 4.025777
-22.35474 -5.849109 -10.20924 -4.912208 -0.1811118 4.030779
-22.7707 -3.904714 -10.36043 -4.33201 -0.1012411 3.956209
-13.85623 -4.694262 -13.08234 -1.481912 0.2259274 4.006953
-17.47423 -6.560399 -10.34122 -1.978861 -0.1185117 3.993913
-20.55261 -3.492903 -8.314971 -4.584118 0.2660656 3.920132
-19.58151 -5.471552 -6.819177 -5.273264 0.3579505 4.003371
-25.26801 -4.382325 -8.825951 -6.357686 -0.1921298 4.001815
-20.26224 -6.215944 -6.968562 -6.217241 2.051876 4.027735
-22.72366 -5.670034 -7.72537 -5.528408 0.04787027 4.021306
-22.46657 -6.874515 -10.34239 -5.545564 0.5577455 3.930079
-21.49121 -3.585175 -9.64813 -4.862199 0.02021627 3.956087
-24.80128 -3.183181 -10.6623 -5.00992 -0.1168344 4.033273
-22.565 -5.367349 -9.729947 -5.952802 0.004769667 3.928919
-11.29526 -6.464777 -6.948452 -5.119418 0.0268642 4.028104
-20.07306 -5.345123 -8.731844 -4.305223 0.1448712 3.968711
-14.38692 -5.010977 -9.83271 -5.567486 0.0641604 3.993906
