Delta_1 Delta_2 
4.646963 -1.233833 
4.254626 -1.259962 
3.929146 -1.417664 
3.713886 -1.185142 
3.498108 -1.640936 
3.262708 -1.488734 
3.656111 -1.604123 
3.625503 -1.716538 
2.945326 -1.678994 
3.314793 -1.795606 
3.520801 -1.624913 
3.495335 -1.330669 
4.043271 -1.457703 
4.412936 -1.481508 
4.578669 -1.342811 
5.232243 -1.297463 
5.607966 -1.855922 
5.625832 -3.018029 
4.611793 -2.859084 
3.12969 -2.84937 
3.218046 -2.69077 
4.132524 -2.421102 
2.989276 -2.446629 
3.566563 -2.463103 
4.684406 -2.509607 
5.423423 -2.529418 
4.756127 -2.238794 
5.135619 -2.482229 
5.05926 -3.000915 
5.439999 -2.191516 
4.69006 -2.023432 
4.333379 -1.777049 
4.138244 -1.686805 
4.991124 -1.739215 
6.035327 -0.7957406 
5.661186 -2.901778 
6.19047 -2.145911 
6.716216 -2.667556 
6.721649 -3.164854 
7.298022 -4.350945 
8.103125 -3.422523 
11.08504 -4.487146 
8.771458 -4.943794 
9.273377 -4.998318 
7.597968 -3.946782 
10.27731 -4.529919 
7.728378 -4.494417 
8.081389 -4.016503 
7.669258 -4.08658 
9.008083 -3.594727 
9.442749 -3.591628 
8.44456 -3.170456 
7.624867 -3.006082 
8.110164 -2.143325 
8.059459 -2.439753 
8.027575 -2.333867 
7.822002 -3.180077 
7.881554 -3.076013 
8.272828 -2.785382 
9.579973 -2.99396 
8.709944 -3.284267 
10.17446 -3.361205 
8.945024 -3.292702 
10.06326 -3.450248 
9.235833 -4.949283 
8.805357 -6.611311 
10.23792 -5.032896 
10.78866 -4.693924 
7.784103 -4.523961 
8.066051 -4.546284 
8.238303 -2.817241 
6.330206 -3.018659 
7.858031 -4.261847 
8.231158 -4.836595 
9.420389 -4.925197 
11.35143 -3.451723 
10.09676 -4.614806 
8.274044 -4.928466 
9.478638 -4.452234 
8.53279 -3.586793 
7.721904 -3.617408 
9.203792 -3.775885 
9.284427 -3.757796 
9.354709 -3.812872 
10.11163 -3.483357 
8.549659 -4.642721 
8.29819 -4.213712 
8.686766 -3.553031 
9.208138 -2.482464 
9.584429 -2.164152 
8.514862 -1.926389 
8.002867 -1.376749 
7.586472 -1.576171 
7.438501 -2.904943 
6.705404 -2.287683 
6.645954 -3.157383 
6.245779 -3.734998 
7.63263 -3.853773 
9.057482 -3.652458 
9.19513 -3.790333 
9.225185 -4.24959 
9.195144 -4.369721 
9.268097 -2.912116 
10.53415 -3.567747 
10.41756 -4.082762 
10.3436 -3.76905 
7.984684 -4.256258 
8.32802 -3.680678 
8.950645 -4.581777 
9.05748 -4.88971 
7.952743 -4.443111 
10.35273 -5.025575 
8.757822 -5.620646 
8.337877 -4.188751 
8.320447 -4.30969 
7.031109 -2.826982 
8.119055 -2.422446 
7.133394 -2.409142 
7.895492 -3.959975 
8.717882 -3.97704 
6.155602 -4.772461 
6.396064 -4.058915 
7.004962 -3.918377 
9.376709 -4.916962 
5.977458 -5.026501 
6.466607 -5.198618 
8.349098 -4.698931 
10.89742 -5.043488 
9.742474 -5.411362 
8.471757 -4.483563 
9.373958 -2.842419 
8.384428 -3.207012 
8.146237 -4.283033 
8.064142 -3.169548 
10.89027 -3.502691 
11.92974 -3.038958 
11.18255 -2.920579 
9.561928 -2.46668 
9.005643 -3.895734 
9.090085 -4.858426 
8.609785 -4.305389 
10.51424 -5.418741 
10.46522 -5.117996 
8.770128 -5.012766 
7.559781 -5.054125 
6.712443 -4.724619 
7.092591 -4.378931 
6.903251 -5.149805 
9.566978 -3.436342 
9.355939 -4.684362 
9.923246 -4.374241 
10.17623 -3.90517 
11.26598 -4.571999 
9.753572 -3.747928 
8.101634 -4.355655 
10.51898 -4.97972 
8.437097 -4.169187 
9.167942 -3.721138 
7.424119 -2.11962 
9.184232 -1.665423 
7.694076 -2.445531 
5.846887 -2.750772 
4.556007 -3.083991 
4.86752 -2.696791 
5.244828 -2.947091 
6.760769 -3.012946 
7.359151 -5.450474 
8.904475 -3.684562 
9.272767 -3.778422 
9.663047 -3.420036 
7.517194 -3.669803 
8.194208 -4.060854 
8.919958 -3.723072 
9.764583 -4.224726 
8.880069 -3.57732 
9.333576 -4.156104 
9.037594 -5.21697 
9.58045 -4.807338 
10.69068 -5.038315 
8.857346 -4.990351 
8.945734 -4.227615 
7.283164 -3.86354 
8.331572 -3.342127 
8.697658 -3.786545 
7.421082 -3.165409 
6.659015 -3.13401 
6.334059 -3.072503 
6.387554 -2.310097 
5.403514 -3.393397 
5.813427 -3.192201 
6.936079 -3.322379 
8.310558 -3.917335 
9.092961 -4.758684 
8.284573 -4.746031 
9.164697 -4.018506 
6.676681 -3.911764 
10.62292 -3.996501 
9.298498 -3.659726 
7.20459 -4.215879 
7.001862 -3.211499 
7.98219 -2.761207 
6.55329 -3.455973 
9.690856 -3.378237 
9.487496 -2.750224 
8.477758 -3.093947 
8.280928 -3.528832 
9.305819 -4.376105 
7.939289 -4.254665 
9.966504 -4.753189 
8.466267 -5.890147 
7.595463 -4.697078 
8.469423 -3.957288 
8.644427 -4.168768 
8.449073 -4.582033 
6.672765 -4.426556 
7.283997 -3.975887 
8.349639 -3.797148 
7.087521 -4.0848 
9.5942 -4.439615 
8.750356 -4.471293 
8.616967 -3.684704 
8.33585 -3.663546 
8.789746 -4.130414 
10.59358 -5.059301 
9.466251 -4.939411 
9.463695 -5.155372 
10.72554 -6.125178 
9.606853 -5.830799 
11.43259 -5.565167 
11.54903 -5.471434 
10.12411 -5.273936 
11.8322 -4.630985 
10.40883 -4.367503 
8.985626 -5.23617 
9.452878 -5.487939 
9.660509 -4.310103 
8.514476 -5.122193 
8.87995 -4.595504 
7.983935 -6.101029 
7.174678 -5.66114 
8.877896 -4.764731 
9.640893 -4.741306 
9.280336 -3.949738 
9.55591 -2.839123 
7.553007 -3.915604 
4.272695 -4.073857 
4.336997 -3.524526 
