"beta1_1" "beta2_1" "beta1_2" "beta2_2" "beta1_3" "beta2_3"
24.31026 10.33634 15.15132 3.694038 -29.74593 -3.990966
17.62478 7.376062 15.26314 4.132881 -29.36829 -3.879125
23.83221 8.245959 15.6281 4.059319 -29.85707 -4.100239
21.52929 12.82497 15.69167 3.163113 -29.54376 -3.568539
23.39924 4.601242 15.67822 3.613648 -30.13435 -3.891172
23.57243 6.122062 15.85532 3.317915 -29.27914 -4.113571
19.32787 10.2264 16.00575 2.907525 -30.23138 -3.793628
20.15818 3.962196 13.44265 3.812546 -29.89677 -3.98185
18.33525 10.02396 15.29421 2.216933 -30.49394 -4.130379
21.27748 2.627334 15.14443 3.253531 -29.85399 -3.935087
20.63157 8.69894 15.4221 2.844653 -29.74993 -3.857651
19.90709 4.468724 13.87366 5.14569 -30.10505 -3.798996
25.71645 1.876721 14.20696 3.751737 -29.92604 -3.948686
16.82222 5.26947 15.61382 2.86867 -29.96542 -3.998791
3.468639 3.441624 14.92567 3.76661 -32.17316 -3.884823
21.41912 5.194681 14.21039 3.375646 -29.57066 -3.843647
19.07231 -1.415522 15.17453 3.726006 -29.96494 -4.022611
19.50337 7.648012 15.69867 4.039637 -30.18637 -3.987696
24.41766 2.818641 15.73882 4.185717 -30.03923 -3.981721
23.14569 9.253091 15.19506 4.341608 -29.91027 -3.903168
12.74796 6.406259 15.34606 7.055867 -30.16508 -3.828223
16.81747 6.044775 15.97727 4.574564 -29.37674 -3.957882
23.54101 6.534328 15.50825 1.930957 -29.6197 -4.136193
19.87153 4.73996 16.19584 3.107689 -30.64957 -4.124598
24.74277 -0.4296904 15.93811 3.991511 -29.35857 -3.80426
17.8574 6.5591 15.46915 3.796968 -29.44146 -4.121369
18.34945 8.276157 14.27775 5.717119 -29.8413 -3.967249
10.54824 -18.51906 18.02052 4.655471 -30.8765 -3.769902
-17.27063 -12.10629 23.65067 4.53975 -31.41392 -4.080196
0.8892413 13.02957 20.41634 4.668942 -29.64002 -3.803693
4.646636 8.891899 18.65816 7.955586 -29.64616 -4.115669
25.38789 13.78747 16.67013 8.747712 -29.5201 -3.996497
14.61952 8.906287 18.18867 6.869411 -30.76439 -3.763174
10.64644 10.95857 15.28177 3.645337 -30.49612 -3.935854
9.941365 9.215339 15.39885 4.013872 -30.10621 -3.739971
22.08399 6.076122 15.45066 2.493876 -29.54557 -3.755067
22.36678 6.743321 14.22951 4.697095 -29.4083 -3.870948
21.68229 2.811485 15.81783 2.701667 -29.49778 -4.051359
18.04658 7.298908 15.15566 4.673065 -29.26247 -3.691736
18.76765 5.412897 15.60713 3.512316 -29.33621 -3.646845
20.66937 -0.3939162 15.818 2.893566 -29.85927 -3.804442
19.66487 2.327131 15.15201 2.664659 -29.80539 -3.920469
28.03732 -1.802667 15.46552 4.062456 -30.1748 -3.992508
20.27704 4.894692 14.93728 3.343626 -29.32716 -4.112213
18.87245 1.419263 14.75983 2.82853 -29.58951 -3.97256
22.2289 4.070862 16.42934 2.884995 -29.24298 -3.987483
16.45758 3.998916 16.81906 3.55798 -29.27024 -3.767165
14.43729 10.22151 15.75744 5.316834 -29.68934 -4.011808
20.65027 0.3920395 15.79694 3.326598 -29.96949 -3.99412
23.75638 2.143209 15.89796 2.784854 -29.85045 -4.112541
18.15179 4.819794 14.76421 4.178217 -29.44644 -3.64523
19.05287 2.435756 16.72202 4.382688 -29.59892 -4.110433
26.81053 2.572368 15.22907 1.563343 -30.6086 -3.923936
26.63689 2.188454 15.11225 2.561479 -30.61931 -4.080069
24.94532 5.539385 15.76638 2.794958 -29.55688 -3.821432
10.89213 14.89783 16.13051 3.159769 -29.43885 -3.837035
28.5018 -4.841352 15.45735 3.517448 -29.57172 -4.03194
25.10788 5.202463 15.94125 4.868377 -29.93488 -3.923122
19.71654 6.593751 16.46262 4.526646 -31.02256 -3.937122
19.26592 14.67118 14.38872 5.240991 -30.85828 -3.902782
12.71507 9.802086 16.04052 3.765482 -29.47697 -4.063769
16.45054 4.673513 15.68805 5.291618 -29.7095 -3.895829
22.27192 8.523808 15.93112 3.382159 -29.30738 -3.84387
24.38266 5.171932 16.14127 3.135291 -29.15796 -3.986784
1.216292 -0.004133071 20.83173 6.003639 -29.60068 -3.945572
-14.13466 -5.446458 20.23466 6.408951 -31.8026 -4.046414
22.99819 5.030498 17.28991 3.07561 -29.87979 -4.010382
28.1452 4.318156 15.59847 3.9814 -29.55992 -3.821089
18.29459 8.42981 15.49924 4.205402 -30.17928 -4.228682
12.05486 18.19179 17.11185 2.512795 -29.67241 -3.910242
23.58927 1.848981 15.55991 3.697042 -30.65521 -3.962986
15.61194 4.287943 14.96422 2.611543 -30.47727 -3.765676
9.00595 6.935692 14.32257 3.677772 -31.30412 -3.974631
21.56147 5.97047 15.5805 3.585259 -29.37096 -4.090923
17.76572 1.266658 16.04664 4.594974 -30.5441 -3.877847
-3.098567 18.15037 16.97206 4.464483 -30.5597 -3.849657
24.29861 5.09199 16.46234 2.893615 -29.51317 -3.982003
21.78207 4.451832 14.49637 4.696314 -30.05305 -3.674826
25.7596 2.226953 15.47665 3.179532 -29.49645 -4.164563
18.53441 8.37035 16.42577 2.497418 -30.18803 -4.068691
15.91356 1.422159 14.11355 3.785016 -29.44437 -4.052852
21.4555 19.73876 15.48224 3.727135 -29.53681 -3.777793
12.08169 7.193692 16.10972 2.587093 -29.94328 -3.762211
15.98341 8.156454 15.84082 2.886877 -29.90432 -3.688042
14.2967 9.4821 16.06423 3.787811 -30.37587 -4.007369
4.537429 -2.297754 19.45233 5.147962 -30.11758 -3.353454
-4.198598 -7.039029 19.81761 4.0195 -30.24638 -3.794199
-6.11816 23.9972 19.46063 4.464529 -30.84696 -3.787637
3.473205 3.71524 18.03096 2.431855 -29.33796 -3.911235
22.40515 10.53446 15.23531 3.00607 -29.81057 -3.933761
21.49945 8.510731 15.37973 4.470409 -29.949 -3.789912
19.01826 6.624676 16.7912 3.724771 -30.19487 -3.578505
18.82868 8.537889 15.35736 4.251825 -29.32867 -3.965027
24.44218 0.4821067 15.26399 4.001298 -29.60317 -3.850501
20.8936 7.083115 16.64184 3.295302 -30.11411 -4.034766
21.05677 6.508828 14.66727 2.478268 -30.00057 -3.926598
20.45034 4.558103 16.96121 2.88621 -31.50442 -3.830552
18.73437 6.808235 16.01132 3.798516 -29.98672 -4.185344
22.84009 7.257682 15.87927 3.717001 -29.52244 -4.142099
11.4309 5.419593 14.49338 2.366161 -31.04358 -3.775002
7.354549 20.03131 20.54016 2.366168 -30.16497 -3.948482
19.02533 10.85198 16.83723 1.782098 -29.62285 -3.862625
25.48868 3.672377 15.47418 3.064162 -29.18877 -3.625889
19.8007 9.068438 15.41485 2.537681 -29.99604 -4.165886
19.54351 13.08916 15.47586 2.578103 -30.26834 -3.776555
8.678549 9.557492 15.77325 2.347901 -29.40494 -3.704349
14.64994 4.700418 15.22055 4.065353 -30.41521 -4.115842
22.5889 4.537021 15.61849 3.147988 -29.78339 -3.96443
17.11496 6.788678 16.20222 2.440217 -29.66119 -3.959648
21.00762 3.72445 15.40954 2.953923 -30.30394 -3.889495
14.77288 8.39231 12.95598 4.426455 -31.00357 -3.933382
20.77355 2.720004 15.06597 2.98265 -29.59454 -3.866698
19.48353 5.895002 15.45996 4.6475 -29.83699 -3.863233
17.33626 10.32955 16.5948 2.973931 -29.98828 -3.967098
18.67299 10.34187 15.45126 4.206596 -29.71621 -4.111059
25.36264 7.489001 15.29029 4.906275 -29.90024 -3.715565
21.60452 3.234134 16.03301 2.973333 -29.49543 -3.961144
25.9818 5.893684 16.00749 2.991446 -29.96092 -3.73657
21.7232 6.982251 16.44623 4.135238 -29.31003 -3.754846
23.65244 3.819787 17.09148 3.889687 -30.21749 -3.836708
21.79506 6.568675 17.15112 2.927876 -29.8581 -3.878661
20.76261 6.235556 14.79732 4.144513 -29.75406 -4.145861
14.15793 3.245996 16.78191 3.74022 -30.10539 -4.0751
22.20921 5.690957 14.95562 5.164508 -29.42856 -3.716202
27.14836 4.587366 16.80745 4.925757 -29.83233 -3.802277
13.77759 -2.292181 13.44722 3.522642 -31.18581 -3.994871
20.62731 7.732683 15.75244 2.792595 -30.07949 -4.027869
16.13113 8.126551 14.84864 3.043009 -29.99948 -3.961739
23.40766 6.355395 16.23962 3.206308 -29.28242 -3.96982
29.05495 0.1848883 16.03265 4.448719 -29.86306 -3.618579
26.13423 0.8666635 15.28718 3.240049 -29.98407 -3.758974
14.45177 9.466728 15.3454 2.392854 -29.76912 -3.886781
23.13488 4.155106 15.95474 3.427019 -29.21237 -3.944108
22.88973 5.130848 15.88896 3.034695 -30.23396 -3.761543
23.6336 0.09859758 17.0661 3.781441 -30.6638 -4.084582
21.38578 3.997178 14.99388 4.143792 -30.484 -3.984631
19.69653 6.196105 16.37874 3.935085 -29.7144 -4.013886
25.85985 8.21578 15.58409 2.257492 -29.87447 -3.795871
19.94661 0.2920506 16.87269 2.045744 -29.91722 -3.826422
9.146381 2.074568 16.25572 3.540579 -31.23721 -4.044578
16.03013 14.04572 15.81051 4.085206 -30.35838 -4.04683
12.89851 5.099496 15.40734 3.336368 -30.08566 -3.870607
