"nu" "alpha"
1.278877 0.1916734
2.240892 0.3354609
2.167409 0.0637012
3.072114 0.1383211
2.068876 0.1666006
3.403544 0.2139448
2.280876 0.2644359
2.895174 0.3386407
2.588904 0.05673559
2.688652 0.3559834
2.669947 0.2333534
2.647657 0.04094572
1.89251 0.4316147
1.680519 0.2355134
4.636182 0.4222502
2.911764 0.06399995
1.988293 0.3211985
4.069348 0.3973026
2.392253 0.3073957
2.146671 0.4947282
1.251492 0.3218873
2.123768 0.4227875
3.698666 0.2846337
2.163601 0.4936811
2.591011 0.2045378
2.793437 0.1868901
2.803304 0.3330624
2.746583 0.4708294
2.169171 0.2834135
2.754259 0.4390629
2.507965 0.3372
2.631809 0.4406584
2.153461 0.4793281
2.889434 0.04874435
1.884066 0.4849237
4.046665 0.3488951
4.417327 0.2102708
2.461906 0.4912743
1.57135 0.4762942
2.684428 0.4902719
3.028429 0.3112434
2.673069 0.1754246
1.912516 0.1430927
2.55853 0.1274845
3.819573 0.4146315
2.250192 0.2908055
2.226365 0.149299
3.629116 0.286663
1.890486 0.4973479
3.313633 0.2847116
2.795717 0.322598
3.101312 0.1017807
1.012095 0.188391
2.1799 0.4041723
2.169886 0.365937
3.507687 0.2900737
2.195977 0.3364588
3.770793 0.4933101
2.235338 0.3421435
2.726527 0.1761852
3.46312 0.3103718
2.075738 0.3337459
1.650165 0.2573596
2.100029 0.1817042
2.007125 0.1932346
3.136568 0.4174871
2.15383 0.4986348
3.593687 0.4969441
3.259334 0.1966837
2.806523 0.3501161
2.515821 0.4331002
3.038556 0.4002267
2.270195 0.1440371
1.722354 0.2069687
2.62797 0.1066891
7.858725 0.1598762
5.124612 0.1962219
3.330604 0.168216
6.164908 0.0504886
3.902967 0.2822146
5.489838 0.2837456
4.975501 0.3108809
5.240709 0.2161175
4.648963 0.1034022
3.764173 0.375968
1.813203 0.1323761
2.733308 0.4909425
1.936319 0.3262714
2.974036 0.06950837
1.43499 0.4164166
4.920195 0.4362757
3.739668 0.2710962
2.757586 0.3999521
4.232253 0.17608
1.729003 0.3561867
5.936505 0.3146372
1.771896 0.1404668
2.508796 0.053615
1.843903 0.3662772
2.438306 0.4757889
4.560768 0.126607
2.608842 0.4487027
2.565803 0.2161752
2.540226 0.2405972
3.174855 0.2197058
1.61759 0.4258942
1.808931 0.3571393
1.464494 0.177668
1.323112 0.2753434
2.649389 0.3852595
2.344598 0.4612948
1.823512 0.3971087
4.13517 0.4481278
5.452891 0.09487106
2.671824 0.4766286
3.178229 0.09031919
1.847666 0.249983
2.739718 0.4929791
3.282009 0.1900666
3.925079 0.3056682
2.831727 0.3079572
2.604858 0.1446359
1.922448 0.3304302
3.975137 0.4015456
3.045992 0.3216836
1.438084 0.05267974
3.585002 0.123368
2.102983 0.3717714
2.292359 0.1322801
4.014943 0.3140332
3.34846 0.451094
2.242397 0.1580662
1.571261 0.3813863
2.58175 0.3508955
3.455361 0.2818157
3.3533 0.3365428
1.86061 0.3346863
2.602222 0.471875
2.346158 0.2511762
2.308561 0.2616514
1.86074 0.2098405
2.328547 0.4650113
2.630721 0.3751027
3.923787 0.1479268
3.489368 0.3928436
2.346125 0.3540567
1.94174 0.2152351
2.085298 0.2704464
1.551552 0.3370761
1.520134 0.4062138
1.953904 0.393391
1.239611 0.3254057
4.615288 0.2280172
2.120085 0.06042564
3.835274 0.3190494
5.008116 0.04031821
3.876289 0.2919616
1.917305 0.08442066
3.19292 0.3033937
3.010748 0.1510662
4.041085 0.217141
2.88394 0.4731544
2.780206 0.425846
1.79075 0.4860537
2.376071 0.493467
1.878399 0.4693333
1.902143 0.4836027
1.650665 0.4789989
2.190213 0.0663429
4.609863 0.4154943
3.813568 0.09960152
2.895397 0.2697112
3.060716 0.3395443
1.887865 0.09315651
5.002483 0.4563108
6.652857 0.04904303
4.835211 0.1437448
2.463725 0.27506
1.445962 0.2232923
1.156959 0.4344481
2.260776 0.4509624
2.898736 0.4233574
2.189262 0.4422724
2.687154 0.4544648
2.315396 0.2429884
3.198968 0.1883229
3.630401 0.2740676
2.231785 0.1478925
2.974578 0.1016507
3.069408 0.3663567
1.870161 0.3239953
2.067098 0.2911383
1.797662 0.4344752
2.030439 0.3224426
2.214762 0.2638597
2.236335 0.05176999
2.082154 0.3015015
2.2353 0.215979
2.582045 0.4205974
2.136505 0.4316993
1.530659 0.2283624
2.536936 0.2812065
2.991489 0.1281893
1.754794 0.3042529
1.397455 0.4536358
3.271297 0.09064502
2.844665 0.2123246
2.324484 0.2370778
2.139313 0.3189168
1.804197 0.4013643
1.695405 0.4026406
1.631367 0.4451501
1.838415 0.2987187
4.572779 0.1650862
2.998023 0.3261001
4.606614 0.2098598
1.786847 0.2602959
2.364847 0.4138103
3.522365 0.3687019
3.638427 0.2094546
3.668395 0.3942839
3.424392 0.4934621
3.004439 0.437141
3.53045 0.3933118
3.452189 0.397135
2.986745 0.1699984
3.12127 0.2732037
1.297273 0.2831683
2.091223 0.4637981
1.916015 0.1371447
2.471362 0.08108569
1.696393 0.4393151
3.364574 0.2496458
2.520915 0.2921064
3.976782 0.3892865
4.014456 0.4130768
5.846143 0.2500281
2.531447 0.1786831
3.597455 0.3342402
2.563411 0.2284745
2.327059 0.2456975
1.931677 0.2484809
4.016536 0.195121
2.898645 0.1621873
3.778955 0.3104784
2.074523 0.3745702
2.338614 0.04138414
1.629321 0.1937338
1.670522 0.3380975
2.846468 0.4435516
1.810779 0.4310272
3.760485 0.3325836
2.982753 0.3290882
3.719193 0.4931095
2.822656 0.08752596
4.233632 0.1169623
2.622417 0.2266471
7.222747 0.09453109
2.301592 0.4525484
5.253491 0.2683016
2.718309 0.3297127
2.866063 0.4304018
5.535756 0.2885174
2.602896 0.3815899
3.171401 0.1988512
2.444436 0.2463713
1.818846 0.3202516
3.273364 0.04883757
1.963072 0.3617488
2.337992 0.4108092
2.303283 0.4726872
3.560754 0.2535593
5.091086 0.2821844
2.276891 0.1440046
2.589166 0.498313
2.392847 0.3978596
2.3079 0.1769819
2.581175 0.4789091
1.873689 0.4793939
2.976068 0.4090832
3.787738 0.3000672
2.908966 0.1288105
2.033652 0.3961254
1.431065 0.1718913
1.710214 0.4502624
2.3408 0.2779787
2.641266 0.2072487
2.199799 0.3163962
2.072106 0.2574358
1.64087 0.4654534
3.744585 0.1577198
3.617978 0.2838432
4.022888 0.03029627
2.45832 0.489001
4.140429 0.3459572
2.524172 0.4816257
1.057795 0.1741157
2.398634 0.3057139
2.919588 0.3713566
3.767541 0.3926662
3.700756 0.172319
4.616975 0.1454721
3.49764 0.3877236
2.004725 0.4995183
1.885756 0.1750684
1.424202 0.4916603
1.454883 0.2333117
1.708643 0.3413984
1.454975 0.4631302
1.649051 0.344661
2.528171 0.4533836
2.88691 0.2105723
3.509613 0.3004376
1.88899 0.4106574
2.358126 0.3044615
2.996233 0.1963153
2.691859 0.2755331
3.609515 0.3540023
2.887768 0.2480107
2.224059 0.2929213
1.766412 0.1873872
1.492812 0.3564486
3.964504 0.1322077
2.264783 0.3323783
1.840886 0.1778066
1.901857 0.344633
2.213533 0.3866699
3.005493 0.3579719
1.509535 0.4309963
1.747987 0.2377287
1.804656 0.2137747
1.953445 0.05729805
2.372655 0.1893289
3.31709 0.2343718
2.250353 0.353957
2.122239 0.3507489
4.096108 0.1996565
2.265637 0.319727
2.014209 0.2799191
2.390245 0.3055144
1.853578 0.05813167
1.524423 0.3056841
1.346754 0.4639605
3.614439 0.4990083
3.090509 0.353966
3.604089 0.2688543
2.627979 0.2958035
2.483776 0.13391
2.661194 0.3740582
1.802365 0.4861238
3.979687 0.3213383
2.119724 0.449919
1.683327 0.0438992
3.548467 0.2748997
2.026724 0.324832
3.48955 0.1875163
2.411624 0.4663905
1.830583 0.2848771
1.435567 0.4148785
2.99922 0.2290352
1.723218 0.363509
1.350998 0.3847504
1.553193 0.282975
2.736956 0.4999203
2.479632 0.2978169
2.690684 0.2925839
2.512064 0.2561717
2.053407 0.4135588
2.852294 0.4130412
2.251216 0.192266
1.625005 0.203371
3.071434 0.3012468
1.450728 0.2889184
1.251386 0.4008887
1.340573 0.3257253
2.176249 0.4427655
3.53188 0.4246935
4.291142 0.2272728
3.233885 0.1058146
1.954267 0.4764739
1.885372 0.4430437
2.244978 0.4655688
2.309247 0.1317044
2.561957 0.4520388
3.977345 0.1895407
3.269117 0.2463872
4.413794 0.4853367
2.452225 0.408776
2.381217 0.1335812
1.685622 0.366725
3.910644 0.4786058
3.288339 0.1485352
1.651931 0.2549325
1.871035 0.4884577
2.801059 0.4020302
3.341127 0.4544261
2.907155 0.4748087
4.910189 0.4010325
5.201357 0.2371514
2.348548 0.2797979
2.685022 0.4837914
6.659995 0.2709467
2.592748 0.141065
2.017297 0.4104505
2.836922 0.3572873
3.498931 0.4718392
2.983325 0.4518928
1.410186 0.1259303
2.839205 0.499671
2.17731 0.3453246
5.649939 0.1763427
3.389907 0.1222414
2.696517 0.2660397
2.297261 0.1770839
2.602966 0.4626033
1.640408 0.1440706
3.114129 0.3813663
1.744941 0.4716457
2.275399 0.3816548
2.484562 0.4096951
2.519822 0.4344199
2.455455 0.490035
2.334994 0.05909676
2.296767 0.191298
1.771858 0.3488667
2.2117 0.3590814
2.513663 0.2316989
1.37256 0.3487576
4.990707 0.1363956
4.055685 0.2455729
3.693895 0.3921823
2.369178 0.4582412
1.315726 0.2632464
1.625271 0.3056478
1.853832 0.4140491
5.079436 0.2937461
1.953679 0.2213088
1.612831 0.1071304
2.580159 0.04507471
2.010042 0.3258617
2.839834 0.3273989
2.763159 0.2560997
3.433143 0.1702581
5.775822 0.466991
2.338774 0.1410588
4.906108 0.3130013
1.880216 0.4798153
1.819488 0.3400351
3.381179 0.3739546
1.799546 0.3207853
2.850611 0.3033789
1.473364 0.2283773
1.720799 0.4629803
2.326215 0.4559391
1.942957 0.07493873
1.276451 0.3187095
2.563372 0.1700983
2.746503 0.322243
2.388261 0.4754302
2.513392 0.4067387
2.539173 0.2957202
2.461625 0.3961752
2.420153 0.1949331
1.836712 0.3130258
2.839994 0.377439
1.574724 0.1865165
2.437743 0.1718947
2.583784 0.2071933
4.370326 0.1780521
2.424754 0.4342386
2.691242 0.1380509
2.434719 0.3976361
2.170607 0.215366
2.261458 0.3464481
1.343311 0.484029
1.831017 0.4762404
2.867938 0.2135397
2.094272 0.4840045
3.154699 0.3516302
1.566539 0.1944343
