tau2_1 tau2_2 tau2_3 tau2_4 
0.647637 0.1913905 255.6434 0.07032642 
0.7824305 0.07543323 32.37782 0.05939661 
0.3344455 0.1428564 358.7967 0.07566435 
0.2827496 0.3679011 15789.24 33.36538 
0.9329738 0.09307254 2715.999 0.1499633 
0.7779309 0.2935779 0.8926671 2.629387 
0.444746 0.1178978 7012.573 0.0562383 
2.068661 0.05960427 1507603544 0.1088003 
0.5076972 0.08674793 850.2264 0.04887351 
0.8344217 0.09395706 898.3148 0.02844962 
0.1198368 0.08931804 71981.33 0.02185856 
1.018137 0.4894152 1.378505 6.606909 
0.3098773 1.040723 1539.236 0.05974385 
0.7997867 0.2776855 1458.233 0.1665248 
0.6399377 0.0640836 0.04701887 1.152978 
0.3538101 0.07979323 201508.8 0.318528 
1.022125 0.3219617 12843.91 0.2329519 
0.6858495 0.4831098 114136.6 0.3151293 
0.8634425 0.2335026 0.1897403 0.04887279 
0.1265091 0.2058079 11.4937 0.1126311 
1.852625 0.08622908 1035.649 0.1590186 
0.174367 0.04248339 617.6486 0.04846575 
1.22833 0.1971522 0.3727613 11299109 
0.2411815 0.4237709 0.529682 1531516 
832.6284 0.07850046 0.1441409 0.2507713 
0.5299784 0.03083435 0.2407327 0.08362705 
40300.65 0.1740291 1.84057 0.08791503 
7619088 0.6034963 0.08068642 0.01075197 
0.7661444 0.1316131 0.05052417 0.03887126 
1.051408 0.4436567 0.6033432 0.1499127 
15.11827 0.1453134 0.7782228 0.2744036 
0.1369625 0.3745219 0.1602037 0.325287 
0.2915463 0.9227428 7.831703 0.1373254 
0.2702122 0.1298998 6.54824e+19 0.1217626 
0.7909641 0.4103203 0.0821127 0.04713306 
0.685216 0.1518487 2.461194 0.1287721 
2.044866 0.3338069 12.6758 0.1226942 
0.459383 0.3557865 7.126714 0.1797623 
0.5362244 0.1917248 2317.588 5.494075 
0.5016861 0.1898633 16.7749 0.3270839 
0.07460909 0.3021334 415.6769 0.06356399 
1.060566 0.139047 2.495562 0.08404177 
0.170853 0.197778 6161.865 0.01366488 
0.6380514 0.2999711 0.5076772 0.5980215 
0.07427415 0.04531906 6.293291 0.247971 
0.06872373 0.2093549 191390160009 0.1520621 
0.9769854 0.08069932 40.00745 0.0786127 
0.4651181 0.06737083 151254.4 0.4054619 
0.2379439 0.1203292 8465.987 0.08503201 
0.8798938 0.09612949 97485356 0.3972029 
1.887215 0.3173135 0.1545676 0.1380779 
1.041864 0.05806466 2395.229 0.1127596 
0.6954182 0.08491055 18.59463 0.09834553 
0.7076689 0.06329807 79.648 1.392904 
0.4413841 0.5939414 2.778395 1869083 
0.4867587 0.1296436 779651.5 0.03762502 
1.470441 0.1661138 0.08285275 0.4445553 
0.08732958 0.6377117 46488458 0.07049727 
1.392737 0.1662519 252.5282 0.02341829 
1.390722 0.2116834 995.1936 0.106913 
0.5237634 0.1056194 0.1943421 0.0769838 
0.5494 0.07757732 133.7644 0.06313445 
0.1626339 0.2057318 0.1245772 0.2491173 
0.8263648 0.3270551 1895.239 0.07362491 
1.530953 0.1923306 6.268924 0.04286084 
0.6297235 0.222492 413.94 19.03741 
0.4382946 0.1423262 189226488913 0.5532101 
0.7901013 0.2069084 2574682641 0.1288394 
0.1934626 0.04599511 0.3349047 0.1131769 
0.1318511 0.05667239 0.2446849 0.2852292 
0.3190194 0.1632306 0.21319 0.6244008 
2.411912 0.1709404 110.9955 0.1415936 
0.09013008 0.04156279 62.18462 0.1063095 
1.287359 0.08690627 1357.682 0.5260281 
1.009371 0.2113801 1132.897 0.05032371 
0.8118452 0.3398876 1779381 0.04375701 
0.1181317 0.250835 0.8067776 0.06911358 
2.293714 0.1585154 0.4785585 0.04455479 
0.310222 0.7456479 3.799464 0.07824655 
0.2851033 0.07434228 175.6829 27.23745 
0.2812417 0.09255537 160936.2 0.9548527 
1.282181 0.1921995 0.369107 8.511901 
0.4535733 0.2945108 2555.337 0.5131698 
0.2285921 0.09977794 80.45538 0.150336 
1.643997 0.2747643 553.6742 0.6677831 
0.4890742 0.5109371 50227.09 0.09734095 
0.3009042 0.2525718 182798855 0.4709819 
0.3337104 0.3033052 15384.04 2.730668 
0.612355 0.3134828 38.00034 2.692088 
0.890385 0.5160824 660.0546 2.401796 
0.8504868 0.03411977 10205701 0.1121189 
0.04340535 0.2235401 318.3106 0.2497038 
0.1479915 0.09894713 267040.5 9.187599 
0.4457439 0.1171824 16.13539 0.1725288 
0.6190212 0.08490923 0.4300344 0.2114215 
0.4951974 0.4374905 12116245 1.558934 
0.09538522 0.07551472 0.6024668 4.51166 
0.07938158 0.1543343 0.05593271 0.09638288 
0.7196812 0.7851289 16853286 0.1402684 
0.7813612 0.305408 0.6559281 0.0731696 
0.2247033 0.3062353 0.260759 0.2120744 
0.9577654 0.03932881 808.0601 0.0313242 
0.05277 0.2088223 0.5250371 0.2466196 
1.348514 0.1790759 6.389802 0.1115502 
0.7827605 0.2654535 155.2169 112.0259 
1.287698 0.05981557 4634622 0.2349624 
