p_1 p_2 p_3 p_4 
0.07893147 0.8818641 0.002817605 0.0363868 
0.1363813 0.7536353 0.01329299 0.09669046 
0.1161447 0.8412322 0.004391899 0.03823126 
0.1096959 0.7704223 0.007240068 0.1126418 
0.1239849 0.8008095 0.01918014 0.05602545 
0.1328376 0.812629 0.001227246 0.05330616 
0.08700048 0.8052219 0.05220721 0.05557045 
0.111797 0.8622274 0.001374918 0.02460074 
0.1690568 0.8018504 0.006873892 0.02221887 
0.1985413 0.7491914 0.01656429 0.03570293 
0.1223338 0.8452305 0.01484466 0.01759102 
0.1562009 0.7378754 0.03442616 0.07149756 
0.1244499 0.8111631 0.01663174 0.04775536 
0.1833198 0.7299654 0.006466167 0.08024864 
0.142214 0.8051035 0.00676454 0.04591795 
0.09055634 0.8231308 0.009238671 0.07707422 
0.134642 0.7678453 0.01494269 0.08257004 
0.1668043 0.7576391 0.007908087 0.06764847 
0.1276276 0.8032736 0.002906021 0.06619279 
0.1058394 0.7986974 0.006806739 0.08865637 
0.2030847 0.7561895 0.00456241 0.03616338 
0.1174911 0.8395573 0.002279676 0.04067185 
0.04357598 0.8744026 0.07805788 0.00396351 
0.04379235 0.8383473 0.1076572 0.01020315 
0.00490791 0.7024205 0.1982085 0.09446307 
0.002915425 0.7703299 0.150301 0.07645363 
0.003255301 0.7803943 0.1560448 0.06030562 
0.04294786 0.6946495 0.1099609 0.1524418 
0.04270168 0.7965658 0.1154855 0.045247 
0.02526693 0.8654738 0.03854066 0.07071865 
0.001462459 0.7736131 0.1511849 0.0737396 
0.07157961 0.8348186 0.0527379 0.04086389 
0.0987731 0.7523581 0.02027364 0.1285951 
0.1399045 0.7720261 0.003619077 0.08445028 
0.08072729 0.8161653 0.002589046 0.1005184 
0.1426848 0.748493 0.006669195 0.102153 
0.1306261 0.7504717 0.01010665 0.1087955 
0.1501071 0.8083304 0.001113143 0.04044935 
0.1037776 0.8350844 0.01310871 0.04802936 
0.124773 0.7826678 0.01143384 0.08112534 
0.07560937 0.7857827 0.03975545 0.09885252 
0.1660068 0.7619848 0.001948467 0.07005992 
0.1153713 0.8292627 0.01902472 0.03634132 
0.1726847 0.7078497 0.005265204 0.1142003 
0.1250302 0.8158671 0.007972667 0.05113007 
0.1500011 0.7993433 0.004637719 0.04601787 
0.1748153 0.7009228 0.02866901 0.09559281 
0.1414942 0.8030735 0.006574652 0.04885766 
0.1933728 0.7262466 0.01163351 0.06874703 
0.167881 0.7717192 0.01630109 0.04409877 
0.173226 0.7301851 0.02977215 0.06681675 
0.1290132 0.808338 0.01393996 0.04870883 
0.1003644 0.8389063 0.02192223 0.03880698 
0.1245142 0.8262177 0.0239007 0.02536731 
0.1652201 0.7207209 0.09383369 0.02022536 
0.1266858 0.7945421 0.002802766 0.07596927 
0.1551423 0.7625111 0.03466974 0.04767689 
0.09718999 0.8422869 0.01888 0.04164309 
0.1495512 0.8036044 0.01617614 0.03066826 
0.1833322 0.7487815 0.01704459 0.05084179 
0.1067227 0.7919796 0.01573805 0.08555971 
0.1273734 0.8131259 0.006100859 0.05339983 
0.1088226 0.7811241 0.01574634 0.09430698 
0.165332 0.7555617 0.02451054 0.05459575 
0.1727496 0.739867 0.001538682 0.0858447 
0.1349562 0.825592 0.02745903 0.01199276 
0.1740988 0.7697896 0.004598232 0.05151341 
0.1596619 0.7824855 0.00329802 0.05455462 
0.1354058 0.7710187 0.002366157 0.0912094 
0.1041909 0.846869 0.01420137 0.03473882 
0.1581168 0.7706858 0.006396675 0.06480073 
0.1602612 0.8069439 0.0002133012 0.03258163 
0.1687205 0.7609133 0.006958039 0.06340818 
0.1897107 0.7195087 0.01524724 0.07553336 
0.09411019 0.8661017 0.01862978 0.02115833 
0.1549365 0.7353288 0.05893439 0.05080035 
0.1240898 0.7616008 0.00953465 0.1047747 
0.10558 0.8400928 0.0156573 0.03866986 
0.07730882 0.8295767 0.03724113 0.05587336 
0.1204995 0.8314568 0.013252 0.03479164 
0.1188011 0.8040519 0.03772057 0.03942647 
0.2055072 0.7572454 0.01656549 0.02068189 
0.1451743 0.7884543 0.04947965 0.01689179 
0.08768553 0.8397552 0.002074524 0.07048476 
0.06795299 0.8693655 0.04133437 0.02134713 
0.1365487 0.7976299 0.02035951 0.04546184 
0.1562957 0.805904 0.01415257 0.02364773 
0.1140523 0.742034 0.07849623 0.06541745 
0.1706476 0.7270214 0.01597772 0.08635327 
0.1575451 0.768152 0.006160415 0.0681425 
0.111186 0.7775145 0.009518706 0.1017807 
0.05859374 0.8535693 0.03261335 0.05522357 
0.07694134 0.8149381 0.009143397 0.09897719 
0.1488896 0.7901623 0.02386919 0.03707888 
