Delta_1 Delta_2 Delta_3 
1.172415 0.9195557 -0.7647428 
0.7496566 0.739133 -0.1442951 
0.7141993 0.5938147 1.172851 
0.5158155 0.6989251 0.2837786 
-1.153523 0.7158541 0.1259744 
1.467075 0.8301562 -2.639409 
1.105285 0.6198764 0.727515 
1.397657 0.7460733 0.6986739 
2.098262 0.6727825 0.9343971 
-2.34679 0.7437304 3.929621 
1.270453 1.050025 -0.6686103 
1.150337 0.9936124 0.7199206 
2.28058 0.7274165 -0.8541875 
0.3211503 0.5506672 3.063255 
-0.8754027 0.5608522 0.3498344 
-0.4585801 0.5831623 0.7187931 
0.06746104 0.7032588 -0.6189487 
-0.2295176 0.7528112 3.596111 
2.152761 0.6979864 0.5290619 
1.19837 0.5369478 2.758715 
-0.2856247 0.5740237 5.370691 
-0.1327389 0.391163 2.983496 
-1.061738 0.3656669 4.25648 
-0.7886226 0.475526 -1.802597 
0.1138646 0.5699034 -0.2848289 
0.2816881 0.78024 2.309054 
1.267958 0.7080948 11.48695 
3.102007 0.8300969 11.06969 
3.801838 0.6400176 1.527387 
3.647481 0.4658628 -0.1088671 
1.769285 0.5768628 1.44569 
2.234759 0.5592574 -1.937637 
-2.567849 0.7217677 -1.328827 
-0.6523491 0.8365523 -0.2126222 
0.5714083 0.9488774 3.084621 
1.928368 0.874558 1.47552 
0.6682052 0.9852776 8.589373 
0.1415415 0.9508049 -1.794357 
0.6515941 0.8897729 -1.304824 
-1.342439 0.9436758 0.7208073 
-1.80365 0.8825271 2.300613 
0.1460062 0.913041 1.923673 
-0.1050936 0.8184262 -0.3910362 
0.2607801 0.84565 -0.3986547 
-2.74065 0.8336611 0.7111708 
-2.078215 0.9361468 -1.598132 
-2.460885 0.9437367 -4.110492 
-1.125218 0.8400998 1.00817 
0.8855738 0.7531988 3.987929 
-1.806487 0.6664904 3.789108 
0.5733893 1.065749 4.106201 
0.4111664 0.9082907 5.573748 
0.5048387 1.077104 8.807407 
1.875315 1.102809 1.71404 
-1.81759 1.225191 0.3286662 
3.281998 0.9478779 3.319643 
5.243833 0.8903523 -0.2135022 
7.13205 1.029408 0.4128364 
3.949286 1.347896 2.865681 
-0.004774123 1.173119 0.4023445 
1.599288 1.129081 -5.042502 
-3.307061 0.9679525 18.49227 
0.4683189 0.9246553 6.826395 
0.6037595 0.9215599 22.55823 
-3.804689 0.9561812 6.318623 
-3.088508 0.734804 3.104673 
-5.60828 0.7725527 -5.035714 
-4.173222 1.034702 11.4511 
-5.182889 0.9218621 -19.73304 
-5.985564 0.7690198 8.64778 
-5.327192 0.7201178 -4.501687 
-4.964191 0.8950199 1.329221 
-3.209365 0.6348201 3.379218 
-4.658607 0.6003039 16.40654 
-2.38542 0.8145678 14.49869 
-1.858224 0.7579154 -1.050356 
-1.230413 0.8832718 0.9091744 
-2.215942 0.8157841 5.905348 
1.43681 0.9048743 5.167287 
2.238487 1.020333 6.797972 
2.46106 1.076576 5.094537 
1.335065 1.002717 12.53113 
0.96613 1.137884 -0.08646385 
-0.1862777 1.039891 15.90421 
1.361773 0.8057563 11.29317 
0.2471608 1.127923 6.734313 
-0.9989327 0.9062326 8.599331 
1.095044 1.11231 0.9368238 
-1.079474 0.9639414 -1.133284 
1.199613 0.9408681 -2.747449 
2.617024 1.076306 1.028387 
0.3322774 0.8263744 -0.2192068 
1.179588 0.792119 0.2206487 
-0.2051488 0.930855 -5.785298 
2.028686 1.14322 9.007085 
2.322878 0.9935503 -0.3540661 
1.160484 1.127744 -3.682993 
1.174921 1.021843 6.063393 
-2.317578 1.302144 1.489958 
3.436514 1.190366 -5.217031 
2.642561 1.167369 7.242665 
1.4661 0.9432026 10.08525 
-0.6524885 0.9766355 -0.8490515 
-3.256861 0.8412618 9.591739 
3.040029 1.054139 16.21783 
1.106275 0.8814823 7.022329 
0.1233629 0.7309275 2.781436 
0.3116167 0.8033228 5.324957 
1.654356 0.6921859 1.631205 
-1.35555 0.5561895 -0.560644 
-0.2240168 0.7472573 2.515304 
0.3321891 0.6540842 2.53599 
0.8421189 0.857612 2.073176 
-0.4117307 0.6927217 3.135468 
-0.5880621 0.814377 1.364551 
-1.262116 0.7978963 -1.687521 
-2.231804 0.7507514 1.050324 
-2.53347 0.5410675 -0.01075642 
-3.156397 0.6284274 1.513557 
-2.013687 0.7966351 0.5100659 
-2.939311 0.8741215 -0.09321156 
-3.694254 0.6892188 -4.846701 
-6.141469 0.8063301 9.440242 
-4.347992 0.6411698 -2.419996 
-6.136895 0.6277235 -9.082204 
-0.6743997 0.7584725 -1.98628 
-2.248526 0.6027299 -0.1598042 
1.422635 0.84333 9.501849 
1.150881 0.7658649 1.47558 
1.083667 0.789088 6.109767 
1.03911 0.7570746 5.27457 
0.8110028 0.8030093 4.504849 
-0.2524821 0.9024539 6.11454 
-1.049955 0.8075395 -0.6620483 
1.165235 0.7818965 2.763011 
3.486971 0.6983194 7.462024 
1.439154 0.9011799 8.909256 
1.907779 0.6428918 7.963655 
0.7225466 0.498395 4.672217 
-2.15553 0.8026819 -0.9341864 
-1.632195 0.7870249 -0.9748974 
-0.03331279 1.287347 5.84821 
-3.603381 0.9793834 25.48587 
