beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 
16.48305 3.271915 29.3546 4.996383 -30.29799 -4.158882 
15.43803 3.951393 28.65843 4.190257 -29.54163 -3.85817 
15.24792 3.120715 28.21817 6.311377 -30.37785 -3.935493 
15.2359 4.236048 29.36436 5.555404 -29.44164 -3.935988 
15.73967 4.249999 29.07836 4.219393 -30.05672 -3.802484 
14.84284 3.555291 29.13061 4.374346 -30.15083 -3.904234 
15.51587 2.682019 29.17113 4.522127 -30.15293 -4.034485 
15.36289 4.221985 29.00517 3.763462 -30.24375 -3.976548 
15.91127 2.395493 28.47504 4.043351 -29.87253 -3.912692 
14.29818 3.743694 28.37758 4.452855 -29.77619 -3.677361 
13.67766 4.647929 28.13649 5.722545 -30.20802 -4.048517 
15.15132 3.694038 24.31026 10.33634 -29.74593 -3.990966 
15.26314 4.132881 17.62478 7.376062 -29.36829 -3.879125 
15.22947 3.843779 26.91257 5.940573 -30.00534 -3.808542 
15.97957 3.790765 26.62492 7.145543 -29.9002 -3.923768 
17.79791 4.447005 28.35088 4.316197 -30.84488 -3.790623 
14.17925 3.763758 30.20295 3.156878 -29.58834 -3.900907 
15.88957 4.11834 29.01854 4.47473 -30.00586 -4.126783 
16.4603 3.029764 28.0513 4.540336 -30.50451 -3.990479 
14.40174 5.804619 29.49723 4.06292 -29.95614 -3.872473 
16.12768 3.2605 28.73884 4.850447 -29.8563 -4.083192 
13.82935 5.848638 28.47451 5.457834 -29.46632 -3.861135 
16.08791 2.949603 30.1617 2.506207 -29.86525 -3.894938 
15.52733 3.056509 28.89999 4.989818 -29.69265 -3.959478 
16.7153 0.9593504 30.65693 5.381118 -29.88836 -4.126289 
16.51884 3.364634 29.20767 4.936298 -30.96238 -4.004791 
14.92178 4.536716 29.25748 4.550024 -29.86759 -3.926614 
15.02221 3.59775 28.5848 4.145456 -29.79066 -3.956849 
16.3786 2.739363 28.54689 4.388565 -30.17641 -3.927263 
16.9107 3.5303 29.27105 4.418539 -29.72832 -3.706215 
15.51382 5.240072 29.39529 4.232735 -29.14506 -3.968884 
15.60493 4.56841 28.7313 4.422509 -29.51257 -4.039226 
14.82404 4.511582 29.11755 4.577846 -29.25438 -3.911714 
15.23258 3.584524 29.42294 4.216629 -29.17136 -4.284729 
15.95775 3.583088 30.2343 4.552622 -32.16775 -3.620409 
14.33102 4.03933 27.27763 6.612397 -29.43475 -3.759638 
16.71375 3.899267 28.96524 4.135382 -29.96425 -4.073053 
15.92689 2.46987 25.13638 6.455927 -30.22876 -3.901901 
15.34135 4.15798 29.21883 4.642656 -29.76657 -4.130672 
15.00814 4.537794 27.66256 5.073054 -30.23041 -3.926766 
15.66117 2.247203 29.40899 4.050466 -30.1697 -4.096649 
15.58886 4.18387 29.71391 4.1399 -29.45162 -3.602349 
15.09792 2.45536 29.77645 4.282125 -29.75621 -3.850948 
15.57782 4.864459 28.72007 4.705411 -29.36724 -3.897497 
15.46883 3.575586 28.03893 5.363721 -30.09297 -3.878978 
17.52852 3.588033 29.75159 3.831616 -30.69819 -3.954396 
15.69992 2.809041 31.68661 2.85652 -29.36023 -4.01965 
16.67571 2.953134 29.81197 5.132429 -30.04629 -4.017941 
17.15025 3.101021 29.40368 4.129329 -29.54854 -3.877642 
15.60233 3.149408 28.8622 4.451987 -30.74104 -3.930965 
16.38766 0.5870921 28.31479 4.797739 -30.02234 -3.616154 
16.20716 4.551424 29.07542 4.374101 -32.14997 -3.947415 
15.70157 4.003595 29.39872 3.832637 -30.2997 -3.784673 
14.81044 2.715878 29.15764 4.283252 -29.87155 -3.956951 
16.20866 3.764279 29.38267 2.421874 -30.56381 -3.998663 
16.07706 4.969925 27.90725 4.394942 -29.43783 -3.900197 
16.56818 3.437044 29.39914 3.688118 -29.55355 -3.798254 
16.06539 3.577577 27.90461 4.342882 -29.10385 -3.707393 
12.6027 4.524081 28.20362 4.180241 -31.29843 -3.781747 
17.3881 4.682373 27.45507 4.794214 -30.28058 -3.686893 
15.79048 4.81122 29.39334 4.791349 -29.65109 -3.990598 
15.18917 2.548029 28.49137 5.932508 -30.34025 -3.965283 
15.46968 2.404992 29.07188 3.824021 -29.54434 -3.920364 
15.99505 2.413577 27.36372 3.846603 -30.1048 -3.880807 
14.8726 4.504279 28.37449 4.562868 -29.89057 -3.750689 
15.16827 3.236731 28.38502 5.060245 -29.6574 -4.134341 
15.7682 3.340703 27.98945 5.77724 -29.26474 -3.797067 
15.55062 1.971882 28.69353 4.638259 -29.76385 -4.064223 
15.8824 3.690117 28.78004 4.842582 -30.20995 -3.931325 
14.97978 4.331386 29.92799 4.928312 -30.30758 -3.963716 
15.38064 3.99967 29.04048 4.683993 -30.13742 -3.820842 
15.19877 3.44045 27.64038 5.249806 -30.10327 -3.91609 
15.52034 3.857731 30.04263 3.013511 -30.15397 -3.850191 
15.29968 4.737907 29.38488 4.14115 -29.90991 -4.048939 
16.16918 2.874746 30.0675 4.532845 -29.67522 -3.825647 
15.45462 2.635312 29.24445 4.650752 -30.3314 -4.029131 
16.51219 3.024017 27.93242 2.17329 -30.83625 -4.024805 
16.22682 4.881718 28.69281 4.301758 -29.61926 -3.926144 
13.52331 3.993 27.64896 -2.525881 -29.86254 -4.081441 
15.24664 3.742867 28.09537 5.090056 -29.58401 -4.11866 
16.01859 3.712739 28.69598 4.583527 -29.35029 -4.119654 
15.48522 3.667442 29.22604 3.648528 -29.39639 -3.825526 
15.88841 3.814935 29.78639 3.973002 -29.59082 -4.021354 
15.49816 3.347545 30.5267 3.608738 -29.7155 -4.098363 
16.52592 2.957507 28.94636 3.833063 -30.21625 -4.197537 
15.36571 3.638614 28.82849 4.751561 -29.43298 -3.986049 
17.06326 3.515743 28.94717 5.227927 -29.57245 -3.840782 
14.97159 3.976141 28.89545 4.171404 -29.50559 -4.120505 
15.84997 4.350818 29.87582 4.075854 -30.18296 -4.144817 
15.6086 2.72091 29.32275 4.74714 -30.5104 -3.940626 
14.57467 3.455681 29.179 4.197773 -30.33973 -3.915062 
15.82122 4.151679 30.0816 3.240464 -29.51544 -3.28742 
15.79236 3.231679 28.5683 4.740073 -29.92908 -3.996686 
16.20569 2.885405 29.44487 3.449729 -30.46193 -3.720508 
15.1415 4.252779 29.63218 2.520425 -29.67019 -3.869414 
15.09973 4.410161 25.49437 7.539968 -29.65577 -3.675551 
15.6566 3.125651 29.21364 4.592674 -29.12418 -3.896869 
16.00219 4.05944 29.54352 4.059446 -29.91373 -3.967126 
15.90322 3.577962 29.0661 4.662962 -29.91693 -3.935373 
16.49601 3.345395 28.14697 5.719249 -29.90355 -3.957349 
14.97713 3.156285 29.21702 3.187625 -30.27999 -3.980499 
13.00785 5.189726 29.11891 4.653196 -30.36792 -4.043716 
15.86372 3.705571 26.25137 5.920254 -30.01506 -3.761924 
15.6281 4.059319 23.83221 8.245959 -29.85707 -4.100239 
14.65179 3.850506 29.87742 4.044164 -30.32001 -3.782297 
16.22471 3.12137 28.95377 4.034689 -29.07896 -4.046135 
16.49036 2.984326 28.75603 3.790864 -30.04095 -4.020514 
15.37741 4.473479 28.81077 6.201792 -30.06334 -3.815768 
15.69167 3.163113 21.52929 12.82497 -29.54376 -3.568539 
15.67822 3.613648 23.39924 4.601242 -30.13435 -3.891172 
