Delta_1 Delta_2 Delta_3 
0.813675 0.8854631 -0.3559007 
1.010339 0.611692 2.633507 
0.8348119 3.735311 0.171241 
0.9577217 -1.730841 -1.145884 
0.9278912 3.887324 1.934727 
0.8888893 0.2429282 -0.6228548 
1.051244 5.422815 -2.564871 
0.8007935 0.7141159 -0.2966632 
0.6808798 1.654677 -0.1428652 
0.713978 -2.014175 1.601084 
0.6125371 7.865934 -0.5355972 
0.6800912 4.589781 0.1895784 
0.8601365 -0.7720495 0.9062865 
0.7867212 0.0430274 1.118586 
0.661393 -2.499969 0.3045195 
0.5931779 1.342958 1.10847 
0.7724622 1.145973 0.1599226 
0.8926711 3.899896 0.8872405 
1.01514 6.258339 1.535903 
1.130476 -9.739062 -0.4206551 
1.226501 -13.52189 -1.863134 
1.18323 -10.74098 1.620871 
1.15723 7.310441 15.83888 
1.340748 3.375747 12.15007 
1.036842 -1.402791 1.246557 
0.8995672 -0.6087836 -0.257791 
1.018118 -1.408752 0.1254509 
1.150781 1.05001 -1.635836 
1.184469 0.8225343 -0.4706327 
1.196869 2.20731 0.6631013 
0.9250239 5.754078 -3.065617 
0.9107293 3.175403 -3.63983 
0.9465884 1.164131 -1.322537 
0.9315636 -10.69402 3.000262 
0.8367054 -4.064421 0.1536285 
0.8058478 -0.9587687 -1.4414 
0.8863701 0.3721304 -1.383884 
0.8220293 -0.08366946 -0.4225921 
0.6273617 3.22392 -0.640033 
0.8506798 2.236546 0.6618981 
0.6944161 1.155604 1.408183 
0.6683943 -0.2580173 0.5223746 
0.5905695 0.2992223 -0.4166542 
0.6842699 6.223253 -2.072282 
0.7739743 3.185554 14.47524 
0.8061497 1.378426 18.21345 
0.9097559 -0.8588209 -3.105678 
1.027432 -1.408372 0.9931101 
1.073869 -1.631004 -0.7921963 
1.018011 -0.0004777932 -3.272006 
0.9565898 2.223991 0.8389696 
0.7413999 -2.467893 3.206299 
1.149078 -0.3429579 -1.37717 
0.9633895 -1.015048 1.042707 
0.6718819 3.575492 5.545356 
