"p_1" "p_2"
0.7808725 0.2191275
0.8046922 0.1953078
0.7842706 0.2157294
0.7857097 0.2142903
0.7986072 0.2013928
0.7843161 0.2156839
0.7827734 0.2172266
0.7761206 0.2238794
0.7928868 0.2071132
0.7810482 0.2189518
0.7956398 0.2043602
0.7822033 0.2177967
0.7669481 0.2330519
0.7747456 0.2252544
0.8171064 0.1828936
0.7785622 0.2214378
0.8103499 0.1896501
0.7744191 0.2255809
0.7812349 0.2187651
0.7797817 0.2202183
0.7646414 0.2353586
0.7847804 0.2152196
0.7782588 0.2217412
0.7705662 0.2294338
0.80516 0.19484
0.7611753 0.2388247
0.7998173 0.2001827
0.7805033 0.2194967
0.7717472 0.2282528
0.7858275 0.2141725
0.7832365 0.2167635
0.7767113 0.2232887
0.7723155 0.2276845
0.7893253 0.2106747
0.7725975 0.2274025
0.7974344 0.2025656
0.7925506 0.2074494
0.7859758 0.2140242
0.7933735 0.2066265
0.7746173 0.2253827
0.8022475 0.1977525
0.7569776 0.2430224
0.7936683 0.2063317
0.7697639 0.2302361
0.7711489 0.2288511
0.7695364 0.2304636
0.7598189 0.2401811
0.7631418 0.2368582
0.7735345 0.2264655
0.7990937 0.2009063
0.7783858 0.2216142
0.8097879 0.1902121
0.78331 0.21669
0.7747363 0.2252637
0.7678133 0.2321867
0.7795807 0.2204193
0.779411 0.220589
0.7880921 0.2119079
0.7795289 0.2204711
0.7922229 0.2077771
0.7702139 0.2297861
0.7806805 0.2193195
0.7900375 0.2099625
0.7629624 0.2370376
0.7596485 0.2403515
0.8121153 0.1878847
0.7656168 0.2343832
0.7700517 0.2299483
0.7817576 0.2182424
0.7461089 0.2538911
0.7878436 0.2121564
0.7895855 0.2104145
0.7804105 0.2195895
0.7946071 0.2053929
0.7738362 0.2261638
0.7926409 0.2073591
0.7716169 0.2283831
0.778865 0.221135
0.7897072 0.2102928
0.7807004 0.2192996
0.7935775 0.2064225
0.777678 0.222322
0.7665578 0.2334422
0.7602415 0.2397585
0.7890014 0.2109986
0.7727927 0.2272073
0.7919357 0.2080643
0.7912203 0.2087797
0.7883831 0.2116169
0.7911416 0.2088584
0.7748038 0.2251962
0.777667 0.222333
0.8023212 0.1976788
0.7881267 0.2118733
0.7676213 0.2323787
0.7660142 0.2339858
0.7849962 0.2150038
0.7774945 0.2225055
0.7932325 0.2067675
0.7951593 0.2048407
0.7720252 0.2279748
0.7675837 0.2324163
0.7921568 0.2078432
0.7742583 0.2257417
0.7752844 0.2247156
0.7914066 0.2085934
0.76429 0.23571
0.7706127 0.2293873
0.7895818 0.2104182
0.7876316 0.2123684
0.7803322 0.2196678
0.7844854 0.2155146
0.7724985 0.2275015
0.7867251 0.2132749
0.7823879 0.2176121
0.8001551 0.1998449
0.7695287 0.2304713
0.7842695 0.2157305
0.7983503 0.2016497
0.8008158 0.1991842
0.7795004 0.2204996
0.7702149 0.2297851
0.7940321 0.2059679
0.7752284 0.2247716
0.7989141 0.2010859
0.7913172 0.2086828
0.7678528 0.2321472
0.7993039 0.2006961
0.7794386 0.2205614
0.7511434 0.2488566
0.7914549 0.2085451
0.7892449 0.2107551
0.7941708 0.2058292
0.7790967 0.2209033
0.7841942 0.2158058
0.7800817 0.2199183
0.7621062 0.2378938
0.7835768 0.2164232
0.7866277 0.2133723
0.7857203 0.2142797
0.7752418 0.2247582
0.8036067 0.1963933
0.7746714 0.2253286
0.7710006 0.2289994
0.7897018 0.2102982
0.8045573 0.1954427
0.7888143 0.2111857
0.7605575 0.2394425
0.7935209 0.2064791
0.7969865 0.2030135
0.7768173 0.2231827
0.7791787 0.2208213
0.7838729 0.2161271
0.7868917 0.2131083
0.7657385 0.2342615
0.7629859 0.2370141
0.7856912 0.2143088
0.7832494 0.2167506
0.7687797 0.2312203
0.7825528 0.2174472
0.7827836 0.2172164
0.7652746 0.2347254
0.7903577 0.2096423
0.7737969 0.2262031
0.7699066 0.2300934
0.7728493 0.2271507
0.7580778 0.2419222
0.7872922 0.2127078
0.7547973 0.2452027
0.7959452 0.2040548
0.7966755 0.2033245
0.7783498 0.2216502
0.7975874 0.2024126
0.7934815 0.2065185
0.7824963 0.2175037
0.7638981 0.2361019
0.7919704 0.2080296
0.8053333 0.1946667
0.7748096 0.2251904
0.7765707 0.2234293
0.7847737 0.2152263
0.7799106 0.2200894
0.7775055 0.2224945
0.7668141 0.2331859
0.79036 0.20964
0.7999538 0.2000462
0.7718353 0.2281647
0.7716126 0.2283874
0.7863527 0.2136473
0.811186 0.188814
0.7895454 0.2104546
0.7859257 0.2140743
0.789072 0.210928
0.7874441 0.2125559
0.782518 0.217482
0.779408 0.220592
0.7871649 0.2128351
0.7827865 0.2172135
0.7641201 0.2358799
0.7681846 0.2318154
0.7847735 0.2152265
0.7775085 0.2224915
0.785426 0.214574
