"Delta_1" "Delta_2"
-2.882538 4.652413
-2.969976 4.599128
-3.029734 5.708272
-3.029196 5.498577
-2.861163 4.769003
-2.751272 4.890314
-2.807968 4.682542
-2.883346 4.361563
-2.910151 4.833892
-2.88992 4.334583
-2.829582 4.52286
-2.815131 3.748984
-2.65213 4.549211
-2.770607 4.982672
-2.874439 4.331452
-2.869889 4.092342
-2.778555 3.874912
-2.799821 5.12542
-2.903601 4.887591
-2.76349 4.798399
-2.962557 4.406172
-2.985975 4.942934
-2.990382 6.161872
-3.120448 4.690505
-3.074705 4.14183
-2.920254 5.13603
-2.926734 4.636293
-2.692217 5.509459
-2.760866 4.954
-2.806537 5.92752
-2.791158 4.414772
-3.076429 4.204861
-2.988648 4.152425
-2.817409 4.638439
-2.77266 3.243414
-2.686422 4.853221
-2.733071 4.23452
-2.754483 3.900002
-2.794784 5.251433
-2.790909 3.96683
-2.681927 4.105713
-2.591672 4.659867
-2.631147 4.657446
-2.665446 4.372264
-2.865309 4.708044
-3.014799 6.44611
-3.169609 5.572135
-3.116694 4.692479
-3.180335 4.978269
-3.252648 5.784679
-3.246974 6.340879
-3.089962 5.924954
-3.185052 5.34598
-3.166831 6.080287
-3.390974 6.187487
-3.39067 6.39924
-3.28367 4.592439
-3.183231 4.616648
-3.061907 4.998701
-3.040503 4.682715
-3.140417 5.903256
-3.117977 5.682344
-3.054586 5.594312
-3.149233 5.358557
-3.11899 5.295762
-2.915669 3.689605
-2.868966 5.610223
-2.981439 5.827106
-2.902809 5.286529
-2.891001 5.227557
-2.915651 4.875622
-2.897978 4.571288
-2.938402 4.488081
-3.060814 4.980064
-3.068388 5.041657
-3.107627 5.052336
-3.040296 5.143395
-3.170601 4.003147
-3.00849 5.369575
-3.06227 4.726277
-2.953446 5.331567
-2.863148 5.236935
-2.806317 4.402117
-2.689696 3.681599
-2.735992 4.350431
-2.667417 4.308736
-2.657087 4.432382
-2.777701 4.693478
-2.724975 5.328349
-2.718911 3.891488
-2.826939 3.442597
-2.942567 3.468329
-2.952706 4.48372
-2.98682 5.211239
-3.031527 5.877951
-3.051109 6.233488
-2.914801 4.601117
-2.7788 5.211986
-2.977001 5.626844
-2.980434 6.026997
-3.073154 4.64264
-3.081205 4.234049
-3.093032 4.103763
-3.265845 5.618958
-3.24776 5.774021
-2.979487 5.596681
-2.874081 5.78467
-2.811815 4.604816
-2.745086 4.623475
-2.800814 4.686621
-2.784431 3.806015
-2.740467 3.511445
-2.786685 4.512873
-2.814651 3.687698
-2.845018 4.177711
-2.812014 4.677217
-2.777909 3.433522
-2.590198 5.007381
-2.711355 4.861808
-2.856053 4.043132
-2.63455 5.17912
-2.537462 4.291999
-2.849937 5.117119
-2.741218 4.689043
-2.728296 3.896693
-2.73965 5.732256
-2.816085 5.688965
-2.821851 5.280267
-2.9624 6.068635
-2.964589 5.446793
-3.012512 6.679477
-2.976274 5.658095
-3.150514 6.118773
-3.051326 5.297756
-2.579517 3.871151
-2.671132 4.928011
-2.591623 4.796083
-2.573333 3.580576
-2.634242 3.716607
-2.629612 4.181332
-2.717192 4.872334
-2.893995 5.259217
-2.809117 5.688008
-2.813962 5.08388
-2.784185 4.484622
-2.800284 5.490701
-2.892277 4.853557
-2.926138 4.570795
-3.125283 4.618984
-3.099793 4.720277
-3.106943 5.44403
-3.172611 5.106162
-3.080349 3.739297
-2.868501 5.74023
-2.756352 5.013258
-2.888887 5.021488
-2.697376 5.242696
-2.707813 4.600636
-2.780081 5.143402
-2.679966 4.787246
-2.784277 5.583107
-2.788392 4.075195
-2.734081 4.334329
-2.703093 4.099737
-2.663715 5.03066
-2.777522 4.247485
-2.775407 4.119378
-2.796292 3.905162
-2.696278 4.305747
-2.800987 4.077616
-2.886998 4.67524
-3.040483 4.637918
-2.951656 4.870538
-3.01361 3.665588
-2.930826 4.528616
-2.925112 5.159117
-2.847095 4.635671
-2.983616 5.11613
-2.950726 5.675837
-2.997403 5.894571
-3.031491 6.327693
-3.02569 4.595965
-3.087832 5.799323
-3.177153 5.58147
-3.101759 5.602625
-3.044552 4.860901
-3.09061 5.418067
-2.974903 5.382407
-2.896615 5.662399
-2.72717 5.467023
-2.591728 5.289487
-2.713848 3.506084
