beta1_1 beta2_1 beta1_2 beta2_2 
-12.43227 -5.276495 -0.1645819 3.932732 
-11.68588 -4.636249 -0.1379639 4.002272 
-13.78925 -6.008824 0.04713884 3.944991 
-15.10993 -4.525096 -0.08771224 4.060195 
-11.00644 -5.662644 -0.1102066 3.945805 
-20.99277 -5.05933 1.334822 3.993494 
-10.51533 -10.36482 -0.113805 3.955927 
-17.34282 -5.692137 0.1473414 3.952255 
-13.08555 -6.427526 -0.1058037 3.997462 
-12.91325 -6.159319 -0.1975091 3.96421 
-12.8221 -6.085268 0.03272052 3.944302 
-13.05435 -4.934655 -0.04536469 3.915374 
-13.47464 -6.51125 0.1625605 3.900364 
-11.86115 -5.479739 0.05533939 3.95372 
-11.36258 -4.42111 -0.1772727 3.929763 
-17.11059 -6.174302 1.351082 3.970321 
-13.00321 -4.867671 -0.186407 3.942005 
-26.41141 -4.051658 1.417372 3.991668 
-13.87429 -2.932816 -0.03396993 4.039878 
-14.83595 -4.792343 -0.02578331 4.020095 
-13.1943 -3.605777 -0.04551629 3.991206 
-13.28431 -5.000971 -0.09575389 3.993688 
-11.28097 -7.669922 0.04355671 3.97119 
-11.45686 -7.671787 -0.07645164 3.999993 
-15.74124 -5.183623 0.05189771 3.930558 
-17.37102 -4.830349 0.1896171 3.819654 
-14.49608 -5.807829 -0.1228029 3.990201 
-14.74489 -4.557349 -0.05762588 3.927662 
-15.17626 -6.226085 0.3862664 3.945985 
-13.1412 -5.311617 0.1148168 3.942057 
-16.01997 -4.108534 -0.06900803 3.979462 
-14.21709 -4.125749 -0.07478966 3.961448 
-44.83037 -4.982553 4.190453 4.040555 
-20.24516 -6.233704 1.173705 4.011511 
-40.94735 -6.074147 5.188583 3.983086 
-14.60864 -3.889319 0.6094745 3.978037 
-15.47564 -4.639664 0.6854095 3.974557 
-13.10634 -4.429125 0.3567851 3.994094 
-13.47165 -4.819939 0.521821 3.938702 
-14.41981 -4.095157 0.7719191 3.975251 
-25.21065 -4.445639 2.188363 3.892398 
-10.51368 -9.498521 -0.2187771 3.978129 
-11.93705 -5.005285 -0.06948599 3.871677 
-12.56294 -6.685857 -0.09498875 3.98133 
-13.22444 -5.077833 0.04997825 3.918552 
-11.6219 -7.406555 -0.2352695 4.034117 
-15.06825 -3.445438 -0.1663601 3.920763 
-11.58855 -4.473781 0.2243273 3.995656 
-12.77365 -4.696866 0.2361786 4.036165 
-13.81012 -4.606185 0.2023522 3.97784 
-10.78462 -9.465223 -0.1609587 3.975029 
-7.850637 -9.272993 0.7516357 4.01817 
-11.58932 -4.479591 -0.06580247 3.973032 
-13.82615 -5.224463 0.1575567 3.93005 
-14.73035 -4.656209 0.1349944 3.923872 
-14.87 -4.570526 0.1134405 3.984103 
-13.74478 -4.70515 0.5208892 4.000545 
