p_1 p_2 
0.6820233 0.3179767 
0.7557931 0.2442069 
0.6958866 0.3041134 
0.7619549 0.2380451 
0.6648268 0.3351732 
0.7530537 0.2469463 
0.7169254 0.2830746 
0.703096 0.296904 
0.774739 0.225261 
0.6437666 0.3562334 
0.6517328 0.3482672 
0.6765691 0.3234309 
0.6763818 0.3236182 
0.6940247 0.3059753 
0.6241158 0.3758842 
0.7059729 0.2940271 
0.623079 0.376921 
0.7108006 0.2891994 
0.6732053 0.3267947 
0.718145 0.281855 
0.6196587 0.3803413 
0.6621597 0.3378403 
0.5819824 0.4180176 
0.6716344 0.3283656 
0.7034627 0.2965373 
0.7092342 0.2907658 
0.6709657 0.3290343 
0.5118692 0.4881308 
0.690404 0.309596 
0.6640219 0.3359781 
0.6870639 0.3129361 
0.6774544 0.3225456 
0.6383979 0.3616021 
0.6176447 0.3823553 
0.6319533 0.3680467 
0.6371255 0.3628745 
0.6819105 0.3180895 
0.6809393 0.3190607 
0.6713923 0.3286077 
0.7598691 0.2401309 
0.7811844 0.2188156 
0.7328443 0.2671557 
0.7403447 0.2596553 
0.711151 0.288849 
0.7846333 0.2153667 
0.7037277 0.2962723 
0.6202098 0.3797902 
0.6592411 0.3407589 
0.6769251 0.3230749 
0.625431 0.374569 
0.6169133 0.3830867 
0.7031784 0.2968216 
0.7391288 0.2608712 
0.7340008 0.2659992 
0.7207441 0.2792559 
0.6999935 0.3000065 
0.685684 0.314316 
0.698236 0.301764 
0.6948182 0.3051818 
0.6565362 0.3434638 
0.6421897 0.3578103 
0.6578764 0.3421236 
0.6914387 0.3085613 
0.7407819 0.2592181 
0.6396351 0.3603649 
0.723769 0.276231 
0.7453259 0.2546741 
0.7364535 0.2635465 
0.7500901 0.2499099 
0.6917752 0.3082248 
0.5940877 0.4059123 
0.7167096 0.2832904 
0.6853079 0.3146921 
0.7156212 0.2843788 
0.8059115 0.1940885 
0.6540055 0.3459945 
0.7277154 0.2722846 
0.7512847 0.2487153 
0.7649297 0.2350703 
0.7269219 0.2730781 
0.6866363 0.3133637 
0.6104005 0.3895995 
0.7117748 0.2882252 
0.7237288 0.2762712 
0.708962 0.291038 
0.7471309 0.2528691 
0.6389849 0.3610151 
0.6598557 0.3401443 
0.7874527 0.2125473 
0.6978186 0.3021814 
0.6830555 0.3169445 
0.6836725 0.3163275 
0.6547412 0.3452588 
0.6769461 0.3230539 
0.7302129 0.2697871 
0.695038 0.304962 
0.6328843 0.3671157 
0.7449638 0.2550362 
0.7070319 0.2929681 
0.6883329 0.3116671 
0.6175114 0.3824886 
0.6749838 0.3250162 
0.704124 0.295876 
0.6471752 0.3528248 
0.7046716 0.2953284 
0.6933403 0.3066597 
0.6014005 0.3985995 
0.8040728 0.1959272 
0.6947265 0.3052735 
0.6055509 0.3944491 
0.7048668 0.2951332 
0.7395597 0.2604403 
0.7752088 0.2247912 
0.6951944 0.3048056 
0.7518234 0.2481766 
0.6888691 0.3111309 
0.7780175 0.2219825 
0.7518875 0.2481125 
0.7214425 0.2785575 
0.6757704 0.3242296 
0.6901514 0.3098486 
0.7846607 0.2153393 
0.6819068 0.3180932 
0.6762116 0.3237884 
0.7210384 0.2789616 
0.5928789 0.4071211 
0.642819 0.357181 
0.652221 0.347779 
0.6279751 0.3720249 
0.8001195 0.1998805 
0.7220884 0.2779116 
0.7039264 0.2960736 
0.679199 0.320801 
0.6497923 0.3502077 
0.757171 0.242829 
0.7831822 0.2168178 
0.7355938 0.2644062 
0.644976 0.355024 
0.6605219 0.3394781 
0.7470765 0.2529235 
0.6984613 0.3015387 
0.775888 0.224112 
0.7045042 0.2954958 
0.6473167 0.3526833 
0.6059509 0.3940491 
0.7556809 0.2443191 
0.6638358 0.3361642 
0.743903 0.256097 
0.7634372 0.2365628 
0.6147629 0.3852371 
0.8135947 0.1864053 
0.6932995 0.3067005 
0.6522454 0.3477546 
0.7209483 0.2790517 
0.7555768 0.2444232 
0.6497355 0.3502645 
0.7915656 0.2084344 
0.732847 0.267153 
0.6582511 0.3417489 
0.6916409 0.3083591 
0.5817896 0.4182104 
0.7100276 0.2899724 
0.68535 0.31465 
0.6547334 0.3452666 
0.6583682 0.3416318 
0.6968991 0.3031009 
0.6450191 0.3549809 
0.6439496 0.3560504 
0.6550658 0.3449342 
0.7729292 0.2270708 
0.697477 0.302523 
0.6410786 0.3589214 
0.5652554 0.4347446 
0.5897426 0.4102574 
0.6626071 0.3373929 
0.6895683 0.3104317 
0.5663257 0.4336743 
0.6921449 0.3078551 
0.6897212 0.3102788 
0.7319405 0.2680595 
0.6883132 0.3116868 
0.6433299 0.3566701 
0.7162074 0.2837926 
0.7282475 0.2717525 
0.6624509 0.3375491 
0.7746659 0.2253341 
0.7165662 0.2834338 
0.731339 0.268661 
