Delta_1 Delta_2 
7.025264 -2.708455 
8.159212 -2.835224 
7.705688 -2.474417 
6.754429 -2.232695 
2.684345 -2.086492 
2.7047 -2.031363 
4.493251 -2.783268 
4.795492 -2.90171 
3.975849 -2.363888 
4.025083 -2.385296 
4.197373 -2.399535 
3.980423 -2.391381 
3.697019 -2.077913 
3.877478 -2.617849 
5.969899 -2.583231 
6.313629 -2.790575 
6.542593 -2.3207 
4.873552 -3.006817 
5.952243 -2.604276 
4.874747 -2.435035 
4.821614 -2.543443 
5.218597 -2.346129 
4.282012 -2.120679 
4.521747 -2.581735 
5.971006 -2.184903 
5.287436 -2.523787 
4.20451 -2.651678 
2.677895 -1.636252 
2.276762 -1.987273 
1.481471 -2.298017 
2.010447 -2.365743 
4.39994 -2.644289 
3.326676 -2.695753 
2.557595 -1.95317 
5.417707 -1.858369 
6.32579 -1.634889 
5.849201 -1.886961 
6.277445 -1.749289 
4.216252 -1.922071 
3.855237 -2.661744 
2.990025 -2.515643 
3.219299 -2.274687 
2.928762 -2.353798 
2.50607 -2.492339 
5.866161 -2.541257 
7.146051 -3.293088 
7.131972 -3.746328 
7.77118 -3.957192 
6.969689 -3.23316 
4.325196 -3.338592 
6.902677 -3.838164 
3.44881 -3.434137 
5.983768 -3.566579 
7.499054 -3.549884 
7.012325 -3.632863 
4.973939 -3.524663 
5.706378 -3.154694 
2.101556 -3.192669 
2.511433 -3.206105 
1.756595 -3.348555 
3.514072 -3.714314 
5.542759 -3.22096 
5.630839 -3.266648 
3.902065 -3.633648 
4.118696 -3.594716 
7.661302 -3.323944 
7.34184 -4.048803 
7.683542 -2.48995 
6.067825 -2.384102 
6.109297 -2.811061 
4.470054 -2.648362 
2.345622 -2.417278 
3.35348 -2.639294 
4.821398 -2.651907 
4.018431 -2.808513 
2.528375 -2.506477 
4.405057 -2.915559 
4.624329 -2.568563 
3.761861 -2.562921 
4.462477 -2.792424 
6.657347 -3.478146 
6.241137 -4.046499 
4.094334 -3.728459 
4.080229 -3.212205 
5.070174 -2.647641 
4.017353 -2.743033 
4.123926 -3.052679 
5.1114 -2.549904 
4.523229 -1.765435 
2.263396 -2.268926 
2.159103 -2.610287 
2.191199 -2.827576 
6.304313 -3.194044 
5.877661 -2.898599 
6.274994 -2.558687 
6.322524 -3.109641 
5.908007 -2.968216 
5.674517 -3.130516 
5.43128 -2.688276 
5.567954 -2.58832 
2.785974 -2.27133 
2.086702 -2.42237 
3.038259 -2.136971 
2.489069 -2.525516 
3.322768 -2.094079 
3.491957 -1.830612 
1.828741 -2.376837 
5.398245 -2.464884 
5.117444 -2.363943 
4.005284 -2.30903 
4.664654 -2.045458 
4.856431 -3.043627 
3.465493 -2.542335 
3.783174 -2.791653 
3.918921 -1.897198 
2.458409 -1.614716 
3.362214 -1.872175 
2.368354 -1.945265 
3.036727 -1.240794 
2.946677 -1.370289 
3.86784 -1.187178 
3.180495 -1.826529 
2.44189 -2.315865 
3.528101 -2.021575 
5.046038 -2.78731 
5.397592 -3.216448 
6.393114 -3.043446 
6.98338 -3.662849 
6.248403 -3.844057 
6.329841 -4.363712 
5.353705 -3.645966 
4.135728 -3.357902 
4.197601 -3.006295 
3.96939 -3.311097 
4.713842 -1.983165 
5.2181 -1.895215 
5.455955 -2.189278 
2.065097 -2.669335 
1.461632 -2.225762 
1.324519 -2.123701 
2.73389 -2.856565 
3.671084 -2.706241 
3.460366 -2.966162 
4.237289 -3.308472 
3.853504 -3.124692 
5.842521 -3.937832 
5.742113 -4.101906 
4.659705 -3.979106 
5.671158 -3.762571 
5.618322 -3.646002 
7.421204 -3.560027 
6.935882 -3.542249 
3.210857 -4.606715 
6.154411 -4.601237 
6.811063 -3.987306 
5.067738 -3.581369 
5.530354 -3.197379 
7.519491 -3.153798 
9.221533 -3.632187 
2.772815 -3.221692 
4.611123 -2.692286 
6.985257 -3.200045 
5.708107 -3.144722 
6.916089 -2.897037 
7.902497 -2.670264 
4.9581 -2.746992 
4.514762 -2.702624 
4.417213 -2.021374 
5.181807 -2.190175 
4.8858 -1.998128 
4.42884 -2.424112 
6.38532 -2.616226 
3.63405 -3.013627 
3.974165 -2.200707 
4.201545 -2.769812 
2.065592 -2.377061 
4.640593 -3.065311 
4.655332 -3.461783 
6.819863 -2.81517 
4.881548 -2.75451 
5.915008 -2.873113 
5.207271 -3.145617 
4.656539 -3.010575 
1.319511 -3.121499 
4.794992 -2.781751 
4.660131 -1.944557 
2.403765 -2.367595 
4.036227 -2.443738 
3.812657 -2.706038 
4.518868 -2.984874 
3.978439 -2.437906 
6.427469 -2.296461 
4.289053 -1.909216 
4.887416 -1.84025 
4.215299 -1.81245 
4.026509 -1.777565 
3.981382 -1.594072 
2.151262 -2.136662 
2.767237 -2.308037 
4.920064 -1.981902 
3.289345 -2.268168 
4.69771 -2.633793 
3.579788 -2.79463 
6.89383 -2.796472 
5.905935 -2.919207 
7.272129 -2.511621 
9.201293 -2.939547 
6.926146 -2.822577 
6.905265 -3.090737 
6.828913 -2.353975 
7.640308 -2.06273 
6.494764 -4.238567 
2.36033 -4.390844 
5.144762 -4.363505 
6.621206 -4.219602 
5.496492 -3.263358 
5.795619 -3.27527 
4.935373 -3.537225 
4.687467 -3.840553 
4.584451 -3.202857 
3.862213 -2.803817 
2.872341 -1.535875 
2.742646 -1.896547 
2.529663 -1.90366 
4.654472 -2.652071 
3.498318 -2.54319 
3.920534 -2.422575 
4.35562 -2.566856 
1.760162 -2.092461 
1.681032 -2.202372 
3.147614 -2.465643 
3.587856 -2.873506 
3.234626 -3.321094 
2.197669 -3.514428 
2.871812 -3.715362 
4.044515 -3.692576 
6.895042 -3.768255 
6.647871 -3.382619 
10.45604 -3.422767 
