"comp1" "comp2"
-0.06566249 -0.01754312
-0.03935609 -0.02600341
-0.01684449 0.004359659
-0.05000283 -0.01324349
-0.06102404 0.02175553
-0.07811229 0.02636814
0.04805361 0.01427559
-0.005069642 0.01526436
-0.01094384 -0.005854556
-0.02975652 -0.01482278
-0.04417391 0.001613542
-0.09058551 -0.002483237
-0.03448699 0.01974785
-0.09051658 -0.008483619
-0.03056617 -0.02964978
-0.02101104 0.008204068
-0.0132707 -0.01776538
-0.03983472 -0.0120211
-0.05148459 0.0008889342
0.1533495 -0.029669
0.08140614 -0.002059587
-0.006562158 -0.02711251
-0.0078106 0.01604854
0.0009967248 -0.01518017
-0.09461605 -0.003506429
0.04402876 -0.009680296
-0.02214562 -0.005872406
-0.05325601 0.006390319
-0.05693993 0.004887655
0.002106651 0.004146766
-0.04557839 0.006985903
-0.008702853 -0.03733965
-0.07713211 -0.01922936
0.03795961 0.01518105
-0.1286996 -0.02758569
-0.03753321 0.002820326
0.0216478 0.006179108
0.004339998 -0.01755969
-0.07291008 -0.0260232
0.006003096 -0.03976592
0.06728405 -0.01821617
-0.1042058 0.02753706
-0.02488966 -0.01145659
-0.0691817 0.01617042
-0.07487086 0.001158981
-0.005582886 -0.005396377
-0.01167152 -0.01949718
0.01046061 0.006642094
0.1227044 0.01997559
0.03234546 0.0130734
-0.09866768 -0.006955098
-0.008036775 0.01712407
-0.03865701 0.01416617
-0.0225621 0.009962916
-0.01478457 0.001726308
-0.02703324 0.01299409
-0.01946234 -0.005818019
0.005279454 -0.00817796
0.05329277 -0.01666805
-0.07769021 -0.004255695
0.0567551 -0.01999316
0.07829762 0.02407169
0.001389921 -0.007079277
-0.06428753 0.002221268
-0.1546093 0.005183746
-0.08485402 -0.0003204874
-0.05758952 0.01426047
0.0641736 0.002276948
-0.001541941 -0.01240108
0.02897587 -0.00571052
0.09691452 -0.005029189
-0.05072675 -0.006185172
-0.1102923 -0.0001068046
-0.06846303 -0.03171999
-0.03344301 0.01040197
-0.03585883 -0.02232806
-0.1133347 0.01215648
0.1161908 -0.02395878
0.02501768 -0.01565702
