"beta1_1" "beta2_1" "beta1_2" "beta2_2" "beta1_3" "beta2_3"
14.8352 4.044337 -30.109 -3.857079 30.11072 3.986761
14.84016 4.028477 -30.17142 -3.844157 30.17449 4.006852
14.8672 4.021601 -30.27435 -3.809185 30.13769 3.964133
14.7719 3.911414 -29.76067 -3.770215 30.16648 4.011177
14.84794 3.964281 -29.78733 -3.951594 30.0547 4.017132
14.8916 4.008937 -29.84741 -3.614884 30.03388 4.037522
14.7154 3.958598 -29.90836 -3.845935 30.21275 3.986244
14.90776 4.011258 -30.01491 -3.700314 30.13206 4.006585
14.81505 4.124432 -30.03511 -3.911433 30.17585 4.014744
14.82337 4.018094 -30.05251 -3.823346 30.20509 4.022545
14.88704 4.035075 -29.9679 -3.918695 30.16707 3.992071
14.99709 3.929731 -29.9591 -3.606915 30.15192 3.993187
14.60868 4.000281 -30.40868 -3.726288 30.13051 3.962481
14.7556 4.028919 -29.97205 -3.854076 30.11844 4.019609
14.56816 4.051571 -30.07571 -3.774163 30.09375 4.043307
14.81634 3.984342 -29.7745 -3.770296 30.06118 3.977385
14.85914 3.932147 -29.82005 -3.9705 30.10674 3.964298
14.74831 3.995353 -29.86541 -3.81626 30.12275 4.017181
14.723 3.998595 -30.08902 -3.831412 30.10541 3.970837
14.9419 4.004864 -29.99586 -4.026147 30.07599 3.972893
14.82008 4.061294 -29.96769 -3.636693 30.11484 4.022595
14.88267 3.977159 -29.79238 -3.854985 30.15308 3.996073
14.97752 4.007598 -29.53163 -3.833499 30.08159 4.028031
14.83949 4.047067 -29.75607 -3.718972 30.12305 4.025581
14.74754 3.937503 -30.01312 -3.640514 30.17626 4.050942
14.9972 3.956 -29.60247 -3.839139 30.07321 3.990921
14.90103 4.067495 -30.02668 -3.919377 30.18022 4.033948
14.91026 4.047005 -29.96585 -3.711069 30.2741 3.992848
14.98278 4.045652 -30.07783 -3.93977 30.26973 3.967753
15.04599 4.063883 -30.15019 -3.76343 30.20963 4.05474
14.86813 4.082407 -30.30696 -3.939508 30.23192 3.996135
14.85585 4.011678 -29.74066 -3.830029 30.21058 4.040524
14.94602 4.013951 -29.80303 -3.761008 30.17068 4.017223
14.87773 4.088003 -30.03852 -3.618196 30.14316 4.000962
14.85441 4.004899 -29.93562 -3.922196 30.10613 3.987056
14.7006 4.019544 -29.94238 -3.833993 30.20391 4.041069
14.8555 4.005688 -30.22431 -3.767275 30.23628 4.028592
14.88378 4.049016 -30.32618 -3.77238 30.25621 4.023702
15.04606 3.998288 -30.28104 -3.79354 30.15529 4.0241
15.01277 4.053184 -30.0664 -3.920899 30.039 4.00325
14.85034 4.064236 -29.87116 -3.740136 30.07994 3.95754
14.89831 4.031621 -29.89315 -3.78987 30.11061 4.050181
14.8683 3.969934 -30.18809 -3.746961 30.21044 4.001862
14.97744 4.077102 -29.91544 -3.662544 30.07013 4.017895
14.67066 4.012226 -30.03265 -3.972675 30.16114 3.972118
14.95961 4.021846 -29.88714 -3.749955 29.99538 4.014081
14.79157 3.964478 -29.81428 -3.893451 30.1175 4.007164
14.96351 4.022163 -30.08252 -3.85887 30.06389 4.01874
14.94322 4.011464 -29.95263 -3.681969 30.11271 4.019907
14.9807 4.000575 -29.91584 -3.911216 30.13295 3.985676
14.75986 4.055879 -29.94521 -3.777195 30.14824 3.995497
14.93578 3.999597 -29.92253 -3.948407 30.10871 4.00167
14.63394 4.037466 -30.21363 -3.756769 30.19713 3.996019
14.96564 4.058229 -29.86559 -3.90449 30.0572 4.005954
14.92804 4.022802 -29.69889 -3.741415 30.0874 4.023692
14.89948 3.981338 -29.80826 -3.773607 30.18008 4.019999
14.96049 4.031376 -30.10023 -3.727752 30.18691 4.013905
15.00873 4.041904 -30.14011 -3.719869 30.15975 3.95871
14.86311 3.98108 -30.08963 -3.675445 30.18337 3.994787
14.9135 4.100453 -30.25454 -3.803718 30.01298 4.033547
14.7288 4.064452 -30.5874 -3.674057 30.06019 4.050102
14.99765 3.970622 -30.03729 -3.748772 29.93967 3.971329
14.90912 4.014108 -30.10574 -3.785259 30.16415 4.000148
14.87746 4.081458 -30.12457 -3.717473 30.26825 3.996015
14.96653 4.020967 -30.16609 -3.753866 30.16095 4.02497
14.82841 4.067706 -30.17048 -3.951507 30.23077 4.028951
14.91519 4.031066 -30.13601 -3.825071 30.23809 3.961511
15.07111 4.040641 -29.90436 -3.91729 30.21908 4.029111
15.08105 4.062511 -30.02165 -3.823301 30.23952 3.983115
14.84128 4.075035 -29.97975 -3.848728 30.20118 4.024806
14.98759 4.00145 -29.87461 -3.960979 30.16609 4.023777
14.86269 3.989547 -30.17193 -3.816988 30.27693 4.017327
14.97421 3.932167 -29.89306 -3.854206 30.36405 4.028676
14.99181 4.093749 -29.99208 -3.761993 30.29153 4.045162
15.00694 4.029064 -29.83729 -3.641798 30.32011 4.008602
15.09749 4.092397 -29.78333 -3.942177 30.24917 3.960717
14.95921 4.062833 -30.01694 -3.851382 30.17742 3.955582
14.94274 4.040982 -29.72585 -3.846099 30.0798 4.014626
14.70767 4.002694 -30.13486 -3.800715 30.1858 3.975068
14.71325 4.052733 -29.71071 -3.76702 30.23705 4.008707
14.77788 4.01542 -29.99847 -3.818812 30.1627 4.015434
15.01617 4.080293 -29.9586 -3.622485 30.11795 3.989238
14.98517 4.069716 -29.90813 -3.881997 30.12538 3.957126
14.93163 4.04946 -29.97155 -3.723787 30.12791 4.035874
14.9587 4.083272 -29.99689 -3.794696 30.13899 3.97626
15.07048 4.037613 -29.77826 -3.897367 30.13363 4.01433
14.90253 3.972565 -29.99247 -3.831427 30.37447 4.040411
14.86561 4.084445 -29.76883 -3.836145 30.30663 3.9593
15.08982 3.999188 -30.07669 -3.971629 30.15998 4.035281
15.02644 4.004407 -30.31222 -3.741174 30.05191 4.005322
14.84412 3.995581 -30.52006 -3.751439 30.10414 4.006908
14.9872 3.998449 -29.93763 -3.82821 30.08483 4.009911
14.83954 4.025573 -29.69496 -3.895782 30.17874 4.019766
15.02102 3.990131 -29.99347 -3.879627 30.156 4.044622
15.08059 3.954805 -29.88367 -3.936418 30.03093 4.01407
14.9763 4.037288 -29.86568 -3.706357 30.08775 4.005881
14.8843 4.081937 -30.4128 -3.664085 30.19922 4.012793
14.87971 4.047264 -30.28385 -3.855811 30.14365 4.006245
14.96189 4.022562 -29.99046 -3.753533 30.12456 4.033992
14.95571 4.050609 -29.83804 -3.758261 30.15245 3.988695
14.58293 4.038189 -30.26141 -3.8437 30.16962 3.954238
14.97931 3.954951 -30.00673 -3.855126 30.1436 4.01222
15.0203 4.047745 -30.08202 -3.866993 30.14344 3.981973
15.05122 4.109845 -30.17336 -3.767221 30.24161 4.025019
15.10172 3.964693 -30.29028 -3.863664 30.21894 3.986285
14.92798 3.980606 -30.17095 -3.836872 30.12557 4.042809
14.90494 4.010189 -30.1605 -3.892046 30.12098 3.997429
14.97729 3.981583 -30.0697 -4.023358 30.16019 4.01406
14.82232 3.95109 -29.94554 -3.982294 30.17953 4.026107
14.90024 4.000256 -29.51443 -3.943767 30.1597 4.026642
14.91202 4.032135 -29.96814 -3.698285 30.1545 4.001621
14.89571 4.115225 -29.86343 -3.909825 30.17042 4.043391
14.83948 4.047267 -30.19297 -3.838156 30.07991 3.996274
14.94244 3.999189 -30.23131 -3.775049 30.09127 4.037497
14.74192 4.017751 -30.12661 -3.92249 30.21869 4.044889
15.04581 4.03564 -29.73711 -3.819778 30.2006 3.986547
14.96935 4.065385 -29.94853 -3.826301 30.161 3.987504
15.15576 4.013196 -30.15846 -3.797907 30.25571 4.00047
15.01767 4.045013 -29.87081 -3.929565 30.19282 3.94716
14.90911 4.001425 -30.18412 -3.802812 30.29861 4.044437
14.86405 3.996111 -29.98274 -3.939826 30.29418 4.001934
14.92744 4.001368 -29.92204 -3.789982 30.14989 3.98853
14.96854 4.047626 -30.01015 -3.856878 30.14924 3.988239
14.64909 4.020508 -29.88332 -3.840525 30.35685 4.014763
14.72641 4.064993 -29.53992 -3.819727 30.17724 4.019157
14.82595 4.008476 -29.8271 -3.7651 30.08093 3.991029
14.85375 3.999076 -29.76789 -3.793337 30.04271 3.989133
14.8608 4.01007 -30.01948 -3.836754 30.10144 4.034263
14.7992 4.032974 -30.04048 -3.840305 30.13875 4.054727
14.78809 3.9697 -30.01247 -3.803322 30.14898 3.997511
15.02484 3.972847 -29.97915 -3.874673 30.09251 4.002442
15.08554 4.004843 -30.07534 -3.723268 30.07222 3.994961
