"Delta_1" "Delta_2" "Delta_3"
-2.173842 -3.083163 1.105399
-2.102463 -3.014245 1.200978
-2.163598 -2.981409 1.092884
-2.263024 -2.674899 1.0867
-2.34631 -3.052763 1.124
-2.370091 -3.000875 1.116563
-2.412198 -2.999414 1.183123
-2.40571 -3.134393 1.232094
-2.266549 -3.087632 1.205191
-2.209209 -2.969402 1.232921
-2.346541 -3.1267 1.261959
-2.343446 -3.150981 1.30662
-2.37407 -3.321506 1.1362
-2.15064 -2.992082 1.133356
-2.27905 -2.8216 1.046268
-2.311142 -2.812003 1.106424
-2.174868 -2.771842 1.10368
-2.217472 -2.809109 1.082859
-2.22271 -2.936911 1.00331
-2.102542 -3.065924 1.026178
-2.096063 -2.76091 1.029039
-2.078253 -2.709419 1.141496
-2.188134 -2.616862 1.129973
-2.245531 -2.697387 1.073156
-2.27343 -2.827001 1.11347
-2.234636 -2.697504 1.186514
-2.186378 -3.143985 1.237672
-2.153064 -3.192481 1.382984
-2.202245 -3.454204 1.380724
-2.232299 -3.603749 1.354247
-2.251259 -3.331879 1.249784
-2.270257 -2.795079 1.227944
-2.312999 -3.066204 1.245873
-2.267689 -3.047086 1.187408
-2.29067 -3.009263 1.1254
-2.207296 -2.836558 1.155043
-2.045982 -3.006152 1.199864
-2.148784 -3.341147 1.219619
-2.042641 -3.19809 1.180465
-2.1051 -3.283509 1.109892
-2.221248 -2.957385 1.125689
-2.054276 -2.858147 1.043077
-2.064912 -3.076227 1.166841
-2.018384 -2.886871 1.051049
-2.195235 -2.821524 1.088271
-2.173409 -3.065663 1.057679
-2.073734 -2.605725 1.072388
-2.062583 -3.169574 1.102324
-2.074384 -2.814919 1.154695
-2.157494 -3.092668 1.173337
-2.263428 -2.86287 1.156096
-2.170712 -2.855774 1.108937
-2.086405 -2.637196 1.046348
-2.060795 -2.729591 1.053707
-2.097271 -2.374063 1.072504
-1.997164 -2.760634 1.157119
-1.994952 -3.080274 1.156171
-2.105798 -3.154796 1.196995
-2.213373 -3.191411 1.173781
-2.147828 -3.266031 1.014711
-2.193618 -3.293034 0.9929612
-2.169185 -3.379743 1.069167
-2.146338 -3.127782 1.1584
-2.153235 -3.126202 1.23161
-2.106006 -3.335682 1.185683
-2.110525 -2.99103 1.20611
-2.028019 -3.28977 1.209327
-2.005212 -3.079255 1.222454
-1.973207 -2.603751 1.269795
-2.045881 -2.758779 1.115852
-2.018295 -2.919922 1.169418
-1.94736 -2.787784 1.241432
-1.977835 -2.669784 1.29104
-2.034003 -2.734282 1.306473
-2.002622 -2.806421 1.296256
-2.055787 -2.835972 1.290394
-2.13023 -3.044265 1.178089
-2.200589 -2.916565 1.165276
-2.089686 -2.751989 1.088683
-2.193014 -2.564433 1.143211
-2.124537 -2.866255 1.138151
-1.961816 -2.769084 1.137963
-1.946437 -2.708592 1.095416
-2.001777 -2.500387 1.088577
-1.98819 -2.714011 1.106001
-1.911031 -2.643453 1.080115
-1.876637 -2.487287 1.219481
-2.002643 -2.615772 1.220543
-2.123229 -3.208021 1.153685
-2.082988 -3.331965 0.9818606
-2.074628 -3.244269 1.06404
-1.989719 -2.698785 1.044394
-2.021884 -2.432607 1.061936
-2.070072 -2.860976 1.085735
-2.112723 -3.118307 1.127808
-2.044115 -2.837045 1.149066
-2.061476 -3.228836 1.154877
-2.059287 -3.0555 1.09921
-2.128221 -2.937278 1.134648
-2.079772 -2.679968 1.130118
-2.179279 -2.823975 1.058623
-1.993518 -2.871164 1.065406
-1.948873 -2.942778 1.085496
-1.813608 -2.904339 1.122783
-1.891493 -3.139297 1.217749
-2.184186 -3.225868 1.206692
-2.226799 -3.420434 1.239855
-2.238954 -3.308809 1.221953
-2.261079 -2.847304 1.208977
-2.310736 -2.715486 1.208909
-2.226051 -3.014207 1.204896
-2.236472 -2.995732 1.274315
-2.243595 -3.229613 1.066684
-2.087448 -3.12272 1.086014
-2.151335 -2.914659 1.095087
-2.026439 -2.673987 1.163018
-2.036334 -2.915403 1.169042
-1.803486 -3.086335 1.201758
-2.007521 -2.844869 1.194401
-2.059665 -2.991887 1.232223
-2.100718 -2.862208 1.228698
-2.074806 -2.793563 1.132835
-1.98589 -3.06033 1.14795
-2.075521 -2.520213 1.150703
-2.129132 -2.354565 1.10525
-2.128783 -2.738391 1.051935
-2.12805 -2.839682 1.025441
-2.108038 -3.033653 1.060514
-2.168081 -2.885624 1.082017
-2.150143 -2.753532 1.092952
-2.100216 -3.063442 1.166635
-2.066991 -3.415231 1.138834
-2.085528 -3.229952 1.186233
-2.15959 -3.309943 1.16711
-2.138812 -3.556078 1.030178
-2.225845 -3.227745 1.062255
-2.241518 -3.223831 1.068037
-2.292948 -3.270834 1.165596
-2.316146 -3.074046 1.16731
-2.157448 -3.028703 1.132402
-2.026558 -2.893015 1.092417
-2.101303 -3.15371 1.089022
-2.182576 -3.195735 1.013196
-2.203114 -3.316981 1.038703
-2.137876 -3.253916 1.098514
-2.082634 -3.310422 1.096361
-2.161951 -3.139749 1.190633
-2.048313 -3.230361 1.203519
-2.040545 -2.850915 1.193856
-2.031648 -2.657836 1.239493
-2.098236 -2.427128 1.109719
-2.030806 -2.759917 1.047008
-2.064639 -2.959067 1.114554
-2.07012 -2.90403 1.134021
-2.474987 -3.107699 1.092781
-2.362711 -2.997539 0.9823943
-2.32216 -3.068807 1.026309
-2.530968 -2.763398 1.081674
-2.134205 -2.997556 1.121307
-2.137695 -2.842382 1.097035
-2.046411 -3.322259 1.041936
-2.166824 -3.469502 1.128224
-2.219947 -3.175913 1.143224
-2.179062 -3.009195 1.168972
-2.182563 -2.90607 1.275818
-2.18402 -3.133004 1.212133
-2.156953 -2.977576 1.071036
-2.180677 -3.163929 1.065641
-2.147137 -3.205286 1.069698
-2.219431 -3.094716 1.063424
-2.178844 -2.830609 1.141199
-2.142123 -3.016858 1.233392
-2.102763 -2.653244 1.197527
-2.120275 -2.751402 1.199467
-2.1521 -2.638816 1.084836
-2.203944 -2.841764 1.201471
-2.09731 -2.883577 1.119307
-2.076391 -2.761579 1.133974
-2.179432 -2.770295 1.107851
-2.162916 -2.778613 1.136498
-2.126686 -2.710638 1.149022
-2.093346 -2.718415 1.106135
-2.031089 -2.774115 1.109181
-2.01326 -3.201192 1.036114
-2.100958 -3.019346 1.068522
-2.064679 -3.108298 1.183483
-2.141515 -2.673578 1.169078
-2.040464 -2.606505 1.115437
-2.091337 -2.767491 1.083034
-2.193753 -3.067066 1.094534
-2.015779 -3.333447 1.163884
-1.991018 -2.75727 1.113689
-1.962978 -2.570372 0.9762379
-1.910242 -2.648364 1.042604
-1.863282 -2.845799 1.114962
-1.92835 -2.593013 1.083608
-1.977435 -2.810221 1.087997
-2.059448 -3.019803 1.067584
-2.092209 -3.235661 1.009852
-2.151487 -3.525665 1.009549
-2.260751 -3.255278 1.044331
-2.151635 -3.245741 1.106155
-2.227686 -3.193499 1.168281
-2.242863 -3.639027 1.15241
-2.359826 -3.727503 1.213167
-2.372993 -3.452991 1.235813
-2.324365 -3.436874 1.174292
-2.206057 -3.289561 1.22484
-2.24816 -3.105513 1.251612
-1.873661 -3.015118 1.180946
-2.057193 -2.695043 1.17254
-2.151137 -2.566183 1.157085
-2.232124 -2.280721 1.161142
-2.255107 -2.341435 1.167776
-2.302938 -2.828168 1.068612
-2.333092 -2.893874 1.15787
-2.375192 -3.044089 1.118824
-2.293265 -2.894965 1.066737
-2.062043 -3.042696 1.15929
-1.98464 -2.782707 1.136668
-1.930539 -2.71451 1.132274
-2.001595 -2.77159 1.108145
-2.090346 -2.895065 1.190236
-2.380233 -2.921463 1.169872
-2.480891 -3.1119 1.206744
-2.268977 -2.975587 1.132153
-2.116257 -2.966667 1.059824
-2.194974 -2.959652 1.149527
-2.08127 -2.630882 1.117959
-2.194426 -2.700873 1.159308
-2.229447 -2.598097 1.127751
-2.221779 -2.704454 1.122647
-2.239125 -2.830672 1.065517
-2.209123 -2.807633 1.11364
-2.133648 -2.767894 1.021352
-2.047225 -2.676913 1.080335
-2.156188 -2.717703 1.149355
-2.161717 -2.928132 1.124457
-1.989498 -2.956619 1.181221
-2.008727 -2.776409 1.082602
-1.965255 -2.801255 1.082743
-2.035459 -2.607897 1.018348
-2.138906 -2.654286 1.069839
-2.058659 -2.80017 1.010445
-2.143976 -2.738018 1.036606
-2.065301 -2.712957 1.096739
-1.964033 -2.894014 1.06088
-1.961746 -2.860311 1.069574
-1.936792 -2.630587 1.071493
-1.963573 -2.441509 1.129426
-2.031982 -2.507671 1.1194
-2.001716 -2.595099 1.038235
-1.813203 -2.61658 1.006361
-1.877409 -2.65213 1.045584
-1.907448 -2.476674 0.9841474
-1.933459 -2.555366 0.9556265
-1.781865 -2.601926 0.9686292
-1.878095 -2.860104 0.9719056
-2.033634 -2.811763 0.9681715
-2.072995 -2.849577 1.043301
-2.081038 -2.900374 1.08184
-1.98324 -2.690805 1.076269
-2.149137 -2.571868 1.095858
-2.144279 -2.579077 0.9877836
-2.176055 -3.048859 1.062341
-2.060126 -2.927459 1.107826
-2.183976 -2.866255 1.152884
-2.284623 -3.179219 1.115095
-2.281549 -3.240644 1.122338
-2.139609 -3.052704 1.174349
-2.07506 -2.994699 1.089667
-2.151803 -2.873804 1.134806
-2.135611 -3.069885 1.160853
-2.292921 -3.005287 1.201877
-2.301091 -3.036688 1.167028
-2.147087 -3.057586 1.201666
-2.277041 -3.030307 1.16438
-2.228455 -2.974819 1.18084
-2.12118 -3.075127 1.101277
-2.09067 -2.775892 1.169494
-2.056314 -3.069345 1.101202
-2.027595 -3.096684 1.091723
-2.043473 -2.97295 1.131137
-2.006523 -3.07141 1.246244
-2.122351 -2.662102 1.149303
-2.064612 -2.949 1.167935
-2.040635 -2.687186 1.046049
-2.126781 -2.703188 1.0869
-2.009707 -3.017079 1.101435
-1.939357 -2.694926 1.037865
-2.006888 -2.763918 1.054501
-2.048381 -2.792484 1.052212
-2.013398 -2.758462 1.154764
-1.949704 -2.300924 1.073104
-1.970739 -2.494596 1.090161
-2.009441 -2.646806 1.112911
-1.945254 -2.588624 1.089891
-2.042894 -2.662682 1.105162
-2.035154 -2.92377 1.120145
-1.95398 -3.21749 1.076145
-1.936969 -2.862163 1.060273
-1.994801 -3.114602 1.106456
-1.973494 -3.38206 1.137823
-2.016228 -3.325227 1.105283
-1.981905 -2.865868 1.071447
-2.046028 -2.690215 1.167541
-2.088426 -2.72453 1.122452
-2.12913 -2.962427 1.158883
-2.186097 -2.910867 1.246514
-2.273764 -2.750982 1.218564
-2.275444 -2.771362 1.213793
-2.266338 -2.692549 1.205834
-2.271646 -2.670306 1.134856
-2.26484 -2.789898 1.123815
-2.234634 -3.141807 1.172711
-2.295468 -3.031164 1.201761
-2.190939 -3.012368 1.158238
-2.107031 -2.781228 1.127129
-2.14666 -2.694986 1.147055
-2.055638 -2.963855 1.145819
-2.015699 -2.989321 1.105691
-2.002074 -3.144884 1.185696
-2.067411 -3.064256 1.247285
-2.126963 -3.035811 1.20312
-1.950452 -3.082227 1.210519
-2.094042 -2.832103 1.124327
-2.211216 -2.704757 1.217987
-2.05378 -2.795097 1.272806
-2.007048 -2.684195 1.199559
-2.058113 -2.769437 1.062002
-2.054803 -2.923279 1.14686
-1.998225 -2.54757 1.131379
-2.109351 -2.621869 1.11448
-2.074966 -3.027575 1.244304
-2.180085 -3.005988 1.116884
-2.155432 -2.737929 1.150573
-2.303457 -2.783119 1.150756
-2.226018 -2.782744 1.084912
-2.129175 -3.004702 1.108137
-2.045625 -2.974921 1.157075
-2.019971 -2.647336 1.124396
-2.114867 -2.817499 1.183079
-2.072549 -2.704232 1.121446
-2.178472 -2.990947 1.110471
-2.078828 -3.028121 1.154096
-2.083729 -2.952307 1.152833
-2.151103 -2.716492 1.172348
-2.222553 -2.91775 1.076442
-2.064061 -3.202434 0.9873603
-2.069829 -2.936148 1.112204
-2.02351 -2.430862 1.107553
-2.057046 -2.408579 1.096792
-2.106267 -2.340416 1.13059
-2.053006 -2.519775 1.147395
-1.955405 -3.042454 1.115117
-1.990382 -2.836984 1.091973
-1.843545 -2.742925 1.054624
-1.916525 -2.782644 1.010224
