"Delta_1" "Delta_2"
3.493174 -2.783388
4.042239 -2.797714
4.949479 -2.834477
4.492915 -2.85853
4.960646 -2.726148
4.028829 -2.637839
5.266677 -2.521371
4.776193 -2.746265
6.098635 -2.853935
5.568674 -2.925309
5.440961 -3.008827
5.606236 -3.106372
5.948453 -3.113717
5.094725 -3.248155
5.832992 -2.986204
5.570373 -3.004142
5.629408 -2.897837
5.357507 -2.895407
4.330729 -3.027692
5.292271 -3.010198
5.518103 -2.934393
5.992177 -2.808811
6.389633 -2.86406
7.166718 -3.091485
6.137875 -2.989337
5.119353 -3.027969
5.491305 -3.078337
4.992432 -3.145976
5.549873 -3.121786
4.871409 -3.013747
6.09027 -3.054281
5.199465 -2.74308
4.746398 -2.769787
4.196455 -2.839191
4.540182 -2.777637
5.569297 -2.826815
4.954071 -2.870388
4.046249 -2.81385
5.208005 -2.912287
5.689962 -2.879993
4.654468 -2.785113
4.709664 -3.029214
6.244886 -3.017087
4.927287 -3.013993
5.011326 -2.924203
5.86896 -2.931731
5.872274 -3.049371
5.80672 -2.978507
5.890819 -2.881394
5.531568 -3.039789
5.496442 -3.013193
3.767354 -2.869283
3.776937 -2.936778
4.400386 -2.838348
4.983384 -2.808758
5.254274 -2.738895
5.500322 -2.749728
5.24014 -2.721055
5.226744 -2.744618
4.846067 -2.735675
3.899661 -2.754851
4.00488 -2.795777
4.957135 -2.913465
4.861661 -2.909231
5.591131 -3.149087
4.997685 -3.201291
4.429721 -2.973571
3.854327 -2.894078
3.778557 -2.663736
4.288405 -2.787668
4.195324 -2.775746
4.534195 -2.642028
5.224136 -2.862142
4.825257 -2.671719
4.912734 -2.729509
5.252183 -2.89185
4.926852 -2.827914
4.829588 -3.014158
6.10769 -2.980776
5.190164 -3.07232
4.181484 -3.026466
4.610764 -2.897467
4.362643 -2.737907
4.636358 -2.71534
4.138984 -2.588971
4.893736 -2.70097
4.23922 -2.631304
4.102206 -2.775209
3.971795 -2.595073
4.92803 -2.715087
5.182378 -2.693922
5.487989 -2.804656
5.457769 -3.100963
4.769791 -2.920731
4.946526 -2.774888
5.34941 -2.634104
5.000131 -2.873803
4.497226 -2.887536
5.352664 -2.947731
5.637555 -2.956373
5.860797 -2.801023
4.574024 -2.796693
4.985365 -2.650133
5.779644 -2.809464
3.916454 -2.75616
4.368696 -2.857377
4.749728 -2.94099
4.831031 -3.034689
3.936867 -3.05634
4.842978 -2.857344
4.622751 -2.825036
5.12852 -2.765884
5.385973 -2.814053
5.094222 -2.574912
4.626113 -2.523101
4.695903 -2.41717
3.908517 -2.442307
5.078539 -2.35858
4.324378 -2.475787
4.51264 -2.614458
4.179407 -2.827229
5.597653 -2.707493
3.782359 -2.749871
5.184168 -2.86032
4.581578 -2.960126
4.384258 -2.827156
4.228095 -2.788917
4.023379 -2.723851
5.54144 -2.799088
3.761177 -2.774796
4.813276 -2.989915
4.72578 -2.857423
4.314479 -2.708333
5.250377 -2.70545
4.814224 -3.049984
5.708116 -3.094211
5.253804 -3.206128
5.612248 -3.117039
5.37691 -3.172259
6.506289 -3.137959
4.403799 -2.872837
4.454875 -2.779878
4.823828 -2.807089
4.538038 -2.851847
4.473602 -2.85042
5.308247 -2.775992
4.543581 -2.890763
5.012387 -2.986561
5.507368 -2.976164
5.361157 -2.995606
4.596244 -3.103478
5.239123 -3.104506
5.1814 -2.943978
4.823484 -2.742209
5.129336 -2.84719
4.822918 -2.886711
5.54518 -2.798183
5.741459 -2.814718
6.139341 -2.982024
5.247897 -3.042716
4.838952 -3.020612
3.966982 -2.878541
4.784152 -3.028464
5.083233 -3.113581
5.643403 -2.973495
6.361524 -3.061205
6.027888 -3.007106
5.283645 -3.08954
5.395096 -3.029469
5.590155 -2.918549
4.894518 -2.942035
4.461365 -2.924778
4.937396 -2.96386
4.718314 -2.836473
5.611024 -2.742856
5.323251 -2.909845
5.291608 -3.039707
4.613953 -2.769164
5.549503 -2.916624
5.748509 -2.888196
5.674054 -2.865114
5.69015 -2.956869
5.508444 -2.954283
4.9679 -2.960308
5.368745 -2.90727
6.402327 -2.907985
4.625911 -2.849656
4.460645 -2.76205
4.441274 -2.662403
4.778289 -2.648274
4.535527 -2.81806
4.945165 -2.819547
5.598923 -2.833222
5.40502 -2.936266
4.972808 -2.785431
4.493831 -2.970273
4.145097 -2.996178
5.265175 -3.032946
5.099878 -2.941807
5.622013 -2.914188
4.690088 -2.892328
5.565278 -3.094775
4.972399 -3.100422
4.409101 -2.864574
3.561976 -2.873178
