"Delta_1" "Delta_2"
-3.00591 5.056379
-2.825501 4.117442
-2.790985 4.873119
-2.815892 4.418008
-2.733514 4.056176
-2.767971 3.497862
-2.849312 4.51054
-2.758034 5.080768
-2.930813 4.71263
-3.062516 4.801089
-2.96238 4.038946
-2.948417 5.162065
-3.067542 5.742913
-3.070077 6.103826
-3.059944 5.031065
-2.927372 5.369683
-3.016951 4.764256
-2.830433 4.465399
-2.852462 3.111077
-3.025851 4.968489
-2.930143 4.16026
-2.854343 4.523367
-2.779948 4.806945
-2.709646 5.053746
-2.738825 5.765795
-2.903092 6.639412
-3.06479 4.915312
-2.900376 4.323317
-2.910445 4.325219
-2.886462 3.714179
-2.892721 4.063912
-2.937407 4.391321
-2.924662 4.200242
-2.805223 4.707931
-2.735499 5.055592
-2.661686 5.255933
-2.574442 4.020584
-2.535857 4.566149
-2.650748 3.93421
-2.9291 4.413118
-2.930836 5.296271
-3.031722 5.486022
-3.031967 5.550372
-3.067387 4.488436
-3.146234 4.892486
-3.052826 4.461378
-2.956577 5.953415
-3.13833 5.393529
-3.024887 5.806538
-2.777195 5.695271
-2.879334 4.666966
-2.926716 5.458546
-2.798022 5.647834
-2.885924 4.8284
-3.005516 4.456673
-2.974848 4.872252
-2.749531 4.267314
-2.973978 5.129508
-2.900862 5.34142
-2.922886 4.23061
-3.049744 4.60769
-2.909056 4.876363
-2.953941 3.716618
-2.780948 5.049234
-2.819932 4.366511
-2.930982 4.80635
-2.854647 5.172875
-2.847023 3.760702
-2.822179 4.506417
-2.964725 5.337158
-2.869564 4.242052
-2.963874 4.76528
-2.869033 4.293576
-3.041034 4.750527
-2.862602 4.074943
-2.969471 4.359172
-2.989166 5.690303
-3.089074 5.441765
-2.915365 5.534508
-2.875876 5.389623
-2.969434 4.671955
-2.977134 3.840207
-2.869937 4.173827
-2.81399 4.347642
-2.835312 3.798311
-2.817508 4.616089
-2.859326 5.12491
-2.676985 6.008374
-2.885139 4.63174
-2.967921 5.534054
-2.926066 5.408781
-2.82964 4.47724
-2.738028 4.677862
-2.584347 4.796586
-2.443936 3.066414
-2.493063 4.597406
-2.731504 4.283336
-2.751343 4.253834
-2.803285 5.357969
-2.892105 4.712683
-2.837858 5.493849
-2.893356 4.56182
-2.932456 3.809839
-3.085765 4.659247
-3.193188 4.430482
-3.128223 4.185184
-3.159392 4.571573
-3.231064 5.604919
-3.019071 5.042872
-3.268739 5.732851
-3.165233 5.162013
-3.104418 5.455003
-3.206284 5.76793
-3.210964 5.355176
-2.888707 3.950896
-2.865391 5.135682
-2.717124 4.046987
-2.721491 4.737419
-2.735159 3.965508
-2.798361 4.727222
-2.778105 4.99652
-2.889324 5.515544
-2.806549 5.120272
-2.864896 5.932804
-2.692861 5.866574
-2.594565 4.46167
-2.508443 4.763787
-2.672397 4.636576
-2.727769 4.841205
-2.843598 4.730603
-2.853669 4.924234
-2.944103 5.067495
-2.70596 5.353648
-2.696969 4.813531
-2.639711 4.919204
-2.623515 5.474234
-2.68181 4.632347
-2.578614 5.27329
-2.436195 3.525801
-2.429005 3.582028
-2.591393 3.930904
-2.618673 5.105691
-2.732772 4.484833
-2.687605 4.763495
-2.891817 5.655031
-2.85789 5.278274
-2.739626 5.42719
-2.666693 5.08662
-2.630141 4.550249
-2.596636 4.564154
-2.719729 3.871733
-2.631668 4.428427
-2.60684 5.171439
-2.764733 4.870574
-2.68359 4.555389
-2.574617 4.542617
-2.688037 5.281231
-2.729521 4.123634
-2.521422 3.053991
-2.612264 3.597523
-2.674695 4.642081
-2.624716 3.482534
-2.725804 5.106333
-2.745297 5.780556
-2.957466 4.837795
-3.032225 4.723902
-2.856079 5.370295
-2.90581 4.761796
-2.790984 4.555374
-2.804609 4.39292
-2.805558 5.136196
-2.747469 4.649956
-2.760261 3.813999
-2.611242 5.400715
-2.518025 4.123231
-2.617317 3.941082
-2.607073 3.81645
-2.649958 4.703799
-2.741091 4.811534
-2.891507 4.909794
-3.019103 5.455226
-2.82486 4.634808
-3.093128 5.542462
-2.991782 5.520022
-3.110849 4.747168
-3.086784 4.888446
-2.895904 4.937044
-2.812155 4.616886
-2.978505 5.085152
-2.846084 4.177359
-2.976039 5.235202
-3.079811 5.027634
-3.133829 5.397552
-2.976486 5.410393
-3.029072 5.519598
-3.021464 5.16918
-3.096654 5.866663
-2.938109 4.542071
-3.049414 4.520746
-3.053127 5.709628
-3.010693 5.037634
-3.045133 5.016617
-3.002658 6.115286
-3.038413 5.89332
-2.991696 4.739351
-3.053318 4.901515
