"tau2_1" "tau2_2" "tau2_3"
0.01660718 4.412389 0.365929
0.009275707 3.867559 0.1318587
0.01314085 4.490166 0.06055821
0.01201504 5.551829 0.1437667
0.01314649 0.3628019 0.06799935
0.01436215 2.295721 0.1920543
0.008190757 4.794047 0.1832663
0.01561686 0.9494744 0.3655786
0.01169882 2.692271 0.1651745
0.01177518 6.475836 0.2180726
0.01747715 7.489808 0.3259565
0.01077315 3.949603 0.1721422
0.01273322 5.056806 0.07071937
0.01046754 6.565815 0.227096
0.009689498 2.386018 0.1965594
0.01482427 5.94625 0.2080872
0.01545254 2.727123 0.7955349
0.009394293 4.149622 0.550987
0.01359415 2.656336 0.2884839
0.0112464 2.119587 0.1569359
0.0101889 7.021956 0.2300382
0.008882123 4.78659 0.208178
0.01184188 5.195952 0.2223175
0.01531034 1.553276 0.345557
0.01219447 1.965659 0.3198959
0.0149056 1.886011 0.09146533
0.0201491 3.189626 0.1226269
0.01727675 1.949872 0.2758092
0.007204638 1.339947 0.3397876
0.005880353 5.558417 0.2577857
0.00935858 5.643028 0.1531262
0.008642742 2.525926 0.2103157
0.0152002 1.731855 0.1298933
0.008756687 7.327401 0.1150673
0.007837498 4.19773 0.2089876
0.009683366 3.969746 0.183384
0.01373822 1.41925 0.1990084
0.01523571 0.187248 0.1857464
0.01777974 0.470624 0.1349852
0.01371187 2.411032 0.1925734
0.007558003 7.543707 0.2530003
0.00779762 5.227139 0.3917688
0.01093192 4.71398 0.1121199
0.01399849 7.120558 0.2082732
0.01370044 4.449484 0.2504023
0.01567945 3.128321 0.09761138
0.01794864 6.271057 0.2048889
0.009692984 6.381831 0.2669381
0.007292634 6.45366 0.6233167
0.009313022 3.885842 0.1658903
0.01525354 1.977594 0.3012262
0.005974707 6.098059 0.225921
0.01566079 4.4141 0.1318077
0.01511388 5.687576 0.0840587
0.01044583 6.441663 0.1283565
0.01619632 12.1085 0.1599096
0.01992851 2.810356 0.164597
0.01278656 7.834566 0.2602843
0.01424648 2.079398 0.2776149
0.009904505 5.842435 0.1941685
0.01542334 4.373287 0.062707
0.008083067 7.615564 0.09767992
0.0118035 2.864281 0.1646898
0.009905018 1.624096 0.5409831
0.01276397 4.334569 0.1255783
0.01473736 3.783336 0.06327901
0.01514284 6.434892 0.278563
0.01325577 1.672597 0.2621379
0.01445891 4.505991 1.103356
0.01576541 2.82815 0.5072749
0.01413325 1.800889 0.1550227
0.01316137 1.0853 0.3771759
0.0116484 5.735015 0.3225247
0.01421551 3.291303 0.3893365
0.01437777 5.329722 0.08030193
0.01396265 5.245547 0.6580549
0.0213168 2.555347 0.3159688
0.01041926 2.752309 0.2201315
0.01595331 6.56449 0.2498834
0.009728074 5.777937 0.1692912
0.01752886 5.630002 0.1149762
0.01581883 7.988146 0.2665206
0.01212637 0.6222193 0.2463092
0.01212263 4.90561 0.2692798
0.02302852 6.974348 0.1091705
0.01702813 0.7441969 0.2182362
0.01132461 0.5002812 0.08404347
0.01271964 2.720048 0.1900627
0.01889844 4.647698 0.2599987
0.008886291 10.34959 0.2078846
0.01340165 1.890968 0.1114333
0.01112773 8.062365 0.12501
0.007915513 1.167811 0.2332534
0.0128217 0.2150589 0.1332514
0.007759164 2.614882 0.1585505
0.009287854 5.506926 0.3208647
0.009691587 5.653923 0.477267
0.0126895 6.462141 0.237007
0.010484 13.98317 0.2826129
0.01083149 6.878288 0.9615336
0.01815123 5.853307 0.1069648
0.01022442 6.893404 0.05748642
0.00781081 5.600774 0.05890408
0.008800164 3.000548 0.5930117
0.009343528 5.398708 0.1186483
0.01104009 4.018225 0.2996514
0.0119707 3.854601 0.1095127
0.01330195 6.750628 0.3676821
0.01068989 0.7825486 0.1957005
0.01194307 0.3199185 0.1722087
0.01270091 2.205516 0.3376322
0.01008459 2.67044 0.404658
0.01339636 4.190541 0.2377611
0.01696681 2.325084 0.2510514
0.01169869 0.9452771 0.2222573
0.01754998 3.811122 0.1602358
0.01191246 2.420171 0.2636477
0.008118243 0.7793244 0.6444461
0.01106599 0.9826131 0.3194604
0.01211011 5.510886 0.1184135
0.01095877 2.435887 0.44487
0.01205762 7.388682 0.249149
0.01439234 6.603666 0.3233134
0.0111661 7.2541 0.220785
0.01749043 4.31825 0.0872516
0.01891305 2.30843 0.08761137
0.01593033 1.684653 0.06030382
0.0145635 4.371463 0.1921996
0.009201575 1.805246 0.1635027
0.0156901 4.635566 0.15263
0.01490625 5.606676 0.08150285
0.01113111 6.656218 0.1579996
0.009996679 3.074954 0.2263891
0.00885054 13.00563 0.07935309
0.009386506 0.5113514 0.1449266
0.0110287 1.692773 0.193512
0.01230116 5.770708 0.2703035
0.01981042 4.110672 0.3019539
0.01421984 5.267141 0.2710763
0.007443125 7.061099 0.09828814
0.01157292 6.135219 0.08263472
0.008574026 5.951126 0.1381364
0.009203239 5.197521 0.2804617
0.008697485 4.951451 0.2238169
0.008147539 4.910988 0.1677801
0.01455388 4.24693 0.1332039
0.0130187 3.60251 0.3395523
0.01093102 2.223208 0.2514615
0.01430393 4.819681 0.1978028
0.008808541 7.192992 0.1840439
0.01103191 2.115435 0.3652533
0.01009196 5.634013 0.3101586
0.01083426 4.389736 0.4698741
0.01785942 4.088498 0.1450235
0.01132681 6.181801 0.08316438
0.01055212 13.48767 0.1505133
0.01583384 3.584333 0.05731063
0.01965184 6.165229 0.1888799
0.01829132 5.931175 0.4146334
0.008389541 4.845873 0.4936443
0.01803504 6.768754 0.2019926
0.01085654 1.863704 0.1163754
0.007755756 0.4801878 0.278195
0.008540003 3.872037 0.328234
0.01290881 3.542343 0.4234426
0.01206031 3.391732 0.3495608
0.01762559 3.650196 0.1484246
0.01105831 4.209629 0.3450046
0.01780614 0.7100045 0.328255
0.01241365 3.157474 0.1415557
0.01400774 3.645733 0.1487343
0.01612924 2.631057 0.2236805
0.009982975 4.164306 0.1206644
0.01010054 2.922505 0.1526169
0.007274841 3.653342 0.2956728
0.01516528 5.858591 0.1082732
0.01712589 2.664827 0.1563765
0.01547851 1.068081 0.1531869
0.01012351 5.942455 0.04086363
0.0172948 1.944362 0.05573928
0.01155982 1.722774 0.2329892
0.009450105 3.70143 0.3695906
0.00929715 3.924125 0.2197353
0.007144641 4.288405 0.4090649
0.01790584 14.75208 0.7021589
0.009113092 1.398672 0.1890779
0.01174183 7.155883 0.2433624
0.01225281 3.987868 0.1712894
0.0101592 5.336894 0.4316275
0.01128113 1.146397 0.3587592
0.02050178 9.545814 0.5173812
0.01730504 3.873573 0.4895601
0.01239321 6.373197 0.4673508
0.01414286 3.798308 0.1961142
0.01609153 1.002676 0.1441719
0.01090956 0.9803488 0.2147551
0.01092292 0.8998599 0.1496869
0.01308669 3.497699 0.1236764
0.009715854 13.08232 0.1059021
0.01148708 3.492891 0.1727433
0.008808576 3.430286 0.6828002
0.008381165 3.955513 0.5228498
0.01181156 7.956921 0.1825175
0.01670155 1.4835 0.08409706
0.01233522 0.4966526 0.1956869
0.01302548 7.624747 0.09653299
0.01480631 6.209428 0.199142
0.009677926 7.169952 0.3604821
0.02077314 5.041737 0.4500578
0.01167218 5.816228 0.1556051
0.01149176 6.047881 0.1534714
0.009960602 5.979938 0.2245207
0.009617599 1.248866 0.1184139
0.01120811 1.034527 0.1167828
0.01442743 3.249672 0.1967238
0.02588527 1.147642 0.3068777
0.0115261 1.445073 0.07418046
0.01301737 1.351071 0.0853972
0.01534408 4.027663 0.08289681
0.02353099 6.470963 0.1152058
0.01073376 6.7279 0.1766239
0.01415758 3.140304 0.07019392
0.008980179 1.981431 0.1278081
0.01802181 10.98868 0.1827435
0.01579338 4.880782 0.3667378
0.01496685 4.723232 0.6666278
0.01486943 4.510909 0.1175886
0.01643697 11.9074 0.0612218
0.01230093 5.817696 0.1878209
0.01081912 4.931566 0.07224782
0.006476277 10.77607 0.3982082
0.01544468 2.001203 0.4272722
0.01045305 3.55277 0.2759984
0.009503551 2.80918 0.1355677
0.009207659 4.780466 0.2471286
0.01262329 4.244677 0.2485491
0.01663849 0.4532867 0.1250672
0.0131104 1.171951 0.2226489
0.01957317 2.126441 0.6698397
0.01228563 4.46266 0.5098554
0.0121733 4.829071 0.4752493
0.009365862 2.842538 0.121545
0.01012948 4.480585 0.2184843
0.00915541 1.632162 0.1939192
0.009962757 1.271312 0.06728361
0.02349608 3.890732 0.07698298
0.01443246 0.33206 0.1792323
0.007981427 2.150501 0.3397119
0.01707928 4.997339 0.1613427
0.008451112 10.39373 0.2736914
0.01058917 7.952391 0.6273787
0.01527255 4.586662 0.5173671
0.01422293 4.997693 0.0911973
0.01195431 1.54205 0.314331
0.01457338 2.641856 0.2302504
0.0117985 5.311494 0.2186445
0.01142525 3.217372 0.119256
0.01078766 3.123256 0.504279
0.0095701 3.64494 0.2168906
0.0127762 5.332444 0.4213744
0.01303717 7.214794 0.2080224
0.0140009 7.791864 0.6494115
0.01551895 2.167977 0.06985962
0.00989948 3.005825 0.06063799
0.01054563 5.918825 0.4432602
0.01354247 3.833625 0.5305456
0.00897555 4.480138 0.3360732
0.00947339 2.494318 0.3159675
0.01365264 0.5645587 0.647488
0.01899762 4.528341 0.9641854
0.01205387 2.379465 0.5708058
0.01313682 5.326583 0.2770601
0.01046456 4.041038 0.4823341
0.01121679 3.461217 1.492454
0.01405936 4.279319 0.4273734
0.01061283 5.722583 0.08277701
0.007544424 7.52635 0.1323091
0.012189 3.842913 0.1234462
0.01108242 0.733053 0.3582273
0.01952339 0.7583099 0.1189326
0.01419109 7.032982 0.1340248
0.0129998 1.240423 0.3509811
0.01429062 2.326841 0.1262339
0.01218302 3.261152 0.2352999
0.01412262 5.372784 0.2189855
0.01861369 3.051346 0.1788708
0.009928492 0.9908226 0.3878362
0.007572086 1.662215 0.1999752
0.0133231 11.2618 0.05633955
0.01413339 3.600739 0.1665914
0.01669766 6.199649 0.4006606
0.01752283 2.944065 0.3628825
0.0126324 1.799545 0.3175524
0.01256208 5.490353 0.1624841
0.01140069 4.022896 0.2948318
0.00963814 3.788893 0.6103644
0.01635117 5.453103 0.2314751
0.01352196 5.518139 0.3009771
0.01096958 2.190264 0.4452445
0.01193872 4.986235 0.2738106
0.01319248 9.894321 0.1330637
0.01213812 8.235381 0.09087792
0.0159234 5.40715 0.1648622
0.01067492 7.03173 0.6655464
0.01005413 5.390089 0.2686486
0.009195129 4.748807 0.2212967
0.01515091 4.752278 0.08296551
0.008145788 4.437073 0.188651
0.009423671 5.427263 0.04730193
0.01187683 4.673812 0.137823
0.01116661 7.768832 0.2073471
0.01488594 0.6666635 0.1778368
0.0109478 4.495438 0.05442784
0.01620868 0.5968837 0.1803194
0.01445271 13.95908 0.0857035
0.01612032 3.734963 0.08480658
0.01414916 1.088902 0.2932498
0.008263408 4.391302 0.1281541
0.01441462 3.587543 0.1204086
0.009627609 2.755194 0.1236824
0.01024214 0.4552533 0.4787419
0.01430847 2.32961 0.2875644
0.01120236 2.887869 0.3219928
0.01787439 1.489176 0.5802171
0.02009342 5.553247 0.2827965
0.01552334 2.379701 0.1061078
0.01680366 5.504415 0.3618818
0.008957133 1.387251 0.2125334
0.00902242 1.302449 0.2424333
0.009393545 3.885739 0.2710417
0.01334412 7.882177 0.1889012
0.01712128 7.506985 0.1021845
0.01037386 6.852336 0.3093777
0.01044979 5.688391 0.08504199
0.01178434 5.314676 0.1960078
0.01597812 1.908201 0.1966366
0.009669582 0.6256532 0.1949684
0.01108121 4.043108 0.2256203
0.009202762 4.838533 0.1032832
0.02008901 4.103517 0.1666958
0.01380319 3.784945 0.1529343
0.01533607 1.155664 0.05553566
0.01117843 0.548083 0.2742009
0.01420941 0.9132942 0.1491291
0.01444312 0.2169998 0.1353417
0.008158531 0.2533106 0.1474588
0.01191899 5.695503 0.1454581
0.01688408 2.848988 0.168649
0.01320808 4.393573 0.2014576
0.01689623 4.827897 0.1832674
0.01405688 2.373564 0.1897258
0.01157873 7.253867 0.07592395
0.01047265 2.9916 0.1156355
0.01511667 6.24416 0.2069984
0.01317949 6.610172 0.2399825
0.01363676 8.244386 0.2488681
0.01634983 1.833371 0.1635277
0.01712531 1.578763 0.1071378
0.01555627 4.925924 0.265971
0.01452321 5.241754 0.3608575
0.01090696 6.24514 0.465375
0.01123556 6.432904 0.3276787
0.01090719 2.664092 0.2070536
0.01157045 5.729473 0.6076053
0.008580394 4.174539 0.199174
0.008664816 5.568927 0.1009578
0.009975315 4.995071 0.06262563
0.01181109 4.216248 0.1337696
0.01008769 6.64069 0.2577065
0.01793339 1.734353 0.06853453
0.009020052 3.931424 0.1406712
0.01256551 4.079375 0.06251848
0.01079894 2.333807 0.06107706
0.01356034 4.061222 0.1866677
0.01653081 6.232088 0.2631778
0.01433112 4.510701 0.1991031
0.009156984 7.061512 0.1467437
0.01032677 2.917394 0.06053845
0.01895485 2.310924 0.08853784
0.01107057 0.7383639 0.136703
0.01329798 5.265989 0.2993465
0.01023066 0.9440719 0.1127031
0.01130862 12.56711 0.2892135
0.02558108 2.644839 0.08905512
0.01227244 2.354916 0.4276986
0.01441067 3.962218 0.05591264
0.01155456 3.338803 0.3348442
0.005507903 6.31343 0.2797105
0.01118369 3.806288 0.3815755
0.009088175 4.196098 0.1900498
0.008392462 3.719714 0.2022356
0.02144627 1.233566 0.07106387
0.01749798 8.436923 0.09509598
0.01277154 6.35523 0.3705421
0.01862321 2.787598 0.09922276
0.009924603 1.871879 0.1897703
0.01592007 1.187821 0.1315115
0.009804662 0.516244 0.08266433
0.01067944 0.6675327 0.1351505
0.01978535 2.914483 0.1844915
0.01014489 11.83977 0.242442
0.01105728 11.38398 0.07506948
0.008928472 6.034222 0.1049295
0.00822457 0.7277287 0.08003034
0.01591483 1.380506 0.05496725
0.02071382 2.039346 0.5573269
0.01248966 6.76343 0.1028348
0.01337214 7.30347 0.169281
0.01476747 5.414206 0.1867699
