"nu" "alpha"
2.614886 0.3560197
2.610862 0.4646649
2.781707 0.04733368
2.753227 0.1591995
2.446018 0.4265111
2.792752 0.2591069
2.839914 0.09962259
2.62468 0.4754984
2.408966 0.0906666
2.517966 0.4751549
2.536269 0.4449308
2.362075 0.2724939
2.437521 0.2761787
2.749778 0.1466312
2.433098 0.06405909
2.635933 0.2527582
2.551063 0.2022597
3.563894 0.06185753
3.735158 0.1088141
3.1741 0.3149272
3.178044 0.3664774
3.016416 0.259625
2.872363 0.099773
2.582201 0.1128136
2.908948 0.3710913
2.39953 0.1716334
2.609467 0.3908477
3.215748 0.4470497
2.716536 0.4005103
3.035997 0.1382783
2.902343 0.4687326
2.873568 0.1998436
3.285106 0.4315447
2.967838 0.4628879
3.125366 0.3867365
3.050188 0.3850556
3.023192 0.3444561
3.01246 0.2492349
3.70734 0.08547412
2.948963 0.4196605
3.107129 0.3989203
2.968182 0.4117885
3.409379 0.2842936
3.052537 0.436621
2.380902 0.1463001
2.985933 0.3452925
2.772566 0.2466685
3.396248 0.03246192
3.234876 0.3910303
2.695034 0.1464546
3.307844 0.3011324
3.526406 0.3337621
2.970091 0.4716738
2.687607 0.258398
2.874303 0.2491396
2.678149 0.4062331
2.644489 0.2428241
3.747152 0.2904102
3.300052 0.2963626
3.296119 0.09818705
3.446926 0.3671918
3.669458 0.2923099
3.509706 0.1808618
3.199009 0.1924313
3.300346 0.04980904
3.227216 0.2260526
3.698336 0.2610529
3.010322 0.2472808
3.097836 0.2300654
3.05959 0.172529
2.983309 0.4099744
3.207625 0.2368534
3.107248 0.1332871
3.069556 0.4019467
2.717275 0.4715854
2.973607 0.4306333
2.729831 0.4012275
2.655605 0.1930338
3.421597 0.3764432
2.564356 0.2849682
2.978757 0.4624508
3.286427 0.4941232
2.641212 0.1875406
3.569165 0.2196018
3.231737 0.420894
2.959749 0.4270226
3.373181 0.154678
2.740991 0.3902989
3.409639 0.2060524
3.570262 0.2127595
3.127202 0.3446617
3.11498 0.4967993
3.242158 0.165685
2.955095 0.3900649
3.486199 0.05246705
3.27471 0.357647
3.281757 0.3300883
3.103663 0.2808417
3.009142 0.1575955
3.448191 0.2980893
