"beta1_1" "beta2_1" "beta1_2" "beta2_2"
19.39457 3.680949 -30.12883 -3.896373
18.87832 3.742499 -30.36669 -3.941533
18.69225 3.615969 -30.11918 -3.955992
19.58227 3.733811 -30.06478 -3.933141
17.89926 3.936276 -30.03747 -3.920498
18.6716 3.810747 -30.34731 -3.851517
18.72841 3.83668 -30.48985 -3.815095
18.5552 4.118002 -30.41461 -3.937723
18.50303 3.805182 -30.18119 -3.934118
19.3086 4.225916 -30.45807 -3.971345
19.07252 3.732321 -30.10561 -3.840163
19.76212 3.829489 -29.93101 -3.884045
18.50683 3.564053 -29.98667 -3.889762
19.13944 4.142489 -30.57073 -3.920957
17.93106 3.875327 -30.57928 -3.849104
18.03951 3.946391 -30.15406 -3.902848
18.00129 3.72093 -30.46028 -3.874729
18.88814 3.894036 -30.19844 -3.937496
18.36995 3.92052 -30.48685 -3.804749
18.55546 3.994508 -30.84881 -3.960274
19.03903 4.102126 -30.58173 -3.925789
16.85269 4.05588 -30.16081 -3.861128
18.75142 4.225999 -30.74773 -3.947535
18.12744 4.101346 -30.27422 -3.871466
18.83329 4.337652 -30.31358 -3.932509
18.41436 3.875092 -30.87965 -3.914848
18.8546 3.813946 -30.70187 -3.911417
18.38249 4.185409 -30.24296 -3.907422
19.77774 3.805289 -30.04785 -3.922537
19.22523 3.776844 -30.35502 -3.935361
18.67789 3.622065 -30.50037 -3.925665
18.57907 3.844309 -30.34304 -3.888989
18.22058 3.6132 -30.2551 -3.920798
18.56583 3.809768 -30.54038 -3.930838
18.52571 4.070166 -30.1551 -3.956755
19.55598 3.6787 -30.11639 -3.865393
18.05762 3.574219 -30.28613 -3.859382
18.8316 3.754719 -30.38689 -3.868435
19.03514 3.815705 -29.9162 -3.888923
18.68279 3.762415 -30.11733 -3.934062
18.27188 3.592561 -30.14934 -3.955998
18.72081 3.629785 -30.23585 -3.947224
17.99466 3.927824 -30.26327 -3.923799
18.32504 4.040546 -30.27758 -3.907698
19.28387 4.214759 -30.43338 -3.926793
18.01758 3.995884 -30.30951 -3.976139
18.82978 3.685068 -30.48633 -4.012434
19.32775 4.266853 -30.46003 -3.959094
19.3486 3.404469 -30.20823 -3.866766
19.54565 3.792528 -30.23154 -3.843309
19.40745 3.90804 -30.5149 -3.972288
18.80092 3.953167 -30.30727 -3.908107
18.89421 3.332587 -30.08663 -3.900876
18.6749 4.039543 -30.28165 -3.892387
17.79994 3.707074 -30.25135 -3.917116
20.03492 3.750678 -30.3483 -3.987836
18.68686 4.078173 -30.27064 -3.851953
18.28221 4.018148 -30.34243 -3.961335
18.90808 3.937755 -30.33302 -3.751819
18.37336 4.033098 -30.48365 -3.855033
18.23935 3.511476 -30.27657 -3.970242
18.35949 3.867479 -30.1546 -3.906721
18.51933 3.896754 -30.25735 -3.943313
19.75211 3.662415 -30.23703 -3.92528
18.49011 3.78763 -30.05245 -3.894863
19.83937 3.938013 -30.20167 -3.82421
19.63016 3.856662 -30.41257 -3.860318
18.04573 3.82804 -30.21455 -3.902812
18.56336 3.674718 -30.05456 -3.908298
18.75186 3.978382 -30.39285 -3.862604
18.3186 4.078809 -30.37061 -3.989902
19.04299 3.885904 -30.1418 -3.928818
18.88208 3.221776 -30.11699 -3.883448
18.524 4.107929 -30.06169 -3.987758
17.83445 3.901302 -30.18775 -3.999069
18.5164 3.222835 -29.9979 -3.932152
19.1681 3.987341 -30.56714 -3.875416
18.3257 3.86253 -30.51944 -3.868643
18.33044 4.24515 -30.49599 -3.874081
17.39324 3.443244 -30.00659 -3.95085
18.01201 4.128754 -30.19407 -3.949789
18.95864 3.7321 -30.48883 -3.891604
17.42036 3.800256 -30.41979 -3.937183
18.21885 3.803672 -30.35415 -4.009079
17.83532 4.091025 -30.5351 -3.973124
18.50957 3.196587 -30.57191 -3.937189
18.93584 3.924823 -30.58178 -3.823058
18.64229 3.688295 -30.4842 -3.972705
17.90903 3.89225 -30.45035 -3.90776
18.04928 3.707327 -30.24215 -3.950303
18.18444 3.760996 -30.70549 -3.972023
18.78526 3.909288 -30.42606 -3.862667
19.26458 3.707889 -30.42002 -3.94843
18.61291 4.185597 -30.60998 -3.922095
18.45056 4.018048 -30.14474 -4.002629
19.19277 4.018096 -30.13378 -3.854568
18.70515 3.784216 -30.23052 -3.918937
18.68095 3.528472 -30.08616 -3.857996
19.64208 3.405897 -30.08302 -3.984865
19.10364 3.761381 -30.16824 -3.912072
18.97898 3.947035 -30.5778 -3.845768
19.03852 3.947445 -30.3827 -3.959358
19.27444 3.900518 -30.70842 -3.838807
18.10561 3.718143 -30.11009 -3.86066
18.47333 3.935147 -30.30299 -3.964429
18.71138 3.72779 -30.26031 -3.907242
18.69452 3.963968 -30.27062 -3.859636
18.37832 4.18281 -30.31806 -3.979176
18.25849 4.068386 -30.4426 -3.948892
18.64666 3.999273 -30.51251 -3.982757
18.83567 3.945823 -30.30163 -3.877153
18.40692 3.963902 -30.40358 -3.967762
18.26561 3.852295 -30.32378 -3.862465
18.68691 3.996566 -30.21818 -3.877878
18.37371 3.891646 -30.4152 -3.864569
18.64934 3.747011 -30.68603 -3.951982
18.83075 3.795499 -30.30434 -3.973379
19.26466 3.788993 -30.27028 -3.915236
18.23058 3.520249 -30.23519 -4.031315
18.44583 3.863363 -30.37041 -3.956847
19.03953 3.99027 -30.33994 -3.893903
18.36422 4.156198 -30.08961 -3.969889
18.57972 3.779738 -30.16149 -3.860147
18.65604 3.684354 -30.1746 -3.840938
19.12312 4.145276 -30.47373 -3.828693
19.11225 3.99811 -30.05085 -3.885895
18.66244 4.048043 -30.1113 -3.864827
18.4933 4.000411 -30.36761 -3.896964
19.13777 3.897843 -30.3562 -3.91294
18.82769 4.059559 -30.44306 -3.916876
18.5658 3.265579 -30.67364 -3.929935
17.98394 3.501568 -30.42066 -3.885918
18.76906 3.644651 -30.27967 -3.963626
18.18644 3.984884 -30.54977 -4.010838
18.51854 3.639803 -30.6364 -4.045529
18.30299 3.950785 -30.64083 -3.936004
18.9479 3.651325 -30.41315 -3.9212
17.58729 4.412575 -30.26584 -3.84961
18.21377 3.445179 -30.31895 -3.869681
18.72268 4.116422 -30.34134 -3.912167
18.36673 3.739538 -30.43513 -3.934363
19.29358 4.087572 -30.58874 -3.902
19.38798 3.862088 -30.3725 -3.912015
18.97772 3.948957 -30.53767 -3.957986
20.03028 4.255579 -30.36376 -3.85798
20.01134 4.061716 -30.03363 -3.934636
18.20252 3.597489 -30.2237 -3.942801
18.00698 3.640063 -30.37697 -3.852561
18.16242 3.448072 -30.1824 -3.983704
17.86825 3.993466 -30.52992 -3.845186
18.3746 3.690292 -30.15046 -3.931293
18.31093 3.936265 -30.11017 -3.938866
18.58207 3.688816 -30.35943 -3.917861
19.1814 3.595493 -30.34375 -3.880791
18.78357 3.881102 -30.53117 -3.852587
18.67832 4.166185 -30.21002 -3.856016
18.60546 4.032981 -29.96556 -3.928533
19.53759 3.899484 -30.17151 -3.838213
19.72599 4.014242 -30.07997 -3.993551
19.07789 3.902088 -30.15588 -3.851624
18.99393 4.276086 -30.39532 -3.987918
18.29293 3.972883 -30.44716 -3.925695
18.97183 4.263615 -30.49627 -3.892053
18.2624 3.93286 -30.15729 -3.959226
18.24442 3.590862 -30.34362 -3.887408
18.33842 4.06116 -30.07848 -3.904383
18.3942 3.804412 -30.57711 -3.943963
18.7459 3.644401 -30.39008 -3.826123
17.9593 3.749715 -30.65974 -3.910508
18.93374 3.523101 -30.3883 -3.9231
19.21756 3.579394 -30.363 -3.929495
18.72625 3.54367 -30.39007 -3.849597
17.83654 3.697172 -30.3129 -3.949061
18.95381 4.095639 -30.7872 -3.963114
18.78621 3.922673 -30.74922 -3.879321
18.06519 4.07274 -30.34702 -3.897591
19.30284 4.474071 -30.29049 -3.866936
18.60649 3.888654 -30.22509 -3.95934
18.13277 4.11264 -30.16195 -3.979159
18.94867 4.210392 -30.12939 -3.862904
18.73303 3.605491 -30.36339 -3.916366
18.60758 3.673443 -30.29535 -3.845191
19.23459 4.023829 -30.49421 -3.869901
18.55326 4.038139 -29.9041 -3.868672
19.44934 3.682935 -30.39838 -3.885429
18.78283 3.56529 -30.20759 -3.996117
18.25666 3.957504 -30.23831 -3.993488
18.14 3.964382 -30.34064 -3.96374
18.35048 3.633778 -30.38038 -3.826642
17.8614 3.739116 -30.19665 -3.947951
18.06391 4.218285 -30.55297 -3.912163
18.20851 3.927654 -30.40388 -3.869014
18.65626 4.026319 -30.3414 -3.931831
18.88226 3.924512 -30.0871 -3.917134
18.0352 3.399655 -30.16065 -3.983861
19.09145 3.707953 -30.31886 -3.848292
17.98681 3.007942 -30.25826 -3.90896
17.35787 4.038115 -30.19796 -3.910957
18.56397 4.191556 -30.84625 -3.875299
18.55075 3.808156 -30.4962 -3.938637
18.8674 4.196546 -30.37734 -3.861078
19.45699 4.043877 -30.40847 -3.847507
18.66758 3.41835 -30.283 -3.890652
19.75449 3.761259 -30.57896 -3.876046
19.06481 3.897105 -30.33508 -3.988644
19.39256 4.211988 -30.51545 -3.915271
18.17912 4.011312 -30.39144 -3.93441
18.42311 3.399005 -30.07316 -3.929943
18.7323 4.360022 -30.23147 -3.913753
18.53164 3.552757 -30.3767 -3.906413
18.69276 4.483299 -30.1474 -3.974445
18.46781 3.946609 -30.44134 -3.965732
18.18712 4.064944 -30.28121 -3.986304
18.95419 3.886495 -30.335 -3.947116
17.9245 3.749358 -30.14372 -3.968992
19.21944 3.791958 -30.52586 -3.845119
18.27656 3.929617 -30.19602 -3.917012
18.44549 4.076013 -30.31548 -3.910085
18.40564 3.955963 -30.40059 -3.955761
18.85119 3.745773 -30.25181 -3.818642
18.78502 3.902129 -30.29756 -3.891935
19.3503 4.334981 -30.34528 -3.878145
18.36032 3.748189 -30.17995 -3.935039
18.55606 3.901898 -30.31867 -3.889582
18.99638 3.887544 -30.10484 -3.906676
19.14119 3.720102 -30.55462 -3.980091
18.87227 3.669872 -30.11513 -3.911138
17.95499 3.888507 -30.17811 -3.862797
18.48856 4.053085 -30.43107 -3.886382
17.41328 4.166581 -30.43636 -3.905417
17.68781 3.963451 -30.62431 -3.933216
18.42923 3.871163 -30.41169 -3.987996
18.85069 4.052342 -30.28301 -3.891167
19.42745 4.03565 -30.65313 -3.859724
18.06096 4.100364 -30.46723 -3.952146
18.36117 4.174473 -30.73502 -3.953516
18.05294 3.439688 -30.57403 -3.864154
17.44079 4.276677 -30.26082 -4.036992
17.77786 3.885479 -30.3655 -3.920745
18.72093 3.622873 -30.34919 -3.863811
17.87256 4.232977 -30.23536 -3.847109
18.99984 3.611277 -30.45888 -3.913457
18.39416 3.891105 -30.5445 -3.944508
18.99897 3.830301 -30.09714 -3.951699
18.48908 4.079157 -30.25376 -3.85154
18.18326 3.551633 -30.34073 -3.930227
18.59647 3.706391 -30.26935 -3.962379
18.80041 3.997817 -30.31799 -3.901012
18.72039 3.907157 -30.26269 -3.835522
19.44705 4.310491 -30.19278 -3.869225
19.15792 3.804183 -29.97998 -3.862138
18.27884 3.77415 -30.42128 -3.877859
17.51945 3.879482 -29.84785 -3.983321
17.97542 3.682973 -30.352 -3.886215
17.75658 3.933143 -30.39327 -3.84079
18.09872 4.072394 -30.13198 -3.873474
19.04946 4.25717 -30.74387 -3.880846
17.23044 3.791501 -30.47498 -3.909878
18.6956 3.681723 -30.56121 -3.897997
18.26334 4.238129 -30.14038 -3.927679
19.9059 3.870812 -30.29421 -3.831909
19.59164 3.509327 -30.27867 -3.939714
19.60473 3.790266 -30.2168 -3.891741
18.26523 3.738987 -30.21014 -3.944172
17.4456 4.33952 -30.20911 -3.939747
