"Delta_1" "Delta_2" "Delta_3" "Delta_4"
21.53215 -1.868323 1.214553 -2.785442
13.7118 -1.909333 1.215503 -2.876447
2.504173 -1.929231 1.205318 -2.725795
-0.02167563 -1.876291 1.212706 -2.725926
6.816983 -2.044724 1.174013 -2.891956
1.858033 -2.103224 1.223997 -2.907029
0.8463618 -2.155903 1.222863 -3.017597
-3.767517 -2.1684 1.20611 -2.999446
-0.06133839 -2.205261 1.194674 -2.871625
0.5461972 -2.05915 1.210441 -2.810947
-5.798223 -2.085324 1.003977 -2.9068
3.380901 -2.043223 1.069051 -2.844431
3.062552 -2.170362 1.039267 -2.679257
5.820107 -2.102867 1.032027 -2.797599
-8.049419 -2.145229 1.032209 -2.672422
-0.202974 -2.152645 1.060497 -2.948901
-1.200637 -2.178226 1.061681 -3.269797
-4.202045 -2.244361 1.158903 -3.103386
19.62951 -2.309452 1.194931 -3.22079
-18.1577 -2.186998 1.251213 -3.149449
11.7375 -2.296816 1.202342 -3.092868
21.17112 -2.292892 1.176552 -3.112886
-3.819763 -2.209345 1.168983 -3.045966
18.51247 -2.22275 1.260373 -2.802614
-17.397 -2.234106 1.273118 -2.971175
-4.291331 -2.156575 1.371208 -2.936138
-2.918307 -2.280719 1.262946 -2.964523
-13.51837 -2.084762 1.234057 -2.919345
-3.252724 -1.900469 1.206386 -2.927811
-2.559732 -1.980046 1.279392 -3.042315
-14.56627 -1.896723 1.208037 -2.905715
-6.829118 -2.057417 1.247047 -3.183478
-13.65273 -2.0901 1.234019 -3.189396
-8.419517 -2.095459 1.166676 -3.337444
0.7543232 -2.128564 1.266344 -3.278622
0.2395486 -2.105209 1.254282 -2.866445
-13.47601 -2.097314 1.167232 -3.051385
-5.372146 -2.030448 1.201525 -3.007912
10.14799 -2.122758 1.20986 -2.899108
-10.3172 -2.17724 1.226668 -3.033891
1.083104 -2.050693 1.102532 -2.735869
11.52192 -2.032276 1.109983 -2.738888
7.601425 -1.942223 1.123173 -2.649205
1.008168 -2.000464 1.098707 -2.682968
-1.237279 -2.028724 1.021392 -2.87921
8.277742 -1.996747 1.023816 -2.678471
12.12216 -2.056338 0.9780664 -2.771159
-3.235447 -2.091151 1.076685 -2.528332
2.195011 -1.969342 0.999807 -2.713772
-12.09975 -2.014024 1.057746 -2.602084
-4.918806 -1.971031 1.000226 -2.505954
-1.611046 -1.973313 1.065104 -2.583709
5.362387 -1.983211 1.032993 -2.746165
14.68106 -1.968551 1.056139 -2.697165
-6.180817 -2.085137 1.049396 -3.056217
0.6313822 -2.048718 1.122195 -3.153081
-8.553439 -1.999851 1.076389 -3.108612
-0.2607436 -2.036753 1.022077 -3.102643
-0.2996258 -1.969699 1.04287 -2.634841
-11.0135 -1.892986 1.114877 -2.789161
0.1988912 -1.976043 1.135588 -3.097231
-5.217114 -2.005869 1.163811 -3.109599
14.12341 -2.143133 1.145187 -3.220178
1.044428 -1.958385 1.039127 -3.006968
1.118637 -1.965004 1.20371 -3.130707
-0.0138527 -1.762839 1.224571 -3.174771
-3.074237 -1.81442 1.119079 -2.751303
0.1433698 -1.945034 1.119476 -2.819883
-6.842462 -2.020011 1.159854 -2.904585
7.364973 -2.085925 1.148623 -3.385108
-4.013304 -2.020764 1.148321 -3.319252
0.1686882 -2.16615 1.153059 -3.26719
-0.7961683 -2.19071 1.139977 -3.236953
2.339272 -2.230351 1.13852 -3.458805
