"nu" "alpha"
2.429939 0.3424951
1.959399 0.4903168
2.77855 0.4879286
2.784133 0.2196126
2.236037 0.4821946
2.477606 0.3042619
2.254239 0.09665133
2.84513 0.2414474
2.58671 0.34128
2.658086 0.4959203
2.492938 0.4862746
2.326526 0.4269585
2.37291 0.4502431
2.532524 0.4648013
2.080985 0.3115105
2.459574 0.1589484
2.395202 0.4806784
2.417523 0.2165448
2.569683 0.4425135
2.423869 0.4102371
2.503029 0.2521001
2.629809 0.1053842
2.645731 0.1814641
2.871223 0.3489853
2.229012 0.2886952
2.454316 0.4636298
2.586513 0.2037879
2.671943 0.2778617
2.119603 0.4732056
2.300141 0.4227837
2.331076 0.1067093
2.311027 0.1638182
2.726181 0.4410413
2.615191 0.2126965
3.112862 0.4768484
2.435154 0.1905903
2.26622 0.3013276
2.345642 0.292784
2.149191 0.241726
2.009548 0.09227228
2.438513 0.07705326
1.86929 0.3914961
2.232862 0.2549538
2.491262 0.4182365
2.374914 0.2318339
2.102782 0.3580426
2.174978 0.1016791
1.954928 0.426417
2.301031 0.4313766
2.274007 0.3322977
2.379556 0.2365241
2.249304 0.1447412
2.078346 0.3650148
2.570891 0.4649676
2.386553 0.4625485
2.556188 0.4022238
2.572874 0.3124992
3.076061 0.3837335
2.303502 0.268983
2.74735 0.1696215
2.484264 0.4749654
2.531082 0.2851876
2.687055 0.08403338
2.519455 0.2825415
2.865594 0.2418135
2.507547 0.1671684
2.167555 0.3036387
2.336234 0.3250117
2.049088 0.4221387
1.770851 0.08623564
2.172332 0.1185581
2.313657 0.3554692
1.884221 0.1227031
2.207036 0.1810536
2.538398 0.4894481
2.339598 0.3930384
2.41375 0.0329916
2.017708 0.07687498
1.932376 0.4964176
2.021902 0.09307604
1.996822 0.2121027
2.229857 0.3431618
2.714759 0.3424478
2.417316 0.2395911
2.495842 0.1472529
2.125033 0.2748942
2.321394 0.2287625
2.589448 0.1948951
2.170772 0.08967026
2.229456 0.3134117
2.180079 0.3068147
2.556353 0.2438881
2.364434 0.2090845
2.240591 0.2334515
2.480228 0.2428935
3.032234 0.09232632
2.336407 0.05405273
2.504268 0.2629962
2.450733 0.4020622
2.571459 0.3079954
2.378549 0.4472382
2.273991 0.4638496
2.595824 0.4876442
2.246231 0.494109
2.744984 0.169842
2.289166 0.4274085
3.025728 0.2387158
2.431223 0.2286675
2.402349 0.4134432
3.152933 0.2431183
2.26332 0.1911122
2.528295 0.3732615
2.429993 0.4601891
2.459941 0.1135367
2.44315 0.3409966
2.316349 0.2764188
2.025012 0.3864383
2.357246 0.4300922
2.016042 0.4270525
2.206985 0.3079012
2.148019 0.3575835
2.277123 0.3124615
2.449657 0.2034756
2.47131 0.2755689
2.345155 0.1799374
2.424024 0.4325001
2.388884 0.396253
1.988566 0.1993337
2.416655 0.4901482
1.857307 0.1004891
2.179686 0.0951949
2.464566 0.3169391
2.124839 0.2143191
2.511816 0.4006061
2.215281 0.3788142
2.034192 0.2504964
2.194132 0.4959086
2.202399 0.3381291
1.960582 0.3339786
2.288965 0.06611688
2.185724 0.4047088
2.180554 0.1593094
2.846024 0.3661622
2.348507 0.3137741
2.55909 0.4707176
2.575585 0.07576384
3.003571 0.07925316
2.346827 0.4607838
2.810274 0.1617066
2.226268 0.4246792
2.203222 0.4604738
2.380091 0.1566074
2.250886 0.4362827
2.041966 0.2328318
2.200741 0.08620912
2.334432 0.1290308
2.221619 0.3129663
2.60542 0.2246546
2.410863 0.3288335
2.473261 0.3039107
2.690557 0.3674697
2.148544 0.3211313
2.483724 0.2087105
2.25293 0.146082
2.146573 0.2522136
1.95389 0.07378349
2.086272 0.2853379
2.367286 0.2537035
2.11045 0.1241125
2.333648 0.4505705
2.744088 0.4020707
2.096519 0.3267415
2.484522 0.2881944
2.00284 0.1248584
1.978938 0.4623534
2.339198 0.1310957
2.578542 0.4094765
2.351738 0.3803143
2.36177 0.2062962
2.630155 0.3781958
2.209349 0.4259791
2.945931 0.2017792
2.492714 0.3861663
2.703432 0.4338191
2.851531 0.4349049
2.833013 0.4141716
2.819791 0.4623525
2.482162 0.3696302
3.120835 0.240183
2.818814 0.4663213
2.600273 0.1016483
2.4304 0.09693423
2.412489 0.1008221
2.011092 0.4377452
2.331907 0.2721593
3.315208 0.2857378
2.709087 0.2542568
2.399788 0.1243387
2.067952 0.4045526
2.557632 0.09845308
2.466426 0.4652646
2.348646 0.4936241
2.268918 0.36419
2.428775 0.3609898
2.429109 0.1283141
2.549264 0.4065663
2.343338 0.4745332
2.862174 0.3448813
