tau2_1 tau2_2 tau2_3 tau2_4 
0.2410744 0.0277612 1.027193 39.33088 
0.156882 0.02208799 0.05031895 1.463885 
0.09540555 0.01605348 1.196811 4.849569 
0.06053975 0.01486776 52.50226 0.02995577 
0.5779143 0.09143091 155.6167 0.478147 
0.09138009 0.019285 1.856832 19.35097 
2.392993 0.05171307 28.33435 1.75125 
0.2496962 0.04784303 194.5614 0.3506093 
0.3134506 0.02136676 3.813382 0.7169444 
1.367351 0.01134748 0.1655049 2.838349e+12 
0.06549744 0.03770443 0.2291625 10.15124 
0.6460583 0.02498625 0.1559324 7.320254 
1.003635 0.03991944 0.05775464 0.7554749 
6.671908 0.03010327 0.22751 0.03629198 
0.683842 0.03040122 0.03730308 157680.5 
0.5243949 0.0121691 0.1665811 14.12134 
1.301351 0.02929973 0.606609 0.1169005 
0.8669783 0.05743018 0.1478153 25156.34 
4.109675 0.02271876 0.223412 236.4512 
0.8686322 0.01630813 1.210453 10439 
1.682685 0.03027054 0.2969385 0.110328 
0.1265714 0.0132935 991.5907 39.7607 
0.182971 0.01987137 27393542 1.554118 
0.1234601 0.03402492 56.38353 0.7713061 
1.126878 0.06358593 55.74223 0.2358976 
0.9426022 0.05227372 4.702925e+37 0.1482223 
0.8512283 0.01500661 110.9658 0.4102512 
0.7332019 0.04382422 16.75466 0.5580446 
0.1284981 0.01134921 10.40625 0.4924681 
0.144173 0.02648512 1.306527 17.27403 
0.324083 0.02261629 14.35236 0.1442093 
3.216161 0.0217112 0.866096 3.277344 
1.321284 0.02833975 0.3014905 3681.132 
0.1085193 0.03217508 2.026351 0.4901153 
0.0229614 0.0704066 1.519774 49539.08 
0.1547445 0.02976269 0.316522 52.78241 
0.05143224 0.02034537 0.05693216 119.4816 
0.5231934 0.02103761 2.467673 11.91124 
0.08973374 0.02798358 0.2716169 0.1425691 
1.533509 0.01458776 0.2536622 160.4586 
0.2298606 0.02791451 0.309248 0.309672 
0.7651792 0.01904833 0.5623808 1.287929 
2.046742 0.02341622 0.0850259 216.5327 
1.162423 0.02519194 1.003957 0.2284865 
0.2979673 0.02238761 0.2067657 0.07070658 
0.05680282 0.01427699 0.2176947 84.02517 
0.1973096 0.006867304 0.0402809 261665641 
0.7213219 0.01700111 0.1771996 0.7689804 
0.7431467 0.03233369 2.367785 0.5726627 
3.110003 0.01277251 0.2926808 261.0202 
9.291082 0.01838137 0.04101945 81.2649 
0.4609305 0.01089826 0.3814756 0.5138456 
0.5560186 0.009718931 0.07534219 371663136 
0.7215802 0.02216656 0.1770211 16651629 
0.8059597 0.05725314 0.2549576 6.94482e+11 
0.2136177 0.02401867 0.05907675 1.455548 
0.2971395 0.03647688 0.2143964 0.1569716 
0.3260091 0.06368261 0.0723191 0.3592736 
46694178525 0.02469201 13.60031 401.3093 
33.21194 0.03878802 0.2224293 47.87661 
4.048375 0.0302272 0.3650707 1.910744 
4.756438 0.02423367 0.06650861 4.601152 
5.022613 0.01179677 0.03863892 8.042267 
0.6998321 0.02952964 0.9278936 0.3385752 
614003235357 0.02236977 3.82091 51.0798 
0.05840199 0.01858586 0.04625056 11.00407 
4430.263 0.02656632 0.1125084 4.486166 
0.2112877 0.06404727 0.09496368 181.8228 
0.6604207 0.02638723 0.6730527 5.36145 
0.4579793 0.08949932 0.7513289 1.506559 
0.8355316 0.02219108 0.9932837 0.9764912 
1.026461 0.04577952 1.446499 143.8571 
0.1321183 0.01351181 0.5468518 8.198055 
0.28496 0.007726276 1.062533 284395067312 
0.3224743 0.02608705 0.7298827 30.99238 
0.1886681 0.03715668 0.1928915 37.80268 
0.2031288 0.01111016 0.4466761 0.6165972 
1.591405 0.0154555 0.1554144 0.2807014 
0.04874689 0.0155336 0.8517127 388.4999 
0.568942 0.03939888 0.1787365 2.580153 
0.8092156 0.02353478 0.6290641 6.1426 
0.5721465 0.008429682 0.1741964 27.58576 
0.313041 0.04115909 0.1354109 43.90645 
33.43832 0.01253186 0.0204477 919542.2 
0.2894534 0.01125541 0.3282029 0.09418132 
0.2160613 0.033534 0.06716638 26.39422 
0.5619881 0.00871912 0.6086912 321558968 
592335.5 0.02043414 2.046824 59.85979 
0.1037275 0.02995358 0.3753121 13.55134 
0.2651292 0.03633484 0.7814624 0.3119562 
61.19874 0.03505962 0.5266934 0.4028209 
0.9091472 0.02283674 0.76373 0.1746588 
20.12924 0.01289551 1.542502 0.0948626 
0.07774805 0.02607233 0.564671 0.6021888 
1.698728e+17 0.02341194 1.743511 0.06816474 
36.59223 0.01161333 0.6937968 0.1176208 
0.4462466 0.01840425 1.199356 0.4540815 
10277373146 0.04007607 1.177662 40.18285 
12.39039 0.01362555 0.06478839 41.77336 
4.625194 0.01408589 1.306043 0.544506 
415594085 0.01460034 0.03218974 47.79426 
3.771059 0.008632049 0.1101883 0.08869558 
1.791664 0.01484622 1.079195 0.0775193 
20.46994 0.02841403 4.873678 3.584663 
0.2648685 0.01489497 0.8114452 515.7343 
0.3689926 0.02272674 0.8020038 0.0754483 
5.232951 0.01939203 0.2939623 456.8038 
0.07229082 0.02477232 0.1263971 0.1614974 
0.3146249 0.01371581 0.2087637 0.4632236 
0.158555 0.01253714 0.4446844 25.5543 
2.556773 0.007943287 0.5088495 58.98822 
0.9530633 0.05732837 0.9980674 0.3718318 
41.74568 0.02166275 0.09915878 23287.38 
6.105525 0.01252419 0.2026983 334193.7 
0.2973423 0.01279969 1.094571 388.3306 
0.05604272 0.04615263 0.3143158 178.7057 
0.700173 0.01222286 0.3205077 0.1827368 
0.5754961 0.02349867 0.8959344 1.014216 
0.2390944 0.02453879 3.143063 0.4316111 
0.21335 0.01805534 1.895351 34.49977 
0.5192995 0.01908032 1.579888 3.101391 
1.42992 0.0324201 0.9408963 16.93259 
8.917807 0.02441208 3.298604 1.269941 
0.4135845 0.03652482 3.172486 0.2856616 
0.2598002 0.008114906 0.06488679 0.7674244 
0.03747073 0.02711124 9.413239 1.307633 
1.679851 0.03602431 165.0635 0.2416373 
0.2439453 0.04457686 172.7566 10.85354 
0.260048 0.01387851 47.64803 361.2834 
0.2589737 0.05136063 0.02693837 0.3418603 
0.2935235 0.01709342 18.02237 0.3122327 
1.51883 0.0158883 27.88231 0.09964414 
4.505088 0.02243359 0.2445706 2.563259 
1.751231 0.03322176 141512.4 0.5106227 
0.5248711 0.007991771 13.9646 0.2910003 
0.4445155 0.02732248 0.5971737 0.2772406 
1.128975 0.08973388 2.713921 0.4893375 
0.08841556 0.01262448 38.87492 0.1854143 
0.5708514 0.01656105 0.925201 5.931293 
0.5396406 0.02042973 0.3508782 8.820801 
0.1000975 0.01364517 0.1107217 1.048836 
0.2123978 0.02004215 0.1157997 12513.72 
2.245275 0.01244749 0.1787929 0.09660295 
1.165272 0.02946673 0.3762582 2315.949 
0.7845961 0.01718207 0.2074378 107.3536 
0.1104801 0.02723278 13.05895 0.2564062 
0.0718229 0.0458125 3.992921e+13 0.07642345 
2.474602 0.02093965 10.34509 0.3276947 
2.725747 0.01350971 0.06614346 0.2918227 
0.4714773 0.02590807 1778497 0.2179049 
0.4034919 0.01602811 0.1676299 0.4587955 
0.1924172 0.02554209 0.1692506 0.02778162 
7.177301e+15 0.008133227 1.951386 0.2360876 
251141.6 0.01802254 0.6533423 0.02409143 
395411211 0.01371248 0.4040574 0.2641071 
2.692174 0.03965345 1.884033 0.7350242 
5064.015 0.02237121 2.083137 0.07660958 
0.1707225 0.01444493 1.598091 0.1625998 
11274246 0.02695857 0.4922807 0.04273508 
95871.26 0.0351716 0.4412981 0.5637963 
5.787798 0.01755664 0.7743551 0.3972302 
0.0173372 0.01213929 0.1609578 0.05710529 
13.15096 0.02665403 0.7429749 71.31499 
1109.974 0.0246849 0.05738638 15.51755 
10.78958 0.02130667 1.403409 0.0419583 
6.970373 0.03644731 1.441216 2.212182 
14.14275 0.02535033 0.5708782 0.2939609 
0.1261159 0.007338204 0.07515866 1.953763 
97.94119 0.02835779 0.1282513 0.1091156 
1.566409 0.03522671 0.1704821 0.2001896 
0.8350559 0.005845853 0.3053235 0.07004488 
61.49726 0.01289821 0.7967178 0.04867262 
2.859344 0.02575681 0.3481213 0.322423 
1.873387 0.02769657 0.02310498 3.044267 
6.638665 0.0230066 0.1662406 165.9127 
19.4024 0.01133354 0.1055271 2.295757 
93.98046 0.02399276 0.1383567 14.18544 
150.5643 0.02376755 0.7142149 0.01455504 
1.147394e+23 0.03738278 0.5573552 0.929854 
600.3948 0.01707774 0.2597398 0.02518856 
0.1505655 0.01378531 0.8688688 0.4815445 
34061697 0.02781292 3.799267 1.004561 
0.08721573 0.03500045 0.155273 0.707306 
4.589838 0.02266824 0.7906483 0.1190779 
0.05618368 0.01045891 2.132087 0.07631479 
22.28669 0.02035629 1.624852 9.770427e+14 
0.3219381 0.01679356 0.360722 0.1715028 
0.08766661 0.01547601 0.01331513 37.44111 
0.2301477 0.04180274 0.7200787 0.2298663 
0.2258686 0.01927698 3.522907 14.79834 
3.808634 0.01857952 1.181734 5.942132 
0.1662249 0.01616964 0.9509401 1.538991 
19.47584 0.01637403 2.397166 23.27466 
8.072508 0.01546333 0.3857572 4.4491 
0.1606865 0.01777873 0.1098576 1.881258 
2.644569 0.02037286 0.5909943 0.07300159 
0.1198973 0.01369727 0.6051983 32.65338 
0.6876251 0.02790917 0.07667767 4252185 
1.334315 0.0225387 0.6228015 0.7269423 
1.106923 0.02636322 0.6193309 805.5141 
0.3356675 0.009728386 0.04772166 175.5438 
0.1567992 0.03160296 0.3951072 692897.8 
0.5164861 0.04495786 0.8060942 9.050741 
0.6857087 0.01217347 1.196123 2568.729 
0.5848313 0.02019066 0.6964806 0.04859775 
76.29652 0.008509054 2.716491 333.7952 
558.5822 0.01432439 0.2422049 0.03107839 
0.07574079 0.01783141 0.3066838 1.014595 
0.0247366 0.0176562 0.1687551 0.2903873 
0.898644 0.02636852 0.09184938 0.0591113 
8849.47 0.01939506 0.2213812 0.3167057 
9271769 0.01538001 0.5906729 0.1097291 
133.688 0.01765315 0.04646715 1.673402 
4.397166 0.09054521 2.368405 0.940531 
0.7485727 0.0340321 0.2570503 0.1196624 
0.4496357 0.0275478 16.40391 0.0757247 
0.4076024 0.0343677 26791810 0.0275232 
0.0363644 0.01826679 200543675776 0.1309474 
1.055802 0.01417487 7562.728 0.2913811 
0.4626532 0.0185277 0.4104594 21.71339 
0.8095277 0.04742768 0.2809562 0.5610839 
0.301811 0.01957968 16.80832 0.1420862 
1.319829 0.03687966 4.946822 0.2675273 
1.144815 0.01684563 3.157861 0.01510585 
0.4955874 0.02439331 3.625652 0.0910056 
0.08450849 0.0472333 0.7434523 1.37347 
0.9201301 0.02212162 1.289654 0.6796408 
0.9316196 0.02069499 64.17822 2.520988 
0.02065972 0.0264741 0.5241629 0.50569 
8.983853 0.01779612 0.07374736 0.83059 
0.3659857 0.01088159 0.9263909 0.1880132 
25503.33 0.02403083 2.695929 0.4933953 
129182252 0.02254 33263.27 3.695358 
2.348325 0.09140792 3.042181 2.423867 
0.1968642 0.02535459 0.1298656 0.3711777 
0.05430256 0.01642223 0.01662471 0.4001162 
7.773514 0.05404783 0.09161712 0.3219556 
75.39478 0.01889367 0.2831867 2.32118 
0.1342915 0.04139203 0.3942935 0.9889802 
