p_1 p_2 
0.8078632 0.1921368 
0.7555051 0.2444949 
0.8357562 0.1642438 
0.7370674 0.2629326 
0.7829726 0.2170274 
0.7819476 0.2180524 
0.8873904 0.1126096 
0.7818921 0.2181079 
0.8716969 0.1283031 
0.8667685 0.1332315 
0.859135 0.140865 
0.8118403 0.1881597 
0.8832739 0.1167261 
0.7735438 0.2264562 
0.8366134 0.1633866 
0.836439 0.163561 
0.7622877 0.2377123 
0.8088154 0.1911846 
0.8571865 0.1428135 
0.8213276 0.1786724 
0.8320351 0.1679649 
0.7605743 0.2394257 
0.8069039 0.1930961 
0.829271 0.170729 
0.7490785 0.2509215 
0.8053248 0.1946752 
0.8106714 0.1893286 
0.83282 0.16718 
0.7529795 0.2470205 
0.8383359 0.1616641 
0.7936917 0.2063083 
0.791711 0.208289 
0.7907083 0.2092917 
0.7710864 0.2289136 
0.8097432 0.1902568 
0.8394172 0.1605828 
0.8021002 0.1978998 
0.8450899 0.1549101 
0.8255811 0.1744189 
0.8110688 0.1889312 
0.8490059 0.1509941 
0.7913237 0.2086763 
0.808679 0.191321 
0.8119325 0.1880675 
0.7738967 0.2261033 
0.7934292 0.2065708 
0.7689041 0.2310959 
0.7766138 0.2233862 
0.7147614 0.2852386 
0.8606944 0.1393056 
0.8245049 0.1754951 
0.782548 0.217452 
0.8177912 0.1822088 
0.776811 0.223189 
0.8620429 0.1379571 
0.821756 0.178244 
0.8371669 0.1628331 
0.8633566 0.1366434 
0.8421905 0.1578095 
0.8364011 0.1635989 
0.8207242 0.1792758 
0.7492845 0.2507155 
0.8194577 0.1805423 
0.8335687 0.1664313 
0.8450353 0.1549647 
0.8115025 0.1884975 
0.7832211 0.2167789 
0.770445 0.229555 
0.8570833 0.1429167 
0.7906346 0.2093654 
0.7934624 0.2065376 
0.8355658 0.1644342 
0.8459411 0.1540589 
0.8180693 0.1819307 
0.7578053 0.2421947 
0.816625 0.183375 
0.7530735 0.2469265 
0.8156969 0.1843031 
0.8613152 0.1386848 
0.8344079 0.1655921 
0.8096843 0.1903157 
0.7939457 0.2060543 
0.8846368 0.1153632 
0.8299436 0.1700564 
0.8358045 0.1641955 
0.8046004 0.1953996 
0.8260029 0.1739971 
0.8070758 0.1929242 
0.8669272 0.1330728 
0.7467298 0.2532702 
0.8131811 0.1868189 
0.8298628 0.1701372 
0.8665267 0.1334733 
0.8884296 0.1115704 
0.8207834 0.1792166 
0.8458946 0.1541054 
0.8690767 0.1309233 
0.7393117 0.2606883 
0.7218447 0.2781553 
0.8047993 0.1952007 
0.8635505 0.1364495 
0.7891388 0.2108612 
0.837473 0.162527 
0.8726693 0.1273307 
0.7375763 0.2624237 
0.8179776 0.1820224 
0.7479256 0.2520744 
0.8261107 0.1738893 
0.8236056 0.1763944 
0.8207778 0.1792222 
0.8986015 0.1013985 
0.8174168 0.1825832 
0.8654053 0.1345947 
0.8358396 0.1641604 
0.8128844 0.1871156 
0.859117 0.140883 
0.8381294 0.1618706 
0.8640469 0.1359531 
0.8262913 0.1737087 
0.782698 0.217302 
0.8535404 0.1464596 
0.8743251 0.1256749 
0.8387103 0.1612897 
0.7688254 0.2311746 
0.8038482 0.1961518 
0.8229171 0.1770829 
0.7729273 0.2270727 
0.8396147 0.1603853 
0.8399281 0.1600719 
0.8102572 0.1897428 
0.806622 0.193378 
0.7841936 0.2158064 
0.8292083 0.1707917 
0.846345 0.153655 
0.7580355 0.2419645 
0.7946132 0.2053868 
0.7954724 0.2045276 
0.8178964 0.1821036 
0.8694975 0.1305025 
0.8250118 0.1749882 
0.7584485 0.2415515 
0.8183483 0.1816517 
0.7884962 0.2115038 
0.7847218 0.2152782 
0.843705 0.156295 
0.7818406 0.2181594 
0.8196304 0.1803696 
0.8532488 0.1467512 
0.8316678 0.1683322 
0.8397545 0.1602455 
0.8091664 0.1908336 
0.7762302 0.2237698 
0.8227577 0.1772423 
0.8321122 0.1678878 
0.8199366 0.1800634 
0.8882808 0.1117192 
0.7595479 0.2404521 
0.842893 0.157107 
0.8725821 0.1274179 
0.7315827 0.2684173 
0.747685 0.252315 
0.6896473 0.3103527 
0.834391 0.165609 
0.832568 0.167432 
0.8299121 0.1700879 
0.8359853 0.1640147 
0.8314677 0.1685323 
0.8353745 0.1646255 
0.8527941 0.1472059 
0.8713334 0.1286666 
0.8068647 0.1931353 
0.8152928 0.1847072 
0.8201028 0.1798972 
0.7333898 0.2666102 
0.828 0.172 
0.7594179 0.2405821 
0.8918201 0.1081799 
0.8521792 0.1478208 
0.8435364 0.1564636 
0.8134376 0.1865624 
0.7266281 0.2733719 
0.8245019 0.1754981 
0.8095744 0.1904256 
0.7228104 0.2771896 
0.8960276 0.1039724 
0.8202109 0.1797891 
0.8062752 0.1937248 
0.7967909 0.2032091 
0.8166925 0.1833075 
0.840042 0.159958 
0.7763779 0.2236221 
0.8218281 0.1781719 
0.7932716 0.2067284 
0.8073048 0.1926952 
0.8487 0.1513 
0.7608412 0.2391588 
0.8243264 0.1756736 
0.8052326 0.1947674 
0.8315037 0.1684963 
0.830533 0.169467 
0.8318322 0.1681678 
0.8212183 0.1787817 
0.809129 0.190871 
0.9156115 0.08438846 
0.749224 0.250776 
0.8160982 0.1839018 
0.8016955 0.1983045 
0.8439168 0.1560832 
0.7857188 0.2142812 
0.7725756 0.2274244 
0.8044347 0.1955653 
0.8450867 0.1549133 
0.8737874 0.1262126 
0.8268152 0.1731848 
0.838395 0.161605 
0.8364993 0.1635007 
0.8259491 0.1740509 
0.8199912 0.1800088 
0.829361 0.170639 
0.8314253 0.1685747 
0.8267094 0.1732906 
0.859034 0.140966 
0.7570269 0.2429731 
0.8418524 0.1581476 
0.8343175 0.1656825 
0.8317165 0.1682835 
0.8091684 0.1908316 
0.8284871 0.1715129 
0.8118997 0.1881003 
0.8585848 0.1414152 
0.8635709 0.1364291 
0.8158643 0.1841357 
0.7653074 0.2346926 
0.7676591 0.2323409 
0.7615129 0.2384871 
0.8013259 0.1986741 
0.7945605 0.2054395 
0.8672528 0.1327472 
0.756319 0.243681 
0.8094338 0.1905662 
0.7801993 0.2198007 
0.8350199 0.1649801 
0.7962787 0.2037213 
0.7802356 0.2197644 
0.8198493 0.1801507 
0.8151797 0.1848203 
0.7978579 0.2021421 
0.8638696 0.1361304 
0.8032684 0.1967316 
