tau2_1 tau2_2 tau2_3 
2.142508 0.02098155 0.0573152 
28.22218 0.01869193 0.2701051 
0.1049749 0.02062203 1.914821 
18.47341 0.02645937 2.586121 
0.9209738 0.01684209 0.4065335 
0.109381 0.01739167 0.4124278 
1.149216 0.04624365 0.07500507 
0.03014123 0.02817363 0.7735634 
3.906352 0.0212915 0.2861694 
0.01074187 0.01358631 0.1778212 
1.064934 0.02042665 0.9183538 
1.644792 0.01173481 0.07460995 
0.2335174 0.01520726 0.13246 
0.2774249 0.03725892 0.4805116 
0.4167662 0.03515985 0.8363468 
0.2678692 0.03219806 0.03742851 
0.04484195 0.0565341 0.1032255 
1.299041 0.06833392 0.2280563 
4.416288 0.02421372 1.538535 
0.5517393 0.02662716 0.9494078 
0.2394413 0.02808785 3.07147 
0.09023084 0.01760495 0.8523893 
0.07135423 0.02331782 0.2712735 
0.1876918 0.0152947 0.04596736 
3.531825 0.04266349 0.2416643 
0.09296383 0.01742088 0.2250529 
2.641009 0.02733949 0.9645103 
0.606735 0.02228035 1.805734 
2.037328 0.02760694 0.6579468 
0.04430317 0.0261065 1.39156 
0.1001132 0.03713507 0.6088078 
0.03733165 0.0259831 0.7484708 
0.1710862 0.01906475 0.1155094 
0.367479 0.009919932 0.2615681 
0.06924176 0.02586074 1.257794 
0.2763466 0.02921052 1.065888 
0.245357 0.0284356 1.527663 
0.3003811 0.01346546 0.04975753 
2.978391 0.04546393 0.8037382 
4922292 0.02052011 0.5830228 
35.76216 0.01769353 0.2832733 
0.5921296 0.01034576 0.4904038 
0.1543097 0.0206613 1.769266 
0.02263825 0.0134035 0.1675748 
0.08264809 0.01778217 1.52798 
3.092225 0.05153262 0.3571316 
2.581709 0.02622057 1.433765 
0.07259758 0.03011492 0.05054018 
0.3606301 0.01306235 0.02857966 
0.362166 0.0337363 0.3488781 
0.1393493 0.01993538 1.594246 
65.36047 0.02152345 0.3397219 
0.5215345 0.03105463 1.211187 
15.18335 0.01525073 0.4873373 
0.449368 0.01519379 0.4026664 
3.064892 0.01577351 0.1117043 
0.02688446 0.01628939 0.1089415 
0.1626651 0.01236963 1.494437 
0.06705142 0.02291671 0.6072742 
0.7126912 0.02825713 0.2461144 
0.9180044 0.01982837 0.07892283 
0.4935081 0.04042502 0.25769 
0.04947199 0.01881523 0.2249512 
1.212449 0.02449063 3.67339 
0.1351311 0.03067767 0.0383503 
0.04723505 0.01569558 0.2901386 
9.478099 0.01713838 1.173829 
5479646531 0.01837396 0.02954977 
0.08716587 0.05276825 0.5716064 
10.37548 0.02901439 0.3164645 
0.05673814 0.03425439 0.02455263 
1.595817 0.01185979 0.5819057 
5.236644 0.01925561 0.4440921 
0.1198165 0.03456244 1.531638 
1.847173 0.01639896 0.386318 
0.3725298 0.03102535 0.4882171 
0.1269101 0.01947049 0.05867427 
0.2742926 0.03673577 1.839677 
0.9292747 0.03303489 0.66625 
3.74402 0.01833812 0.694377 
0.1285304 0.02061763 0.9197704 
0.4672432 0.02114698 0.3493805 
0.1512677 0.01677345 0.07016575 
50.46783 0.02590783 0.1275861 
32.23953 0.03205795 0.2236892 
1.647322 0.04206164 0.2593797 
1.627633 0.01821351 0.3587613 
12.90581 0.03044964 0.1282886 
0.1842845 0.02203417 0.3465089 
0.1063268 0.01803711 0.2494589 
0.2148714 0.01929395 1.329347 
14.3354 0.01755179 9.716626 
0.1325387 0.03021137 0.01368995 
0.3702879 0.01679245 0.03442608 
4.629622 0.03809615 5.6841 
0.6728026 0.03130067 0.2787019 
0.2344526 0.02536097 0.6038061 
