Delta_1 Delta_2 
0.01621812 0.1067391 
-0.01876747 0.02470909 
0.005715173 -0.05844704 
-0.001244263 -0.007131148 
-0.01188676 -0.03383646 
-0.0002084165 0.06020091 
-0.01836493 0.02100583 
-0.002850687 -0.06344452 
-0.006561001 -0.01154085 
-0.02221599 -0.009444609 
-0.009428271 -0.005590886 
-0.02427865 -0.02281655 
-0.03083026 -0.05966447 
0.005019707 -0.06992489 
-0.02144382 -0.08038221 
0.01624953 -0.01479154 
-0.01369142 -0.04723345 
-0.01100463 -0.006385563 
-0.006902581 -0.0011003 
-0.02353553 -0.08318292 
-0.003882078 -0.03253384 
-0.006072063 -0.05764581 
-0.02901602 -0.08292683 
-0.002417726 -0.02398062 
0.001485435 -0.005569604 
-0.01539507 0.05657282 
-0.04151067 0.02074017 
-0.004878609 -0.03028183 
-0.009945949 0.05478346 
-0.01584695 0.06812292 
-0.02773525 -0.08322609 
0.01068521 -0.08362283 
-0.01930348 0.05200025 
0.0005623535 -0.04407848 
-0.02018008 -0.02556636 
-0.01074137 -0.03695991 
-0.0183411 0.04717742 
-0.005222976 -0.03077542 
-0.01494356 -0.1006942 
-0.02623249 0.03403304 
-0.001130074 0.06271387 
-0.0121203 -0.1008268 
-0.01749714 -0.03293972 
-0.0163574 -0.05429092 
-0.0002357362 -0.01515289 
-0.001512063 -0.103229 
-0.01658295 0.1369363 
0.01100884 0.004072469 
-0.0135605 -0.1208777 
0.01300793 -0.0131855 
-0.02320555 -0.03544935 
-0.007835547 -0.07886762 
0.002638039 0.0317812 
-0.002540646 -0.1109689 
-0.0114234 -0.01100876 
-0.02227838 -0.03875077 
-0.0036975 -0.06208585 
-0.0003006906 0.04045272 
0.008349319 -0.06605386 
0.0007646823 -0.03076926 
-0.004346417 -0.06823217 
-0.02020968 -0.02966991 
-0.0177328 -0.04911637 
0.006926773 -0.05440847 
-0.00453168 0.04290108 
-0.0006330113 0.06801595 
-0.003929884 -0.01667374 
0.009611952 0.00975555 
0.005175822 0.008155082 
0.0002213755 -0.006058919 
-8.147354e-05 -0.08029079 
-0.01858519 -0.08895938 
0.01294052 -0.0009441156 
-0.03210491 -0.01950543 
-0.00498912 -0.04944004 
-0.01419672 -0.09456642 
0.01167374 -0.07520487 
-0.006202889 -0.02948563 
0.005911947 -0.1737168 
-0.02224273 -0.02512322 
-0.02262422 -0.01070048 
-0.0224329 -0.01447204 
0.0236114 0.04399226 
0.00163756 -0.02301903 
0.01503436 -0.01569599 
-0.02586292 -0.04019781 
-0.003059632 0.05460727 
-0.005983508 0.004423358 
-0.02826149 -0.05702934 
-0.0005928885 -0.0169283 
-0.01514148 -0.1028157 
0.001480002 -0.03018483 
0.004650552 -0.01616731 
-0.03029451 -0.05040879 
-0.002554798 -0.1512757 
0.008118597 -0.05725303 
-0.02522012 0.05736538 
-0.009034237 -0.1280502 
-0.03414369 -0.03879452 
-0.01048101 -0.03175558 
-0.02154805 -0.04136204 
0.01440428 -0.1183992 
-0.02841708 -0.01914754 
0.008297631 0.09165752 
0.01119243 -0.0009681341 
0.005420596 0.02631257 
0.004568617 -0.005091044 
-0.01573678 -0.09584399 
0.008846299 0.1038622 
0.01839344 0.08401967 
-0.03194517 0.1414177 
-0.02223861 -0.008132732 
0.01265401 0.01040303 
-0.008244268 -0.029256 
-0.003661233 -0.00432243 
-0.0168903 0.03782166 
-0.01169105 0.08095728 
-0.0005522755 -0.004862201 
-0.02932941 -0.05289228 
-0.007667691 -0.03608116 
-0.02249498 0.005933716 
0.01870142 -0.007974339 
-0.006262019 -0.01776194 
-0.01161642 -0.03037883 
0.027377 0.06828535 
0.003737297 0.05975861 
-0.005273473 0.02150288 
-0.03634087 -0.1709091 
-0.009560475 0.07487125 
-0.006855077 0.006465015 
0.003148267 -0.01548029 
0.006032737 -0.06934566 
-0.01816931 -0.0272416 
0.001957304 -0.05301793 
-0.001199821 -0.01760656 
0.0001197686 0.01402442 
0.01053561 -0.02221416 
0.003424765 -0.01785572 
0.02229901 0.1722475 
0.008570574 0.04035318 
-0.02198402 -0.02551344 
0.00460415 0.04603457 
0.008946669 -0.04069662 
-0.0005015958 0.03888416 
-0.01922759 -0.01402189 
0.009400164 0.04913371 
-0.009528954 -0.07083271 
0.007049317 -0.02824161 
-0.001342912 0.008657237 
-0.0247139 -0.05885681 
-0.03162491 -0.02517667 
0.01309282 0.01988964 
-0.005492227 -0.06586591 
0.008704573 -0.1126643 
-0.008032331 -0.04430706 
-0.007793036 -0.004641078 
0.02214242 0.0005856567 
0.02472796 -0.03230592 
0.003773157 0.009258073 
-0.005744713 -0.02802285 
-0.003913293 -0.02410688 
-0.02346506 0.07433439 
-0.003170754 -0.08411535 
-0.0378212 0.04373341 
-0.002390564 -0.02437459 
-0.02561755 0.03362092 
-0.004445318 0.08081125 
-0.03286957 -0.04805391 
0.004317224 0.07089438 
-0.0208382 -0.04074533 
0.00503045 0.03684486 
-0.01569016 0.1400437 
-0.01125666 -0.0962681 
-0.006462935 0.03269944 
-0.01293871 -0.02818278 
-0.03037572 0.02939476 
0.01082985 -0.1372258 
0.02004315 0.006688884 
0.006734068 0.08162426 
-0.0003378434 0.01457349 
-0.007893418 -0.0184037 
0.009510011 -0.01519131 
0.01627657 0.009208422 
-0.01643662 -0.03537135 
-0.01219502 -0.01557913 
-0.03328955 0.04570805 
0.02636674 0.07032552 
-0.01144032 -0.1205382 
0.0214822 -0.1171587 
0.01360233 -0.02119611 
-0.001833251 0.01144457 
0.01947018 0.0360163 
-0.02605396 -0.03246763 
-0.01093386 0.02614204 
-0.01278252 0.0591389 
-0.01039697 -0.0719211 
-0.0175932 0.05082966 
-0.01089325 -0.01887087 
-0.02081868 0.06347127 
-0.02309617 0.04517164 
0.01234806 -0.03277642 
-0.02490086 -0.0017916 
-0.008667078 -0.05697683 
0.004516452 0.03452589 
-0.01688551 -0.07430172 
-0.007358919 -0.02198724 
-0.03389996 -0.1755511 
-0.005903751 -0.05270893 
-0.01818176 -0.03531156 
-0.005541644 0.07728077 
0.0008318162 -0.01293453 
0.002216105 0.09514472 
0.009438584 -0.04729322 
-0.04005357 -0.009443859 
0.0002877668 0.0006275977 
-0.008556062 -0.01438856 
0.008248149 -0.01421237 
-0.0237258 -0.06930795 
0.001819126 0.02006879 
0.01205088 -0.06179477 
0.00179617 -0.09984114 
0.02266902 0.1097282 
-0.004203376 0.009583152 
-0.00990438 -0.0004596815 
-0.01849263 0.0772634 
-0.0004022812 -0.01869255 
-0.02026417 -0.02810817 
0.01686733 -0.05171048 
