"tau2_1" "tau2_2" "tau2_3"
0.150849 0.02367762 0.04816793
0.1198658 0.0124547 0.04361868
0.150511 0.02222774 0.0341159
0.3853236 0.01509742 0.01534041
0.2322673 0.01889578 0.09937904
0.2288256 0.009867465 0.04684415
0.1992013 0.01030351 0.03600166
0.07410482 0.01069299 0.04279035
0.07693555 0.01878883 0.06115206
0.08037269 0.02266911 0.03139859
0.1006276 0.01725538 0.03971696
0.1165159 0.02019647 0.06119104
0.2286969 0.01541469 0.02842782
0.2144582 0.0107874 0.0835131
0.2194114 0.02144403 0.03109635
0.1535334 0.0138927 0.04276601
0.2073852 0.02338936 0.01800854
0.07472192 0.01673388 0.02653251
0.1098797 0.01400921 0.04659684
0.2214977 0.02161258 0.02264112
0.1499877 0.01517108 0.0482671
0.08162696 0.01937839 0.05468705
0.1271479 0.01883223 0.08932631
0.2308582 0.02271377 0.03403864
0.1632869 0.01554399 0.03166321
0.2758174 0.01975815 0.04612652
0.2212348 0.0283881 0.04487968
0.2246675 0.01913433 0.02773976
0.2022146 0.01007207 0.05873798
0.2228575 0.00952729 0.07362589
0.08887681 0.01314166 0.03081372
0.206688 0.01257661 0.03803601
0.27192 0.02249738 0.05230741
0.2429965 0.02104566 0.04105574
0.06239662 0.01392284 0.04631916
0.2328917 0.0331638 0.0487517
0.13096 0.02330182 0.03042391
0.0973214 0.01460597 0.04473428
0.1424953 0.01949053 0.04511433
0.3598516 0.01359728 0.04321307
0.2924665 0.02458876 0.05969956
0.2573083 0.03371602 0.02194084
0.1801407 0.006883951 0.01696115
0.1592113 0.01106573 0.02603214
0.1523185 0.01472379 0.05891952
0.1954001 0.01076329 0.06740237
0.2050436 0.0188348 0.02789361
0.1323501 0.01219526 0.04948206
0.1926257 0.01782511 0.04111962
0.2266552 0.01134808 0.03234581
0.1004086 0.007317258 0.03138571
0.1298291 0.01626675 0.04193089
0.2368099 0.01679465 0.05776222
0.1753415 0.008211488 0.02871524
0.2148484 0.0251233 0.04131883
0.08921266 0.007742915 0.03705449
0.09620978 0.01735714 0.02271982
0.3548369 0.02456947 0.0484815
0.2554555 0.0273229 0.03821012
0.1766196 0.0199395 0.03404897
0.09682873 0.01955031 0.07597142
0.08295074 0.03415027 0.03296239
0.08227264 0.01435896 0.04723302
0.09366682 0.0118841 0.05763852
0.1521533 0.01028267 0.01195628
0.1331715 0.01012767 0.03870464
0.1034938 0.007866219 0.03278973
0.1429371 0.008205646 0.06171866
0.09015261 0.009637324 0.04804683
0.1083431 0.01742849 0.03731521
0.1132716 0.0132405 0.02199111
0.2961286 0.02594291 0.02895988
0.1916394 0.02088604 0.03052805
0.2328507 0.01282119 0.04927056
0.3415494 0.01198201 0.02500408
0.3077856 0.01423318 0.07202827
0.1790534 0.01609987 0.03869643
0.3372489 0.01545352 0.02587449
0.1348458 0.00875682 0.0574409
0.05956453 0.009646472 0.05345569
0.2282882 0.01202227 0.06895881
0.2204773 0.01110459 0.02300936
0.1426524 0.02749886 0.04202369
0.2318579 0.01936526 0.02597248
0.1850233 0.0202242 0.04100101
0.1352482 0.02209175 0.0387272
0.1462254 0.0115412 0.05825972
0.1556396 0.02213722 0.07548783
