beta1_1 beta2_1 beta1_2 beta2_2 
-30.20887 -3.909095 22.61459 4.187283 
-29.75682 -4.103913 21.3608 5.348187 
-29.85584 -3.978772 20.67443 4.899452 
-30.05801 -3.89306 20.04617 5.116246 
-30.44359 -3.906425 20.12696 4.557506 
-31.35337 -4.35274 22.18289 6.088478 
-31.40272 -4.001545 21.74282 4.763773 
-33.85243 -4.007908 23.92149 4.494015 
-30.72397 -4.351366 21.06829 4.311179 
-29.76347 -3.934889 21.02152 5.236673 
-30.75607 -4.276559 21.60447 4.946891 
-32.58904 -4.000194 23.00298 4.389813 
-33.08384 -3.941041 22.22873 4.85151 
-31.51725 -3.757203 21.02534 5.510585 
-32.07607 -3.780487 23.43717 4.49655 
-32.88874 -3.753757 23.04761 4.247472 
-30.63519 -4.046542 21.86206 3.879747 
-31.05763 -3.731264 21.51145 3.885427 
-30.15896 -3.354006 20.58687 4.120606 
-29.7241 -4.013552 20.82555 4.607776 
-30.55577 -3.922571 20.92188 4.730811 
-30.4603 -3.91658 20.73281 4.113591 
-30.92122 -3.985196 22.11851 3.488007 
-31.01564 -4.269399 24.92113 3.934429 
-29.71309 -3.842976 22.4472 4.07627 
-35.2323 -4.050328 37.42441 3.896422 
-29.89689 -4.334096 20.48382 4.368408 
-31.89964 -3.950076 26.08363 4.082222 
-31.26817 -3.921282 21.6107 4.157462 
-31.593 -4.166048 23.55274 4.794464 
-30.23829 -3.967588 22.53522 4.698268 
-31.26204 -4.295686 22.1253 4.559029 
-30.60033 -4.240876 20.92553 4.495904 
-30.52038 -3.510411 22.44597 3.119316 
-30.84918 -4.063557 23.25374 3.523498 
-30.48108 -4.124962 21.7838 4.369778 
-30.33603 -4.153557 22.21564 4.84449 
-29.86342 -3.958609 21.17128 4.004898 
-31.26862 -3.83216 22.97071 3.966054 
-31.02586 -4.208265 23.98317 4.620202 
-30.21519 -4.122645 22.64939 5.225093 
-31.47775 -4.072261 24.71828 4.2204 
-30.58643 -4.0637 21.41216 4.959779 
-30.98592 -3.865296 26.20917 4.105476 
-30.37184 -4.059653 23.61026 3.931893 
-31.28185 -4.035825 22.72379 3.716928 
-29.66452 -4.160191 20.97997 4.83688 
-30.03369 -4.042285 20.97617 5.383722 
-29.76818 -3.899326 22.00077 4.828848 
-30.23553 -3.552154 22.9723 5.339188 
-29.56557 -3.862095 21.91019 4.920241 
-33.22804 -3.97567 24.65185 5.386356 
-31.74541 -4.091552 22.34179 5.189775 
-31.68556 -3.4321 21.10678 3.738745 
-30.26189 -4.232146 22.63855 4.368143 
-30.86645 -4.119849 23.42598 4.56989 
