Delta_1 Delta_2 
-2.756299 7.480874 
-2.75637 7.12918 
-3.071538 6.633073 
-3.572726 7.173063 
-4.000047 7.989975 
-4.829712 7.949541 
-4.686428 9.046697 
-4.60598 5.990888 
-3.423169 5.881075 
-2.559784 6.231402 
-3.348078 6.508421 
-3.579106 5.86423 
-3.758856 4.963469 
-4.406744 6.05268 
-4.181543 6.194621 
-5.283422 6.920129 
-3.952945 8.572755 
-4.476436 7.888358 
-4.192233 7.775745 
-2.818683 8.598186 
-3.123458 6.361674 
-3.266952 6.355701 
-3.15033 6.189315 
-2.378534 6.835008 
-2.526545 7.950788 
-2.510818 7.395821 
-3.628322 6.769556 
-2.988465 7.113335 
-3.507078 6.21459 
-2.989487 6.237552 
-2.833741 6.58327 
-3.44258 5.722814 
-3.883643 7.455737 
-4.76863 9.812032 
-3.934071 9.892736 
-4.104038 9.00906 
-4.763498 9.624949 
-4.318306 9.257285 
-5.079299 9.393674 
-4.012209 8.69856 
-3.5454 9.427101 
-4.338905 9.172895 
-3.675445 8.698903 
-3.044729 9.89466 
-3.137696 8.092184 
-3.495012 6.885726 
-3.062244 7.449132 
-3.464601 8.513918 
-2.666987 7.718843 
-2.963736 7.423554 
-2.479575 6.892812 
-3.814702 6.247193 
-3.437865 6.003152 
-3.789853 5.857578 
-3.173614 8.17505 
-3.102159 7.394113 
-2.816222 7.041564 
-2.184266 5.744787 
-2.093973 5.657811 
-2.207008 5.486579 
-2.260263 4.591869 
-2.208883 5.903183 
-1.738101 6.872415 
-2.079036 4.909556 
-2.589703 5.596479 
-3.242815 8.044985 
-3.745176 7.093353 
-3.454661 9.913006 
-3.516594 7.797798 
-3.417537 6.813601 
-3.589934 7.744639 
-2.991448 7.416917 
-3.089421 7.777353 
-3.216714 8.128921 
-4.321388 7.250608 
-4.691411 7.065103 
-4.462061 8.721173 
-4.566435 11.524 
-3.921676 8.961614 
-3.095705 8.410643 
-2.715624 9.544064 
-2.872176 9.693139 
-3.428542 8.705124 
-2.934617 8.585269 
-4.098732 8.90005 
-4.345631 8.862601 
-2.992443 8.682482 
-2.099849 7.950545 
-3.291806 7.669222 
-3.504551 7.809279 
-3.296172 9.104064 
-2.9436 7.586734 
-3.58965 7.65971 
-4.133316 7.280319 
-4.598487 8.141133 
-3.731909 11.59369 
-3.756047 9.025458 
-2.916691 7.936383 
-2.670955 7.284663 
-3.654818 6.241848 
-2.823695 7.270434 
-2.781703 5.938932 
-3.049831 5.895175 
-2.126328 6.799742 
-2.672178 6.269527 
-3.689211 6.687028 
-4.260888 5.771588 
-3.59892 7.175309 
-3.771177 7.368141 
-3.7078 8.865133 
-3.879083 8.414822 
-3.764854 9.161639 
-4.415445 8.459966 
-3.066672 9.604869 
-2.956343 8.837648 
-3.008245 8.408378 
-3.074882 8.374043 
-3.315454 8.693836 
-3.175552 7.528349 
-3.278369 8.388364 
-4.365478 7.631575 
-3.539691 6.111092 
-4.718063 6.949469 
-4.209539 4.722166 
-3.804825 4.357231 
-3.695763 4.079129 
-4.073224 3.687327 
