beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 beta1_4 beta2_4 
-21.11158 -3.016212 -8.594789 -5.120502 0.02157453 3.980803 0.9310415 -0.005768201 
-22.486 -4.146681 -8.575823 -5.580995 0.520779 3.982399 -6.915621 -2.616508 
-23.49639 -0.9214269 -9.527758 -3.239444 0.2352206 4.004593 -18.70347 -9.053206 
-18.6571 -6.177038 -8.485171 -5.849201 -0.1858292 3.920322 5.111201 -1.346699 
-24.21295 -4.006349 -8.689388 -2.908521 0.3454843 3.899668 17.05541 -12.0448 
1.877666 5.9032 -11.38736 -5.13472 0.04676258 3.938767 -25.54262 -5.188497 
-13.94888 2.282736 -9.122579 -5.095201 -0.3358651 3.926742 -24.44694 -3.23651 
0.516568 -8.309618 -9.851301 -5.985473 -0.1736241 3.987887 -24.49335 -4.802954 
5.284729 6.490122 -9.338067 -2.757111 0.150315 3.921854 -23.08766 -4.435682 
-4.094875 1.014343 -9.316066 -4.877236 -0.1573321 3.946102 -18.85062 -11.98271 
-15.61286 -7.006217 -10.07093 -2.838182 -0.1347509 3.973378 -22.44153 -9.678038 
6.567619 -10.51939 -9.357 -4.972793 -0.07729635 3.960922 -23.46565 -4.465629 
-7.333464 -15.18539 -8.946297 -6.030597 0.08058653 3.990669 0.2631943 3.466516 
14.34198 -14.82056 -9.475258 -5.275129 0.01034844 4.011826 -26.91079 3.018602 
5.136757 15.17508 -13.40825 -3.281796 0.3853438 3.94887 -23.46008 -4.701424 
-2.73764 -15.05653 -10.17229 -4.661894 0.1202959 3.993302 2.032336 -17.30617 
4.442087 9.334209 -9.125076 -7.507106 -0.1522213 3.963409 -13.98066 -15.29107 
-12.52932 -15.76988 -8.912052 -5.172052 -0.1684785 3.929731 -13.59768 -14.56234 
-18.57041 -7.511581 -9.9662 -5.933667 -0.08985071 4.011459 -0.8535391 5.318168 
-22.62915 -5.451187 -9.528405 -7.125377 0.003584798 4.009989 -14.0872 6.201612 
-23.21284 -4.247258 -10.46391 -3.335429 -0.1940951 3.93212 5.02932 -5.063374 
-22.43669 -4.646279 -10.15038 -5.166147 -0.209353 4.013661 10.31943 0.6695849 
-23.11479 -4.539631 -9.372572 -4.162724 -0.1197643 3.966491 7.08875 12.52776 
-24.28906 -3.87053 -9.726906 -5.401351 -0.008454437 3.980328 7.95001 -1.147619 
8.694031 -7.486306 -10.08233 -6.872144 -0.036691 3.97585 -5.364432 -12.3939 
-15.72051 -4.212477 -8.475396 -7.750995 -0.01616676 3.954865 -3.098496 3.929962 
-10.11139 -4.470637 -11.04012 -4.268782 -0.2357116 3.938153 -4.409474 -2.34873 
9.035096 -3.042106 -9.513575 -5.12586 -0.2890066 3.988124 -19.82008 -12.75003 
-10.45077 5.265627 -8.921492 -5.546045 -0.217258 4.01104 -9.569807 -19.12454 
-8.060506 12.56779 -9.370769 -5.311389 -0.1563666 3.918436 -22.98524 -4.76192 
-10.20347 -2.683185 -10.60334 -5.377439 0.02992915 3.950597 -20.68301 -5.621338 
-12.00277 -5.957501 -13.75531 -4.917929 0.520799 4.001171 -23.05516 -5.531997 
3.704382 8.922577 -10.17841 -4.440942 -0.0961907 4.00154 -22.98714 -3.394144 
3.695711 -3.379324 -9.359761 -6.099146 -0.08284282 3.97404 -17.33502 -7.909963 
-13.22711 -1.304269 -20.12106 -7.446705 -0.1359507 3.992169 -12.49038 -4.431083 
10.94011 9.816669 -9.576585 -4.836753 -0.1499017 3.945082 -12.66414 -12.85367 
-15.46971 5.91757 -7.723772 -3.84501 0.05418744 3.974143 -20.6831 -5.258064 
0.9563977 3.531416 -8.571391 -5.002331 -0.1820452 3.898861 -24.24206 -3.374552 
8.895934 7.96001 -8.690411 -3.269125 -0.3285592 3.88281 -20.89198 -4.209416 
-3.435388 -11.93587 -8.791843 -4.998291 -0.2213524 4.056227 -8.645153 -8.305603 
3.052956 1.695892 -8.052542 -7.179698 -0.137724 4.032937 -8.55902 -7.843911 
-5.266962 5.740318 -8.172677 -5.134066 -0.04634673 3.991591 -11.23741 -3.993808 
-11.00629 7.220232 -9.026099 -4.394057 -0.1048384 3.949969 -8.626782 -4.818374 
8.816954 18.82857 -8.843837 -6.701407 -0.1517502 3.93136 -24.04913 -6.052792 
-3.713285 14.52612 -9.595294 -5.815903 -0.0810571 3.98207 -23.75689 -4.139445 
6.997474 -3.867402 -8.995255 -4.597412 -0.01774918 4.02522 -11.97171 -21.07128 
-4.613556 -8.890174 -10.12878 -5.41303 -0.02478618 3.986971 -23.85306 -3.914618 
-4.958177 -16.54558 -8.847873 -5.687589 0.05265459 3.923714 -24.78649 -3.523861 
0.8899757 -15.19121 -10.26153 -6.819911 -0.1271041 3.926315 -23.36434 -3.876114 
7.001382 -1.297859 -8.930072 -5.656908 -0.1672992 3.981157 -23.11378 -4.974147 
3.128314 -3.294472 -9.037685 -7.12349 -0.02245699 4.00121 -23.83959 -2.965848 
8.656664 -10.52573 -7.183273 -7.140104 -0.2251108 3.995321 -21.7362 2.035611 
1.674786 -2.402977 -7.326405 -5.713151 0.3392378 3.904702 -13.13675 -2.74387 
