"tau2_1" "tau2_2" "tau2_3"
0.07964873 0.1327539 0.06221713
0.03748059 0.07841825 0.1989418
0.09085979 0.09348946 0.09262618
0.10416 0.1295881 0.1313788
0.3015832 0.1494842 0.1098506
0.01727762 0.1138048 0.06635293
0.06655605 0.2238817 0.108903
0.1019575 0.1982287 0.07248314
0.0206108 0.1267931 0.1415611
0.0206055 0.1617751 0.09824419
0.1328674 0.2161559 0.06880204
0.08908458 0.1067566 0.07848265
0.09599833 0.08505779 0.09079088
0.06836644 0.1413908 0.05746446
0.07682559 0.07427544 0.07439678
0.07493336 0.08362253 0.07414339
0.0380244 0.08053052 0.1796216
0.04849511 0.1379402 0.08991289
0.1033939 0.1157488 0.0928598
0.06685246 0.1685234 0.1543513
0.02957186 0.0937946 0.1258928
0.07723151 0.0928706 0.04186059
0.05046398 0.1503262 0.09737472
0.04523615 0.0959906 0.1504767
0.1008748 0.07944066 0.122246
0.279649 0.08807367 0.1173656
0.04971396 0.1864601 0.1366568
0.06961032 0.06330855 0.06777369
0.02841423 0.08057947 0.04502246
0.08745112 0.1425587 0.05299274
0.07008333 0.1471726 0.08266675
0.04714388 0.10994 0.06316674
0.07403223 0.1194162 0.09634669
0.03759046 0.09132622 0.08662993
0.161487 0.2045404 0.1160116
0.04588575 0.1605752 0.02203444
0.08647091 0.1483448 0.03228373
0.07528175 0.1585018 0.03233624
0.05082205 0.09878619 0.05347091
0.04417641 0.06453572 0.1254489
0.1048706 0.1364399 0.04526113
0.02893578 0.1575366 0.0425462
0.03811336 0.1545941 0.1100973
0.07031878 0.07886667 0.1092995
0.1118603 0.1062747 0.1087363
0.01348354 0.08059794 0.1140701
0.2870562 0.1210237 0.1553069
0.07734319 0.134482 0.06203591
0.05748895 0.08014381 0.12457
0.05872953 0.09045574 0.0530624
0.09086798 0.06209998 0.2767131
0.1042406 0.05943823 0.06157563
0.101878 0.1083112 0.1361744
0.02098279 0.09245652 0.1971438
0.09812042 0.1231556 0.08740001
0.1553989 0.1569508 0.3569029
0.06592914 0.125109 0.09625801
0.1077001 0.141177 0.1142702
0.04573047 0.1018384 0.09691306
0.08468771 0.2103833 0.04064943
0.1197293 0.1149742 0.06787442
0.1313608 0.1541248 0.1068812
0.04780009 0.176957 0.2722913
0.05667871 0.07571593 0.1373458
0.08623792 0.09144868 0.03774832
0.09480958 0.1212661 0.03009892
0.02069486 0.1491019 0.1967104
0.1348479 0.1598452 0.04365764
0.04816762 0.1307529 0.07054052
0.03302777 0.1195591 0.04895019
0.09808385 0.1022553 0.05590754
0.06834173 0.1429481 0.1558878
0.09643171 0.1376742 0.1018595
0.06827339 0.1340443 0.2131204
0.03291806 0.1609916 0.09435142
0.03336625 0.08417805 0.09944836
0.09418371 0.09313226 0.04223308
0.1053476 0.1210508 0.1637644
0.04348628 0.1303479 0.08139536
0.09168601 0.1135469 0.08708588
0.0657052 0.1185832 0.08497636
