u.bar t.bar 
0.8404227 1.03247 
1.014606 0.8886373 
1.015234 0.9691287 
1.063345 1.062689 
1.209006 1.171382 
1.097706 0.9228055 
0.9748361 0.8618828 
1.10927 0.8916511 
1.085982 0.9915208 
1.067066 0.886847 
0.9156191 0.8665357 
1.008768 0.7715168 
0.9496042 1.014789 
1.033926 1.014792 
1.047682 1.060501 
1.096449 0.8850933 
1.059107 0.9313965 
1.06926 0.9516517 
0.9635933 0.8742995 
1.161292 1.002811 
0.9924612 0.8793671 
1.002539 1.062774 
0.9933382 0.9585149 
1.044327 0.7449485 
0.9947521 0.7985876 
0.9978466 0.8728946 
1.076305 0.9946092 
1.000723 0.987008 
0.9586645 1.240503 
0.9387414 1.067787 
0.982092 1.285818 
0.9689986 1.008016 
0.9749686 1.012469 
0.9773565 0.9765968 
0.981449 1.00259 
1.051279 0.9082209 
0.9633417 0.8702631 
0.8499898 1.143216 
1.136973 1.006405 
1.287545 1.012497 
0.9847605 1.274552 
0.9870051 1.04311 
1.007025 0.9540575 
1.00489 0.9191501 
0.8799316 0.9362949 
1.153057 0.8805244 
1.110411 1.027308 
0.9078337 1.16937 
0.8965385 1.143537 
1.001085 1.148662 
0.9657717 0.9801485 
1.137105 0.9773971 
1.116607 0.9919205 
0.9223748 1.082931 
0.8987131 0.918106 
0.9946153 0.9986857 
1.009103 1.202455 
0.9279155 1.338385 
0.9142907 1.236035 
0.9932685 1.296365 
1.235422 1.048029 
0.9532795 1.198514 
0.8977187 1.217029 
0.8965296 1.277949 
1.026153 0.9501527 
1.232026 1.142978 
1.098915 0.9059061 
1.032954 0.8820716 
1.07742 0.8588324 
1.039269 1.067885 
0.9968716 1.079848 
1.030393 0.8161426 
1.02096 0.8847369 
0.9547065 0.7599762 
1.087823 1.002336 
1.204478 1.073106 
1.038265 0.6717784 
0.9970018 0.8676145 
1.106572 0.7662475 
0.9904257 0.9809899 
1.152002 0.9430659 
0.9015418 1.110412 
1.012265 0.9474765 
1.068415 0.9991323 
0.9291734 1.194799 
0.873225 1.30411 
1.034485 1.278128 
1.089882 1.138693 
1.011282 0.845509 
0.932033 0.9278004 
0.9977871 0.8839622 
0.9639785 1.247793 
0.9938841 1.130197 
0.9787831 0.9309981 
1.005377 1.063925 
1.225915 1.523331 
0.976301 1.146854 
1.010023 1.275475 
1.004716 1.072568 
1.010208 0.8020183 
0.9541857 0.8648823 
1.136773 0.9033847 
1.008111 1.273165 
1.039739 1.244663 
1.075179 1.013705 
1.136252 0.928529 
0.9786841 1.225866 
0.9761772 1.385928 
1.035056 1.074752 
0.8819377 1.111117 
0.9914247 0.9230086 
0.889541 1.165391 
1.052529 1.100238 
0.9435843 0.9395208 
1.131728 0.9821266 
0.9998786 0.9525553 
0.9453151 0.8878771 
0.9322974 1.031303 
0.9671082 1.193389 
0.9937306 1.279098 
1.235286 1.164722 
0.9510914 1.076638 
1.009669 1.187218 
1.02574 1.199042 
0.9236571 1.09346 
1.023711 1.149415 
0.9601797 1.137265 
0.9506824 1.031491 
1.033734 0.908172 
0.9940598 1.008498 
0.9727629 1.271314 
1.045678 1.280416 
0.9055178 1.371312 
1.079136 1.067072 
0.9674369 1.039905 
0.9959409 0.9030843 
1.111908 0.8911007 
1.019844 0.7664827 
0.8697623 0.8400493 
1.07022 0.8686354 
1.043094 1.103104 
1.090011 1.527275 
1.004631 1.442696 
0.9299085 1.660473 
0.8139675 1.539757 
0.9859819 1.407888 
0.84204 1.551679 
1.008492 1.447526 
1.04627 0.9401209 
0.8067818 1.063224 
1.006866 1.186093 
1.0333 1.195423 
0.9640724 0.9862205 
1.12603 1.050921 
0.938719 0.9780887 
1.028351 0.9780107 
0.8667061 1.511759 
1.015823 1.146889 
1.004166 1.100936 
1.001258 1.113311 
0.9467673 1.233465 
1.081597 1.00295 
1.034428 0.9980574 
0.7886574 1.213829 
0.9924857 0.9366208 
1.198884 0.9376066 
0.8706088 1.277159 
