Delta_1 Delta_2 
0.0110285 -0.002882655 
0.002074366 -0.001939537 
-0.1478297 -0.01867448 
-0.09161526 0.02070028 
-0.02554174 -0.010022 
0.01041196 0.006562274 
0.01527954 -0.01613805 
-0.03200356 0.02790198 
-0.0455122 0.0007799596 
-0.1318466 0.001797016 
0.01416756 -0.016897 
-0.02272863 -0.02445605 
0.01199992 0.001344215 
-0.02043133 -0.02083798 
-0.00615174 -0.01437635 
0.03683992 -0.008591034 
-0.005699378 -0.0004193506 
-0.01919163 0.01300832 
-0.07342443 0.01934131 
0.02319593 -0.01454793 
-0.07000649 -0.03013174 
-0.02530165 0.007062904 
-0.04590826 0.008010358 
-0.06286989 0.01600828 
-0.06240636 0.009722337 
0.001661549 0.005864603 
-0.1398975 -0.03336955 
0.01665965 0.02239831 
0.09186104 0.02842137 
0.08069107 -0.005021905 
0.1706278 0.001987003 
-0.005268305 -0.004168945 
0.1668451 -0.01023143 
0.001937437 -0.01175815 
0.1159325 -0.007537877 
-0.005458206 -0.007151465 
-0.07684237 -0.007679848 
0.004714379 0.003251044 
0.02609691 0.001152104 
-0.08477359 -0.02162168 
-0.06058838 -0.03288597 
-0.03006575 0.0064571 
0.07569082 0.008114054 
-0.06691973 -0.01665846 
-0.0424327 0.002509647 
-0.1425145 0.0108685 
-0.05769407 -0.0004178097 
-0.05844588 0.01515878 
0.05825726 0.008415495 
-0.04975612 -0.01086598 
-0.0288321 0.01700784 
-0.03992875 -0.00176701 
0.01612794 -0.0134121 
-0.008595402 0.001795577 
0.009327985 -0.02955605 
-0.07401811 0.01403666 
0.03622548 0.007863879 
-0.02682826 0.009262294 
0.02360732 -0.009709889 
0.009236745 -0.007101305 
0.0004346181 -0.005008306 
-0.02660678 0.0440065 
-0.04407926 0.005403208 
0.01976318 3.097277e-05 
-0.01343714 -0.01319679 
0.0170573 0.0115216 
-0.05971633 -0.02896308 
0.01794421 0.002661427 
-0.02652374 -0.01705376 
-0.0748679 0.01229795 
-0.01111432 -0.01396691 
-0.05276093 -0.002820576 
-0.06207973 -0.0115316 
0.01121404 0.006117248 
-0.03666706 -0.00552521 
0.001266108 -0.01485653 
0.004591222 -0.01981377 
0.06210826 0.01286486 
-0.149942 -0.0254969 
0.03430886 0.03670961 
-0.03875752 -0.01388006 
-0.1056708 -0.005188438 
0.06565763 0.003829591 
-0.04028669 -0.01690319 
-0.06302858 -0.01035551 
0.01996089 -0.00956807 
0.0494915 -0.01347109 
-0.07375305 -0.02146476 
0.1313569 -0.006126714 
-0.02997416 -0.005390513 
0.001152245 -0.01533019 
0.003385198 0.0132578 
0.07445308 -0.01740512 
-0.05865818 0.001706119 
-0.007675836 0.01312193 
-0.02638315 -0.008194649 
-0.181105 0.0481527 
0.0104179 -0.01336223 
-0.07566518 -0.01288447 
-0.07438049 -0.01472397 
0.1309955 0.00538002 
-0.02139609 0.02897357 
0.04322536 0.001806523 
-0.1145294 -0.00180194 
0.1481904 -0.007268431 
0.02995671 -0.02282228 
-0.01131359 -0.01866742 
0.026097 0.01115727 
0.02056912 -0.0323715 
0.01615706 0.007001913 
-0.01644316 -0.01050293 
-0.09072891 0.008828029 
0.02271141 0.01549398 
-0.009139628 -0.01065962 
0.1172448 -0.04083983 
-0.003445416 -0.008804322 
-0.0268007 -0.01015355 
-0.01601639 -0.001183048 
-0.03522765 0.01267353 
0.08222514 0.01150208 
-0.1635737 -0.01049744 
0.127802 0.01158665 
-0.02765123 0.02728378 
-0.04258514 -0.0005727191 
-0.01347448 0.006009215 
0.03878511 -0.007931691 
-0.0450295 0.002804103 
0.05682338 0.01217667 
-0.0138431 0.005698544 
0.03300559 0.03915201 
0.01277809 0.01257137 
-0.006890068 -0.004076751 
-0.02845312 0.02810391 
-0.1110468 -0.006923849 
0.005240792 0.007350227 
-0.01776224 0.02482256 
-0.03146815 -0.01365533 
-0.09602299 -0.005750731 
0.02700198 -0.01843407 
-0.009628838 -0.01298212 
0.03271181 0.006893468 
-0.1914605 0.009616917 
-0.03014917 -0.01804075 
-0.0357072 -0.01271892 
-0.02972444 0.007014214 
-0.06390942 0.005184445 
0.01998474 0.01010217 
0.1044448 0.005831682 
0.05461231 0.002615995 
-0.06176261 -0.0039737 
-0.03451179 0.00335189 
-0.1275887 0.01423021 
-0.1043565 0.01167301 
-0.05121208 -0.02077459 
0.01157629 0.01717665 
-0.08292271 -0.001129849 
-0.08431448 0.005454339 
-0.01297624 -0.01510433 
6.36031e-05 -0.001726041 
-0.0547674 0.02254356 
-0.01726486 -0.01439582 
0.003505975 0.009213166 
-0.03083828 0.008341136 
-0.05395122 -0.01674404 
-0.06296498 -0.001959299 
-0.006781511 -0.004652687 
-0.004412443 -0.008995902 
-0.03326009 0.008345213 
0.01760933 -0.004806707 
0.02215226 0.01678603 
-0.01753785 -0.01270772 
-0.03255037 -0.02279514 
-0.07175717 0.01457102 
-0.03510707 -0.005894535 
-0.04804639 -0.01331721 
-0.01600602 -0.007530261 
-0.0232024 -0.02902112 
-0.04919104 0.01877937 
-0.1249559 0.007423381 
-0.07201903 0.001186139 
-0.0258179 0.01844844 
0.001175915 -0.02480507 
-0.02011871 0.01303507 
-0.08019136 -0.03192659 
-0.01563637 0.002826109 
0.09644076 -0.02752163 
-0.05355025 -0.01604534 
-0.03958695 -0.01186891 
-0.0160242 -0.01399559 
0.02712214 0.008341692 
0.01419374 0.03184479 
0.0233307 -0.01835964 
0.03828937 -0.002355037 
-0.01588035 0.02125953 
0.0905051 0.01090357 
-0.0229605 -0.02382494 
0.01177113 -0.02712247 
0.009736539 -0.01832786 
-0.02435129 -0.01493905 
-0.006051683 -0.004178299 
0.01253987 -0.004124098 
-0.03150719 -0.003761978 
-0.01973439 -0.01126168 
0.05873492 -0.02088635 
-0.04541218 -0.01109504 
-0.03238995 -0.00746534 
0.004725 -0.02856982 
0.03038387 0.03477405 
0.01927723 0.0147539 
0.06526562 -0.02369465 
0.09745405 -0.01121369 
0.0879177 0.01840018 
0.06505103 0.01436404 
0.0005958334 -0.01024125 
-0.0326481 -0.02156454 
-0.08785814 0.008221733 
0.006287383 -0.01532756 
-0.01605161 -0.01052931 
-0.04036636 0.0149706 
0.03153353 0.009198371 
0.09855605 -0.02186153 
-0.04082526 -0.006163321 
-0.06028915 -0.01360351 
-0.03047977 -0.003925663 
-0.05090782 0.01546552 
0.05636281 0.008659363 
-0.0727541 0.03382523 
-0.08062048 0.002422113 
-0.02069588 0.009823544 
0.006217446 0.006290563 
0.04278488 0.01480353 
0.05966091 -0.009763352 
0.02927399 -0.008795965 
0.007825258 -0.004952634 
0.01374981 -0.03444292 
-0.004224666 0.04479325 
-0.03902635 -0.0137572 
0.006207773 -0.008288233 
-0.05234792 0.004630294 
-0.07997598 -0.002065487 
-0.05154145 -0.00111312 
-0.1799191 0.007507502 
-0.00257499 -0.04159252 
0.0545056 -0.02285621 
0.06361257 -0.002205181 
-0.05009652 0.002586287 
-0.01268744 -0.003447341 
-0.04949788 -0.01714286 
-0.02260912 0.02519913 
-0.03049964 0.003216019 
-0.034413 0.01979054 
0.1226468 0.01199471 
-0.02614251 -0.01212986 
0.0387623 -0.01499098 
-0.01386364 -0.01558357 
0.1104471 0.02412622 
0.07886237 8.055727e-05 
0.02691413 0.009531845 
0.01212543 0.001016875 
-0.0136005 0.00181475 
-0.03235026 -0.000313961 
-0.09119473 -0.008744757 
-0.1049367 -0.01263259 
-0.08723215 0.004306593 
0.06051111 -0.009295379 
0.02071117 -0.008710942 
-0.01587168 -0.009809012 
-0.08152027 -0.03118019 
0.1004538 0.00564692 
-0.04568168 0.02175838 
-0.1092978 -0.002992437 
0.020639 -0.02375992 
-0.01431958 0.01683237 
-0.08092198 0.02585144 
0.0650525 0.0002593508 
0.003141984 0.008878595 
-0.0560364 0.002489091 
-0.04265639 -0.0166621 
0.01406792 0.003508682 
0.009414906 0.01862272 
-0.06238719 -0.008948473 
-0.06101129 -0.01534754 
-0.00793643 0.002750177 
0.008724183 -0.01324349 
0.01411867 -0.03526587 
-0.04042817 0.01518603 
-0.1256855 0.0263468 
0.01102199 0.0005603529 
-0.02531333 -0.01930918 
0.0970454 -0.002223138 
0.06741883 -0.001224542 
-0.03207016 -0.02048582 
-0.003141109 0.002073085 
-0.0636457 -0.0002325279 
0.02694119 0.007574778 
-0.06130481 -0.03080232 
0.03095258 0.0184692 
0.02932357 -0.01304879 
0.02070753 0.02998813 
0.02536791 -0.01336275 
0.1952904 0.001537326 
-0.2542617 -0.000442417 
0.03001991 -0.0003195719 
-0.1023358 -0.00973494 
-0.02886071 0.006980317 
-0.004715738 0.02433045 
-0.02232817 0.01544886 
-0.1057073 -0.01619996 
-0.01911394 -0.01013507 
-0.002813118 -0.01909993 
0.00696651 -0.01229287 
0.01420686 0.005439052 
0.1398719 0.01951006 
-0.03755148 -0.03582752 
0.01713612 0.01800704 
-0.05253501 0.006343653 
-0.009648882 -0.02472141 
-0.01895454 -0.005914342 
-0.02254002 -0.005467347 
-0.01562377 0.003299946 
-0.05662121 -0.02107993 
-0.03908104 -0.007428118 
-0.004189711 0.005736232 
0.05679993 -0.006714316 
-0.002910836 0.02291525 
-0.0882748 0.01450569 
0.01442899 -0.0187888 
0.1430241 -0.01339424 
-0.1570768 0.02687622 
0.1232611 0.008581058 
0.03966102 0.002713849 
0.01119261 0.00946686 
0.05029113 0.01451391 
-0.05469908 0.02459947 
0.06908241 -0.01142389 
-0.02636886 0.0001915575 
0.006262145 -0.0185792 
-0.05511073 0.006938176 
-0.07475025 -0.01687844 
-0.02293533 0.00140752 
-0.09978662 -0.01668398 
-0.004273645 -0.0001354858 
-0.04280432 0.004461748 
-0.00636366 -0.01191324 
-0.08272345 -0.03079221 
-0.07082021 -0.003844525 
0.0115671 0.002457575 
