Delta_1 Delta_2 Delta_3 
-0.08158707 -0.01640444 10.88822 
-0.1806342 -0.009226353 -7.244695 
-0.03441813 -0.008300301 -4.009314 
-0.0579095 0.01279424 -2.699699 
-0.03671381 -0.03806269 5.603518 
-0.03418338 0.01500787 9.796365 
-0.02913767 0.003286943 -2.150946 
-0.1627469 -0.0186511 4.07921 
-0.2130355 -0.03118496 -9.027016 
-0.02969471 0.02590768 0.4098172 
-0.1429839 0.00175293 -11.81838 
-0.08717736 -0.02621493 6.400253 
-0.02812531 -0.01620569 -8.400749 
-0.02139363 0.006758058 -0.7357217 
-0.02376341 -1.085762e-05 -0.9882127 
0.07057551 -0.002869081 7.021712 
-0.002353333 -0.01971603 2.522759 
-0.04319512 0.01306236 -0.1788015 
-0.0181243 0.004952172 -12.18991 
0.106107 0.00499953 -8.534268 
0.01350403 0.01315575 -1.834089 
-0.03770227 -0.02514486 9.241181 
0.08287408 -0.02096456 -10.4638 
-0.01849722 -0.0007549219 -12.83022 
-0.04653732 -0.02581909 -17.32858 
-0.03995589 -0.002963683 -3.040731 
-0.01699472 0.02479228 -9.488748 
-0.03236246 -0.006777573 -3.700185 
0.007022299 -0.04402448 17.33341 
-0.02129589 -0.01092901 1.335998 
-0.09531836 -0.02125338 -10.92769 
-0.1610445 -0.008102371 -14.38493 
0.07751306 -0.00743601 0.8527851 
0.04915183 -0.03346307 5.169828 
0.1147763 0.003488809 20.24273 
0.02679199 0.003890198 4.150617 
-0.04199448 0.004882233 3.398154 
-0.08522845 0.01010197 -0.2445628 
-0.005271626 -0.01028421 -8.112647 
-0.03881631 -0.01270847 -11.04742 
0.1138302 0.01585621 -13.33981 
-0.04870578 0.002655036 -16.40018 
-0.03328159 0.001896977 7.485748 
-0.04519817 -0.005148543 3.310388 
-0.06086577 5.57419e-05 6.330973 
0.07203507 -0.01906581 -1.325206 
-0.0188352 -0.007432776 16.43404 
-0.08379295 -0.001639142 -12.03823 
0.0237381 -0.01079323 -16.59891 
0.1216753 -0.007667453 -13.23152 
-0.0620903 0.02608844 -8.28267 
-0.004726766 -0.0127421 2.107535 
-0.07623061 0.00545425 0.4566666 
-0.09396449 -0.02496964 4.215258 
0.07711095 -0.02277093 6.027449 
0.01286292 0.002615235 8.013476 
0.08434811 0.008977964 8.669336 
-0.05015901 -0.03862721 1.45598 
-0.1034065 -0.01514347 3.905612 
-0.06182806 -0.00537364 -9.020335 
-0.01357675 0.009093713 -7.971827 
-0.01982798 -0.01478927 -31.53893 
-0.03635759 -0.02575116 1.32885 
-0.01425248 -1.708244e-05 1.902725 
0.05173296 0.01796164 -11.17247 
0.02040507 0.005371765 -13.0574 
-0.1640012 0.002707635 4.31551 
-0.1626283 0.03197069 7.739734 
-0.00358393 -0.007077033 14.95637 
-0.1560473 0.0119388 -8.601306 
-0.1085578 0.007040727 2.431541 
-0.09594736 -0.009941774 -9.341653 
-0.1086491 -0.007275957 7.868512 
0.0770103 0.005680702 12.35249 
-0.08321613 -0.01897555 -8.184933 
-0.1405133 -0.01229414 -9.969107 
-0.07874261 -0.03129906 -16.67615 
0.0873625 -0.009598623 4.199462 
-0.0790337 0.01877879 7.406643 
-0.06100177 -0.004188451 1.041734 
0.01716707 -0.02281622 5.835812 
-0.06983836 -0.0231766 -2.758783 
-0.04251025 -0.009468892 -2.602007 
