tau2_1 tau2_2 tau2_3 
3.102637 0.3377875 0.1024709 
0.3311219 0.482741 0.08777299 
0.2781699 1.122234 0.03957025 
0.2832034 0.2518121 0.1144067 
0.0704104 0.3712924 0.07211895 
4.402214 0.4205809 0.1662899 
0.02381428 0.4337327 0.3558974 
0.1628148 0.3991065 0.2094916 
0.3070016 0.9399831 0.2533052 
0.08397502 3.480137 0.1574185 
0.2044037 0.9822133 0.379874 
0.0736283 0.1216374 0.3557218 
0.07466231 1.064701 0.09493425 
0.2125898 2.228386 0.2041637 
2.253775 0.05299895 0.09775711 
0.01161375 1.903563 0.1204908 
0.1258326 0.2017527 0.4208505 
0.03596743 0.3522546 0.4934242 
0.1461079 2.572984 0.1472486 
2.344336 0.4067762 0.1392874 
2.599768 0.5974198 0.08733561 
0.07725236 0.9270527 0.1337377 
0.4783199 0.3719193 0.2572396 
0.02940855 1.15261 0.09551937 
0.02673916 0.3822899 0.1886071 
0.7885401 0.9123921 0.1022984 
0.07824048 0.525971 0.27373 
0.06889611 0.2539867 0.08623489 
0.2181482 1.330574 0.1984648 
0.629142 1.169961 0.3286005 
0.03495729 0.3310699 0.07581095 
0.04966019 0.7413255 0.1265489 
0.03749103 0.2653771 0.1279049 
0.3117992 0.3669162 0.5895833 
0.1291722 0.9977379 0.1747534 
0.1126552 0.6118638 0.1784308 
0.08424845 0.1447069 0.1079569 
0.07039653 2.367006 0.3391653 
1.043504 1.182894 0.2650643 
0.0805658 0.3211226 0.1195181 
0.06082971 1.696729 0.08389576 
1.044729 1.737143 0.5959044 
0.1929459 0.6417903 0.1522248 
0.147696 0.7405119 0.2329234 
0.04026124 0.7070689 0.825298 
0.2027971 0.5226798 0.08437219 
1.750524 0.02866066 0.1502757 
0.1841821 0.5758228 0.2634328 
2.925527 0.1501855 0.6165065 
0.04312203 0.2557603 0.2975377 
0.1171146 0.1739059 0.1705413 
0.3328567 0.0958918 0.08010608 
0.07375813 3.195746 0.07721362 
0.01788911 0.0747016 0.8382807 
0.1562752 0.2538938 0.2128011 
0.864555 5.069252 0.03519376 
0.1621849 0.328739 0.06660425 
0.6725516 0.944487 0.2132643 
0.2826075 0.425177 0.2215336 
0.3358067 0.8429565 0.2653808 
6.300394 1.522842 1.139533 
132.5414 1.446608 0.5250283 
0.02319292 0.3042781 0.3299033 
0.2465032 1.907684 0.2180394 
0.1395366 1.504173 0.1539353 
4.660529 0.03621364 0.09679991 
0.02233753 0.713182 0.2208708 
0.0449355 0.1856963 0.4241518 
0.1705566 1.275606 0.03242905 
0.03395994 1.133806 0.08690295 
0.04924431 0.87853 0.1728255 
0.1814566 1.082244 0.1950171 
0.1017901 1.006271 0.2159642 
0.04907803 0.1909923 0.03971264 
0.1662336 1.064108 0.07601135 
220.6593 0.4360855 0.1758414 
0.007471975 0.06105502 0.07734697 
1.358768 0.1930947 0.1180705 
0.04436338 0.343261 0.2711952 
0.03348665 0.8719335 0.09855106 
0.107494 1.088649 0.07390236 
0.1023294 0.6333083 0.877647 
0.490087 0.1385296 0.3507722 
0.2091381 0.7796701 0.05363603 
0.1915089 0.3060554 0.09481621 
0.02428242 0.3228363 0.1268004 
10.204 0.7133284 0.2536026 
0.1477015 0.3319682 0.06219562 
0.3449324 0.9205018 0.2436802 
0.07994645 0.2338491 0.5259421 
0.1034725 0.9501368 0.3776589 
0.1795651 0.06813384 0.08520228 
0.06961004 2.276891 0.2286462 
0.2469545 0.1256281 0.2020616 
0.2308372 2.082626 0.1907507 
0.02582787 0.13361 0.07206567 
0.8940125 0.932268 0.2051517 
0.0505541 0.9242429 0.05192493 
0.101831 4.755249 0.1908758 
0.07860148 0.5162134 0.1767337 
0.2760836 0.9785646 0.6410415 
0.08475082 0.07836898 0.06928648 
0.4383378 0.7893994 0.05548654 
0.03145139 0.9910437 0.4212981 
0.03855549 0.6882039 0.4203136 
0.0212133 1.623981 0.3732112 
0.04849558 0.1904601 0.2052271 
