"p_1" "p_2" "p_3"
0.162708 0.04377924 0.7935128
0.1500386 0.05299156 0.7969698
0.1648401 0.04577011 0.7893898
0.148252 0.05352856 0.7982195
0.1685106 0.05529145 0.7761979
0.1472944 0.05578871 0.7969169
0.1315399 0.04842557 0.8200346
0.1528142 0.06213953 0.7850463
0.1716319 0.04868026 0.7796879
0.1568838 0.06344326 0.7796729
0.1464964 0.04422141 0.8092822
0.1672263 0.051985 0.7807887
0.1563615 0.05621571 0.7874228
0.1372792 0.0623877 0.8003331
0.1715191 0.05523918 0.7732417
0.1718333 0.05009886 0.7780679
0.1481594 0.06735664 0.7844839
0.1644082 0.04487866 0.7907131
0.1757313 0.05730039 0.7669684
0.1747182 0.04697804 0.7783037
0.163931 0.05118041 0.7848885
0.16234 0.05248702 0.7851729
0.1659268 0.0543871 0.7796861
0.168563 0.06111033 0.7703267
0.1421408 0.05343509 0.8044241
0.1668877 0.06773382 0.7653785
0.1598857 0.05066187 0.7894524
0.171054 0.04537865 0.7835673
0.1747694 0.05542423 0.7698064
0.1398583 0.05301753 0.8071242
0.1912421 0.04918822 0.7595696
0.1587845 0.06704613 0.7741694
0.1673547 0.0567495 0.7758958
0.1750223 0.05356642 0.7714113
0.1510693 0.06535445 0.7835763
0.1672746 0.05056547 0.7821599
0.1512027 0.0538817 0.7949156
0.1553811 0.05796757 0.7866514
0.1571389 0.05395932 0.7889018
0.151033 0.06446449 0.7845025
0.1812043 0.05712536 0.7616703
0.1876083 0.06029895 0.7520928
0.1713832 0.05052621 0.7780906
0.1600651 0.05598677 0.7839481
0.1509463 0.04746009 0.8015936
0.16526 0.04771834 0.7870217
0.1630422 0.05294835 0.7840095
0.1564864 0.04561123 0.7979024
0.1598875 0.05255559 0.7875569
0.1723972 0.04565811 0.7819447
0.1591914 0.05682691 0.7839817
0.1551659 0.05941988 0.7854142
0.1612049 0.05083668 0.7879585
0.1819559 0.04848278 0.7695613
0.1726971 0.05905004 0.7682529
0.1630337 0.06767047 0.7692958
0.1628277 0.05543384 0.7817385
0.1696644 0.04736312 0.7829724
0.1694114 0.04229947 0.7882891
0.1753659 0.04894277 0.7756913
0.1650804 0.04573548 0.7891842
0.1728661 0.04950858 0.7776253
0.1577321 0.04809719 0.7941707
0.1496182 0.05672168 0.7936601
0.1531895 0.05565393 0.7911566
0.1557902 0.06040163 0.7838081
0.1748824 0.03712281 0.7879948
0.1599588 0.04843678 0.7916045
0.1964403 0.05600202 0.7475577
0.1723489 0.0530885 0.7745626
0.1535916 0.05959114 0.7868173
0.1594199 0.04270591 0.7978742
0.1538504 0.04598441 0.8001652
0.1616745 0.06460707 0.7737184
0.1810614 0.05868768 0.7602509
0.1708818 0.04572961 0.7833886
0.1626767 0.06258128 0.774742
0.1362602 0.06247085 0.801269
0.1511746 0.06361726 0.7852082
0.1763254 0.05166154 0.772013
0.1647817 0.06380943 0.7714089
0.1651587 0.06138969 0.7734516
0.173683 0.0558333 0.7704837
0.1805919 0.03696005 0.7824481
0.1536869 0.05122925 0.7950838
0.1644013 0.05829403 0.7773047
0.1694396 0.03895568 0.7916047
0.1665578 0.05283214 0.78061
0.168047 0.05004417 0.7819088
0.1766995 0.05126714 0.7720333
0.181198 0.0434477 0.7753543
0.1732381 0.05352577 0.7732361
0.1658105 0.04777361 0.7864159
0.1586561 0.04174257 0.7996013
0.1662051 0.05717579 0.7766191
0.1370323 0.05790306 0.8050647
0.1490633 0.04943741 0.8014993
0.1719515 0.06187741 0.7661711
0.1768247 0.05500341 0.7681719
0.1596639 0.04406026 0.7962758
0.1699167 0.07459222 0.7554911
0.1631432 0.05029684 0.7865599
0.1485542 0.0570296 0.7944162
0.1730566 0.05177985 0.7751636
0.173955 0.05620662 0.7698384
0.171417 0.05703007 0.7715529
0.1701906 0.04534361 0.7844658
0.1794244 0.04525686 0.7753188
0.1630543 0.05300856 0.7839371
0.151493 0.06291834 0.7855886
0.1561805 0.05446502 0.7893545
0.1557633 0.06004009 0.7841966
0.176101 0.05288889 0.7710101
0.1550338 0.06398957 0.7809766
0.1712436 0.04314307 0.7856133
0.1835415 0.05087368 0.7655849
0.1483506 0.05545505 0.7961944
0.1719141 0.05028795 0.7777979
0.1569458 0.04524902 0.7978051
0.1808531 0.05207988 0.767067
0.1849779 0.04696895 0.7680531
0.1476357 0.04175505 0.8106092
0.1756024 0.05876288 0.7656347
0.1861401 0.05796437 0.7558955
0.1483557 0.05890981 0.7927345
0.1588217 0.0522249 0.7889534
0.172649 0.05007065 0.7772804
0.1804755 0.04853569 0.7709888
0.1612237 0.04593197 0.7928443
0.1566611 0.06960889 0.77373
0.1769234 0.04283904 0.7802376
0.167403 0.04812727 0.7844697
0.1715463 0.0478277 0.7806259
0.162968 0.06238065 0.7746513
0.158383 0.05604232 0.7855747
0.1538109 0.06193172 0.7842574
0.162286 0.06706275 0.7706513
0.1471492 0.06097917 0.7918717
0.1640149 0.05472098 0.7812641
0.1659195 0.05441181 0.7796687
0.1907302 0.04304675 0.766223
0.1586964 0.05053186 0.7907717
0.1663842 0.05599024 0.7776256
0.1561932 0.03707026 0.8067365
0.162582 0.04868145 0.7887366
0.1736372 0.05322285 0.77314
0.1662313 0.05369696 0.7800718
0.1728402 0.04522723 0.7819326
0.1446783 0.05017126 0.8051504
0.1528948 0.05989324 0.787212
0.1708078 0.05569026 0.773502
0.1693005 0.05763179 0.7730678
0.1665 0.0545897 0.7789103
0.1842823 0.05980216 0.7559155
0.1607544 0.04459908 0.7946465
0.15622 0.04638031 0.7973997
0.1444514 0.04789871 0.8076498
0.1703077 0.05225254 0.7774397
0.155108 0.06367773 0.7812142
0.1602635 0.05251138 0.7872251
0.1746446 0.04763629 0.7777191
0.1739891 0.0509317 0.7750792
0.1648095 0.05714013 0.7780503
0.1557583 0.05684935 0.7873923
0.1617504 0.04998473 0.7882649
0.1921751 0.06273602 0.7450889
0.1772327 0.05199828 0.7707691
0.1642468 0.05646177 0.7792914
0.158888 0.04949623 0.7916158
0.1739538 0.07042632 0.7556199
0.1867872 0.05267349 0.7605393
0.1650663 0.05640753 0.7785262
0.1766501 0.05130504 0.7720449
0.1711938 0.04143726 0.787369
0.1531397 0.05911871 0.7877416
0.1569278 0.06208981 0.7809824
0.1695341 0.05631042 0.7741555
0.1539353 0.06540445 0.7806602
0.1652552 0.05893412 0.7758107
0.1755387 0.04803583 0.7764254
0.1491048 0.04713995 0.8037553
0.1427072 0.05797517 0.7993176
0.1561316 0.05992421 0.7839442
0.1566109 0.03942857 0.8039605
0.1740892 0.05181254 0.7740983
0.1732315 0.05699256 0.7697759
0.1586152 0.05385984 0.787525
0.1653061 0.05690023 0.7777937
0.1584583 0.0545033 0.7870384
0.1794026 0.05566721 0.7649302
0.1700689 0.04480591 0.7851252
0.1760401 0.05746318 0.7664968
0.1421251 0.07153497 0.78634
0.1525621 0.052906 0.7945319
0.1803828 0.04968129 0.7699359
0.1764994 0.04747721 0.7760234
0.1481252 0.04761614 0.8042586
0.1616955 0.05663094 0.7816735
0.1715129 0.06163119 0.766856
0.1716589 0.04895098 0.7793901
0.1652371 0.04588377 0.7888791
0.1540673 0.05586585 0.7900668
0.1857675 0.05377958 0.760453
0.1822258 0.03993321 0.777841
0.1430794 0.0490702 0.8078504
0.1579386 0.06468504 0.7773764
0.1665572 0.04321092 0.7902319
0.1623807 0.04356363 0.7940557
0.1756873 0.05443535 0.7698774
0.1641532 0.05371859 0.7821283
0.1855345 0.05000738 0.7644581
0.1797512 0.04883818 0.7714106
0.1705126 0.04297223 0.7865151
0.1740441 0.05008744 0.7758684
0.1514055 0.05920915 0.7893854
0.1754846 0.06943976 0.7550756
0.1569091 0.06088339 0.7822075
0.162647 0.05098946 0.7863635
0.1659898 0.05798889 0.7760213
0.1668372 0.0514857 0.7816771
0.1675603 0.06143113 0.7710086
0.1534957 0.0465096 0.7999947
0.1403929 0.05857702 0.8010301
0.1767164 0.05418036 0.7691033
0.1538651 0.05311216 0.7930227
0.180247 0.06226603 0.7574869
0.1516649 0.04742039 0.8009147
0.1610003 0.04635817 0.7926415
0.1591575 0.05587286 0.7849696
0.1757461 0.05061417 0.7736397
0.1688952 0.05229069 0.7788141
0.1844956 0.06250397 0.7530004
0.1489976 0.05576694 0.7952355
0.1711253 0.05477966 0.774095
0.166546 0.07544704 0.7580069
0.1694019 0.04628254 0.7843156
0.1682098 0.05657606 0.7752142
0.1661641 0.04506071 0.7887752
0.1679027 0.05008294 0.7820144
0.166083 0.05403042 0.7798866
0.1860057 0.05257046 0.7614239
0.1698263 0.05035398 0.7798198
0.1711697 0.05668109 0.7721492
0.1601075 0.05624591 0.7836466
0.1637909 0.06285208 0.773357
0.1742524 0.04986179 0.7758858
0.1719425 0.06074961 0.7673079
0.1571763 0.05817691 0.7846468
0.1610166 0.04907277 0.7899107
0.1664307 0.05814458 0.7754248
0.1575684 0.06446487 0.7779667
0.1694125 0.04698575 0.7836017
0.184264 0.05117711 0.7645589
0.1630205 0.04667064 0.7903088
0.1610995 0.0570316 0.7818689
0.1644071 0.04870994 0.7868829
0.1650497 0.05682461 0.7781257
0.1475182 0.04702852 0.8054533
0.1751975 0.05835651 0.766446
0.1730664 0.06049519 0.7664384
0.173411 0.06121104 0.7653779
0.1675387 0.05872913 0.7737321
0.1480058 0.04751622 0.804478
0.1610062 0.05320341 0.7857904
0.1453551 0.05537907 0.7992658
0.1591898 0.05506863 0.7857416
0.1827999 0.05863487 0.7585652
0.1519384 0.06036182 0.7876997
0.177356 0.06425184 0.7583921
0.1515788 0.05563495 0.7927863
0.1688088 0.03909674 0.7920944
0.1548836 0.05001405 0.7951024
0.1647363 0.04403067 0.791233
0.1554389 0.05568672 0.7888744
0.1668085 0.05263071 0.7805608
0.1670895 0.04838349 0.784527
0.1738868 0.05873728 0.7673759
0.1699793 0.06095494 0.7690658
0.1670066 0.0418684 0.791125
0.1622848 0.04857796 0.7891372
0.1597258 0.04841777 0.7918564
0.157126 0.05205165 0.7908224
0.1781107 0.05231658 0.7695727
0.1692351 0.0490526 0.7817123
0.1727776 0.06489968 0.7623227
0.1588416 0.04983602 0.7913224
0.1559005 0.05534155 0.788758
0.1560995 0.0495768 0.7943237
0.1879736 0.06583174 0.7461947
0.1696453 0.04641486 0.7839399
0.1710747 0.05099052 0.7779347
0.176643 0.05009926 0.7732577
0.1612036 0.05411094 0.7846855
0.1821002 0.0608627 0.7570371
0.1541436 0.04512725 0.8007292
0.1590758 0.04784596 0.7930782
0.1552911 0.05653002 0.7881789
0.1821195 0.05629995 0.7615806
0.1656634 0.04872018 0.7856164
0.1812557 0.05821361 0.7605307
0.1600743 0.05699365 0.7829321
0.1758058 0.05113778 0.7730565
0.1594051 0.04959682 0.7909981
0.1876272 0.0480739 0.7642989
0.1676725 0.05634131 0.7759862
0.1731276 0.05916201 0.7677104
0.1542714 0.05325324 0.7924754
0.1691663 0.05700075 0.7738329
0.1601535 0.05961785 0.7802287
0.1504166 0.05072338 0.79886
0.172919 0.0580044 0.7690766
0.1830984 0.05386366 0.7630379
0.1615016 0.05286003 0.7856383
0.1599897 0.05618844 0.7838218
0.179944 0.05385912 0.7661969
0.1739979 0.05228579 0.7737163
0.1791805 0.04625498 0.7745645
0.1475247 0.04431221 0.8081631
0.1538032 0.06285546 0.7833414
0.173149 0.04820298 0.778648
0.1763061 0.04552533 0.7781686
0.1802769 0.05488007 0.764843
0.1698965 0.06039869 0.7697048
0.1802202 0.0646762 0.7551036
0.1490308 0.05796491 0.7930042
0.1611269 0.07127944 0.7675937
0.1634267 0.05595583 0.7806175
0.1702047 0.06024868 0.7695467
0.1495072 0.03834763 0.8121452
0.1544319 0.05446176 0.7911063
0.1647526 0.06403643 0.771211
0.1527926 0.0571843 0.7900231
0.153854 0.06062626 0.7855198
0.1764194 0.05845706 0.7651236
0.1665211 0.05314924 0.7803297
0.163248 0.04724151 0.7895105
0.1614584 0.056635 0.7819066
0.1772157 0.05253136 0.7702529
0.1598837 0.04737603 0.7927403
0.1647442 0.06495716 0.7702986
0.1554609 0.04648282 0.7980563
0.1644202 0.06152482 0.774055
0.1400328 0.05788322 0.802084
0.164209 0.05456911 0.7812218
0.1481495 0.04508612 0.8067644
0.1633347 0.05606248 0.7806028
0.1716928 0.05896146 0.7693458
0.1548003 0.06439666 0.7808031
0.1664423 0.05083632 0.7827214
