"comp1" "comp2" "comp3"
0.04636787 0.0111848 0.4093943
121.1123 0.02208339 1.753575
4.022426 0.01040197 0.1634062
5.089297 0.04208263 0.09769363
0.3637583 0.01653422 2.225927
0.7219057 0.01868319 0.8681785
1.494716e+23 0.02131645 0.1249232
3.769273 0.07460432 0.5994229
7.861633 0.02543469 0.8467359
1.454752 0.02757002 0.1736462
16.99155 0.03366874 0.3492668
2.361423 0.06052794 0.3964084
0.7771087 0.02891833 0.8020713
6.716551 0.02044755 0.352693
4.181942 0.0309942 0.2824439
1.136095 0.01750841 0.4708356
0.09067713 0.03236488 0.1262369
0.135545 0.02291597 0.2603524
6.636201 0.01676273 0.03548421
11.40933 0.020418 0.06394497
1.221532 0.009088867 1.048236
0.411266 0.02286779 0.6008885
0.5107076 0.01214182 0.04539162
0.4422919 0.01275479 1.620087
40.83397 0.02718935 0.6907886
2.996145 0.0248405 1.483689
4.925997 0.0118984 1.044879
0.8401869 0.01230178 0.02867725
0.5356793 0.02528222 0.03204246
3.045819 0.01992329 0.2256547
8360.604 0.01958209 0.1654886
0.3516937 0.01434819 0.6861596
2.795534 0.02420702 0.1275712
36.05669 0.03631085 0.368882
0.2113618 0.01466617 0.9205706
0.5179039 0.04727563 0.9917048
2.415457 0.0163219 0.1353249
0.08623992 0.07324629 1.076118
0.5792028 0.0262394 0.815654
0.2657887 0.02407079 0.3381056
2.359988 0.01584545 0.1563167
13.95999 0.02113347 0.01269591
15.53178 0.02047038 0.08287888
7.97839 0.0167224 0.9354966
3.39076 0.04501493 1.99631
42.12889 0.0382876 0.3872346
8.605043 0.02493267 0.177371
5.278758 0.01985527 0.252481
16.17446 0.04713877 0.8027677
0.07708127 0.01549221 0.2933825
0.2425512 0.04681877 1.064248
15.70262 0.04011004 1.932246
1.095005 0.02964048 0.03329144
17.06517 0.025478 0.04350385
0.2454226 0.01714646 0.5405058
0.9594793 0.01340534 0.5615531
0.4188555 0.01551972 1.35444
1.024198 0.03167641 0.1729134
7.509342 0.0229721 0.4414498
0.4790059 0.03658606 0.473307
0.2335863 0.0272487 0.1057749
14.93781 0.0344613 3.46379
3.10714 0.06226005 0.08349935
0.8085591 0.01508544 0.6392136
0.03923312 0.01950933 1.085534
6.303862 0.0287836 0.5209624
