"comp1" "comp2"
-4.196941 -12.33524
-3.928645 -12.25781
-2.269013 -11.59411
-5.645938 -10.52177
-5.031342 -11.34407
-5.115686 -11.18353
-5.17451 -11.94394
-4.616401 -12.46822
-4.856312 -13.22967
-3.861033 -13.66386
-2.868351 -13.27397
-3.312326 -14.15451
-3.321795 -12.54646
-3.341007 -11.36464
-3.04615 -11.31611
-3.832571 -10.55708
-4.040547 -11.10023
-4.117299 -10.32317
-4.572701 -11.30847
-4.676108 -11.80847
-3.672489 -12.70364
-3.44582 -12.3744
-3.253981 -12.25646
-3.505156 -12.68216
-3.92784 -11.54169
-4.8633 -11.23272
-4.481308 -11.33644
-3.826601 -10.51495
-3.625381 -12.29707
-2.912899 -12.88823
-4.46072 -13.44403
-3.059098 -13.94777
-4.804983 -15.31833
-4.650144 -13.98027
-5.032598 -13.27773
-4.101768 -13.47748
-3.723145 -12.41442
-3.286881 -12.90132
-3.584313 -12.64466
-3.699375 -13.43608
-4.888153 -13.56266
-3.782376 -13.25378
-4.020985 -13.08337
-3.672678 -14.59181
-4.135168 -13.32431
-5.152451 -12.60621
-3.690097 -13.02559
-3.490895 -15.13289
-2.570455 -13.30377
-2.28279 -11.86549
-3.106311 -12.1615
-4.731442 -11.52756
-2.858372 -12.00278
-3.234559 -11.84932
-4.157715 -11.52855
-3.658035 -11.5705
-3.358383 -11.8887
-3.847317 -12.26911
-4.902331 -11.55152
-4.176887 -10.60647
-4.384605 -11.53372
-4.685506 -11.50996
-4.710035 -11.1259
-5.757736 -11.58702
-4.714178 -11.85057
-4.957466 -11.87789
-5.098116 -11.87317
-4.958279 -12.22711
-5.191839 -12.162
-3.225956 -12.47205
-3.654203 -13.13203
-2.579186 -12.95885
-3.035972 -13.18764
-5.164937 -12.63809
-3.506608 -13.36314
-3.391952 -13.36964
-3.958119 -12.68824
-4.580356 -13.48841
-3.990525 -14.17385
-3.294595 -13.30491
-3.580464 -13.19693
-3.146888 -13.63192
-2.818452 -14.06675
-3.642335 -14.73124
-2.626935 -14.61352
-2.46982 -14.21227
-3.350583 -16.18415
-3.113454 -14.9255
-2.794554 -16.11298
-2.955182 -18.14618
-3.814028 -17.87169
-4.648188 -17.30266
-3.812487 -18.21716
-4.86795 -18.74505
-3.702336 -18.13366
-5.039843 -17.58047
-4.55616 -16.84622
-4.485645 -16.38176
-3.670992 -17.11513
-3.817549 -16.24728
-4.434619 -15.99997
-5.246108 -14.78663
-4.186184 -14.8637
-3.855102 -14.44211
-2.743089 -13.23442
-3.520821 -13.75842
-5.064412 -14.56198
-4.143602 -13.41814
-4.898056 -14.21622
-4.324006 -14.58678
-2.662266 -14.74366
-2.653908 -14.09275
-2.821354 -13.76456
-2.395285 -12.96528
-2.873393 -13.19975
-3.218846 -13.01979
-2.897636 -13.02049
-4.775046 -13.22741
-3.246066 -12.79105
-5.083343 -12.71089
-4.466261 -13.11137
-4.240987 -12.63053
-3.662024 -12.68295
-5.198629 -11.26474
-4.432843 -12.2427
-4.238579 -12.54859
-4.086196 -12.38154
-4.445829 -12.28913
-4.309415 -14.36544
-3.515544 -14.74675
-3.679074 -14.35525
-3.605338 -13.98778
-3.613152 -14.01532
