"res" "LCI" "UCI"
-3.29395025106919 -3.60624621883478 -2.9572320385407
-3.19967779685532 -3.49094712450835 -2.90095464367896
-2.86338185393843 -3.09242871374125 -2.64236739301057
-2.80109285162906 -3.02203143231967 -2.5890430114749
-2.78075855253697 -2.99884155467421 -2.57113298844988
-2.72481907219143 -2.93346148126751 -2.5228281463296
-2.53841019209544 -2.72323134909057 -2.36054410840442
-2.51923812797146 -2.69973542670354 -2.34605346714132
-2.49668996701161 -2.67521638028357 -2.3257629896678
-2.47943558163808 -2.65588053913466 -2.31001092474933
-2.47126972191724 -2.64837923148742 -2.30263748085911
-2.38502968322227 -2.55266368309353 -2.22627909321248
-2.37896777218983 -2.54542564513986 -2.22121006427062
-2.32547719086477 -2.48547185275822 -2.17309023086324
-2.32074040549452 -2.47943698568204 -2.16904600985702
-2.3139675198383 -2.47194899695835 -2.16376619616336
-2.30040546377619 -2.45627126719828 -2.15166649740827
-2.25176236744865 -2.40267054537845 -2.10790137571028
-2.18276916089672 -2.32643375540492 -2.04632675149902
-2.13587005676771 -2.27717891493269 -2.00194104921235
-2.1195434863176 -2.25590671819921 -1.98893444068202
-2.11687545110967 -2.2530561895778 -1.98581009660689
-2.0948327478997 -2.22903163295267 -1.96569523678462
-2.09036067709849 -2.22559439111064 -1.96151125783481
-2.0685609233751 -2.20055094720432 -1.94162523768686
-2.00836750164051 -2.13404375804857 -1.88703466498356
-2.00678544234062 -2.13176171679436 -1.88503721325809
-1.98998852149158 -2.11434389270903 -1.86923096284411
-1.98706665763652 -2.11074117762012 -1.86756698581345
-1.98095247564256 -2.10434371486181 -1.86141352005409
-1.97605628769783 -2.099401268355 -1.8569283226626
-1.96152170961572 -2.08288392137911 -1.84359671357463
-1.94425478890059 -2.0640434631326 -1.82676929423759
-1.93213613648882 -2.0497918331079 -1.81747110638265
-1.91855671581089 -2.03465989458952 -1.80388846119582
-1.89656428106823 -2.01067004045945 -1.78336244686939
-1.85076505337338 -1.96066751055274 -1.74034347289615
-1.84504707686899 -1.95500475943132 -1.73460976660552
-1.84087135888806 -1.95242195115562 -1.73041250268511
-1.83667779440616 -1.94833320613365 -1.72639340990396
-1.79153491773915 -1.89664076867735 -1.68631821119259
-1.78078980345251 -1.88571764806227 -1.67541398115806
