"Delta_1" "Delta_2" "Delta_3" "Delta_4"
0.7004067 -5.05233 -2.586041 -2.209993
1.033058 4.883045 -2.761074 -2.35082
1.540558 -10.48656 -2.930295 -2.192995
0.9628234 2.907459 -3.091152 -2.261831
1.195141 5.91543 -3.097003 -2.25557
1.166735 -0.584626 -3.286637 -2.185575
0.7384615 -6.022752 -3.200029 -2.036513
1.358888 -7.097281 -3.136835 -2.139626
0.8889696 -0.337917 -3.202932 -2.188776
0.9784946 2.068245 -3.292634 -2.215864
0.8854671 -11.38031 -3.314737 -2.260192
0.996272 -1.915593 -3.322886 -2.424188
1.259506 -10.31698 -3.28635 -2.051076
1.233964 -5.183456 -3.335786 -2.080077
0.9741137 -2.714897 -3.276752 -2.333915
1.048178 -4.265912 -3.423714 -2.284864
1.097514 1.49278 -3.371464 -2.187565
1.217834 15.46086 -3.41197 -2.443718
0.9608285 -8.140217 -3.242871 -2.410761
0.6452725 3.000138 -3.134143 -2.28691
0.8856045 -4.445938 -3.056258 -2.059154
1.103905 12.50804 -3.158281 -2.149398
1.301255 0.7195291 -3.372883 -2.008571
1.101641 5.732691 -3.326544 -2.02855
1.08139 21.80281 -3.359795 -2.503595
1.267695 -6.109751 -3.136382 -2.274105
1.294759 16.03451 -3.048582 -2.457013
0.7131758 3.02205 -2.957041 -2.145548
1.116576 0.3311511 -2.882035 -2.04274
0.9084158 -23.84721 -2.927524 -2.15681
1.099868 -17.90791 -2.958947 -1.868019
1.042616 -1.93258 -2.967121 -1.840378
1.052161 16.00424 -3.015465 -1.936185
1.185427 12.23248 -2.972979 -1.986856
0.9469709 5.567888 -2.893577 -2.475767
0.9490249 17.57064 -3.020885 -2.269458
0.8645271 -3.88522 -3.120239 -1.983888
0.7223831 4.526759 -2.938716 -2.075548
0.8144511 8.589356 -3.106135 -2.068902
0.4009244 15.46794 -3.207992 -2.464735
0.8582136 -0.02084371 -3.308645 -2.170615
0.9467869 0.2262616 -3.347115 -2.187498
1.112702 7.515989 -3.285381 -2.176892
0.9613068 9.649401 -3.295416 -2.335122
1.091628 -4.617003 -3.357666 -2.495837
1.052329 9.79956 -3.176946 -2.481137
1.060565 1.289227 -3.07812 -2.417496
0.7452175 -9.393167 -3.173985 -2.406575
1.001132 0.6382964 -3.183051 -2.368927
1.124935 0.2195816 -3.208525 -2.265781
1.207473 11.83398 -3.366132 -2.251316
1.292673 -8.633006 -3.312812 -2.345413
1.21333 4.203769 -3.141096 -2.019711
1.300139 -9.580553 -3.102819 -2.239515
1.649007 -23.30475 -3.116435 -2.150524
1.269366 3.180999 -3.323039 -2.071025
1.104717 4.330581 -3.167074 -2.320015
1.007239 0.4903039 -3.319016 -2.185681
1.003288 -16.32252 -3.346007 -2.385252
1.179171 0.9282205 -3.248246 -2.372726
0.8133121 -7.946297 -3.120985 -2.560599
1.040837 15.61168 -3.208764 -2.551985
0.9487134 -4.808546 -3.085245 -2.323613
0.9610243 -1.33664 -3.044262 -2.29512
1.226128 -20.45042 -3.164234 -2.133246
1.110413 -0.542681 -3.407458 -1.878519
1.074569 7.954124 -3.387703 -2.284353
0.9132529 0.7156495 -3.421435 -1.996465
0.7536435 -7.67041 -3.429881 -1.98334
1.067025 3.44931 -3.300461 -2.096371
1.181244 -14.05975 -3.298117 -2.475711
0.663748 -1.106239 -3.178786 -2.626371
1.414783 -13.21419 -3.149002 -2.474049
1.365625 8.627047 -3.169402 -2.291459
1.408803 25.80341 -3.242925 -1.823521
1.290031 25.64385 -3.198618 -2.069652
1.235449 9.245017 -3.285605 -2.168211
1.292338 -4.33176 -3.287981 -2.454386
1.089086 -11.19857 -3.189028 -2.441532
1.032223 -12.29196 -3.062382 -1.931486
