Delta_1 Delta_2 Delta_3 Delta_4 
-3.216088 -1.724776 2.61075 -0.6852629 
-3.108474 0.8278414 -2.16265 -0.6875213 
-3.234894 -1.178027 0.7485427 -1.434584 
-2.717508 -0.686503 4.021992 -0.166375 
-2.257255 0.01071246 -19.80305 0.1421982 
-2.363435 1.056086 -24.68006 -2.362105 
-2.473814 0.7197698 -21.00779 -0.303081 
-2.27031 0.497153 -5.012286 0.7218144 
-2.459522 0.2621726 -13.90882 -0.5577493 
-2.576687 0.92394 -17.30166 -9.129423 
-2.292635 0.760728 5.616465 -0.1545326 
-1.264777 -0.4551745 7.620749 -0.3417012 
-1.414214 -0.3725012 8.528035 -0.04662003 
-1.830338 -0.1503657 0.8417257 -0.586796 
-3.346505 0.9959819 -14.60356 -1.116313 
-3.463561 -1.13775 -5.758974 -0.1494536 
-3.088278 2.23127 6.231285 -0.3229479 
-3.186375 -0.8093664 -7.88944 -0.148057 
-2.60407 -0.3982866 0.7225019 -0.4601735 
-3.133377 -1.37307 -2.711892 1.221089 
-3.162971 1.494168 -18.31724 0.7061119 
-3.39645 0.03523024 6.078286 -1.621476 
-2.876877 0.4461315 -4.640704 -0.005183924 
-2.604514 1.471382 -7.586528 -0.5599953 
-3.911619 -3.38122 10.44395 0.1536509 
-4.220099 -1.710965 -14.53977 0.4325384 
-4.396296 -0.7821143 12.48677 -0.7041619 
-3.724357 -1.853624 4.401682 -0.4445457 
-3.688917 -2.183815 14.88489 -1.624536 
-3.200447 -1.529534 12.51829 0.7881744 
-3.202708 -1.933991 1.701586 0.4836295 
-3.495197 -0.5384649 -6.968377 0.9807906 
-2.663736 0.7147171 2.697066 -11.2528 
-2.786175 -2.087526 -2.069353 -7.344678 
-3.221159 1.273036 -12.43368 -13.10927 
-2.830045 0.6681804 -0.877755 -12.78578 
-2.304306 -0.4327448 1.573154 -13.92637 
-2.517986 -0.6908594 -15.84667 -9.722861 
-2.711406 0.6980056 -21.47525 -2.319428 
-2.743145 1.651451 5.304756 -13.29074 
-2.696146 1.921516 -17.50777 -11.89274 
-2.552389 0.8621087 -5.150961 5.74692 
-3.225105 0.5641419 -1.429742 5.739525 
-3.087879 -0.1072513 5.198514 -0.232423 
-3.268892 0.7020701 15.81457 -0.6381588 
-3.348606 -0.7593375 11.44262 0.09183399 
-3.341296 -0.04293576 -1.77682 -1.461432 
-3.001276 -1.48864 4.909567 0.4128326 
-3.016305 1.112502 -12.579 -6.126757 
-3.147893 3.446644 -1.400781 -3.064121 
-3.370746 1.312367 0.6668787 -7.679968 
-2.967062 0.2521337 1.051735 9.212087 
-3.744672 1.815523 1.335809 9.098688 
-3.209411 -1.141211 -0.8745931 5.612037 
-2.260257 -7.906716 -1.761265 4.339258 
-3.073356 -4.667406 0.6599675 14.78242 
-3.50364 -0.1200822 -1.703655 -0.4538515 
-3.153935 0.02379894 -1.615343 -0.5034276 
-3.490584 -5.043869 2.776732 -0.1222451 
-3.759072 2.982534 -1.992061 -10.54174 
-3.325451 0.1835604 -0.305239 -12.97686 
-3.204128 -0.4075518 1.757389 -1.530869 
-2.998331 -3.022969 1.477156 -2.476767 
-3.005615 -0.9680792 -0.4682901 14.53192 
-2.920659 -0.6934937 -0.142307 7.851935 
-3.023358 -0.1779189 0.2879478 -1.420728 
-3.20409 -0.01212827 0.02061794 -0.9436639 
-2.480965 -0.5525779 0.8831937 -2.583243 
-3.563317 -1.331026 1.135835 -9.695151 
-3.170725 1.657162 2.863301 3.685642 
-3.48911 0.3660301 2.223589 -11.02271 
-3.540512 -3.022346 1.612507 -5.549584 
-3.211449 0.2873736 -0.9467333 -12.63081 
-2.892581 0.3829168 -0.09693248 9.738059 
-3.689729 0.07945873 0.4912779 -3.19888 
-3.11761 -0.3897998 -2.017137 7.180431 
-3.533325 0.7710966 0.4661643 2.247233 
-2.910161 0.3374341 -1.842536 0.2127284 
-3.301705 -0.001191658 2.83264 -24.45863 
-3.787498 0.3399767 -1.171355 18.36781 
-3.452733 -0.9874278 -1.631002 5.456646 
-3.608214 1.219733 -0.1397446 16.62937 
-2.688257 -0.4528268 1.531697 16.07604 
-2.858437 1.215422 0.5869075 6.473174 
-3.354989 -2.505269 -0.15448 -2.916615 
-2.462412 -0.1477849 -3.86847 -2.442092 
-2.495985 -0.1152306 -4.188708 -7.38813 
-2.451755 -0.01091836 -1.681259 0.4647959 
-2.01437 -0.1673183 -2.801796 18.20548 
-2.330011 -0.4792019 0.9893923 -12.2695 
-2.890273 -0.6868392 2.22605 3.929377 
-2.258838 0.1086327 0.6642824 -0.9186527 
-2.557171 0.6088716 -0.02353172 6.186504 
-3.12641 -0.1228501 -2.241717 -6.021648 
-2.796018 -8.94999 1.003999 10.7554 
-2.179569 4.877279 0.5862022 -2.068148 
-2.558262 -0.6425476 0.5934509 -22.56946 
-2.2628 -0.01148579 0.5092282 -10.60846 
-1.903618 -1.105095 0.9500649 8.276451 
-2.041431 0.04632738 1.323811 1.961953 
-2.539049 -1.214787 0.06908092 -5.872403 
-3.418108 -0.0269518 1.179338 -4.304491 
-2.614205 -0.02067498 0.9928836 -10.15933 
-2.766692 1.652809 -1.537847 6.057321 
-2.635318 -0.08543061 -2.255722 10.21743 
-2.703174 -1.391589 -1.00132 -24.27525 
-2.136752 -9.390896 0.558525 12.70281 
