"beta1_1" "beta2_1" "beta1_2" "beta2_2" "beta1_3" "beta2_3" "beta1_4" "beta2_4"
-0.05182499 3.982293 4.351451 -4.210641 -24.15149 -4.401796 -9.864717 -5.257478
-0.02199784 3.985381 16.03342 5.277731 -24.10159 -4.507797 -10.39221 -5.014324
-0.03779214 3.969927 0.6153477 3.447179 -23.92463 -4.579022 -10.06643 -5.048869
0.01087394 3.970332 1.400198 -10.47668 -25.21488 -4.299999 -10.0864 -4.985434
0.05268017 3.956343 -12.72443 -24.2362 -25.82959 -4.415616 -10.44721 -5.034686
0.03072134 3.985422 -16.19916 -3.769066 -25.33592 -4.71636 -9.845376 -5.268614
0.04886845 3.949728 4.971206 9.96468 -25.73141 -4.532003 -10.23737 -5.057934
0.006779325 3.973421 1.521504 2.205072 -24.8705 -4.612834 -10.01911 -4.980128
-0.01746413 3.95743 -13.89406 6.405598 -24.83826 -4.491708 -10.25148 -4.980396
-0.01833474 3.96892 6.986128 -1.887788 -24.93385 -4.418783 -10.04907 -4.962984
-0.07795023 3.958894 11.01117 6.561796 -24.38231 -4.643733 -9.872188 -5.181926
-0.03054456 3.988327 2.030611 -16.53569 -25.34357 -4.393541 -10.12247 -5.032257
-0.02722321 3.985809 3.540337 -5.600723 -24.16464 -4.919083 -10.25991 -5.065332
0.06419596 3.945286 -0.6379893 -6.530643 -23.09574 -4.894998 -10.34326 -5.027209
-0.01519463 3.978893 5.046295 2.224657 -22.77167 -6.034937 -10.04836 -5.117992
0.03821935 3.969792 23.70358 3.586624 -25.26851 -4.384916 -10.29888 -4.892143
-0.01851885 3.970433 6.304231 1.212748 -24.91378 -5.013863 -9.988424 -5.019387
0.02012389 3.980583 -14.14067 -12.55295 -24.79581 -3.970069 -10.10989 -5.043873
0.02538391 3.971781 1.94353 -5.393054 -23.78409 -5.343409 -10.56654 -4.86741
0.09187179 3.965525 4.394109 11.28465 -25.27126 -3.841904 -10.52059 -5.120521
0.07478345 3.964967 2.732411 -3.792678 -24.77087 -4.877005 -10.2883 -5.100606
0.03480164 3.973153 -2.954669 -6.636297 -24.53377 -4.473832 -10.33896 -5.054563
