"p_1" "p_2" "p_3" "p_4"
0.7795302 0.006858203 0.06064704 0.1529646
0.7705158 0.002576064 0.05998996 0.1669182
0.7512249 0.04263337 0.06501824 0.1411235
0.7780819 0.003322282 0.04909562 0.1695002
0.7594219 0.001700731 0.06873607 0.1701413
0.7988652 0.008969264 0.04896795 0.1431975
0.7826889 0.005873958 0.05012549 0.1613116
0.7731654 0.003709571 0.0594268 0.1636982
0.7776528 0.006266058 0.05550763 0.1605735
0.7696238 0.001964348 0.0656974 0.1627144
0.7919592 0.004763001 0.04513775 0.1581401
0.764998 0.01014075 0.06707737 0.1577839
0.792634 0.005537511 0.06507033 0.1367581
0.7611183 0.005629134 0.06025235 0.1730002
0.8011743 0.007898203 0.05740086 0.1335267
0.7796757 0.001256698 0.05689222 0.1621754
0.7639059 0.01720254 0.05453266 0.1643589
0.7704448 0.005294441 0.05672347 0.1675373
0.7610546 0.007128947 0.06175661 0.1700598
0.7977146 0.003458732 0.05616407 0.1426626
0.7904236 0.002321279 0.05638387 0.1508712
0.7905788 0.001877452 0.05753583 0.1500079
0.7993924 0.005627014 0.04498974 0.1499908
0.7872646 0.0009505682 0.05689379 0.154891
0.7791025 0.001686825 0.05307643 0.1661343
0.7891251 0.001220542 0.04363405 0.1660203
0.7565971 0.009343163 0.04883481 0.185225
0.7445407 0.001596014 0.05044605 0.2034172
0.7668189 3.341695e-05 0.07035393 0.1627937
0.7951816 0.000977154 0.06167028 0.142171
0.7919001 0.004571043 0.05718099 0.1463479
0.7779561 0.00868079 0.05689199 0.1564711
0.7977553 9.801112e-05 0.0490558 0.1530909
0.7750032 0.01140156 0.05819641 0.1553988
0.7608456 0.001819282 0.05173509 0.1856
0.7537 0.002022391 0.05254997 0.1917276
0.7927393 0.0001821107 0.056323 0.1507556
0.7878424 0.002008359 0.06245482 0.1476944
0.783318 0.0009933117 0.05395649 0.1617322
0.7682166 0.0006313916 0.05185522 0.1792968
0.7910602 0.00262421 0.04591845 0.1603972
0.7519316 0.003895676 0.06638298 0.1777897
0.7541947 0.003300806 0.05724105 0.1852635
0.7547266 0.02812517 0.068605 0.1485432
0.7385598 0.03148231 0.06136956 0.1685883
0.7839971 0.004394153 0.04547174 0.166137
0.7873906 0.004011329 0.04838226 0.1602158
0.7764691 0.0006920114 0.06572039 0.1571185
0.7956961 0.000354207 0.05783879 0.1461109
0.7897749 0.005389621 0.04975545 0.15508
0.7888316 0.001536057 0.04643305 0.1631993
0.7765566 5.254766e-05 0.06102586 0.162365
0.7608373 0.005625459 0.05333424 0.180203
0.8086222 0.003781532 0.05392528 0.133671
0.7811707 0.00360359 0.04483779 0.1703879
0.7917475 0.0006519702 0.05922537 0.1483752
0.7688297 0.00903309 0.05496379 0.1671734
0.7801745 0.002742101 0.05441684 0.1626666
0.7664386 0.008266548 0.04823872 0.1770561
0.7569677 0.006320298 0.05866367 0.1780483
0.7645055 0.001497026 0.06069161 0.1733059
0.7890117 0.01205908 0.04523182 0.1536974
0.7771053 0.002578965 0.04911863 0.1711972
0.7880155 0.0001595608 0.04851499 0.16331
0.7829825 0.0003980101 0.05188497 0.1647345
0.7718702 0.0009898094 0.05887003 0.1682699
0.7809853 0.006363001 0.06887667 0.143775
0.7895438 0.008767654 0.04795201 0.1537365
0.7771169 0.0003801909 0.0423529 0.18015
0.774142 0.02022881 0.05319377 0.1524354
0.7944252 0.005924787 0.04819095 0.151459
0.7824279 0.0009903073 0.05232724 0.1642546
0.7942497 0.002360849 0.0463814 0.157008
0.7673857 0.01016319 0.05890919 0.1635419
0.7476729 0.03915179 0.03975234 0.173423
0.7917074 0.01221644 0.03890869 0.1571675
0.7963156 0.001745244 0.04079731 0.1611418
0.7732694 0.0008161608 0.06126643 0.164648
0.7439706 0.007004707 0.05778832 0.1912364
0.7873355 0.003071197 0.05223423 0.1573591
0.7791057 0.0002039353 0.07081019 0.1498802
0.8019538 0.008934839 0.05626718 0.1328442
0.7774625 0.002552614 0.05883391 0.161151
0.7914148 0.008076465 0.05225201 0.1482567
0.784448 0.002830029 0.05721338 0.1555086
0.7854232 0.0002556147 0.04348878 0.1708324
0.7752812 0.0007537292 0.05679293 0.1671721
0.7823609 0.001681584 0.05003237 0.1659251
0.7762208 0.002125238 0.05618223 0.1654718
0.7787862 0.00184881 0.04578033 0.1735846
0.7755819 0.0007138759 0.063577 0.1601273
0.7677405 0.00535215 0.05540597 0.1715014
0.7730131 0.005625526 0.06131328 0.1600481
0.7793728 0.00375857 0.04125875 0.1756099
