"nu" "alpha"
3.622118 0.2373078
4.17998 0.03140166
3.287355 0.2290419
3.682793 0.3702884
3.901643 0.3996531
3.665487 0.2161984
3.138903 0.4709466
3.501554 0.3162527
3.384439 0.4471695
3.437658 0.4503705
3.653082 0.2432132
3.444068 0.496234
4.101528 0.2288988
3.770665 0.4020538
3.11981 0.03837759
3.232613 0.1633889
3.461175 0.3738781
3.387534 0.4624844
3.924063 0.3130419
3.776617 0.1927669
4.361722 0.2711636
3.671352 0.3971615
3.345755 0.1244942
3.354406 0.389398
2.827823 0.2908313
3.308457 0.1426176
3.101198 0.1684284
3.108086 0.3110792
3.018772 0.1946201
3.149583 0.1840637
2.789248 0.4574777
3.127641 0.2816819
3.092062 0.3607203
2.862959 0.4757887
2.951547 0.192845
3.011938 0.221965
3.205138 0.2785402
3.324415 0.256041
3.056257 0.4156123
2.510476 0.2237757
3.060974 0.2157506
3.220762 0.3570044
3.299934 0.1628918
3.252095 0.2137965
3.935763 0.3258976
3.331587 0.4940674
3.283735 0.3385858
2.886714 0.2378511
3.314161 0.3206161
4.452626 0.0933349
2.978005 0.2481155
3.274701 0.2987361
4.423315 0.228373
3.637263 0.05820627
3.891582 0.0251393
3.50243 0.4251626
3.264333 0.4131914
3.002921 0.2347958
2.873647 0.2321374
3.960374 0.3858015
3.498539 0.04401591
3.60589 0.4816032
3.645466 0.286929
3.316636 0.44526
2.715598 0.03237175
3.176614 0.3267447
2.855658 0.3404374
3.439597 0.1416272
2.922337 0.391662
3.220208 0.4141796
3.444249 0.4806218
3.555619 0.3329916
3.085622 0.4826462
3.492115 0.4109384
3.320201 0.2969375
3.033105 0.18576
3.295244 0.1394386
3.126939 0.2635455
4.426803 0.3260463
4.174377 0.3884746
3.89175 0.1694503
5.375216 0.4093766
4.073139 0.2803133
3.215092 0.2940585
3.557923 0.2774574
3.701907 0.4569374
3.729033 0.1331281
3.760368 0.484713
3.263627 0.205924
3.386656 0.2766261
3.0445 0.05070809
2.963648 0.1096329
