beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 beta1_4 beta2_4 
-4.384352 -7.394888 0.0006782265 0.9861343 5.888372 13.46179 1.916743 0.04586012 
-9.609314 14.98878 -0.1136075 1.023476 19.65713 3.858929 1.89539 0.05240315 
6.010294 5.891007 -0.1000162 1.029208 -4.059634 10.40636 1.892044 0.05120601 
21.20781 10.26606 0.1240192 0.923757 7.00646 7.79077 1.917637 0.04460924 
-4.703869 -7.830186 0.04220823 0.9607864 10.38883 3.700639 1.955552 0.02271165 
27.60071 18.69239 0.05943533 0.9641831 7.169377 10.26668 1.939095 0.02881492 
-5.599371 11.0775 -0.01512654 1.002829 9.56327 -2.591066 1.868879 0.05810439 
8.195324 -2.19375 -0.1708057 1.050699 0.5358689 -4.512975 1.910983 0.04198381 
-12.37165 4.74122 0.08523794 0.9620684 0.6597952 -2.028304 1.90347 0.04804886 
10.72265 -0.4898279 0.08825218 0.9523729 -1.978257 13.78747 1.925791 0.0373209 
-16.81431 -4.996638 0.07112178 0.9473913 2.972882 2.113556 1.88942 0.05583529 
0.07329752 2.692752 0.0006399463 0.9852073 0.4709315 2.629355 1.947526 0.02653124 
1.260845 17.6781 0.02700456 0.9735441 -12.08743 -4.505236 1.930564 0.04043185 
-6.442472 -12.74451 0.1421401 0.9278298 -0.7658074 1.401331 1.964653 0.0195104 
11.70787 2.797283 0.2081163 0.9100986 0.8589313 -9.431715 1.881285 0.05709413 
-2.411313 -9.654913 -0.05905746 0.9880658 26.68524 -0.6325896 1.970084 0.01706869 
6.031024 -4.647965 -0.08418307 1.025944 -12.56798 -9.376807 1.869057 0.06572312 
7.948584 25.75554 -0.000466352 1.00052 -9.638027 6.031396 1.93482 0.04121571 
-7.303847 2.728661 0.04264016 0.9744781 -5.852099 0.2593356 1.952887 0.02920021 
-6.690485 -0.5620085 0.04626714 0.963482 7.926088 12.10984 1.935119 0.03437157 
5.924874 -25.41471 0.2841135 0.8621993 -1.290585 -1.184235 1.895662 0.04759906 
7.292112 1.61856 -0.04142821 1.005879 -10.44496 -2.674041 1.920623 0.04063186 
14.64291 4.112104 0.09284877 0.9217888 1.71061 4.734484 1.876319 0.06122836 
-15.11357 -4.58111 0.1702007 0.9138725 13.41434 13.49297 1.890198 0.05237174 
-4.55414 1.98014 -0.009935733 1.000593 7.806407 20.50063 1.945518 0.03390637 
-10.84381 -11.77257 0.04875513 0.9650265 -9.997639 -3.452639 1.987376 0.01053405 
1.640649 2.303909 0.1005827 0.9331241 0.04292211 0.2731624 1.930586 0.03573119 
8.56568 -1.670678 0.004345508 0.9937258 3.640637 -4.747017 1.938235 0.03330871 
-17.20084 0.03702971 0.03635919 0.963162 -5.026783 7.728228 1.920802 0.03654102 
-6.973135 12.96724 0.04942474 0.964639 -12.82111 4.138431 1.969155 0.01956561 
21.39518 -6.540987 -0.05395313 1.005118 -10.88905 -6.340872 1.937302 0.03778224 
-10.09534 -2.737567 -0.198599 1.058483 -5.302624 -0.1837027 1.929565 0.04560167 
-0.4605471 -21.8158 -0.07526913 1.020035 -1.855412 -16.55992 1.906292 0.04897423 
2.681454 7.868115 -0.2787416 1.121451 8.370969 0.0751778 1.908667 0.04654162 
-21.28872 -0.5013416 0.08367447 0.9560423 -40.53426 -2.621909 1.930348 0.03684591 
-4.953524 -6.811673 -0.0897786 1.025345 10.65076 -3.30937 1.9153 0.04539923 
17.76386 -2.308539 -0.1497991 1.04558 -5.197897 -7.107383 1.929333 0.03913205 
-9.056635 -13.39122 0.05685196 0.9597287 -6.158171 -11.83528 1.896714 0.05138082 
8.791362 -9.669679 -0.1118896 1.043536 -3.102561 -19.94686 1.964286 0.02121492 
-3.12069 0.2281052 -0.04644698 1.008817 -11.35937 6.698573 1.939288 0.02858828 
-13.48216 -20.89234 0.07188351 0.9538843 1.88744 -7.169307 1.972057 0.01845863 
0.6982651 1.313412 -0.09944877 1.045436 -0.8325264 -5.334563 1.894085 0.04727399 
-5.892826 -4.992779 0.01438311 0.9818875 5.518218 -0.4509839 1.912643 0.04516011 
-4.839384 -6.605164 -0.003364871 0.9987807 -5.698217 3.518979 1.902569 0.05246199 
2.220792 7.727849 -0.1065235 1.037418 -7.652127 -6.939238 1.931031 0.040017 
4.130865 6.53347 0.2099894 0.899348 -5.540157 1.525192 1.919495 0.03597413 
7.144112 -4.508914 0.03120415 0.9667055 -2.627636 -0.6101049 1.912571 0.04507799 
-9.422273 -2.677406 -0.1195112 1.030627 -9.625666 -0.02749103 1.972582 0.01393104 
-2.194589 -5.116745 0.08963086 0.9457722 -16.49515 -10.55475 1.954523 0.02755938 
3.45568 6.368872 0.02741674 0.9881382 4.585192 -2.340007 1.929236 0.03179849 
-15.89651 7.008286 0.01470607 0.9833117 -4.400711 1.697523 1.906345 0.04556089 
11.08255 0.6081759 0.02922996 0.9628595 1.037049 2.797078 1.946343 0.03425653 
20.90948 -2.561873 0.1286204 0.9103469 8.709155 -10.82542 1.93568 0.03119256 
6.288532 10.13754 0.04399968 0.9616676 2.797942 -23.84907 1.918044 0.04215452 
-3.488993 -3.214765 0.03576389 0.9622467 4.019539 -6.029372 1.873982 0.0618107 
7.771211 -10.59635 0.05841765 0.9506121 -0.7497957 -7.475402 1.900687 0.05117291 
-5.726893 -1.949682 0.01497676 0.9708449 6.317383 -5.120278 1.904218 0.04896073 
-8.22238 -3.013096 0.09376475 0.9375682 1.577451 15.46273 1.926972 0.03750815 
-4.386136 -5.98025 -0.04286045 1.006235 8.759495 -3.419096 1.949235 0.03016194 
-6.740577 -6.144604 0.07413172 0.9464411 8.207407 7.55453 1.842186 0.07956705 
-5.294226 8.33792 -0.1129199 1.033205 9.000483 -2.349871 1.926882 0.03862394 
16.97071 -17.36282 -0.03351468 1.007631 10.59134 16.32104 1.970021 0.02409397 
-3.098633 -11.35338 0.08319463 0.9550615 0.7341215 0.6229369 1.909107 0.04343472 
-9.390054 -0.7887867 -0.09831513 1.027981 9.277813 -13.98969 1.932105 0.03816376 
4.196969 0.4773806 0.09063522 0.9610066 -12.57593 5.061123 1.935005 0.032585 
0.2858046 -13.38206 0.02706939 0.9805114 -0.05558159 -14.40675 1.936536 0.04060055 
-5.247354 -10.06128 -0.08010628 1.017891 4.174688 -7.207705 1.919088 0.04335821 
-0.2766566 12.61636 0.05339306 0.9646491 16.30619 10.66865 1.915175 0.03968607 
