tau2_1 tau2_2 tau2_3 tau2_4 
228.7419 0.01007005 936573.4 0.003013637 
3.63417 0.007077684 13643172 0.002447703 
42.23666 0.007511302 2537462 0.003464791 
3165.808 0.01935722 11.59989 0.003513992 
41.26694 0.01835306 311.3497 0.003047549 
76041.44 0.01086307 204.9059 0.002394917 
2.718407e+13 0.005913673 2169.762 0.003631956 
2.28978 0.005354713 579.8292 0.002056242 
3.651498 0.0178284 5.432094 0.003388222 
0.08155089 0.009575134 3.69531 0.002420479 
2181.409 0.01584687 304.6328 0.00283392 
24357027 0.01421574 41454.08 0.003400816 
0.05791838 0.009473871 46.38843 0.00265232 
1388.736 0.0112983 7.253062 0.003034647 
5.662438 0.01275288 5350514 0.002759077 
885908.6 0.008996402 71309.26 0.004097401 
0.08323384 0.00611254 3.144093 0.003134476 
4.914518 0.005805591 40.94545 0.003349783 
23389.64 0.02124416 25772.24 0.003134842 
523.3798 0.007794574 1.156343 0.004616462 
3301.354 0.01160507 12.59743 0.002330513 
4.595001 0.02342971 2799.088 0.003373293 
1.826239 0.01742258 0.1184892 0.002775672 
7.871254e+14 0.00747124 0.2445948 0.002848735 
0.3932395 0.008453915 5.104692 0.002485414 
1.277686 0.008583325 122325787 0.004038588 
1745487 0.01230642 476.5969 0.003283308 
598646.4 0.007804137 344.7628 0.003216411 
1087.619 0.01803494 15.14447 0.003357967 
0.6196344 0.004398007 1.277092 0.002973742 
22166608985 0.008223751 245.692 0.002671136 
146935.6 0.01675681 0.1126129 0.002903895 
130.284 0.004664687 3077.686 0.003986492 
1.29445 0.004559269 168990.3 0.004181563 
31.63485 0.01053375 50.86911 0.003843768 
81646.61 0.02386327 4.922559 0.002187328 
1.895795e+19 0.01296136 0.927094 0.003105515 
232.4519 0.008291914 531.2208 0.00297151 
7923.21 0.01183865 72248452 0.003612863 
1.617201 0.006653416 0.07899348 0.003170078 
18403.04 0.00935408 63.65795 0.004069091 
0.1538624 0.02123466 591389.7 0.003446227 
20390.14 0.01214289 8.704142 0.002687507 
0.2566504 0.01463921 6.505421 0.003324345 
510.8865 0.011741 0.1318586 0.003381378 
121120311 0.02030268 0.08442733 0.003183887 
28.56054 0.01161734 738.1502 0.002737115 
31.34388 0.004754024 94726176 0.003369607 
618845.3 0.003710995 1.710501 0.002533861 
9625964034 0.01068226 5.549374 0.002388107 
110516 0.006772804 1.509937 0.0030974 
503.5399 0.006616824 4.857897 0.002488708 
0.04098476 0.01165094 4.259411e+16 0.002793535 
18.64767 0.01521082 2700.287 0.003695225 
161.8147 0.0183934 118980924 0.00348399 
1.08816 0.01400292 6803.356 0.003285577 
2956.465 0.008004291 191.4858 0.003067911 
129931561 0.0131108 54.90357 0.003109821 
9203794 0.009226551 3.702006 0.002769754 
1.996943 0.01319863 11.66121 0.002714743 
0.2626801 0.006578651 0.6732223 0.002523035 
5.956742e+16 0.01133179 1.164034e+16 0.002256652 
4.950974 0.006338148 608.8422 0.003342205 
12.74071 0.01806931 0.03311391 0.004123121 
23.05332 0.009076066 1.800843 0.003131706 
672.3484 0.005383746 0.3085184 0.003095611 
0.2820547 0.01013388 37485271587 0.002630998 
2511.066 0.01645946 13335959 0.003634452 
255462.8 0.0130747 79932674864 0.00343422 
0.1473726 0.01045926 1658.017 0.002765329 
67379.37 0.01192209 0.1680248 0.003835214 
513980742 0.01944702 188154.6 0.004123436 
0.9902628 0.01685592 0.2408796 0.003360347 
8.3743 0.007699847 0.6717036 0.003409749 
0.04797441 0.009655091 0.02329212 0.003344841 
1.336941 0.01318422 0.4543876 0.002508185 
4.919736 0.007092536 118762.4 0.00418655 
