nu alpha 
26.01083 0.04113984 
5.297113 0.4554042 
3.799365 0.1629764 
6.573203 0.3178321 
6.498606 0.1798372 
9.906065 0.06319981 
3.332042 0.1582953 
75.27147 0.04938259 
8.617499 0.2655405 
4.605894 0.1746027 
2.99051 0.3357997 
5.705821 0.4228573 
5.339971 0.201293 
3.220684 0.2350155 
5.659717 0.3796776 
4.32421 0.2575091 
4.206587 0.1798333 
6.40037 0.364044 
4.97206 0.249199 
5.458417 0.03698877 
8.200308 0.3130273 
3.088244 0.06999754 
17.94777 0.09457346 
14.3762 0.1599392 
4.678825 0.3579372 
42.58897 0.02043273 
91.70525 0.05227617 
58.22443 0.08175163 
38.19726 0.05775807 
9.332008 0.3472383 
9.64142 0.1594444 
13.83286 0.09942567 
7.343869 0.1571755 
16.60245 0.07254824 
24.68353 0.05314017 
5.034762 0.2782624 
5.802497 0.02833623 
11.58627 0.08498206 
9.203311 0.05003883 
19.47426 0.02709255 
29.39609 0.02103812 
5.318253 0.2144677 
7.519433 0.4589751 
5.666776 0.1685955 
21.61979 0.2276377 
15.8143 0.1019702 
10.36556 0.1501192 
3.978504 0.1938149 
6.359886 0.4269312 
13.34443 0.2282181 
15.80268 0.04136056 
5.587719 0.2546496 
12.14774 0.02698888 
26.97193 0.08832225 
20.8794 0.1503773 
144.7428 0.03055097 
43.86832 0.04050001 
15.68269 0.08660526 
7.917518 0.2963344 
4.889223 0.3772829 
8.884555 0.1810708 
10.13624 0.3376996 
8.908892 0.06359298 
15.42356 0.06819061 
3.480158 0.4640777 
3.604112 0.4335464 
5.104373 0.2637706 
6.67492 0.05200111 
3.30253 0.1928275 
21.76539 0.1431829 
57.75081 0.02881714 
13.02697 0.09814074 
10.79978 0.2290264 
5.853393 0.2673089 
113.8991 0.03785653 
9.674471 0.2897826 
3.894765 0.3111151 
9.297617 0.1710263 
4.718113 0.4569452 
20.22228 0.1556604 
3.819165 0.4294088 
34.49289 0.03412475 
12.04891 0.3363751 
4.471123 0.1782849 
4.801292 0.2527399 
5.541801 0.1401605 
38.4031 0.02818248 
47.98146 0.1167716 
61.95881 0.04740525 
32.21974 0.06055314 
20.8844 0.1381433 
7.466482 0.1660602 
21.90475 0.04684907 
45.31378 0.05650087 
7.906061 0.2868775 
6.940181 0.4261057 
2.399455 0.2286654 
6.098729 0.1703693 
21.78415 0.04316214 
8.913935 0.3841334 
3.767308 0.1142611 
