p_1 p_2 p_3 p_4 
0.001441691 0.3080837 0.001666001 0.6888086 
0.005618142 0.3156814 0.001412846 0.6772876 
0.002441913 0.3384508 0.001394008 0.6577133 
0.01154639 0.2502014 0.01721241 0.7210398 
0.002991854 0.2859712 0.0008982938 0.7101386 
0.003593298 0.2992189 0.009669365 0.6875185 
0.00200261 0.3657419 0.009792345 0.6224631 
0.004346781 0.3496521 0.003688318 0.6423128 
0.006647098 0.339267 0.007575797 0.6465101 
0.004796398 0.2565271 0.002659437 0.7360171 
0.002267518 0.3001861 0.009506157 0.6880402 
0.0007019882 0.3541284 0.0009675951 0.644202 
0.003231114 0.2462274 0.006176717 0.7443648 
0.006729965 0.2129587 0.01251949 0.7677918 
0.000420977 0.3101994 0.0119645 0.6774151 
0.0009154185 0.2873237 0.000338132 0.7114228 
0.01178296 0.3127266 0.009291772 0.6661986 
0.002940249 0.2985157 0.01096319 0.6875808 
0.006863872 0.2498244 0.01333695 0.7299748 
0.01167225 0.3122799 0.0003690637 0.6756788 
0.002256948 0.3285745 0.001464853 0.6677037 
0.01841815 0.3219775 0.002333686 0.6572706 
0.02117571 0.2928895 0.009923728 0.676011 
0.003812228 0.2629904 0.002454911 0.7307425 
0.006772472 0.1968019 0.005540111 0.7908855 
0.03262684 0.2665309 0.003066259 0.697776 
0.005741521 0.3248859 0.001936699 0.6674359 
0.01127874 0.3611109 0.01272577 0.6148846 
0.003378454 0.3704441 0.001457898 0.6247196 
0.004496934 0.2304941 0.02550043 0.7395085 
0.005703895 0.2601474 0.004151215 0.7299975 
0.01992876 0.213986 0.00214756 0.7639377 
0.007404191 0.2878996 0.005431727 0.6992645 
0.00140683 0.3337511 0.004309249 0.6605328 
0.002882155 0.2909182 0.01919306 0.6870066 
0.002568459 0.2736473 0.01175338 0.7120309 
0.01900929 0.3499387 0.005710048 0.625342 
0.003832624 0.2755184 0.003180964 0.717468 
0.001127035 0.3739385 0.01133729 0.6135972 
0.007370701 0.335686 0.005137251 0.6518061 
0.00250699 0.2033633 0.008729739 0.7853999 
0.001637712 0.3666878 0.008662775 0.6230118 
0.002771215 0.3139506 0.005722492 0.6775557 
0.01175562 0.3106273 0.02072571 0.6568913 
0.00441095 0.2487649 0.003663713 0.7431604 
0.0007563532 0.2081574 0.002305899 0.7887803 
0.00193563 0.2942498 0.0005711407 0.7032435 
0.008612071 0.4089899 0.007184824 0.5752132 
0.004892029 0.3968415 0.02831217 0.5699543 
0.0009486278 0.3084643 0.004585087 0.686002 
0.002274139 0.2685388 0.003286259 0.7259008 
0.001010849 0.2526093 0.003650183 0.7427297 
0.01468086 0.2647368 0.005320794 0.7152615 
2.431517e-05 0.3484956 0.001824563 0.6496556 
0.004109407 0.2371419 0.003366786 0.7553819 
0.004368559 0.2408889 0.02715799 0.7275846 
0.01447071 0.4265305 0.003757606 0.5552412 
0.00228316 0.3444681 0.01149908 0.6417496 
0.0007317218 0.4265453 0.003793064 0.5689299 
0.00423827 0.3324498 0.001660171 0.6616518 
0.002036018 0.3299434 0.005104863 0.6629157 
0.02617736 0.260372 0.005568194 0.7078824 
0.003094186 0.2508518 0.003655055 0.742399 
0.002584569 0.2466776 0.01002773 0.7407101 
0.006655102 0.2541397 0.004095203 0.73511 
0.003011419 0.228647 0.01567182 0.7526697 
0.003665078 0.3630438 0.0003197424 0.6329714 
0.001009662 0.2650651 0.00411504 0.7298102 
0.000328723 0.2808188 0.01118931 0.7076632 
0.008668549 0.2671665 0.0007282358 0.7234367 
0.001274145 0.3143803 0.002727529 0.681618 
0.007515867 0.3401996 0.01537788 0.6369066 
0.0009099843 0.2302962 0.03325299 0.7355408 
0.007594773 0.3752603 0.0004026775 0.6167422 
0.007142568 0.2823376 0.01702427 0.6934956 
0.02161867 0.3441078 0.00120996 0.6330636 
0.001626288 0.3274455 0.02041199 0.6505163 
0.01870658 0.2180912 0.0002405542 0.7629617 
0.004859712 0.2853415 0.01141979 0.698379 
0.002413794 0.290451 0.002899691 0.7042355 
0.009529903 0.2649981 0.003473545 0.7219984 
0.002162474 0.2186661 0.005762841 0.7734086 
0.0003909919 0.2661972 0.01030886 0.7231029 
6.870373e-05 0.3028885 0.01407934 0.6829634 
2.674855e-05 0.3722188 0.007558333 0.6201961 
0.003217567 0.378126 0.006909918 0.6117465 
0.00549639 0.2767821 0.0005912017 0.7171303 
0.005486359 0.2198881 0.0001045215 0.774521 
0.004466969 0.2349389 0.000752017 0.7598422 
0.01034326 0.3266577 0.001567537 0.6614315 
0.01769049 0.2625702 0.005892591 0.7138468 
0.001572596 0.3364217 0.00193601 0.6600697 
0.006774751 0.2735475 0.002013807 0.717664 
0.01611324 0.4250825 0.002749197 0.556055 
0.01019665 0.2990858 0.007103823 0.6836137 
0.01853478 0.2925553 0.0003406346 0.6885692 
