Delta_1 Delta_2 Delta_3 
-2.545612 0.6606353 -0.1444306 
-2.575771 0.04119379 -0.1723879 
-2.419573 -4.211781 -1.246144 
-2.517917 -9.474531 -2.497685 
-2.693418 -11.47456 -2.802759 
-2.282296 -10.3849 0.1382168 
-3.071129 -6.159917 -0.08836403 
-2.706682 -5.2728 0.9218709 
-3.827968 -0.386724 -1.623213 
-3.877672 -0.2665138 2.052541 
-3.740043 0.3812048 0.7107951 
-2.805035 -0.8902777 -1.195866 
-3.203313 0.3698773 -0.1765471 
-3.266663 0.941216 -0.4254077 
-3.208579 -1.785455 3.886552 
-3.226378 0.01206434 1.153479 
-2.660297 0.7024994 1.540052 
-2.416761 -0.404556 0.891617 
-2.609465 -2.179224 -1.469972 
-2.709508 0.08255894 -0.4857133 
-3.419109 -0.187362 -1.549137 
-2.932917 0.5236269 -1.921706 
-2.855702 -3.304538 1.999135 
-3.108956 -1.055685 -0.9487303 
-2.503619 -0.1085507 -1.088414 
-2.011151 0.06335198 -1.225314 
-2.601388 -0.7141589 0.9393425 
-3.447799 0.2114162 3.15505 
-3.156271 2.485726 -2.403013 
-3.172772 1.136632 -1.16441 
-4.222281 -0.5732758 -0.4014844 
-3.588084 0.02997723 -1.917134 
-2.913325 -0.2788574 -1.381736 
-3.158002 1.931329 -1.064337 
-3.661537 0.1021018 0.5374681 
-2.896804 0.2660034 0.6907862 
-2.802873 2.975519 -0.1040073 
-2.518293 -6.472005 0.07078287 
-1.930471 -15.70466 3.127202 
-2.537325 -3.038369 3.182039 
-2.694869 0.3507703 3.518921 
-2.8552 -0.30633 3.934975 
-2.984768 -1.986515 3.254345 
-2.764942 -4.713513 2.377994 
-3.607017 -2.565197 2.820249 
-3.231349 11.2382 0.8529647 
-2.883961 -0.755162 1.032085 
-2.658142 -2.511234 -0.1307373 
-2.710689 -0.1413208 -1.573214 
-3.685316 -1.251005 -1.680585 
-3.603517 0.4772338 -3.617545 
-3.955557 -0.1772862 -0.8120592 
-3.600954 0.5954245 -0.2443353 
-3.838564 -0.2129096 0.6949788 
-3.272377 -0.3951731 2.736673 
-3.340751 -0.9520895 -0.8385345 
-2.526953 -0.7954308 0.03784598 
-2.852166 -0.6893583 -0.03078453 
-4.063524 -0.01325028 -1.78072 
-3.694492 1.681076 -0.5350081 
-3.392235 -1.382615 0.1885882 
-2.697333 1.07823 0.7091955 
-2.54767 -0.03104946 -0.6361565 
-2.508833 0.1194715 0.8504496 
-2.694486 -1.023916 1.84706 
-2.222275 0.06650663 0.6450763 
-2.693604 -0.4576834 1.075191 
-2.151645 -0.1268022 3.91741 
-2.152081 -0.3979227 -0.1531252 
-2.406432 -1.664644 3.456335 
-2.551854 -0.219581 2.165299 
-2.783051 0.4066515 0.7658756 
-3.113562 -4.000503 -0.4841945 
-3.399081 -0.02930201 0.4697182 
-2.772774 -0.02819162 -1.834995 
-3.252687 0.5517019 -1.548001 
-2.948559 -0.2566712 -1.709637 
-3.689128 -0.009140097 2.494075 
-4.045398 -7.133625 -1.311318 
-3.611923 0.6050989 -2.855896 
-2.523083 -2.601037 1.932342 
-3.38726 -8.849025 2.103367 
-2.642029 -5.120187 1.159703 
-2.234123 -0.732214 -0.3645012 
-1.98063 -0.4300388 -0.2085103 
-2.517745 -1.090723 1.705957 
-2.223431 -5.171011 0.5577337 
-2.29459 -0.179441 0.05360561 
-2.274463 0.1394194 -1.967763 
-2.514078 0.4340782 -2.322146 
-2.448071 -3.705563 -2.842019 
-1.783786 -0.1758504 0.5943011 
-2.611256 -1.409879 1.314766 
-2.624163 -0.3281095 -0.2015964 
-3.254574 -0.1168082 1.165207 
-3.64525 0.03734337 1.107458 
-3.412527 -0.1801268 1.307705 
-3.355037 -0.04183138 0.8194207 
-3.414395 0.6175654 -1.747598 
-2.822129 -1.230329 2.001719 
-3.415973 -0.3765934 -0.693439 
-3.471876 0.92544 -0.7606326 
-3.583212 0.2460588 0.2876056 
-3.045746 -0.1461902 -1.047839 
-3.590788 -0.2025357 0.1728485 
-3.913904 0.1012942 -1.56859 
-3.419135 0.4532937 0.3338126 
-3.606052 0.03271033 -2.437219 
-3.84708 -2.347505 2.165148 
-3.596282 -0.3986137 2.423835 
-3.286965 -0.3454111 1.555409 
-3.309999 1.319755 -1.323216 
-3.157071 0.4398317 -0.7871414 
-2.518483 0.04191125 3.210479 
-1.952945 1.399806 -3.272829 
-2.156506 -0.01472114 -2.741386 
-2.323629 0.3731477 -1.439127 
-2.287204 -0.6606027 0.2617979 
-2.706429 -0.8040664 0.7609945 
-2.630327 -0.5690626 -0.2077667 
-2.528355 3.534009 -2.088324 
-2.881472 2.241953 0.8207754 
-2.669979 0.843998 -2.616146 
-2.663213 -0.1198648 -1.975181 
-2.167158 -4.049116 0.3457455 
-2.094456 1.18338 1.326635 
-2.393333 0.03394647 0.4554957 
-1.88867 -6.699336 1.167715 
-1.767404 -6.397163 1.557836 
-2.742718 8.314567 1.389902 
-2.162952 4.066506 1.727081 
-2.092232 -0.6070458 0.4632964 
-1.701494 -0.6249017 -2.78786 
-1.776362 -0.6654925 0.11465 
-1.92641 -0.167558 -0.3160291 
-1.98517 1.354875 0.5119332 
-2.453422 0.5768242 -1.682845 
-2.385095 -0.08205283 -0.309681 
-2.258839 0.03140124 0.8395656 
-3.03796 -0.1787527 0.4849213 
-3.414749 0.5022439 0.585728 
-2.90186 0.3596955 0.8458367 
-2.599323 -0.6711249 -1.80336 
-2.835741 -0.5324105 0.0004568922 
-2.322154 -0.07072151 -0.4708709 
-2.312677 -0.3417136 0.5894199 
-2.737962 -0.008091279 1.615176 
-2.386477 -1.652106 0.7290518 
-2.900246 -5.412982 -2.273161 
-2.428306 -5.8818 0.7710492 
-2.696853 0.4373792 0.4135934 
-2.707754 -1.942861 -2.188508 
-2.797845 -1.368707 5.147078 
-2.362437 -0.8253595 -1.017453 
-2.014615 0.5339114 -0.01127355 
-1.909532 0.4585296 0.6931274 
-1.909109 -0.5109449 0.6257329 
-2.297227 0.3945106 1.138628 
-2.875813 -0.5012292 0.9146648 
-1.720179 -1.965992 -1.294481 
-2.405959 -9.13212 -0.6338453 
-2.291477 1.6234 -0.6308978 
-1.932525 -1.841698 -0.306968 
-2.471743 -4.77469 1.047279 
-1.245317 -4.242588 1.900643 
-2.424118 -5.637811 0.5555278 
-2.2355 1.263261 -0.8488159 
-2.478541 -0.7339444 1.322148 
-1.804987 -0.6174256 1.593054 
-2.251476 0.2252417 0.7324009 
-2.200136 0.4598981 0.2056561 
-1.281399 0.2398316 0.6372121 
-1.613351 -0.6682694 0.5129369 
-2.595891 -0.6695346 1.300399 
-3.474081 0.5685462 1.361946 
-2.95997 -0.06018941 -2.054647 
-3.258105 0.1085588 -0.0527982 
-2.861784 -6.288089 1.14344 
-3.242599 -2.503959 4.440634 
-2.971863 -0.6608567 5.02255 
-2.48484 0.5287651 3.742569 
-2.319663 1.421226 -0.3700871 
-2.852935 1.85856 -0.03083783 
