"Delta_1" "Delta_2" "Delta_3"
1.119185 -1.965921 -2.602475
1.130404 -2.117263 -2.594587
1.124921 -2.216635 -2.782139
1.126387 -2.257503 -2.93447
1.128047 -2.263128 -2.91303
1.096266 -2.27369 -3.110253
1.19077 -2.113091 -3.025225
1.174008 -2.038767 -3.074178
1.208683 -2.080352 -2.828658
1.141992 -1.826344 -2.914798
1.070293 -1.914241 -3.173427
1.077136 -2.222324 -3.03336
1.085983 -2.143569 -3.024357
1.191867 -2.130291 -2.728257
1.200668 -2.151106 -2.73181
1.149203 -2.203464 -2.672173
1.121974 -2.14337 -2.710886
1.136987 -2.076434 -3.049922
1.170137 -2.099348 -3.063889
1.149409 -2.124157 -3.055111
1.14861 -2.178896 -2.656271
1.079828 -2.011171 -2.584039
1.143555 -1.904093 -2.98362
1.07206 -1.847374 -2.757602
1.026637 -1.840766 -2.725015
1.022553 -1.918739 -2.76785
1.05832 -1.90163 -2.949431
1.138505 -1.985403 -2.994693
1.09115 -2.059616 -2.796093
1.048793 -1.853268 -2.866095
1.018031 -2.038611 -3.078167
1.048688 -2.3236 -2.531069
1.106151 -2.204181 -2.942938
1.101578 -2.189177 -2.992845
1.135028 -2.34109 -3.2833
1.087267 -2.489399 -3.002439
1.213172 -2.213951 -3.231731
1.172024 -2.26931 -3.158182
1.212284 -2.228633 -2.901903
1.196326 -2.249625 -2.605618
1.071828 -2.186881 -2.825653
1.033447 -2.170555 -2.856033
1.021673 -2.048536 -2.793977
1.058727 -2.117548 -2.805928
1.188353 -2.07143 -2.516304
1.201425 -1.998916 -2.616853
1.018657 -2.108633 -2.855669
1.014322 -2.064154 -2.7783
1.1987 -2.086562 -2.893366
1.142066 -2.044272 -2.875329
1.159306 -2.170692 -3.006723
1.221263 -2.128399 -2.613428
1.147716 -2.162679 -2.835159
1.087351 -2.118216 -2.807982
1.089699 -2.077599 -2.634116
0.99738 -2.041838 -2.680249
1.041919 -2.061767 -2.847898
1.023986 -2.027532 -2.427575
1.038708 -2.028692 -2.42703
0.9515906 -2.036165 -2.890444
0.9922349 -2.07313 -2.626647
1.048993 -2.132204 -3.018642
1.117419 -2.209956 -2.823195
1.214259 -2.272416 -3.058362
1.275286 -2.298778 -2.937938
1.181592 -2.28933 -3.195122
1.154629 -2.265927 -3.295626
1.270684 -2.237039 -3.216901
1.204459 -2.241528 -3.485936
1.212222 -2.122317 -3.513428
1.143568 -2.092463 -3.350354
1.201579 -2.174097 -3.185799
1.140071 -2.200138 -2.867592
1.142163 -2.172476 -3.076346
1.238576 -2.250034 -3.064715
1.228327 -2.320917 -3.042849
1.15841 -2.339947 -3.009747
1.206555 -2.406037 -3.237368
1.133234 -2.330518 -2.88788
1.112393 -2.198892 -2.956543
1.087357 -2.08223 -3.034691
1.110893 -2.167192 -2.990717
1.156603 -2.273218 -3.125218
1.057573 -2.335135 -3.203271
1.107507 -2.084658 -2.896724
1.114919 -2.127544 -2.666929
1.167611 -2.134275 -2.650392
1.188766 -2.070409 -2.839208
1.227105 -2.096081 -2.938038
1.260284 -1.983396 -2.794706
1.193288 -1.825995 -2.920692
1.174927 -1.929567 -2.908373
1.245388 -2.018608 -2.598376
1.179984 -2.124644 -2.831154
1.229174 -1.950042 -3.074537
1.170812 -1.967422 -2.830194
1.093255 -2.045359 -2.761188
1.111987 -2.025333 -2.746302
1.123494 -1.973493 -2.706761
1.19634 -2.094755 -2.855009
1.034453 -2.026316 -2.835241
0.9751156 -2.026937 -2.91413
1.034579 -2.004868 -2.835918
1.095264 -2.005606 -2.869686
0.9779832 -2.03033 -2.794071
1.036938 -2.094713 -3.037367
1.12842 -2.196708 -2.368708
1.015262 -2.18934 -2.587076
0.9922992 -2.206532 -2.679784
1.079339 -2.091326 -2.834578
1.110592 -2.228983 -2.695754
1.107277 -2.257548 -2.717301
1.074375 -2.352945 -2.714055
1.06321 -2.272988 -2.968694
1.175982 -2.386471 -2.919057
1.112578 -2.344398 -3.192615
1.111395 -2.232738 -3.000395
1.108877 -2.301847 -2.869182
1.040579 -2.071986 -3.029396
1.134346 -1.959856 -2.916815
1.153784 -2.132107 -2.59949
1.100927 -2.012983 -2.757145
1.097285 -1.945983 -2.77686
1.084547 -2.075175 -2.8364
1.069993 -1.911875 -2.482883
1.128885 -1.938715 -2.347678
1.103519 -1.989907 -2.214667
1.212469 -1.898668 -2.307067
1.189373 -1.887201 -2.317411
1.135421 -1.934863 -2.837452
1.173632 -1.976879 -3.045002
1.150046 -1.962192 -3.124254
1.108754 -2.026946 -2.880426
1.055437 -2.073794 -3.033033
1.084855 -2.061068 -2.915388
1.112941 -2.122331 -2.907525
1.159319 -2.138592 -3.19297
1.134257 -2.22091 -3.158721
1.150018 -2.221653 -3.14611
1.102224 -2.222656 -3.230137
1.096638 -2.21758 -3.28607
1.125094 -2.165515 -3.151672
1.164719 -2.044815 -3.130134
1.078377 -2.040263 -2.979526
1.097136 -2.047628 -2.896496
1.168029 -1.885818 -3.096409
1.209425 -2.003977 -2.895489
1.232976 -2.105895 -2.901342
1.282306 -2.169601 -2.783617
1.1923 -2.129165 -2.989316
1.144671 -2.162634 -3.132102
1.11033 -2.184749 -2.939784
1.141652 -2.013048 -2.95606
1.111833 -2.097813 -2.715841
1.110236 -2.112389 -3.080586
1.124359 -2.141867 -3.216163
1.074054 -2.220793 -3.215977
1.157277 -2.12667 -3.081274
1.090219 -2.102286 -3.156305
1.09317 -1.959312 -3.100334
1.126505 -2.082763 -2.895165
1.080794 -2.118257 -3.047975
1.195193 -2.219887 -2.755087
1.114183 -2.189275 -2.613039
1.12306 -2.231869 -2.619629
1.188608 -2.227626 -2.596697
1.246895 -2.323412 -2.899923
1.149061 -2.165042 -2.928971
1.016053 -2.144234 -3.056794
1.104382 -2.163341 -3.103809
1.112889 -2.108465 -2.748176
1.208445 -2.180562 -2.725005
1.157212 -2.165591 -2.463231
1.173166 -2.045807 -2.790739
1.089243 -2.189104 -2.695904
1.152858 -2.267903 -2.963871
1.102268 -2.144985 -3.270113
1.17257 -2.090728 -3.313237
1.131136 -2.012407 -3.229555
1.158512 -1.92752 -2.953234
1.192801 -2.042952 -3.188
1.238134 -2.01205 -2.923034
1.215549 -2.082167 -2.9493
1.244955 -2.074114 -2.823107
1.240384 -2.018977 -2.785912
1.279203 -2.101789 -2.550664
1.130656 -2.01191 -2.796358
1.184042 -1.98706 -2.999826
1.267952 -2.059937 -3.318505
1.295451 -2.118981 -3.357988
1.324999 -2.11859 -3.269227
1.188256 -2.081288 -3.182856
1.127511 -2.011883 -3.030393
1.145086 -1.966067 -2.793681
1.226482 -1.856812 -3.085228
1.167923 -1.882509 -3.274738
1.15 -1.985974 -3.04897
1.173966 -1.967376 -3.053064
1.160637 -2.000897 -2.906916
1.107557 -1.989788 -2.875595
1.129688 -2.065336 -2.755819
1.144615 -2.149826 -2.762206
1.113391 -2.198143 -2.97305
1.216573 -2.28195 -3.374084
1.178013 -2.399733 -3.091587
1.256644 -2.458202 -2.966059
1.317228 -2.324963 -3.17518
1.372171 -2.207199 -2.817466
1.28798 -2.060382 -3.144223
1.212675 -2.109148 -3.05925
1.166652 -2.092819 -2.356265
1.144211 -2.162094 -2.622394
1.103041 -2.166161 -2.843476
1.212437 -2.195829 -2.854856
1.136577 -2.102852 -2.895714
1.049172 -2.120087 -2.437669
1.137931 -2.106761 -2.973347
1.096214 -2.010932 -2.585837
1.12021 -1.831659 -2.962097
1.075675 -1.959637 -2.94049
1.158881 -1.911224 -3.053315
1.212932 -1.872854 -2.690044
1.130531 -1.813339 -2.71143
1.033692 -1.998241 -2.848117
1.071151 -1.957945 -2.799511
1.10557 -1.972425 -3.107198
1.128743 -2.094093 -3.040766
1.143035 -2.085401 -3.158055
1.232771 -2.118367 -2.612763
1.194813 -2.185042 -2.752483
